#{"t_start": 1582983986.11734, "env_id": "FetchPush-v1"}
s,r,l,t
,0.0,50,5.159005
,-50.0,50,6.999219
,-50.0,50,8.633213
,-50.0,50,10.218206
,-50.0,50,11.848965
,-50.0,50,13.459721
,-50.0,50,15.073783
,-50.0,50,16.717207
,-50.0,50,18.304318
,-50.0,50,19.912565
,-50.0,50,21.531645
,-50.0,50,23.128045
,-50.0,50,24.732623
,-50.0,50,26.358038
,-50.0,50,27.919973
,-50.0,50,29.511639
,-50.0,50,31.160959
,-50.0,50,32.74543
,-50.0,50,34.347342
,-50.0,50,35.972511
,-50.0,50,37.585021
,-50.0,50,39.207445
,-50.0,50,40.804571
,-50.0,50,42.416519
,-50.0,50,44.019484
,-50.0,50,45.634939
,-50.0,50,47.244365
,-50.0,50,48.851715
,0.0,50,50.452974
,-50.0,50,52.078155
,-50.0,50,53.694088
,-50.0,50,55.322117
,-50.0,50,56.928562
,-50.0,50,58.505929
,-50.0,50,60.16115
,-50.0,50,61.721409
,-50.0,50,63.389533
,-50.0,50,65.003
,-50.0,50,66.597394
,-50.0,50,68.213358
,-50.0,50,69.818607
,-50.0,50,71.432192
,-50.0,50,73.032253
,-50.0,50,74.647502
,-50.0,50,76.265436
,-50.0,50,77.837588
,-50.0,50,79.468646
,-50.0,50,81.09402
,-50.0,50,82.701291
,-50.0,50,84.294857
,-50.0,50,85.980328
,-50.0,50,86.23481
,-50.0,50,86.506127
,-50.0,50,86.78864
,-50.0,50,87.058158
,-50.0,50,87.320344
,-50.0,50,87.57459
,-50.0,50,87.824072
,-50.0,50,88.108856
,-50.0,50,88.380599
,-50.0,50,88.97425
,-50.0,50,90.602434
,-50.0,50,92.177823
,-50.0,50,93.823217
,-50.0,50,95.459221
,-50.0,50,97.088839
,-50.0,50,98.696337
,-50.0,50,100.295087
,-50.0,50,101.935847
,-50.0,50,103.539281
,-50.0,50,105.168057
,-50.0,50,106.762084
,-50.0,50,108.363672
,-50.0,50,109.976518
,-50.0,50,111.577102
,-50.0,50,113.220074
,-50.0,50,114.829066
,-50.0,50,116.446584
,-50.0,50,118.031555
,0.0,50,119.693075
,-50.0,50,121.281722
,0.0,50,122.898734
,-50.0,50,124.488397
,-50.0,50,126.13178
,-50.0,50,127.765828
,-50.0,50,129.362025
,-50.0,50,131.003179
,-50.0,50,132.603559
,-50.0,50,134.230269
,-50.0,50,135.835822
,-50.0,50,137.436553
,-50.0,50,139.05126
,-50.0,50,140.644932
,-50.0,50,142.266626
,-50.0,50,143.879761
,-3.0,50,145.514148
,-50.0,50,147.092038
,-50.0,50,148.702258
,-50.0,50,150.334915
,-50.0,50,151.915088
,-50.0,50,153.538992
,-50.0,50,155.176472
,-50.0,50,156.781579
,-50.0,50,158.401704
,-50.0,50,159.991411
,-50.0,50,161.624333
,-50.0,50,163.22346
,-50.0,50,164.878296
,-50.0,50,166.458755
,-50.0,50,168.078247
,-50.0,50,169.707529
,-50.0,50,169.991882
,-50.0,50,170.272614
,-50.0,50,170.561516
,-50.0,50,170.844348
,-50.0,50,171.129846
,-50.0,50,171.414834
,-50.0,50,171.689288
,-50.0,50,171.96509
,-50.0,50,172.243981
,-50.0,50,172.585575
,-50.0,50,174.171921
,0.0,50,175.804004
,-50.0,50,177.429118
,-50.0,50,179.054693
,-50.0,50,180.667411
,-50.0,50,182.291199
,-50.0,50,183.942113
,-50.0,50,185.581234
,-50.0,50,187.177918
,-50.0,50,188.776614
,-50.0,50,190.432984
,-50.0,50,192.031222
,-50.0,50,193.664082
,-50.0,50,195.281996
,-50.0,50,196.90201
,-50.0,50,198.504728
,-50.0,50,200.160006
,-50.0,50,201.775881
,-50.0,50,203.357228
,-50.0,50,204.993118
,0.0,50,206.62886
,-50.0,50,208.261467
,-50.0,50,209.895418
,-50.0,50,211.515452
,-50.0,50,213.110514
,-50.0,50,214.792765
,-50.0,50,216.367715
,-50.0,50,217.991434
,-50.0,50,219.612684
,-50.0,50,221.270413
,-50.0,50,222.862224
,-50.0,50,224.495571
,-50.0,50,226.089324
,-50.0,50,227.729559
,-50.0,50,229.319957
,-50.0,50,230.928349
,-50.0,50,232.577735
,-50.0,50,234.154036
,-50.0,50,235.765944
,-50.0,50,237.403606
,-50.0,50,239.02896
,-50.0,50,240.656785
,-50.0,50,242.262219
,-50.0,50,243.893656
,-50.0,50,245.507477
,-50.0,50,247.121897
,-50.0,50,248.770603
,-50.0,50,250.385422
,-50.0,50,251.993647
,-50.0,50,253.649029
,-50.0,50,253.904642
,-50.0,50,254.165188
,-50.0,50,254.442683
,-50.0,50,254.721948
,-50.0,50,255.020726
,-50.0,50,255.307348
,-50.0,50,255.579073
,0.0,50,255.861916
,-50.0,50,256.142159
,-50.0,50,256.523906
,-50.0,50,258.172676
,-50.0,50,259.783204
,-50.0,50,261.384925
,-50.0,50,263.033536
,-50.0,50,264.651931
,0.0,50,266.297888
,-50.0,50,267.906056
,-50.0,50,269.543011
,-50.0,50,271.161233
,-50.0,50,272.801464
,-50.0,50,274.410306
,-50.0,50,276.033843
,-50.0,50,277.670227
,-50.0,50,279.30346
,0.0,50,280.909741
,-50.0,50,282.579091
,-50.0,50,284.189615
,-50.0,50,285.791271
,-50.0,50,287.44039
,-50.0,50,289.058193
,-50.0,50,290.696271
,-50.0,50,292.314255
,-33.0,50,293.975888
,-50.0,50,295.57192
,-50.0,50,297.200403
,-50.0,50,298.843964
,0.0,50,300.452231
,-50.0,50,302.110268
,-50.0,50,303.724932
,-50.0,50,305.339762
,-50.0,50,306.979779
,-50.0,50,308.571662
,-50.0,50,310.217271
,-50.0,50,311.855698
,-50.0,50,313.476582
,-50.0,50,315.119147
,-50.0,50,316.738414
,-24.0,50,318.368623
,-50.0,50,320.033206
,-50.0,50,321.678483
,-50.0,50,323.252819
,-50.0,50,324.890768
,-50.0,50,326.574081
,-50.0,50,328.169636
,-50.0,50,329.812347
,-50.0,50,331.447551
,-50.0,50,333.089053
,-50.0,50,334.75029
,-50.0,50,336.391786
,0.0,50,338.018044
,-50.0,50,338.319349
,-50.0,50,338.609231
,0.0,50,338.906099
,-50.0,50,339.20106
,-50.0,50,339.470932
,-50.0,50,339.747023
,-50.0,50,340.010345
,-50.0,50,340.317479
,0.0,50,340.605583
,-50.0,50,340.905023
,-50.0,50,342.538548
,0.0,50,344.179436
,0.0,50,345.796454
,-50.0,50,347.389308
,-50.0,50,348.99328
,-50.0,50,350.641059
,-50.0,50,352.273212
,-50.0,50,353.900178
,-50.0,50,355.531157
,-50.0,50,357.207242
,-50.0,50,358.830132
,-50.0,50,360.427694
,-50.0,50,362.066335
,-50.0,50,363.686656
,-50.0,50,365.342986
,-50.0,50,366.960695
,-50.0,50,368.566668
,-12.0,50,370.211568
,-50.0,50,371.820266
,-50.0,50,373.461559
,-50.0,50,375.09558
,-50.0,50,376.692919
,-50.0,50,378.341472
,-25.0,50,379.998353
,0.0,50,381.6433
,-50.0,50,383.240373
,-50.0,50,384.863171
,-50.0,50,386.529516
,-50.0,50,388.145852
,-50.0,50,389.781449
,-50.0,50,391.396173
,-50.0,50,393.029032
,-50.0,50,394.663179
,-50.0,50,396.332279
,-50.0,50,397.999683
,-50.0,50,399.654936
,-50.0,50,401.258739
,-50.0,50,402.883971
,-18.0,50,404.565849
,-50.0,50,406.219483
,-50.0,50,407.832319
,-46.0,50,409.471665
,0.0,50,411.099786
,-50.0,50,412.729757
,-50.0,50,414.362276
,-50.0,50,415.991104
,-24.0,50,417.605164
,-50.0,50,419.248651
,-50.0,50,420.852937
,-4.0,50,422.521962
,-50.0,50,422.83448
,-50.0,50,423.10387
,0.0,50,423.378731
,-50.0,50,423.668153
,-50.0,50,423.969978
,-50.0,50,424.241203
,-50.0,50,424.518801
,-50.0,50,424.79761
,-50.0,50,425.063388
,-50.0,50,425.386731
,-50.0,50,427.005148
,-29.0,50,428.660475
,-50.0,50,430.286264
,-50.0,50,431.929119
,-50.0,50,433.577149
,-50.0,50,435.201084
,-30.0,50,436.822973
,-50.0,50,438.476723
,-50.0,50,440.114737
,-20.0,50,441.768947
,-50.0,50,443.40541
,-50.0,50,445.040277
,0.0,50,446.709527
,-16.0,50,448.306038
,-6.0,50,449.995041
,-50.0,50,451.631991
,-50.0,50,453.248266
,-17.0,50,454.872561
,-10.0,50,456.540073
,-50.0,50,458.189838
,-50.0,50,459.848921
,-50.0,50,461.478569
,-50.0,50,463.133051
,-50.0,50,464.768904
,-50.0,50,466.416372
,-50.0,50,468.029119
,0.0,50,469.658388
,-50.0,50,471.331034
,-18.0,50,472.941797
,-50.0,50,474.590811
,-43.0,50,476.235094
,-47.0,50,477.870454
,-48.0,50,479.501645
,-50.0,50,481.141961
,-50.0,50,482.770351
,-50.0,50,484.425193
,-50.0,50,486.049025
,-50.0,50,487.652967
,0.0,50,489.306651
,-50.0,50,490.941996
,-50.0,50,492.611198
,-12.0,50,494.23713
,-37.0,50,495.882251
,-18.0,50,497.486756
,-50.0,50,499.157375
,-25.0,50,500.823353
,-50.0,50,502.462475
,-43.0,50,504.093566
,-24.0,50,505.766175
,-50.0,50,507.414762
,-50.0,50,507.694686
,-50.0,50,507.951786
,-9.0,50,508.227658
,-20.0,50,508.519006
,-50.0,50,508.836751
,-50.0,50,509.132058
,-50.0,50,509.401044
,-50.0,50,509.709498
,-50.0,50,509.960567
,-50.0,50,510.365581
,-50.0,50,512.028165
,-49.0,50,513.642744
,-50.0,50,515.300654
,-50.0,50,516.947776
,-50.0,50,518.594624
,-50.0,50,520.206687
,-45.0,50,521.868341
,-18.0,50,523.507082
,-50.0,50,525.140583
,-50.0,50,526.758245
,-50.0,50,528.406971
,-50.0,50,530.046393
,-50.0,50,531.665989
,-50.0,50,533.350526
,-50.0,50,534.960937
,-50.0,50,536.602277
,-19.0,50,538.214052
,-50.0,50,539.858957
,-18.0,50,541.518717
,-50.0,50,543.200649
,0.0,50,544.818881
,-29.0,50,546.445882
,-11.0,50,548.128663
,-17.0,50,549.783442
,-50.0,50,551.410977
,-50.0,50,553.081409
,-25.0,50,554.7355
,-50.0,50,556.391307
,-47.0,50,558.038184
,-15.0,50,559.676269
,-50.0,50,561.336267
,0.0,50,562.98448
,-50.0,50,564.614191
,-50.0,50,566.257564
,-50.0,50,567.931289
,-50.0,50,569.577706
,-49.0,50,571.236742
,-32.0,50,572.912657
,-50.0,50,574.560499
,-50.0,50,576.18378
,-50.0,50,577.876081
,-21.0,50,579.49554
,-12.0,50,581.176728
,-50.0,50,582.828749
,-49.0,50,584.512223
,-50.0,50,586.168795
,-50.0,50,587.800369
,-50.0,50,589.438192
,-21.0,50,591.040666
,-47.0,50,592.757266
,-50.0,50,593.0322
,-50.0,50,593.338267
,-50.0,50,593.596222
,0.0,50,593.86287
,-13.0,50,594.135514
,-50.0,50,594.419399
,-9.0,50,594.710159
,-18.0,50,594.998438
,-50.0,50,595.274845
,-50.0,50,595.628563
,-50.0,50,597.261451
,-50.0,50,598.875041
,-9.0,50,600.557884
,-27.0,50,602.212533
,-10.0,50,603.874655
,-21.0,50,605.508785
,0.0,50,607.124586
,-18.0,50,608.797173
,-30.0,50,610.405243
,-11.0,50,612.046109
,-21.0,50,613.709067
,-50.0,50,615.352261
,-11.0,50,616.98763
,-2.0,50,618.633878
,-12.0,50,620.301749
,-46.0,50,621.943051
,-22.0,50,623.553823
,-50.0,50,625.234652
,-45.0,50,626.848328
,-25.0,50,628.48059
,-50.0,50,630.141579
,-50.0,50,631.806226
,-27.0,50,633.429828
,-50.0,50,635.067363
,0.0,50,636.723442
,-50.0,50,638.379745
,-50.0,50,640.02562
,-9.0,50,641.655059
,-39.0,50,643.316857
,-12.0,50,644.96689
,-27.0,50,646.606295
,-50.0,50,648.273557
,-23.0,50,649.892925
,-11.0,50,651.560829
,-50.0,50,653.166541
,-21.0,50,654.841995
,-35.0,50,656.501341
,-44.0,50,658.119577
,-21.0,50,659.754515
,-17.0,50,661.405137
