#{"t_start": 1583044984.2836065, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.69151
,-50.0,50,6.567554
,-50.0,50,8.182846
,-50.0,50,9.807441
,-50.0,50,11.433755
,-50.0,50,13.020619
,-50.0,50,14.622581
,-50.0,50,16.256102
,-50.0,50,17.859502
,-50.0,50,19.496145
,-36.0,50,21.071268
,-50.0,50,22.724775
,-50.0,50,24.326623
,-50.0,50,25.949253
,-50.0,50,27.571329
,-50.0,50,29.215054
,-50.0,50,30.789038
,-50.0,50,32.417269
,0.0,50,34.023008
,0.0,50,35.643681
,-50.0,50,37.272488
,-50.0,50,38.881174
,-50.0,50,40.501876
,-50.0,50,42.103709
,-50.0,50,43.755167
,-50.0,50,45.324269
,-50.0,50,46.970743
,-50.0,50,48.598654
,-50.0,50,50.202391
,-50.0,50,51.845965
,-50.0,50,53.419029
,-50.0,50,55.083946
,-50.0,50,56.702268
,-50.0,50,58.346258
,-50.0,50,59.92953
,-50.0,50,61.544335
,-50.0,50,63.167778
,-50.0,50,64.784292
,-50.0,50,66.375096
,-50.0,50,67.981653
,-50.0,50,69.618516
,-50.0,50,71.253525
,-50.0,50,72.85224
,-50.0,50,74.485918
,-50.0,50,76.114359
,-50.0,50,77.740744
,-50.0,50,79.372959
,-50.0,50,81.005224
,-50.0,50,82.601849
,-50.0,50,84.217495
,-50.0,50,85.919681
,-50.0,50,86.167478
,-50.0,50,86.472727
,-50.0,50,86.750255
,-50.0,50,87.059124
,-50.0,50,87.348415
,-50.0,50,87.640347
,-50.0,50,87.933989
,-50.0,50,88.221889
,-50.0,50,88.489485
,-50.0,50,88.833575
,-50.0,50,90.459563
,-50.0,50,92.084883
,-50.0,50,93.754016
,-50.0,50,95.36597
,-50.0,50,97.020233
,-50.0,50,98.648884
,-50.0,50,100.248314
,-50.0,50,101.895778
,-50.0,50,103.548014
,-50.0,50,105.179041
,-50.0,50,106.781833
,-50.0,50,108.425783
,-50.0,50,110.06309
,-50.0,50,111.701556
,0.0,50,113.313607
,-50.0,50,114.962913
,-50.0,50,116.592671
,-50.0,50,118.225965
,-50.0,50,119.852487
,0.0,50,121.480183
,-50.0,50,123.132611
,-50.0,50,124.778735
,-50.0,50,126.395159
,-50.0,50,127.981768
,-50.0,50,129.626234
,-50.0,50,131.281507
,-50.0,50,132.915975
,-50.0,50,134.55654
,-50.0,50,136.176919
,-50.0,50,137.803758
,-50.0,50,139.413888
,-50.0,50,141.037607
,-50.0,50,142.691708
,-50.0,50,144.359003
,-50.0,50,145.9693
,-50.0,50,147.582336
,-50.0,50,149.204987
,-50.0,50,150.829206
,-50.0,50,152.450114
,-50.0,50,154.076326
,-50.0,50,155.692335
,-50.0,50,157.326216
,-50.0,50,158.977515
,-50.0,50,160.606756
,-50.0,50,162.227214
,-50.0,50,163.863582
,-50.0,50,165.474563
,-50.0,50,167.094207
,-50.0,50,168.71881
,-50.0,50,170.367142
,-50.0,50,170.672571
,-50.0,50,170.976106
,-50.0,50,171.226384
,-50.0,50,171.528888
,-50.0,50,171.774129
,0.0,50,172.090142
,-50.0,50,172.351738
,-50.0,50,172.642416
,-50.0,50,172.963995
,-50.0,50,173.229233
,-50.0,50,174.863492
,-50.0,50,176.508103
,-50.0,50,178.130042
,-50.0,50,179.734232
,-50.0,50,181.387874
,-50.0,50,183.04179
,-50.0,50,184.671417
,-50.0,50,186.327688
,-50.0,50,187.930543
,-50.0,50,189.553108
,-50.0,50,191.219725
,-50.0,50,192.862606
,-50.0,50,194.49895
,-50.0,50,196.11679
,-50.0,50,197.716191
,-50.0,50,199.364846
,-50.0,50,201.007031
,-50.0,50,202.648621
,-50.0,50,204.259512
,-50.0,50,205.893262
,-50.0,50,207.50459
,-50.0,50,209.151367
,-50.0,50,210.781447
,-50.0,50,212.417424
,-50.0,50,214.061596
,-50.0,50,215.70798
,-50.0,50,217.285801
,-50.0,50,218.939842
,-50.0,50,220.603342
