#{"t_start": 1582830117.6518824, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.896871
,-50.0,50,6.812641
,-50.0,50,8.403836
,-50.0,50,10.042624
,-50.0,50,11.700382
,-50.0,50,13.31688
,-50.0,50,14.896217
,-50.0,50,16.546
,0.0,50,18.197934
,-50.0,50,19.797645
,-50.0,50,21.394213
,-50.0,50,23.026056
,-50.0,50,24.649199
,-50.0,50,26.271739
,-50.0,50,27.869101
,-50.0,50,29.53705
,-50.0,50,31.123811
,-50.0,50,32.779246
,-50.0,50,34.396767
,-50.0,50,36.01588
,-50.0,50,37.668852
,-50.0,50,39.279809
,-50.0,50,40.893157
,-50.0,50,42.528402
,-50.0,50,44.159436
,-50.0,50,45.779337
,-50.0,50,47.381108
,-50.0,50,48.981419
,0.0,50,50.630067
,-50.0,50,52.258155
,0.0,50,53.870618
,-50.0,50,55.496926
,-50.0,50,57.113709
,-50.0,50,58.730625
,-50.0,50,60.381044
,0.0,50,61.988451
,-50.0,50,63.63574
,-50.0,50,65.271045
,-50.0,50,66.888374
,-50.0,50,68.52771
,0.0,50,70.141287
,-50.0,50,71.740149
,-50.0,50,73.358116
,-50.0,50,74.990275
,-50.0,50,76.630743
,-50.0,50,78.274675
,-50.0,50,79.861429
,-50.0,50,81.490884
,-50.0,50,83.139367
,-50.0,50,84.776167
,-50.0,50,86.481496
,-2.0,50,86.774577
,-50.0,50,87.061259
,-50.0,50,87.322012
,-50.0,50,87.600184
,-50.0,50,87.866031
,-50.0,50,88.13923
,0.0,50,88.409671
,-50.0,50,88.713273
,-50.0,50,88.966256
,-50.0,50,89.373599
,-50.0,50,91.009887
,-50.0,50,92.634525
,-50.0,50,94.254624
,-50.0,50,95.869322
,-50.0,50,97.482326
,-50.0,50,99.134656
,-50.0,50,100.756233
,-50.0,50,102.365394
,-50.0,50,103.987744
,-50.0,50,105.619515
,-50.0,50,107.299895
,-50.0,50,108.918483
,-50.0,50,110.540954
,-50.0,50,112.189865
,-50.0,50,113.811198
,-50.0,50,115.418976
,-50.0,50,117.040572
,-50.0,50,118.68943
,-50.0,50,120.294627
,-50.0,50,121.935614
,-50.0,50,123.567322
,-50.0,50,125.181922
,-50.0,50,126.811689
,-50.0,50,128.449536
,-50.0,50,130.035445
,-50.0,50,131.692457
,0.0,50,133.305572
,-50.0,50,134.965488
,0.0,50,136.551197
,-50.0,50,138.228827
,-50.0,50,139.844181
,-50.0,50,141.529718
,-50.0,50,143.162233
,-50.0,50,144.766981
,-50.0,50,146.402006
,-50.0,50,148.041942
,-50.0,50,149.680076
,-50.0,50,151.297012
,-50.0,50,152.978027
,-50.0,50,154.609368
,-50.0,50,156.226223
,-50.0,50,157.846393
,-50.0,50,159.550825
,-50.0,50,161.18332
,-50.0,50,162.797891
,-50.0,50,164.450654
,-50.0,50,166.065673
,-50.0,50,167.699469
,-50.0,50,169.344659
,-50.0,50,170.989338
,-50.0,50,171.274784
,-50.0,50,171.597445
,-50.0,50,171.864286
,-50.0,50,172.125951
,-50.0,50,172.393395
,-50.0,50,172.655944
,-50.0,50,172.9414
,-50.0,50,173.216265
,-50.0,50,173.490808
,-50.0,50,173.869893
,-50.0,50,175.500737
,-50.0,50,177.157347
,-50.0,50,178.766483
,-50.0,50,180.396604
,-50.0,50,182.034144
,-50.0,50,183.693606
,-50.0,50,185.297982
,-50.0,50,186.938372
,-50.0,50,188.589498
,-50.0,50,190.211782
,-50.0,50,191.890051
,-50.0,50,193.507231
,-50.0,50,195.17275
,-50.0,50,196.798522
,-50.0,50,198.386806
,-50.0,50,200.050606
,-50.0,50,201.775636
,0.0,50,203.392217
,-50.0,50,205.030806
,-50.0,50,206.657563
,-50.0,50,208.310378
,-50.0,50,209.948072
,-50.0,50,211.57054
,-50.0,50,213.189327
,-50.0,50,214.859844
,0.0,50,216.494581
,-50.0,50,218.095638
,-50.0,50,219.763864
,-50.0,50,221.408559
,-50.0,50,223.040364
,-50.0,50,224.672133
,-50.0,50,226.298564
,-50.0,50,227.957562
,-50.0,50,229.556672
,-50.0,50,231.229213
,-50.0,50,232.856987
,-50.0,50,234.507244
,-50.0,50,236.152267
,-50.0,50,237.765895
,-50.0,50,239.404743
,-50.0,50,241.025194
,-50.0,50,242.68822
,-50.0,50,244.313726
,-50.0,50,245.923007
,-50.0,50,247.598195
,-50.0,50,249.218487
,-50.0,50,250.885905
,-50.0,50,252.488973
,-50.0,50,254.134971
,-50.0,50,255.808799
,-50.0,50,256.088019
,-50.0,50,256.367722
,-50.0,50,256.624787
,-50.0,50,256.881501
,-50.0,50,257.173752
,-50.0,50,257.473977
,-50.0,50,257.78129
,-50.0,50,258.073447
,-50.0,50,258.349669
,-50.0,50,258.685432
,-50.0,50,260.350637
,0.0,50,261.963057
,-50.0,50,263.633034
,-50.0,50,265.261545
,-50.0,50,266.909877
,-50.0,50,268.55613
,-50.0,50,270.162791
,-50.0,50,271.795799
,-50.0,50,273.432786
,-50.0,50,275.079769
,-50.0,50,276.747823
,-50.0,50,278.379942
,-50.0,50,280.019907
,-50.0,50,281.64517
,-50.0,50,283.312279
,-50.0,50,284.934296
,-50.0,50,286.590988
,-50.0,50,288.242933
,-50.0,50,289.931368
,-50.0,50,291.524916
,-50.0,50,293.198226
,-50.0,50,294.828761
,-50.0,50,296.46671
,-50.0,50,298.147078
,-50.0,50,299.762896
,-50.0,50,301.382885
,-50.0,50,303.033565
,-50.0,50,304.714521
,-50.0,50,306.29505
,-50.0,50,307.985335
,-50.0,50,309.603216
,-50.0,50,311.253232
,-50.0,50,312.924647
,-50.0,50,314.531355
,-50.0,50,316.188545
,-50.0,50,317.843998
,-50.0,50,319.447896
,-50.0,50,321.089875
,-50.0,50,322.739056
,-50.0,50,324.39232
,-50.0,50,326.060961
,-50.0,50,327.679658
,0.0,50,329.329044
,-50.0,50,330.987746
,-50.0,50,332.620076
,-50.0,50,334.269232
,-50.0,50,335.886902
,0.0,50,337.552536
,-50.0,50,339.156547
,-50.0,50,340.823869
,-50.0,50,341.113347
,0.0,50,341.410588
,-50.0,50,341.708182
