#{"t_start": 1583048538.688798, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.112809
,-50.0,50,7.925029
,-50.0,50,9.604453
,-50.0,50,11.205519
,0.0,50,12.808508
,-50.0,50,14.428897
,-50.0,50,16.058
,-50.0,50,17.677816
,-50.0,50,19.287411
,-50.0,50,20.93696
,0.0,50,22.503977
,-50.0,50,24.133885
,-50.0,50,25.733904
,-50.0,50,27.384172
,-50.0,50,28.969984
,-50.0,50,30.585187
,-50.0,50,32.217688
,-50.0,50,33.835286
,-50.0,50,35.452266
,-50.0,50,37.114854
,-50.0,50,38.730551
,-50.0,50,40.381581
,-50.0,50,41.960864
,-50.0,50,43.611526
,-50.0,50,45.249341
,-50.0,50,46.873611
,-50.0,50,48.492256
,-50.0,50,50.120026
,-50.0,50,51.780496
,-50.0,50,53.372828
,-50.0,50,54.967441
,-50.0,50,56.626137
,-50.0,50,58.228585
,-50.0,50,59.849279
,-50.0,50,61.444391
,-50.0,50,63.112814
,-50.0,50,64.762557
,-50.0,50,66.362165
,-50.0,50,68.000794
,-50.0,50,69.625268
,-50.0,50,71.222742
,-50.0,50,72.842015
,-50.0,50,74.467727
,-50.0,50,76.140501
,-50.0,50,77.76002
,-50.0,50,79.36506
,-50.0,50,81.011549
,-50.0,50,82.653523
,-50.0,50,84.285064
,-50.0,50,85.871939
,-50.0,50,87.563287
,-50.0,50,87.855844
,-50.0,50,88.135989
,-50.0,50,88.437117
,-50.0,50,88.702092
,-50.0,50,88.972789
,-50.0,50,89.244751
,-50.0,50,89.513495
,-50.0,50,89.797277
,-50.0,50,90.051421
,-50.0,50,90.442979
,-50.0,50,92.044096
,0.0,50,93.736787
,-50.0,50,95.308605
,-50.0,50,96.951114
,-50.0,50,98.567853
,-50.0,50,100.19947
,-50.0,50,101.837119
,-50.0,50,103.474135
,-50.0,50,105.092597
,-50.0,50,106.712321
,-50.0,50,108.377519
,-50.0,50,109.967558
,-50.0,50,111.604839
,-50.0,50,113.233713
,-50.0,50,114.888733
,-50.0,50,116.505088
,-50.0,50,118.143811
,-50.0,50,119.770809
,-50.0,50,121.438127
,-50.0,50,123.062642
,-50.0,50,124.657853
,-50.0,50,126.310674
,-50.0,50,127.937342
,-50.0,50,129.548106
,-50.0,50,131.17024
,-50.0,50,132.809222
,-50.0,50,134.427222
,-50.0,50,136.070966
,-50.0,50,137.69207
,-50.0,50,139.310961
,0.0,50,140.971207
,-50.0,50,142.594792
,-50.0,50,144.237386
,-50.0,50,145.857172
,-50.0,50,147.473582
,-50.0,50,149.125506
,-50.0,50,150.755596
,0.0,50,152.373389
,-50.0,50,154.00738
,0.0,50,155.576361
,-50.0,50,157.233875
,-50.0,50,158.840883
,0.0,50,160.49562
,-50.0,50,162.126799
,-50.0,50,163.738972
,-50.0,50,165.361856
,-50.0,50,166.995685
,-50.0,50,168.614435
,-50.0,50,170.224419
,-13.0,50,171.891656
,-50.0,50,172.149724
,0.0,50,172.435838
,-50.0,50,172.710719
,-50.0,50,172.987302
,-50.0,50,173.257944
,-50.0,50,173.525138
,-50.0,50,173.773501
,-50.0,50,174.04162
,-50.0,50,174.309429
,-50.0,50,174.749205
,-50.0,50,176.375441
,-50.0,50,178.020847
,-50.0,50,179.643438
,-50.0,50,181.257139
,-50.0,50,182.898564
,-50.0,50,184.525192
,-50.0,50,186.115358
,-50.0,50,187.766239
,-50.0,50,189.395746
,-50.0,50,190.998927
,-50.0,50,192.635845
,-50.0,50,194.228858
,-50.0,50,195.852247
,0.0,50,197.545316
,-50.0,50,199.15085
,-50.0,50,200.78789
,-50.0,50,202.423084
