#{"t_start": 1582991670.7592747, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.608379
,0.0,50,6.443948
,-50.0,50,8.048053
,-50.0,50,9.631901
,-50.0,50,11.263995
,-50.0,50,12.870056
,-50.0,50,14.456218
,-50.0,50,16.071594
,-50.0,50,17.642317
,0.0,50,19.300105
,-50.0,50,20.876591
,-50.0,50,22.47666
,-50.0,50,24.081667
,-50.0,50,25.719427
,-50.0,50,27.315444
,-50.0,50,28.905835
,-50.0,50,30.514838
,-50.0,50,32.131646
,-50.0,50,33.728852
,-50.0,50,35.369665
,-50.0,50,36.938424
,-50.0,50,38.557973
,-50.0,50,40.138624
,-50.0,50,41.755184
,-50.0,50,43.399083
,-50.0,50,45.035804
,0.0,50,46.615168
,0.0,50,48.232618
,-50.0,50,49.850542
,-50.0,50,51.459405
,-50.0,50,53.026807
,0.0,50,54.665004
,-50.0,50,56.28103
,-50.0,50,57.88699
,-50.0,50,59.524006
,-50.0,50,61.13701
,-50.0,50,62.769053
,-50.0,50,64.388595
,-50.0,50,65.995894
,-50.0,50,67.616076
,-50.0,50,69.221852
,-50.0,50,70.895688
,-50.0,50,72.478264
,-50.0,50,74.116427
,-50.0,50,75.726181
,-50.0,50,77.35034
,-50.0,50,78.936955
,-50.0,50,80.546672
,-50.0,50,82.20382
,-50.0,50,83.809869
,-50.0,50,85.531768
,-50.0,50,85.85576
,-50.0,50,86.157508
,-50.0,50,86.481871
,-50.0,50,86.766094
,-50.0,50,87.084819
,-50.0,50,87.347303
,-50.0,50,87.607408
,0.0,50,87.874453
,-50.0,50,88.157534
,-50.0,50,88.613323
,-50.0,50,90.229147
,-50.0,50,91.839084
,-50.0,50,93.501692
,-50.0,50,95.115054
,-50.0,50,96.724621
,-50.0,50,98.378586
,-50.0,50,100.017843
,-50.0,50,101.653249
,-50.0,50,103.307094
,-50.0,50,104.92931
,-50.0,50,106.57919
,-50.0,50,108.191651
,-50.0,50,109.820616
,-50.0,50,111.466764
,-50.0,50,113.073227
,-50.0,50,114.728778
,0.0,50,116.359675
,0.0,50,117.987733
,-50.0,50,119.61635
,-50.0,50,121.251587
,-50.0,50,122.908058
,-50.0,50,124.546602
,-50.0,50,126.143053
,-50.0,50,127.774349
,-50.0,50,129.475131
,-50.0,50,131.122134
,-50.0,50,132.705834
,-50.0,50,134.356295
,-50.0,50,135.967646
,-50.0,50,137.579668
,-50.0,50,139.217048
,-50.0,50,140.825691
,-50.0,50,142.488509
,-50.0,50,144.102055
,-50.0,50,145.698389
,-50.0,50,147.341265
,-50.0,50,148.949404
,0.0,50,150.621903
,-50.0,50,152.251563
,0.0,50,153.866898
,-50.0,50,155.482865
,-50.0,50,157.165092
,-50.0,50,158.773851
,-50.0,50,160.383828
,-50.0,50,162.031859
,-50.0,50,163.673956
,-50.0,50,165.277316
,0.0,50,166.896518
,-50.0,50,168.554403
,-50.0,50,170.195875
,-50.0,50,170.479136
,-50.0,50,170.798169
,-50.0,50,171.067443
,-50.0,50,171.370134
,-50.0,50,171.628669
,-50.0,50,171.879843
,-50.0,50,172.206675
,-50.0,50,172.517217
,-50.0,50,172.833766
,0.0,50,173.137151
,0.0,50,174.799853
,-50.0,50,176.391445
,-50.0,50,178.03008
,-50.0,50,179.673768
,-50.0,50,181.266294
,-50.0,50,182.862113
,0.0,50,184.489866
,-50.0,50,186.172371
,-50.0,50,187.826841
,-50.0,50,189.426841
,-50.0,50,191.083648
,-50.0,50,192.761439
,-50.0,50,194.368322
,-50.0,50,195.974468
,-50.0,50,197.633288
,-50.0,50,199.28553
,-50.0,50,200.856538
,-50.0,50,202.535678
,-50.0,50,204.191055
,-50.0,50,205.773537
,-50.0,50,207.420358
,-50.0,50,209.072808
,0.0,50,210.69679
,-50.0,50,212.314405
,-50.0,50,213.960802
,0.0,50,215.59516
,-50.0,50,217.213773
,-50.0,50,218.839606
,-50.0,50,220.445113
,-50.0,50,222.084691
,-50.0,50,223.698605
,-50.0,50,225.370151
,-50.0,50,226.987567
,-50.0,50,228.581286
,-50.0,50,230.198816
,-50.0,50,231.862913
,-50.0,50,233.458158
,-50.0,50,235.14852
,0.0,50,236.769785
,-50.0,50,238.371066
,-50.0,50,239.980938
,-50.0,50,241.629985
,-50.0,50,243.251076
,-50.0,50,244.924629
,-50.0,50,246.536366
,-50.0,50,248.15414
,-50.0,50,249.788839
,-50.0,50,251.385627
,-50.0,50,253.05481
,-50.0,50,254.694506
,-50.0,50,254.966201
,-50.0,50,255.242128
,-50.0,50,255.526276
,-50.0,50,255.829769
,-50.0,50,256.078738
,0.0,50,256.334615
,-50.0,50,256.64255
,-50.0,50,256.926024
,-50.0,50,257.246277
,-50.0,50,257.615362
,-50.0,50,259.24851
,-50.0,50,260.907902
,-50.0,50,262.553547
,-50.0,50,264.150477
,-50.0,50,265.776562
,-50.0,50,267.403399
,-50.0,50,269.087366
,-50.0,50,270.67741
,-50.0,50,272.321028
,-50.0,50,273.932131
,-50.0,50,275.532113
,-50.0,50,277.197615
,-50.0,50,278.881641
,-50.0,50,280.535356
,-50.0,50,282.153028
,-27.0,50,283.78543
,-50.0,50,285.429592
,-50.0,50,287.031379
,-50.0,50,288.678654
,-50.0,50,290.338643
,-50.0,50,291.944982
,-50.0,50,293.585809
,-50.0,50,295.203894
,-50.0,50,296.807299
,-50.0,50,298.517321
,-50.0,50,300.149582
,-50.0,50,301.782475
,-50.0,50,303.398537
,-50.0,50,305.025365
,-50.0,50,306.670063
,-50.0,50,308.26389
,-50.0,50,309.913807
,-50.0,50,311.538927
,-50.0,50,313.177578
,-50.0,50,314.757801
,0.0,50,316.435781
,-50.0,50,318.098602
,-50.0,50,319.708838
,-50.0,50,321.367986
,-50.0,50,322.967954
,-50.0,50,324.620022
,-50.0,50,326.273207
,-50.0,50,327.909842
,-50.0,50,329.561677
,-50.0,50,331.180533
,-50.0,50,332.861499
,-50.0,50,334.496054
,-50.0,50,336.123122
,-50.0,50,337.810628
,-50.0,50,339.430746
,-50.0,50,339.73374
,-50.0,50,339.994952
,-50.0,50,340.279957
,-50.0,50,340.590757
,0.0,50,340.902772
,-50.0,50,341.204077
,-50.0,50,341.490727
,-50.0,50,341.786057
,-50.0,50,342.041012
,-50.0,50,342.354617
,-50.0,50,343.987799
,-50.0,50,345.631072
,-50.0,50,347.313154
,-50.0,50,348.895665
,-50.0,50,350.514434
,-50.0,50,352.214904
,-50.0,50,353.838745
,-50.0,50,355.448767
,-50.0,50,357.083811
,-50.0,50,358.73028
,-50.0,50,360.33976
,0.0,50,361.974091
,-50.0,50,363.623699
,-50.0,50,365.258258
,-50.0,50,366.888693
,-50.0,50,368.540164
,-50.0,50,370.159121
,-50.0,50,371.779946
,-50.0,50,373.437856
,-17.0,50,375.084689
,-50.0,50,376.751686
,-50.0,50,378.356224
,-50.0,50,380.017263
,-50.0,50,381.627295
,-50.0,50,383.252131
,0.0,50,384.900705
,-50.0,50,386.525635
,-50.0,50,388.193334
,-50.0,50,389.784301
,0.0,50,391.473611
,-50.0,50,393.119195
,-50.0,50,394.725531
,-50.0,50,396.371283
,-50.0,50,398.052817
,-50.0,50,399.671591
,-24.0,50,401.304558
,-50.0,50,402.938129
,-50.0,50,404.573202
,-27.0,50,406.186888
,-50.0,50,407.797658
,-50.0,50,409.444751
,-50.0,50,411.075608
,-25.0,50,412.754362
,-50.0,50,414.413862
,-50.0,50,416.01389
,-50.0,50,417.673062
,-50.0,50,419.285039
,-50.0,50,420.937342
,-50.0,50,422.54463
,-50.0,50,424.207678
,-50.0,50,424.481637
,-50.0,50,424.777086
,-39.0,50,425.040689
,-50.0,50,425.346029
,-50.0,50,425.597567
,-50.0,50,425.897217
,-50.0,50,426.166324
,-50.0,50,426.449839
,-50.0,50,426.724794
,-50.0,50,427.092637
,-50.0,50,428.76553
,-50.0,50,430.397086
,-50.0,50,432.040586
,-50.0,50,433.655198
,-50.0,50,435.280669
,-50.0,50,436.925671
,-50.0,50,438.604457
,-50.0,50,440.21752
,-9.0,50,441.897892
,-50.0,50,443.53058
,-50.0,50,445.164257
,-50.0,50,446.812191
,-50.0,50,448.433829
,0.0,50,450.101394
,0.0,50,451.687953
,-50.0,50,453.383329
,-50.0,50,454.98798
,-50.0,50,456.661359
,-50.0,50,458.272636
,-50.0,50,459.931381
,-50.0,50,461.547331
,-50.0,50,463.22412
,-50.0,50,464.873348
,-50.0,50,466.486173
,-50.0,50,468.114736
,-50.0,50,469.799022
,-50.0,50,471.40823
,-50.0,50,473.071285
,-50.0,50,474.686291
,-50.0,50,476.343847
,-50.0,50,477.979645
,-50.0,50,479.650752
,-50.0,50,481.275179
,-50.0,50,482.950505
,-50.0,50,484.539707
,-50.0,50,486.188976
,-50.0,50,487.871078
,-50.0,50,489.488555
,-50.0,50,491.131745
,-50.0,50,492.804025
,-50.0,50,494.464039
,-50.0,50,496.091618
,-50.0,50,497.764107
,-50.0,50,499.421458
,-50.0,50,501.032383
,0.0,50,502.718955
,-50.0,50,504.357436
,-28.0,50,505.986982
,-50.0,50,507.657734
,-50.0,50,509.308272
,-50.0,50,509.597812
,-50.0,50,509.892966
,-50.0,50,510.169621
,-50.0,50,510.437902
