#{"t_start": 1582923764.8696167, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.799559
,-50.0,50,6.639461
,-50.0,50,8.297869
,-50.0,50,9.937562
,-50.0,50,11.524467
,-50.0,50,13.168207
,-50.0,50,14.810781
,-50.0,50,16.416505
,-50.0,50,18.01345
,-50.0,50,19.66164
,-50.0,50,21.260896
,-50.0,50,22.881124
,-50.0,50,24.452735
,-50.0,50,26.08842
,-50.0,50,27.698659
,-50.0,50,29.326403
,-50.0,50,30.918018
,-50.0,50,32.523593
,0.0,50,34.160958
,0.0,50,35.785979
,-50.0,50,37.409223
,-50.0,50,39.050806
,-50.0,50,40.641328
,-50.0,50,42.320099
,-50.0,50,43.899079
,-50.0,50,45.536004
,-50.0,50,47.119858
,-50.0,50,48.744005
,-50.0,50,50.325681
,-50.0,50,51.964039
,-50.0,50,53.561587
,-50.0,50,55.219332
,-50.0,50,56.819915
,-50.0,50,58.453361
,-50.0,50,60.03876
,-50.0,50,61.686247
,-50.0,50,63.311431
,-50.0,50,64.896689
,-50.0,50,66.570238
,-50.0,50,68.15728
,-50.0,50,69.781538
,-50.0,50,71.39894
,-50.0,50,72.967125
,-50.0,50,74.601761
,-50.0,50,76.220091
,-50.0,50,77.83225
,-50.0,50,79.454779
,-50.0,50,81.114231
,-50.0,50,82.719458
,-50.0,50,84.357018
,-50.0,50,86.032865
,-50.0,50,86.343812
,-50.0,50,86.641285
,-50.0,50,86.914789
,-50.0,50,87.212711
,-50.0,50,87.533758
,-50.0,50,87.803467
,-50.0,50,88.097485
,-50.0,50,88.383256
,-50.0,50,88.666629
,-50.0,50,89.028002
,-50.0,50,90.663637
,-50.0,50,92.307033
,-50.0,50,93.911893
,-50.0,50,95.558796
,-50.0,50,97.156923
,-50.0,50,98.763031
,-50.0,50,100.418919
,-50.0,50,102.043113
,-50.0,50,103.680911
,-10.0,50,105.325144
,-50.0,50,106.904881
,-50.0,50,108.549096
,-50.0,50,110.134817
,-50.0,50,111.794999
,0.0,50,113.389202
,-50.0,50,115.028582
,-50.0,50,116.657686
,-50.0,50,118.274902
,-50.0,50,119.961775
,0.0,50,121.5428
,-50.0,50,123.185271
,-50.0,50,124.812648
,-50.0,50,126.468126
,-50.0,50,128.085152
,-50.0,50,129.701411
,-50.0,50,131.347922
,-50.0,50,132.9945
,-50.0,50,134.623483
,-50.0,50,136.24148
,-50.0,50,137.833424
,-50.0,50,139.474741
,-50.0,50,141.110904
,-50.0,50,142.730261
,-50.0,50,144.378692
,-50.0,50,146.00432
,-50.0,50,147.618305
,-50.0,50,149.227477
,-50.0,50,150.850538
,-50.0,50,152.485073
,-50.0,50,154.052399
,-50.0,50,155.736293
,-50.0,50,157.351339
,-50.0,50,159.042325
,-50.0,50,160.661223
,-50.0,50,162.262228
,-50.0,50,163.897729
,-50.0,50,165.532787
,-50.0,50,167.131166
,-50.0,50,168.760404
,-50.0,50,170.407412
,-50.0,50,170.699911
,-50.0,50,170.96448
,-50.0,50,171.251554
,-50.0,50,171.528991
,-50.0,50,171.848277
,0.0,50,172.14993
,-50.0,50,172.411614
,-50.0,50,172.691046
,-50.0,50,172.953673
,-50.0,50,173.283662
,-50.0,50,174.910291
,-50.0,50,176.552896
,-50.0,50,178.174739
,-50.0,50,179.791071
,-50.0,50,181.411613
,-50.0,50,183.01297
