#{"t_start": 1582983986.3045115, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.983932
,-50.0,50,6.831599
,-50.0,50,8.413919
,-50.0,50,10.061812
,-50.0,50,11.61792
,-50.0,50,13.264565
,-50.0,50,14.869814
,-50.0,50,16.501053
,-50.0,50,18.13235
,-50.0,50,19.719186
,-50.0,50,21.324757
,-50.0,50,22.930381
,-50.0,50,24.558067
,0.0,50,26.148785
,-50.0,50,27.740049
,-50.0,50,29.370173
,-50.0,50,30.980071
,-50.0,50,32.548243
,-50.0,50,34.172801
,-50.0,50,35.768762
,0.0,50,37.438471
,-50.0,50,39.044717
,0.0,50,40.637219
,-50.0,50,42.2303
,-50.0,50,43.824617
,-50.0,50,45.461658
,-50.0,50,47.062032
,-50.0,50,48.650282
,-50.0,50,50.286387
,0.0,50,51.881972
,-50.0,50,53.530465
,-50.0,50,55.123635
,-50.0,50,56.735352
,-50.0,50,58.339509
,-50.0,50,59.946213
,-50.0,50,61.5944
,-50.0,50,63.175211
,-50.0,50,64.791407
,-50.0,50,66.405675
,0.0,50,68.024567
,-50.0,50,69.611634
,-50.0,50,71.224419
,-50.0,50,72.837945
,-50.0,50,74.462238
,-50.0,50,76.07482
,-50.0,50,77.668479
,-50.0,50,79.282349
,-50.0,50,80.90168
,-50.0,50,82.527021
,-50.0,50,84.122822
,-50.0,50,85.806004
,0.0,50,86.054722
,-50.0,50,86.320688
,-50.0,50,86.606665
,-50.0,50,86.882165
,-50.0,50,87.158
,0.0,50,87.41042
,-50.0,50,87.720881
,0.0,50,87.987417
,-50.0,50,88.27124
,-50.0,50,88.785846
,-50.0,50,90.393534
,-50.0,50,92.000958
,-50.0,50,93.62261
,-50.0,50,95.261
,-50.0,50,96.912677
,-50.0,50,98.497789
,-50.0,50,100.133915
,-50.0,50,101.710951
,-50.0,50,103.379619
,-50.0,50,104.986533
,-50.0,50,106.573379
,-50.0,50,108.156829
,-50.0,50,109.799135
,-50.0,50,111.417715
,-50.0,50,113.004949
,0.0,50,114.629055
,-50.0,50,116.270357
,-50.0,50,117.881231
,-50.0,50,119.47266
,-50.0,50,121.091196
,-50.0,50,122.712728
,0.0,50,124.312173
,-50.0,50,125.953199
,-50.0,50,127.574361
,-50.0,50,129.17691
,-50.0,50,130.792774
,-50.0,50,132.428258
,-50.0,50,134.038128
,-50.0,50,135.660052
,-50.0,50,137.266538
,-50.0,50,138.885164
,-50.0,50,140.480573
,0.0,50,142.091529
,-50.0,50,143.709973
,-50.0,50,145.331557
,-50.0,50,146.921775
,-50.0,50,148.524685
,-50.0,50,150.167422
,-50.0,50,151.763121
,-50.0,50,153.380379
,-50.0,50,154.987761
,-50.0,50,156.584142
,-50.0,50,158.202811
,-50.0,50,159.831076
,0.0,50,161.426481
,-50.0,50,163.046809
,0.0,50,164.666744
,-50.0,50,166.310134
,-50.0,50,167.897164
,-50.0,50,169.519304
,-50.0,50,169.81262
,-50.0,50,170.062963
,-50.0,50,170.329886
,-50.0,50,170.653606
,-50.0,50,170.919286
,-50.0,50,171.196433
,-50.0,50,171.474985
,-50.0,50,171.743082
,-50.0,50,172.031324
,-50.0,50,172.378918
,-50.0,50,174.011996
,-50.0,50,175.600076
,-50.0,50,177.271831
,-50.0,50,178.886928
,-50.0,50,180.50753
,-50.0,50,182.096745
,-50.0,50,183.723504
,-50.0,50,185.379676
,-50.0,50,186.96322
,-50.0,50,188.607469
,-50.0,50,190.237033
,-50.0,50,191.867607
,-50.0,50,193.473438
,-50.0,50,195.075909
,-50.0,50,196.700448
,-50.0,50,198.355365
,-50.0,50,199.9173
,-50.0,50,201.563826
,-50.0,50,203.166495
,-50.0,50,204.854814
,-50.0,50,206.446261
,-50.0,50,208.083686
,-50.0,50,209.723862
,-50.0,50,211.296863
,-50.0,50,212.93908
,-50.0,50,214.557231
,-50.0,50,216.221108
,-50.0,50,217.795808
,0.0,50,219.418234
,-50.0,50,221.059509
,-50.0,50,222.694208
,-50.0,50,224.277365
,-50.0,50,225.875329
,0.0,50,227.550449
,-50.0,50,229.16058
,-50.0,50,230.767115
,-50.0,50,232.384868
,-50.0,50,233.992157
,-50.0,50,235.587663
,-50.0,50,237.232048
,-50.0,50,238.844241
,0.0,50,240.488441
,-50.0,50,242.083177
,-50.0,50,243.687216
,-50.0,50,245.330047
,-50.0,50,246.934546
,-50.0,50,248.571706
,0.0,50,250.225454
,-50.0,50,251.795448
,-50.0,50,253.454848
,-50.0,50,253.749601
,-50.0,50,254.015632
,-50.0,50,254.309484
,-50.0,50,254.594647
,-50.0,50,254.862412
,-50.0,50,255.162891
,-50.0,50,255.476424
,-50.0,50,255.738198
,-50.0,50,255.999819
,-50.0,50,256.380162
,0.0,50,257.961737
,-50.0,50,259.577455
,-50.0,50,261.221975
,-50.0,50,262.837886
,-50.0,50,264.47826
,-50.0,50,266.073365
,-50.0,50,267.708097
,-50.0,50,269.347286
,-50.0,50,270.978919
,-50.0,50,272.60938
,-50.0,50,274.234296
,-50.0,50,275.829752
,-50.0,50,277.469995
,-50.0,50,279.088326
,-50.0,50,280.704358
,-50.0,50,282.337208
,-50.0,50,283.974324
,-50.0,50,285.631058
,-50.0,50,287.224088
,-50.0,50,288.866283
,-50.0,50,290.508695
,-50.0,50,292.117502
,-50.0,50,293.747368
,-50.0,50,295.394985
,-50.0,50,297.032742
,-50.0,50,298.647591
,-50.0,50,300.244479
,-50.0,50,301.884762
,-50.0,50,303.511625
,-50.0,50,305.159816
,-50.0,50,306.774518
,-50.0,50,308.400561
,-50.0,50,310.0688
,-50.0,50,311.663422
