#{"t_start": 1583044982.5859566, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.424732
,-50.0,50,8.258299
,-50.0,50,9.926495
,-50.0,50,11.522934
,-50.0,50,13.127868
,-50.0,50,14.747288
,-50.0,50,16.336432
,-50.0,50,17.943618
,-50.0,50,19.576776
,-50.0,50,21.174986
,-50.0,50,22.803487
,-50.0,50,24.398428
,-50.0,50,26.008301
,-50.0,50,27.662863
,-50.0,50,29.268244
,-50.0,50,30.900073
,-50.0,50,32.480796
,-50.0,50,34.12084
,-50.0,50,35.729831
,-50.0,50,37.345764
,0.0,50,38.954636
,-50.0,50,40.590672
,-50.0,50,42.182611
,-50.0,50,43.822422
,-50.0,50,45.421251
,-50.0,50,47.026143
,-50.0,50,48.66503
,-50.0,50,50.276508
,-50.0,50,51.875331
,0.0,50,53.557658
,-50.0,50,55.153103
,-50.0,50,56.806618
,-50.0,50,58.38849
,-50.0,50,60.009719
,-50.0,50,61.614203
,-38.0,50,63.2582
,0.0,50,64.852771
,-50.0,50,66.433218
,-50.0,50,68.081381
,-50.0,50,69.685668
,-50.0,50,71.278229
,-50.0,50,72.934609
,0.0,50,74.543481
,0.0,50,76.193527
,-50.0,50,77.824569
,-50.0,50,79.442701
,-50.0,50,81.01372
,-50.0,50,82.668725
,-50.0,50,84.308002
,-50.0,50,85.909478
,-50.0,50,87.621612
,-50.0,50,87.871811
,-50.0,50,88.192731
,-50.0,50,88.463288
,-50.0,50,88.708086
,-50.0,50,89.00922
,-50.0,50,89.315315
,-50.0,50,89.594097
,-50.0,50,89.900796
,-50.0,50,90.181787
,-50.0,50,90.562841
,-50.0,50,92.199936
,-50.0,50,93.796916
,-50.0,50,95.447628
,-50.0,50,97.101557
,-50.0,50,98.692621
,-50.0,50,100.349251
,-50.0,50,101.967118
,-50.0,50,103.579747
,-50.0,50,105.256598
,-50.0,50,106.871646
,-50.0,50,108.50189
,0.0,50,110.101577
,-50.0,50,111.742529
,-50.0,50,113.407674
,-50.0,50,115.012035
,-50.0,50,116.674359
,-50.0,50,118.29274
,-50.0,50,119.91287
,-50.0,50,121.590216
,-50.0,50,123.17946
,-50.0,50,124.83455
,0.0,50,126.440828
,-50.0,50,128.082922
,-50.0,50,129.69515
,0.0,50,131.343375
,0.0,50,132.948312
,-50.0,50,134.598539
,-50.0,50,136.217998
,-50.0,50,137.851662
,-50.0,50,139.491749
,-50.0,50,141.135353
,-50.0,50,142.758604
,-50.0,50,144.389202
,-50.0,50,146.024921
,-50.0,50,147.657199
,0.0,50,149.277069
,-50.0,50,150.923329
,-50.0,50,152.521332
,-50.0,50,154.153193
,-50.0,50,155.78932
,-50.0,50,157.420254
,-50.0,50,159.027403
,-50.0,50,160.652169
,0.0,50,162.27893
,-50.0,50,163.9151
,-50.0,50,165.538139
,-50.0,50,167.183079
,0.0,50,168.768556
,-50.0,50,170.450144
,-50.0,50,172.062192
,-25.0,50,172.365546
,-50.0,50,172.656039
,-50.0,50,172.963185
,-50.0,50,173.232093
,-50.0,50,173.49263
,-50.0,50,173.748109
,-50.0,50,174.039818
,-50.0,50,174.329456
,-50.0,50,174.600218
,-50.0,50,174.910723
,-50.0,50,176.59002
,-50.0,50,178.202846
,-50.0,50,179.816228
,-50.0,50,181.455192
,-50.0,50,183.09111
,-50.0,50,184.743085
,-50.0,50,186.365928
,-50.0,50,188.025968
,-50.0,50,189.622201
,-50.0,50,191.293636
,-50.0,50,192.91802
,-50.0,50,194.53736
,-50.0,50,196.144749
,-50.0,50,197.796427
,-50.0,50,199.424806
,-50.0,50,201.077657
,-50.0,50,202.694961
,-50.0,50,204.309057
,-50.0,50,205.933692
,-50.0,50,207.563076
,-50.0,50,209.208673
,-50.0,50,210.850683
,-50.0,50,212.46292
,-50.0,50,214.13117
,-50.0,50,215.747557
,-50.0,50,217.380337
,-50.0,50,218.980774
,-50.0,50,220.679925
,-50.0,50,222.302076
,-50.0,50,223.940292
,-50.0,50,225.555619
,-50.0,50,227.229096
,-50.0,50,228.84899
,-50.0,50,230.483274
,-50.0,50,232.118767
,-50.0,50,233.808082
,-50.0,50,235.415396
,-50.0,50,237.052303
,-50.0,50,238.659787
,-50.0,50,240.304732
,0.0,50,241.936415
,-50.0,50,243.560666
,-50.0,50,245.187999
,-50.0,50,246.808008
,-50.0,50,248.453984
,-50.0,50,250.102818
,-50.0,50,251.753319
,-50.0,50,253.416374
,-50.0,50,255.026963
,-50.0,50,256.675581
,-50.0,50,256.954784
,-50.0,50,257.237816
,-50.0,50,257.513289
,-50.0,50,257.771175
,-50.0,50,258.048789
,-50.0,50,258.320856
,-50.0,50,258.600051
,-50.0,50,258.859911
,-50.0,50,259.151902
,-50.0,50,259.49136
,-50.0,50,261.148039
,-50.0,50,262.792678
,-50.0,50,264.41921
,-50.0,50,266.049639
,-50.0,50,267.671538
,-50.0,50,269.316507
,-50.0,50,270.966737
,-50.0,50,272.586583
,-50.0,50,274.22328
,-50.0,50,275.876205
,-50.0,50,277.520021
,-50.0,50,279.13866
,-50.0,50,280.762828
,-50.0,50,282.396039
,-50.0,50,284.067809
,-50.0,50,285.680921
,-50.0,50,287.304533
,-50.0,50,288.953525
,-50.0,50,290.58549
,-50.0,50,292.21039
,-50.0,50,293.883469
,-50.0,50,295.528055
,-50.0,50,297.150513
,-50.0,50,298.808804
,-50.0,50,300.48311
,-50.0,50,302.115928
,-50.0,50,303.734139
,-50.0,50,305.372198
,-50.0,50,307.000101
