,mean,amin,amax,median,std,var
1,-46.744998931884766,-47.04624938964844,-46.443748474121094,-46.744998931884766,0.3012504577636719,0.09075183830282185
2,-46.38937568664551,-46.837501525878906,-45.94124984741211,-46.38937568664551,0.44812583923339844,0.20081676778863766
3,-46.954376220703125,-47.0,-46.90875244140625,-46.954376220703125,0.045623779296875,0.00208152923732996
4,-46.18000030517578,-46.467498779296875,-45.89250183105469,-46.18000030517578,0.28749847412109375,0.08265537262195721
5,-45.901248931884766,-45.932498931884766,-45.869998931884766,-45.901248931884766,0.03125,0.0009765625
6,-45.524375915527344,-46.08250045776367,-44.966251373291016,-45.524375915527344,0.5581245422363281,0.3115030046465108
7,-45.053749084472656,-45.33374786376953,-44.77375030517578,-45.053749084472656,0.279998779296875,0.07839931640774012
8,-44.03062438964844,-44.30999755859375,-43.751251220703125,-44.03062438964844,0.2793731689453125,0.07804936752654612
9,-41.48250198364258,-41.70500183105469,-41.26000213623047,-41.48250198364258,0.22249984741210938,0.049506182098411955
10,-37.01687431335449,-37.34375,-36.689998626708984,-37.01687431335449,0.3268756866455078,0.10684771451997221
11,-31.970623016357422,-34.269996643066406,-29.671249389648438,-31.970623016357422,2.2993736267089844,5.287119075204828
12,-26.477499961853027,-28.41374969482422,-24.541250228881836,-26.477499961853027,1.9362497329711914,3.74906302843101
13,-24.429375648498535,-25.113750457763672,-23.7450008392334,-24.429375648498535,0.6843748092651367,0.46836887955669226
14,-22.5831241607666,-22.85124969482422,-22.314998626708984,-22.5831241607666,0.2681255340576172,0.07189130201368243
15,-20.77750015258789,-20.9375,-20.61750030517578,-20.77750015258789,0.15999984741210938,0.025599951171898283
16,-20.059374809265137,-20.537500381469727,-19.581249237060547,-20.059374809265137,0.47812557220458984,0.22860406279596646
17,-19.478124618530273,-19.75,-19.206249237060547,-19.478124618530273,0.27187538146972656,0.07391622304930934
18,-18.86312484741211,-19.107500076293945,-18.618749618530273,-18.86312484741211,0.24437522888183594,0.0597192524910497
19,-18.476874351501465,-18.526248931884766,-18.427499771118164,-18.476874351501465,0.04937458038330078,0.0024378491880270303
20,-18.09937572479248,-18.243749618530273,-17.955001831054688,-18.09937572479248,0.14437389373779297,0.020843821193011536
21,-17.8881254196167,-18.282501220703125,-17.493749618530273,-17.8881254196167,0.3943758010864258,0.15553227248256007
22,-18.174999237060547,-18.24749755859375,-18.102500915527344,-18.174999237060547,0.07249832153320312,0.005256006625131704
23,-17.70187473297119,-17.97249984741211,-17.431249618530273,-17.70187473297119,0.27062511444091797,0.07323795256615995
24,-17.904998779296875,-18.178749084472656,-17.631248474121094,-17.904998779296875,0.27375030517578125,0.07493922958383337
25,-17.290624618530273,-17.607498168945312,-16.973751068115234,-17.290624618530273,0.31687355041503906,0.1004088469526323
26,-17.31812572479248,-17.348751068115234,-17.287500381469727,-17.31812572479248,0.030625343322753906,0.0009379116536365473
27,-17.346250534057617,-17.530000686645508,-17.162500381469727,-17.346250534057617,0.18375015258789062,0.03376411857607309
28,-17.69499969482422,-17.832500457763672,-17.557498931884766,-17.69499969482422,0.13750076293945312,0.018906459808931686
29,-17.11500072479248,-17.286251068115234,-16.943750381469727,-17.11500072479248,0.1712503433227539,0.029326680088161083
30,-17.238125801086426,-17.403751373291016,-17.072500228881836,-17.238125801086426,0.16562557220458984,0.027431830168097804
31,-16.8543758392334,-16.942501068115234,-16.766250610351562,-16.8543758392334,0.08812522888183594,0.007766055965475971
32,-17.290000915527344,-17.426250457763672,-17.153751373291016,-17.290000915527344,0.13624954223632812,0.01856393775960896
33,-17.59687614440918,-17.668750762939453,-17.525001525878906,-17.59687614440918,0.07187461853027344,0.005165960788872326
34,-17.001874923706055,-17.299999237060547,-16.703750610351562,-17.001874923706055,0.2981243133544922,0.08887810621308745
35,-16.6924991607666,-16.886249542236328,-16.498748779296875,-16.6924991607666,0.19375038146972656,0.03753921031966456
36,-17.417499542236328,-17.478748321533203,-17.356250762939453,-17.417499542236328,0.061248779296875,0.0037514129653573036
37,-17.20437526702881,-17.30500030517578,-17.103750228881836,-17.20437526702881,0.10062503814697266,0.010125398302079702
38,-17.22249984741211,-17.74625015258789,-16.698749542236328,-17.22249984741211,0.5237503051757812,0.274314382171724
39,-17.42875099182129,-17.582500457763672,-17.275001525878906,-17.42875099182129,0.1537494659423828,0.023638898277567932
40,-17.283124923706055,-17.34749984741211,-17.21875,-17.283124923706055,0.06437492370605469,0.004144130802160362
