,mean,amin,amax,median,std,var
1,50.0,50.0,50.0,50.0,0.0,0.0
2,100.0,100.0,100.0,100.0,0.0,0.0
3,150.0,150.0,150.0,150.0,0.0,0.0
4,200.0,200.0,200.0,200.0,0.0,0.0
5,250.0,250.0,250.0,250.0,0.0,0.0
6,300.0,300.0,300.0,300.0,0.0,0.0
7,350.0,350.0,350.0,350.0,0.0,0.0
8,400.0,400.0,400.0,400.0,0.0,0.0
9,450.0,450.0,450.0,450.0,0.0,0.0
10,500.0,500.0,500.0,500.0,0.0,0.0
11,550.0,550.0,550.0,550.0,0.0,0.0
12,600.0,600.0,600.0,600.0,0.0,0.0
13,650.0,650.0,650.0,650.0,0.0,0.0
14,700.0,700.0,700.0,700.0,0.0,0.0
15,750.0,750.0,750.0,750.0,0.0,0.0
16,800.0,800.0,800.0,800.0,0.0,0.0
17,850.0,850.0,850.0,850.0,0.0,0.0
18,900.0,900.0,900.0,900.0,0.0,0.0
19,950.0,950.0,950.0,950.0,0.0,0.0
20,1000.0,1000.0,1000.0,1000.0,0.0,0.0
21,1050.0,1050.0,1050.0,1050.0,0.0,0.0
22,1100.0,1100.0,1100.0,1100.0,0.0,0.0
23,1150.0,1150.0,1150.0,1150.0,0.0,0.0
24,1200.0,1200.0,1200.0,1200.0,0.0,0.0
25,1250.0,1250.0,1250.0,1250.0,0.0,0.0
26,1300.0,1300.0,1300.0,1300.0,0.0,0.0
27,1350.0,1350.0,1350.0,1350.0,0.0,0.0
28,1400.0,1400.0,1400.0,1400.0,0.0,0.0
29,1450.0,1450.0,1450.0,1450.0,0.0,0.0
30,1500.0,1500.0,1500.0,1500.0,0.0,0.0
31,1550.0,1550.0,1550.0,1550.0,0.0,0.0
32,1600.0,1600.0,1600.0,1600.0,0.0,0.0
33,1650.0,1650.0,1650.0,1650.0,0.0,0.0
34,1700.0,1700.0,1700.0,1700.0,0.0,0.0
35,1750.0,1750.0,1750.0,1750.0,0.0,0.0
36,1800.0,1800.0,1800.0,1800.0,0.0,0.0
37,1850.0,1850.0,1850.0,1850.0,0.0,0.0
38,1900.0,1900.0,1900.0,1900.0,0.0,0.0
39,1950.0,1950.0,1950.0,1950.0,0.0,0.0
40,2000.0,2000.0,2000.0,2000.0,0.0,0.0
