#{"t_start": 1583062345.8479378, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.859758
,0.0,50,7.653374
,-50.0,50,9.310596
,-50.0,50,10.934737
,-50.0,50,12.560652
,-50.0,50,14.158809
,-50.0,50,15.788027
,-50.0,50,17.412456
,-50.0,50,19.030967
,-50.0,50,20.630982
,-50.0,50,22.236326
,-50.0,50,23.85933
,-50.0,50,25.504707
,-50.0,50,27.152621
,-50.0,50,28.752428
,0.0,50,30.365604
,-50.0,50,31.977155
,-50.0,50,33.579219
,-50.0,50,35.207579
,-50.0,50,36.819542
,-50.0,50,38.449787
,-50.0,50,40.077382
,-50.0,50,41.700722
,-50.0,50,43.335662
,-50.0,50,44.902871
,-50.0,50,46.536257
,-50.0,50,48.159305
,-50.0,50,49.789498
,-50.0,50,51.403652
,-50.0,50,53.044763
,-50.0,50,54.672827
,-50.0,50,56.265334
,-50.0,50,57.896418
,-50.0,50,59.515351
,-50.0,50,61.125742
,-50.0,50,62.734576
,-50.0,50,64.417795
,-50.0,50,66.007013
,-50.0,50,67.646228
,-50.0,50,69.252214
,-50.0,50,70.889688
,-50.0,50,72.521685
,-50.0,50,74.14465
,-50.0,50,75.774627
,-50.0,50,77.376301
,-50.0,50,79.018383
,-50.0,50,80.621015
,-50.0,50,82.254654
,-50.0,50,83.89894
,-50.0,50,85.483278
,-50.0,50,87.161455
,0.0,50,87.455612
,-50.0,50,87.755508
,-50.0,50,88.02982
,-50.0,50,88.334041
,-50.0,50,88.632195
,-50.0,50,88.901915
,-50.0,50,89.165377
,-50.0,50,89.437474
,-50.0,50,89.713554
,0.0,50,90.125646
,-50.0,50,91.722216
,-50.0,50,93.360054
,-50.0,50,94.996915
,-50.0,50,96.618504
,-50.0,50,98.227613
,-50.0,50,99.877164
,-50.0,50,101.495954
,-50.0,50,103.124341
,-50.0,50,104.742406
,-50.0,50,106.420104
,-50.0,50,108.024344
,-50.0,50,109.642918
,-50.0,50,111.293782
,0.0,50,112.88428
,-50.0,50,114.521064
,-50.0,50,116.1695
,-50.0,50,117.789382
,-50.0,50,119.396587
,0.0,50,121.025525
,-50.0,50,122.654888
,-50.0,50,124.280516
,-50.0,50,125.891534
,-50.0,50,127.563431
,-50.0,50,129.147276
,-50.0,50,130.805466
,-50.0,50,132.441134
,-50.0,50,134.024649
,-50.0,50,135.718837
,-50.0,50,137.334354
,-50.0,50,138.936645
,-50.0,50,140.574645
,-50.0,50,142.214375
,-50.0,50,143.836404
,-50.0,50,145.463616
,-50.0,50,147.112027
,-50.0,50,148.7429
,-50.0,50,150.408764
,-50.0,50,151.982279
,-50.0,50,153.655511
,-50.0,50,155.310807
,-50.0,50,156.932363
,-50.0,50,158.557733
,-50.0,50,160.153394
,0.0,50,161.796633
,-50.0,50,163.394377
,-50.0,50,165.013355
,-50.0,50,166.699291
,-50.0,50,168.295931
,-50.0,50,169.925271
,-50.0,50,171.606311
,-50.0,50,171.864768
,-50.0,50,172.127151
,-50.0,50,172.389185
,-50.0,50,172.700971
,-50.0,50,173.000837
,-50.0,50,173.274307
,-50.0,50,173.527098
,-50.0,50,173.810486
,-50.0,50,174.121709
,0.0,50,174.415855
,-50.0,50,176.055611
,-50.0,50,177.70426
,-50.0,50,179.329792
,-50.0,50,180.924378
,-50.0,50,182.583565
,-50.0,50,184.203486
,-50.0,50,185.823721
,-50.0,50,187.449187
,-50.0,50,189.061717
,-50.0,50,190.705456
,-50.0,50,192.30723
,0.0,50,193.928035
,0.0,50,195.559387
,-50.0,50,197.18292
,-50.0,50,198.808512
,-50.0,50,200.424771
,-50.0,50,202.057056
,-50.0,50,203.66787
,-50.0,50,205.311186
,0.0,50,206.951398
,-50.0,50,208.582689
,-50.0,50,210.221925
,-50.0,50,211.826717
,-50.0,50,213.440348
,0.0,50,215.10096
,-50.0,50,216.740008
,-50.0,50,218.329017
,-50.0,50,219.960229
,-50.0,50,221.629803
,-50.0,50,223.239813
,-50.0,50,224.88331
,-50.0,50,226.506728
,-50.0,50,228.155107
,-50.0,50,229.805999
,-50.0,50,231.410503
,-50.0,50,233.021513
,-50.0,50,234.660015
,-50.0,50,236.280615
,-50.0,50,237.925673
,-50.0,50,239.53211
,-50.0,50,241.192034
,-50.0,50,242.85042
,-50.0,50,244.468987
,-50.0,50,246.080945
,-50.0,50,247.744066
,-50.0,50,249.404057
,-50.0,50,250.999395
,-50.0,50,252.639942
,-50.0,50,254.300199
,-50.0,50,255.91888
,-50.0,50,256.202039
,-50.0,50,256.477713
,-50.0,50,256.740703
,-50.0,50,257.007915
,-50.0,50,257.30543
,-50.0,50,257.596521
,-50.0,50,257.864093
,-50.0,50,258.146006
,-50.0,50,258.407606
,-50.0,50,258.818034
,-50.0,50,260.415734
,-50.0,50,262.040946
,-50.0,50,263.708416
,-50.0,50,265.381787
,0.0,50,266.987197
,-50.0,50,268.618025
,-50.0,50,270.224973
,-50.0,50,271.883079
,-50.0,50,273.478827
,-50.0,50,275.103959
,-50.0,50,276.760201
,-50.0,50,278.395916
,-50.0,50,280.041932
,-50.0,50,281.676756
,-50.0,50,283.281873
,-50.0,50,284.910923
,-50.0,50,286.571299
,0.0,50,288.195994
,-50.0,50,289.841882
,-47.0,50,291.481487
,0.0,50,293.095474
,-50.0,50,294.732849
,-47.0,50,296.361492
,-50.0,50,297.967873
,-50.0,50,299.654193
,-50.0,50,301.321433
,-50.0,50,302.948934
,-50.0,50,304.59729
,-50.0,50,306.212375
,-50.0,50,307.824352
,-50.0,50,309.422534
,-50.0,50,311.089441
,-50.0,50,312.70716
,-50.0,50,314.364595
,-50.0,50,316.013229
,-50.0,50,317.650437
,-50.0,50,319.268843
,-50.0,50,320.925885
,-50.0,50,322.566276
,-50.0,50,324.156355
,-50.0,50,325.788335
,-50.0,50,327.41333
,-50.0,50,329.104665
,-50.0,50,330.724567
,-50.0,50,332.381409
,-50.0,50,334.030829
,-50.0,50,335.633607
,-50.0,50,337.307526
,-50.0,50,338.914517
,-50.0,50,340.611732
,-50.0,50,340.881227
,-50.0,50,341.161438
,-50.0,50,341.451314
,-50.0,50,341.757677
,-50.0,50,342.056739
,0.0,50,342.321365
,-50.0,50,342.592979
,-50.0,50,342.874269
,-50.0,50,343.145841
,-50.0,50,343.463373
,-50.0,50,345.122209
,-50.0,50,346.744436
,-50.0,50,348.38101
,-50.0,50,350.0217
,-50.0,50,351.619143
,-50.0,50,353.309968
,-50.0,50,354.946374
,-50.0,50,356.586716
,-50.0,50,358.271269
,-50.0,50,359.878037
,-50.0,50,361.524167
,-50.0,50,363.165115
,-50.0,50,364.770147
,-50.0,50,366.473568
,-50.0,50,368.099457
,-50.0,50,369.733423
,-50.0,50,371.373258
,-50.0,50,372.993351
,-50.0,50,374.658504
,-50.0,50,376.280754
,-50.0,50,377.938972
,-50.0,50,379.535316
,-50.0,50,381.191635
,0.0,50,382.857234
,-50.0,50,384.491089
,0.0,50,386.114457
,-50.0,50,387.785812
,-50.0,50,389.425987
,-50.0,50,391.063714
,-50.0,50,392.718939
,-50.0,50,394.372817
,-50.0,50,396.009911
,-50.0,50,397.661164
,-50.0,50,399.326724
,-50.0,50,400.957478
,-50.0,50,402.598499
,-50.0,50,404.23509
,-50.0,50,405.88809
,-50.0,50,407.525979
,-50.0,50,409.172422
,-50.0,50,410.826474
,-50.0,50,412.473182
,-50.0,50,414.130044
,-50.0,50,415.743847
,-50.0,50,417.422418
,0.0,50,419.081505
,-50.0,50,420.732496
,-50.0,50,422.342915
,-50.0,50,423.998108
,-50.0,50,425.624265
,-50.0,50,425.907937
,-50.0,50,426.18274
,-50.0,50,426.469541
,-50.0,50,426.747448
,-50.0,50,427.020956
,-50.0,50,427.273466
,-50.0,50,427.558015
,-50.0,50,427.840302
,-50.0,50,428.107199
,-50.0,50,428.514315
,-50.0,50,430.136139
,-50.0,50,431.796211
,-50.0,50,433.435744
,-50.0,50,435.11027
,-50.0,50,436.783239
,-50.0,50,438.44089
,0.0,50,440.077965
,-50.0,50,441.704018
,-50.0,50,443.345203
,-50.0,50,444.986222
,-50.0,50,446.616396
,-50.0,50,448.249097
,-50.0,50,449.914443
,-50.0,50,451.520011
,-2.0,50,453.200652
,-50.0,50,454.875746
,-50.0,50,456.494448
,-50.0,50,458.166968
,-50.0,50,459.809911
,-50.0,50,461.469097
,-50.0,50,463.134736
,-50.0,50,464.752831
,-50.0,50,466.384374
,-50.0,50,468.078154
,-50.0,50,469.701748
,-50.0,50,471.3413
,-50.0,50,472.97514
,-50.0,50,474.588167
,-50.0,50,476.256493
,-50.0,50,477.888976
,-50.0,50,479.544328
,-50.0,50,481.152426
,-50.0,50,482.823827
,-50.0,50,484.440557
,-50.0,50,486.089875
,-50.0,50,487.747086
,-50.0,50,489.348317
,-50.0,50,491.038937
,-50.0,50,492.728158
,-50.0,50,494.349216
,-50.0,50,495.986942
,-50.0,50,497.586598
,-50.0,50,499.303625
,-50.0,50,500.947271
,-50.0,50,502.565539
,-50.0,50,504.200832
,-50.0,50,505.820582
,-50.0,50,507.520458
,-50.0,50,509.144532
,-50.0,50,510.818559
,-50.0,50,511.090296
,0.0,50,511.372533
,-50.0,50,511.685236
,0.0,50,511.925813
,-50.0,50,512.204569
,-50.0,50,512.520153
,-22.0,50,512.786025
,-50.0,50,513.044429
,-50.0,50,513.334112
,-50.0,50,513.67351
,-50.0,50,515.339699
,-50.0,50,517.019255
,-50.0,50,518.65857
,-50.0,50,520.27404
,-50.0,50,521.919197
,-50.0,50,523.561382
,-50.0,50,525.253148
,-50.0,50,526.897547
,-50.0,50,528.503444
,-50.0,50,530.154032
,-24.0,50,531.820423
,-50.0,50,533.474987
,-50.0,50,535.105499
,-50.0,50,536.776454
,-50.0,50,538.35621
,-50.0,50,540.033165
,-50.0,50,541.685273
,-50.0,50,543.366333
,-50.0,50,544.998621
,-50.0,50,546.64731
,-48.0,50,548.308516
,-50.0,50,549.948214
,-50.0,50,551.618065
,0.0,50,553.265659
,-30.0,50,554.942432
,-50.0,50,556.579686
,-50.0,50,558.248822
,-50.0,50,559.902839
,-50.0,50,561.551533
,-50.0,50,563.206433
,-50.0,50,564.840028
,-50.0,50,566.506815
,-50.0,50,568.117472
,-50.0,50,569.80433
,0.0,50,571.443286
,-50.0,50,573.099908
,-50.0,50,574.739588
,-50.0,50,576.406776
,-50.0,50,578.084999
,-50.0,50,579.740355
,-50.0,50,581.406777
,-50.0,50,583.069979
,-50.0,50,584.723035
,-50.0,50,586.37132
,-50.0,50,588.031742
,-50.0,50,589.688444
,-16.0,50,591.356189
,-9.0,50,592.989001
,-50.0,50,594.666418
,-50.0,50,596.343774
,-50.0,50,596.619709
,-50.0,50,596.893528
,-50.0,50,597.187227
,-50.0,50,597.474321
,-50.0,50,597.767666
,-50.0,50,598.035722
,-18.0,50,598.30476
,-50.0,50,598.59207
,-50.0,50,598.892382
,0.0,50,599.184924
,-50.0,50,600.869118
,-50.0,50,602.523653
,-26.0,50,604.163999
,-50.0,50,605.834833
,-50.0,50,607.523138
,-50.0,50,609.151716
,-50.0,50,610.835369
,-50.0,50,612.472799
,-50.0,50,614.137954
,-50.0,50,615.771981
,-50.0,50,617.421383
,-50.0,50,619.075631
,-50.0,50,620.736873
,-50.0,50,622.382428
,-50.0,50,624.023324
,-50.0,50,625.665234
,-50.0,50,627.350887
,-50.0,50,628.993516
,-50.0,50,630.650935
,-50.0,50,632.290203
,-50.0,50,633.958885
,-50.0,50,635.602706
,-50.0,50,637.262355
,-50.0,50,638.937675
,-50.0,50,640.5685
,-50.0,50,642.202607
,-50.0,50,643.864068
,-50.0,50,645.51291
,-50.0,50,647.225557
,-50.0,50,648.877902
,-50.0,50,650.506392
,-50.0,50,652.197645
,-18.0,50,653.861577
,-50.0,50,655.493317
,-50.0,50,657.120645
,0.0,50,658.825391
,-50.0,50,660.467339
,-50.0,50,662.14499
,-50.0,50,663.781495
,-50.0,50,665.422877
,-50.0,50,667.095453
,-50.0,50,668.70213
,-50.0,50,670.391651
,-50.0,50,672.063772
,0.0,50,673.667959
,-50.0,50,675.31123
,-50.0,50,677.004099
,-50.0,50,678.645477
,-50.0,50,680.309624
,-50.0,50,681.954139
,-50.0,50,682.232499
,-50.0,50,682.504268
,-6.0,50,682.779294
,-50.0,50,683.052683
,-5.0,50,683.327431
,-50.0,50,683.607104
,-50.0,50,683.906239
,-50.0,50,684.194248
,-50.0,50,684.471266
,-50.0,50,684.965061
,-50.0,50,686.591669
,-50.0,50,688.23696
,-50.0,50,689.907397
,-8.0,50,691.52931
,-50.0,50,693.177997
,0.0,50,694.840091
,-50.0,50,696.502954
,-50.0,50,698.195744
,-50.0,50,699.858027
,-50.0,50,701.465084
,-50.0,50,703.171935
,-50.0,50,704.837767
,-50.0,50,706.482558
,-14.0,50,708.151547
,-50.0,50,709.829096
,-50.0,50,711.465764
,-50.0,50,713.139636
,-43.0,50,714.804137
,-50.0,50,716.422199
,-50.0,50,718.097414
,-50.0,50,719.773958
,-50.0,50,721.451132
,-50.0,50,723.117063
,-50.0,50,724.789908
,-50.0,50,726.430312
,-50.0,50,728.074877
,-50.0,50,729.718633
,-50.0,50,731.404561
,-50.0,50,733.047963
,-50.0,50,734.72665
,-50.0,50,736.337991
,-48.0,50,738.020602
,-50.0,50,739.709646
,-10.0,50,741.34497
,-48.0,50,743.00715
,-50.0,50,744.700528
,-50.0,50,746.338634
,-50.0,50,748.026274
,-50.0,50,749.661537
,-50.0,50,751.350121
,-22.0,50,752.983341
,-50.0,50,754.671244
,-50.0,50,756.398005
,-50.0,50,758.060144
,-50.0,50,759.714952
,-50.0,50,761.371897
,0.0,50,763.034145
,-31.0,50,764.693207
,-13.0,50,766.345028
,-50.0,50,768.055621
,-50.0,50,768.321585
,0.0,50,768.59516
,-15.0,50,768.878729
,-50.0,50,769.160041
,-50.0,50,769.44529
,-8.0,50,769.728526
,-10.0,50,770.034491
,-50.0,50,770.319763
,-50.0,50,770.64691
,0.0,50,770.920736
,-50.0,50,772.58105
,-50.0,50,774.245774
,-50.0,50,775.905778
,-50.0,50,777.559531
,-47.0,50,779.241664
,-50.0,50,780.887715
,0.0,50,782.565919
,-21.0,50,784.228363
,0.0,50,785.83758
,-36.0,50,787.533383
,-50.0,50,789.218128
,-50.0,50,790.845867
,-50.0,50,792.472283
,-50.0,50,794.191397
,-23.0,50,795.818109
,-13.0,50,797.481039
,-47.0,50,799.151575
,-50.0,50,800.802186
,0.0,50,802.484308
,-50.0,50,804.143071
,-50.0,50,805.829848
,-50.0,50,807.495912
,-50.0,50,809.150257
,-50.0,50,810.83107
,0.0,50,812.50493
,-50.0,50,814.161914
,-29.0,50,815.797297
,-50.0,50,817.463289
,-17.0,50,819.141724
,-10.0,50,820.82496
,-50.0,50,822.460997
,-12.0,50,824.098606
,-46.0,50,825.776312
,-48.0,50,827.434534
,-50.0,50,829.101499
,-50.0,50,830.78496
,-24.0,50,832.428631
,-50.0,50,834.079032
,-20.0,50,835.75284
,-50.0,50,837.413139
,-37.0,50,839.105401
,-50.0,50,840.756851
,-50.0,50,842.410742
,-50.0,50,844.105429
,-17.0,50,845.762648
,-27.0,50,847.438025
,-24.0,50,849.154707
,-10.0,50,850.823628
,0.0,50,852.441545
,-50.0,50,854.18807
,-50.0,50,854.454548
,-20.0,50,854.757058
,0.0,50,855.032475
,-7.0,50,855.314856
,-27.0,50,855.5831
,-19.0,50,855.856642
,-5.0,50,856.129495
,-4.0,50,856.411244
,-19.0,50,856.667211
,-9.0,50,857.06525
,-50.0,50,858.690574
,-50.0,50,860.394846
,-17.0,50,862.071053
,-50.0,50,863.722984
,-19.0,50,865.360364
,-50.0,50,867.096146
,0.0,50,868.743121
,-11.0,50,870.415061
,0.0,50,872.036272
,-50.0,50,873.726113
,-22.0,50,875.366456
,-15.0,50,877.049076
,-27.0,50,878.719922
,-19.0,50,880.406981
,-7.0,50,882.0613
,-50.0,50,883.730168
,-48.0,50,885.389419
,-24.0,50,887.083416
,-21.0,50,888.768914
,-48.0,50,890.391512
,-41.0,50,892.078325
,-50.0,50,893.75643
,-33.0,50,895.396813
,0.0,50,897.079599
,-50.0,50,898.710481
,-13.0,50,900.376252
,-50.0,50,902.053164
,-50.0,50,903.746045
,-50.0,50,905.410532
,-9.0,50,907.078071
,-20.0,50,908.746155
,-50.0,50,910.403383
,0.0,50,912.066285
,0.0,50,913.77163
,-9.0,50,915.45457
,-50.0,50,917.12802
,-50.0,50,918.789968
,-33.0,50,920.475928
,-33.0,50,922.119673
,-50.0,50,923.764007
,-45.0,50,925.441992
,-50.0,50,927.126342
,-47.0,50,928.802905
,-47.0,50,930.462962
,-50.0,50,932.133574
,-29.0,50,933.770631
,-47.0,50,935.460668
,-22.0,50,937.133781
,-43.0,50,938.803478
,0.0,50,940.486257
,-50.0,50,940.790891
,-13.0,50,941.047055
,-7.0,50,941.335459
,-50.0,50,941.613717
,-27.0,50,941.921614
,-50.0,50,942.197588
,-17.0,50,942.469593
,-10.0,50,942.749475
,-6.0,50,943.041617
,-26.0,50,943.420917
,-50.0,50,945.063136
,-50.0,50,946.71332
,-50.0,50,948.416406
,-50.0,50,950.053
,-12.0,50,951.771991
,-18.0,50,953.426968
,-50.0,50,955.09345
,0.0,50,956.754066
,-50.0,50,958.414031
,-23.0,50,960.078289
,-21.0,50,961.773305
,-25.0,50,963.426093
,-24.0,50,965.126261
,-25.0,50,966.763735
,-17.0,50,968.410285
,0.0,50,970.08853
,-45.0,50,971.749689
,-20.0,50,973.440408
,-15.0,50,975.119618
,-50.0,50,976.768366
,0.0,50,978.437057
,-13.0,50,980.094306
,-21.0,50,981.754837
,-34.0,50,983.446054
,-9.0,50,985.128528
,-40.0,50,986.820103
,-32.0,50,988.452322
,-22.0,50,990.154541
,0.0,50,991.766249
,-17.0,50,993.466947
,-42.0,50,995.126721
,-19.0,50,996.819259
,-17.0,50,998.471272
,0.0,50,1000.157314
,-12.0,50,1001.80853
,-26.0,50,1003.448612
,-50.0,50,1005.122987
,0.0,50,1006.778681
,-47.0,50,1008.452005
,-50.0,50,1010.135299
,-14.0,50,1011.8073
,-50.0,50,1013.514169
,-7.0,50,1015.136611
,-18.0,50,1016.834583
,-50.0,50,1018.494632
,-50.0,50,1020.176918
,-50.0,50,1021.840461
,-50.0,50,1023.506327
,-25.0,50,1025.208549
,-39.0,50,1026.888886
,-50.0,50,1027.195841
,-8.0,50,1027.468661
,-8.0,50,1027.781892
,-50.0,50,1028.056939
,-13.0,50,1028.337657
,-49.0,50,1028.634962
,-13.0,50,1028.921575
,-9.0,50,1029.196669
,-10.0,50,1029.451992
,-12.0,50,1029.746124
,-13.0,50,1031.438576
,-18.0,50,1033.090897
,-49.0,50,1034.766418
,-17.0,50,1036.445858
,0.0,50,1038.093472
,-26.0,50,1039.769938
,-50.0,50,1041.440714
,-50.0,50,1043.118927
,-33.0,50,1044.795302
,-50.0,50,1046.435885
,-12.0,50,1048.099736
,-12.0,50,1049.754524
,-22.0,50,1051.437022
,-50.0,50,1053.122162
,-18.0,50,1054.768082
,-50.0,50,1056.444068
,-15.0,50,1058.164257
,-9.0,50,1059.854405
,-16.0,50,1061.523583
,-12.0,50,1063.192685
,-28.0,50,1064.874899
,-33.0,50,1066.572708
,-46.0,50,1068.218593
,0.0,50,1069.85349
,-25.0,50,1071.558739
,-17.0,50,1073.198608
,-20.0,50,1074.930381
,-24.0,50,1076.603352
,-50.0,50,1078.221971
,-34.0,50,1079.934408
,-32.0,50,1081.568007
