#{"t_start": 1583052200.9875772, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.394289
,-50.0,50,8.358361
,-50.0,50,9.960745
,-50.0,50,11.570202
,-50.0,50,13.188002
,-50.0,50,14.794002
,-50.0,50,16.424665
,-50.0,50,18.046293
,-50.0,50,19.666976
,-50.0,50,21.260359
,-50.0,50,22.863754
,-50.0,50,24.48207
,-50.0,50,26.092334
,-50.0,50,27.696873
,-50.0,50,29.341108
,-50.0,50,30.92277
,-50.0,50,32.523396
,-50.0,50,34.152584
,-50.0,50,35.77689
,-50.0,50,37.389997
,0.0,50,39.058314
,-50.0,50,40.637663
,-50.0,50,42.275413
,-50.0,50,43.897663
,-50.0,50,45.505773
,-50.0,50,47.138262
,-50.0,50,48.769267
,-50.0,50,50.367591
,-50.0,50,51.975415
,0.0,50,53.609114
,-50.0,50,55.193265
,-50.0,50,56.782365
,-50.0,50,58.419832
,-50.0,50,60.069393
,-50.0,50,61.635458
,-39.0,50,63.260317
,0.0,50,64.864998
,-50.0,50,66.474736
,-50.0,50,68.110965
,-50.0,50,69.712551
,-50.0,50,71.343266
,-50.0,50,72.946851
,0.0,50,74.576195
,0.0,50,76.153409
,-50.0,50,77.794431
,-50.0,50,79.383146
,-50.0,50,81.032141
,-50.0,50,82.625649
,-50.0,50,84.289381
,-50.0,50,85.898021
,-50.0,50,87.576458
,-50.0,50,87.884927
,-50.0,50,88.154803
,-50.0,50,88.430123
,-50.0,50,88.712558
,-50.0,50,88.989634
,-50.0,50,89.240237
,-50.0,50,89.501481
,-50.0,50,89.821882
,-50.0,50,90.118055
,-50.0,50,90.503008
,-50.0,50,92.126767
,-50.0,50,93.756752
,-50.0,50,95.381868
,-50.0,50,96.997162
,-50.0,50,98.597496
,-50.0,50,100.262259
,-50.0,50,101.879841
,-50.0,50,103.490843
,-50.0,50,105.117765
,-50.0,50,106.759763
,-50.0,50,108.364765
,0.0,50,109.992762
,-50.0,50,111.611568
,-50.0,50,113.227422
,-50.0,50,114.833928
,-50.0,50,116.477362
,-10.0,50,118.099298
,-50.0,50,119.712914
,-50.0,50,121.320872
,-50.0,50,122.934704
,-50.0,50,124.53969
,-28.0,50,126.202084
,-50.0,50,127.80389
,-50.0,50,129.465096
,0.0,50,131.114043
,0.0,50,132.718527
,-50.0,50,134.359826
,-50.0,50,135.985017
,-50.0,50,137.606998
,-50.0,50,139.210893
,-50.0,50,140.847121
,-50.0,50,142.457915
,-50.0,50,144.08203
,-50.0,50,145.715995
,-50.0,50,147.321148
,0.0,50,148.929675
,-50.0,50,150.552266
,-50.0,50,152.179303
,-50.0,50,153.8216
,-50.0,50,155.438401
,-50.0,50,157.059855
,-50.0,50,158.691711
,-50.0,50,160.287526
,0.0,50,161.934473
,-50.0,50,163.556493
,-50.0,50,165.182783
,-50.0,50,166.801128
,0.0,50,168.428969
,-50.0,50,170.093231
,-50.0,50,171.711701
,0.0,50,172.014576
,-50.0,50,172.291296
,-50.0,50,172.577855
,-50.0,50,172.871692
,-50.0,50,173.160614
,-50.0,50,173.415807
,-50.0,50,173.693666
,-50.0,50,173.993964
,-50.0,50,174.286616
,-50.0,50,174.679452
,-50.0,50,176.297369
,-50.0,50,177.919968
,-50.0,50,179.546125
,-50.0,50,181.175927
,-50.0,50,182.816973
,-50.0,50,184.454573
,-50.0,50,186.07197
,-50.0,50,187.692348
,-50.0,50,189.334491
,-50.0,50,190.960795
,-50.0,50,192.578908
,-50.0,50,194.201384
,-50.0,50,195.831994
,-50.0,50,197.467222
,-50.0,50,199.075275
,-50.0,50,200.714756
,-50.0,50,202.34104
,-50.0,50,203.948284
,-50.0,50,205.551981
,-50.0,50,207.203761
,-50.0,50,208.8543
,-50.0,50,210.452437
,-50.0,50,212.091535
,-50.0,50,213.720258
,-50.0,50,215.360549
,-50.0,50,216.981984
,-50.0,50,218.589939
,-50.0,50,220.259511
,-50.0,50,221.874737
,-50.0,50,223.496476
,-50.0,50,225.122839
,-50.0,50,226.749218
,-50.0,50,228.398113
,-50.0,50,229.99682
,-50.0,50,231.64885
,-50.0,50,233.301212
,-50.0,50,234.96725
,-50.0,50,236.569232
,-50.0,50,238.214025
,-50.0,50,239.822219
,0.0,50,241.438714
,-50.0,50,243.08708
,-50.0,50,244.708591
,-50.0,50,246.357081
,-50.0,50,247.981799
,-50.0,50,249.636741
,-50.0,50,251.25156
,-50.0,50,252.922018
,-50.0,50,254.536314
,-50.0,50,256.190272
,-50.0,50,256.440946
,-50.0,50,256.709281
,-50.0,50,256.964229
,-50.0,50,257.214085
,-50.0,50,257.480588
,-50.0,50,257.767496
,-50.0,50,258.085497
,-50.0,50,258.395473
,-50.0,50,258.670108
,-50.0,50,259.096606
,-50.0,50,260.733687
,-50.0,50,262.346475
,-50.0,50,264.028448
,-50.0,50,265.632317
,-50.0,50,267.281202
,-50.0,50,268.900305
,-50.0,50,270.501858
,-50.0,50,272.167012
,-50.0,50,273.789455
,-50.0,50,275.455656
,-50.0,50,277.091582
,-50.0,50,278.712049
,-50.0,50,280.340555
,-50.0,50,281.971198
,-50.0,50,283.590069
,-50.0,50,285.229459
,-50.0,50,286.88673
,-50.0,50,288.496827
,-50.0,50,290.112936
,-50.0,50,291.7922
,-50.0,50,293.407549
,-50.0,50,295.041589
,-50.0,50,296.672398
,-50.0,50,298.29765
,-50.0,50,299.915251
,-50.0,50,301.532668
,-50.0,50,303.200633
,-50.0,50,304.829876
,-50.0,50,306.45016
,-50.0,50,308.134135
,-50.0,50,309.768847
,-50.0,50,311.375778
,-50.0,50,312.994433
,-50.0,50,314.664412
,-50.0,50,316.294115
,-50.0,50,317.90839
,-50.0,50,319.528631
,-50.0,50,321.196397
,-50.0,50,322.820594
,-50.0,50,324.474202
,-50.0,50,326.10002
,-50.0,50,327.749763
,-50.0,50,329.369708
,-50.0,50,331.002782
,0.0,50,332.658026
,-50.0,50,334.305982
,-50.0,50,335.917315
,-50.0,50,337.598094
,-50.0,50,339.208566
,-50.0,50,340.902237
,-50.0,50,341.181179
,-50.0,50,341.471295
,-50.0,50,341.780553
,-50.0,50,342.052634
,-50.0,50,342.332662
,-50.0,50,342.637279
,-50.0,50,342.909727
,0.0,50,343.202407
,0.0,50,343.495615
,-50.0,50,343.779591
,-50.0,50,345.439254
,-50.0,50,347.085569
,-50.0,50,348.736074
,-50.0,50,350.377291
,-50.0,50,351.983364
,-50.0,50,353.648517
,-50.0,50,355.27406
,-50.0,50,356.907578
,-50.0,50,358.526798
,-50.0,50,360.174307
,-50.0,50,361.847546
,-50.0,50,363.457993
,-50.0,50,365.11261
,-50.0,50,366.764568
,-50.0,50,368.379971
,-50.0,50,370.036565
,-50.0,50,371.65589
,-50.0,50,373.29909
,-50.0,50,374.944084
,-50.0,50,376.575557
,-50.0,50,378.194074
,-40.0,50,379.860855
,-50.0,50,381.517653
,-50.0,50,383.112925
,-50.0,50,384.776169
,0.0,50,386.433745
,-50.0,50,388.028141
,-50.0,50,389.716278
,-50.0,50,391.322072
,-50.0,50,392.987515
,-50.0,50,394.61171
,-50.0,50,396.250527
,-50.0,50,397.886381
,-50.0,50,399.49879
,-50.0,50,401.160358
,-50.0,50,402.793263
,-50.0,50,404.430305
,-50.0,50,406.072084
,-50.0,50,407.718621
,-50.0,50,409.344179
,-50.0,50,411.026246
,-50.0,50,412.653375
,-50.0,50,414.264314
,-50.0,50,415.91621
,0.0,50,417.599675
,-50.0,50,419.252837
,-50.0,50,420.887677
,-50.0,50,422.574362
,-50.0,50,424.254714
,-50.0,50,425.932544
,-50.0,50,426.195669
,-50.0,50,426.475448
,-50.0,50,426.740282
,-50.0,50,427.007672
,-50.0,50,427.279127
,-50.0,50,427.57593
,-50.0,50,427.850057
,0.0,50,428.129259
,-50.0,50,428.382909
,-50.0,50,428.771176
,-50.0,50,430.456754
,-50.0,50,432.123595
,-50.0,50,433.738702
,0.0,50,435.415177
,-50.0,50,437.047083
,-50.0,50,438.687302
,0.0,50,440.329077
,-50.0,50,441.968369
,-50.0,50,443.648553
,-50.0,50,445.307739
,-50.0,50,446.966759
,-50.0,50,448.616695
,-50.0,50,450.244285
,-50.0,50,451.897785
,-50.0,50,453.587371
,-50.0,50,455.224556
,-50.0,50,456.861175
,-50.0,50,458.500753
,-50.0,50,460.169644
,-50.0,50,461.818693
,-50.0,50,463.455421
,-50.0,50,465.140146
,-50.0,50,466.756696
,0.0,50,468.443065
,-50.0,50,470.077731
,-50.0,50,471.741706
,-50.0,50,473.346389
,-50.0,50,475.042132
,-50.0,50,476.680937
,-50.0,50,478.3132
,-50.0,50,479.983834
,-50.0,50,481.693671
,-43.0,50,483.365459
,-50.0,50,484.994976
,-50.0,50,486.629297
,-50.0,50,488.285664
,-50.0,50,489.94536
,-50.0,50,491.57662
,-50.0,50,493.218167
,-50.0,50,494.87235
,-12.0,50,496.470286
,-50.0,50,498.166547
,-50.0,50,499.77585
,-50.0,50,501.481852
,-50.0,50,503.114021
,-50.0,50,504.737216
,-50.0,50,506.410579
,-50.0,50,508.023748
,-50.0,50,509.741728
,-50.0,50,511.436023
,-50.0,50,511.697232
,-50.0,50,511.97635
,-50.0,50,512.23149
,0.0,50,512.493579
,0.0,50,512.792992
,-50.0,50,513.100301
,-47.0,50,513.399521
,-50.0,50,513.670624
,-50.0,50,513.948972
,-50.0,50,514.256947
,-50.0,50,515.880425
,-50.0,50,517.580065
,0.0,50,519.194475
,-50.0,50,520.832302
,-50.0,50,522.528682
,-50.0,50,524.182135
,-50.0,50,525.801692
,-50.0,50,527.494243
,-50.0,50,529.145647
,-50.0,50,530.828425
,-50.0,50,532.484942
,-50.0,50,534.155733
,-50.0,50,535.776768
,-50.0,50,537.459086
,-50.0,50,539.070288
,-50.0,50,540.758688
,-50.0,50,542.400336
,-50.0,50,544.04453
,-50.0,50,545.673291
,-50.0,50,547.302566
,-50.0,50,548.970742
,-19.0,50,550.617606
,-50.0,50,552.277815
,-50.0,50,553.923463
,-50.0,50,555.577309
,0.0,50,557.240558
,-50.0,50,558.92664
,-50.0,50,560.578827
,-50.0,50,562.205385
,-50.0,50,563.876463
,-50.0,50,565.481969
,-50.0,50,567.21821
,-50.0,50,568.863857
,-50.0,50,570.509922
,-47.0,50,572.118122
,-50.0,50,573.795431
,-50.0,50,575.428035
,-50.0,50,577.083937
,-25.0,50,578.743971
,-50.0,50,580.463912
,-50.0,50,582.102759
,-50.0,50,583.808575
,-50.0,50,585.425235
,-50.0,50,587.102338
,-50.0,50,588.740366
