actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4155827,0.0057035154,0.8386665,0.07521098,0.20137626,0.05184821,-47.1875,10.0,-2.560269,0.056250001303851604,-46.574997,50.0,0.067499995
1.6074815,0.004007267,0.83998495,0.07322604,0.2018505,0.05185185,-47.8125,20.0,-4.587695,0.0437500006519258,-45.997498,100.0,0.08
1.8031913,0.0038791029,0.8397355,0.07330122,0.201853,0.053310055,-45.875,30.0,-6.034928,0.08750000270083547,-47.1275,150.0,0.05625
1.9951667,0.004400553,0.83957434,0.073810585,0.20173874,0.053175136,-44.63125,40.0,-7.784245,0.11250000167638063,-46.52,200.0,0.06625
2.1810622,0.005242992,0.8395769,0.0739581,0.20169231,0.053170208,-44.625,50.0,-9.330362,0.11250000167638063,-45.75625,250.0,0.09125
2.3593702,0.0066408934,0.8393306,0.07394889,0.20152658,0.055923272,-44.5,60.0,-10.422948,0.12500000186264515,-45.90625,300.0,0.0925
2.5279021,0.00905692,0.8398523,0.07418251,0.20162664,0.05798714,-39.20625,70.0,-10.403554,0.2625,-44.58125,350.0,0.13
2.684063,0.013905828,0.84032756,0.0763487,0.20185497,0.0629926,-33.4625,80.0,-9.458387,0.425,-40.6325,400.0,0.26
2.8166897,0.021500016,0.841348,0.07689448,0.20231403,0.06713495,-26.65625,90.0,-6.732396,0.63125,-36.03375,450.0,0.4025
2.9173703,0.031035496,0.84214133,0.077129915,0.20225334,0.07164278,-21.825,100.0,-5.0781975,0.73125005,-31.10625,500.0,0.5625
2.982912,0.041300505,0.8420209,0.07777105,0.20212859,0.07651886,-13.787499,110.0,-2.235861,0.91875,-26.89125,550.0,0.70875
3.0153491,0.050231464,0.8420222,0.077631965,0.20215213,0.08052499,-13.11875,120.0,-1.6306547,0.93125004,-23.2925,600.0,0.78375
3.0250258,0.05727013,0.84197646,0.07769903,0.20219614,0.084620886,-13.849999,130.0,-1.8462415,0.925,-22.43375,650.0,0.84125
3.0233197,0.06264002,0.8419978,0.07731777,0.20225006,0.08748725,-10.1875,140.0,-1.2741485,0.9875,-21.047499,700.0,0.87375
3.0161748,0.0665122,0.8419594,0.07697565,0.2023052,0.090105355,-10.26875,150.0,-1.2369444,0.9875,-19.5825,750.0,0.89
3.005692,0.06944333,0.8418644,0.07687558,0.20235798,0.09242239,-10.60625,160.0,-1.2226958,0.98125005,-19.5225,800.0,0.88374996
2.993289,0.071513474,0.8417689,0.076515615,0.20245466,0.093984745,-10.831249,170.0,-1.2734656,0.9875,-18.62375,850.0,0.92999995
2.9802632,0.07303491,0.84167266,0.0761841,0.20255649,0.09544012,-10.65,180.0,-1.3678756,0.98125,-18.393751,900.0,0.93125
2.9675782,0.07423243,0.84166056,0.07586247,0.20264293,0.096818745,-9.6875,190.0,-1.1284149,0.99375,-18.945,950.0,0.90999997
2.9551864,0.075087816,0.8417303,0.07553006,0.20267896,0.09775877,-8.93125,200.0,-1.0021025,1.0,-17.995,1000.0,0.9475
2.943177,0.07572214,0.8416514,0.07528193,0.20277826,0.09860646,-9.2375,210.0,-1.0485451,1.0,-17.62875,1050.0,0.94375
2.9316616,0.07618265,0.84158224,0.07518048,0.20284058,0.09946577,-9.21875,220.0,-1.043019,0.9875,-18.095001,1100.0,0.9375
2.920194,0.076427735,0.8414567,0.07485291,0.20288323,0.100022644,-9.8375,230.0,-1.1428256,0.99375,-16.825,1150.0,0.95500004
2.909429,0.07662098,0.84153986,0.07477165,0.20288569,0.100669116,-8.86875,240.0,-0.9763566,1.0,-17.9775,1200.0,0.94625
2.8991501,0.07668072,0.8414654,0.07459714,0.20298888,0.10135454,-9.5625,250.0,-1.090735,1.0,-17.77625,1250.0,0.93875
2.889227,0.076731294,0.8413914,0.07430074,0.20295897,0.10180024,-9.175,260.0,-1.0143914,1.0,-17.04625,1300.0,0.95500004
2.879395,0.07674587,0.8413117,0.07405778,0.2030066,0.10216531,-8.881249,270.0,-0.9795004,0.99375,-17.33,1350.0,0.95000005
2.8697667,0.07672805,0.8412029,0.07386686,0.20298877,0.102739245,-8.53125,280.0,-0.92081726,1.0,-17.00375,1400.0,0.96250004
2.8603878,0.07660122,0.84117013,0.0737292,0.20301227,0.10305909,-9.2,290.0,-1.0241418,1.0,-17.23125,1450.0,0.94875
2.8512566,0.07653345,0.8411517,0.073600836,0.20303823,0.10349884,-8.443749,300.0,-0.93960905,1.0,-17.60375,1500.0,0.9375
2.8425796,0.076406285,0.84109694,0.07364813,0.20305532,0.10383008,-8.99375,310.0,-1.0130548,0.99375,-17.10375,1550.0,0.9475
2.834331,0.07626676,0.8410892,0.073686406,0.20306197,0.104239166,-9.049999,320.0,-1.0083083,0.99375,-17.555,1600.0,0.95
2.8265915,0.07615842,0.8410756,0.07364371,0.20311177,0.104592144,-8.71875,330.0,-0.91618407,1.0,-17.66,1650.0,0.945
2.8192677,0.07603921,0.8410736,0.07348514,0.20307444,0.10487535,-9.01875,340.0,-0.9573046,0.9875,-16.751251,1700.0,0.96625006
2.8121328,0.07598461,0.84104174,0.07347414,0.20310573,0.10510131,-8.78125,350.0,-0.95344734,1.0,-16.95875,1750.0,0.9375
2.8053765,0.075899325,0.84101087,0.07338586,0.20306896,0.10532239,-9.2875,360.0,-1.0692649,1.0,-17.0025,1800.0,0.95625
2.7989306,0.0757959,0.84094316,0.07346142,0.20304339,0.10558538,-9.09375,370.0,-0.985379,1.0,-17.466251,1850.0,0.94875
2.7928505,0.075670764,0.8408959,0.07339382,0.20305006,0.10585461,-8.61875,380.0,-0.9142238,1.0,-16.713749,1900.0,0.945
2.786908,0.075584,0.8408808,0.073344775,0.20308088,0.106182836,-9.40625,390.0,-1.0047586,0.9875,-17.16875,1950.0,0.9525
2.7811012,0.07547742,0.8409662,0.073229715,0.2031237,0.106374174,-8.66875,400.0,-0.96502566,1.0,-16.99125,2000.0,0.95875
