#{"t_start": 1583335711.5219042, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.677572
,-50.0,50,6.533163
,-50.0,50,8.128713
,-50.0,50,9.746147
,-50.0,50,11.325821
,0.0,50,12.913694
,-50.0,50,14.538943
,-50.0,50,16.141412
,-50.0,50,17.76259
,-50.0,50,19.339394
,-50.0,50,20.960553
,-50.0,50,22.573709
,-50.0,50,24.128213
,-50.0,50,25.758974
,-50.0,50,27.376239
,-50.0,50,28.976751
,-50.0,50,30.612903
,-50.0,50,32.219368
,-50.0,50,33.821763
,-50.0,50,35.440221
,-50.0,50,37.014711
,-50.0,50,38.639021
,-50.0,50,40.291152
,-50.0,50,41.866873
,-50.0,50,43.491119
,-50.0,50,45.088442
,-50.0,50,46.695744
,-50.0,50,48.303563
,-50.0,50,49.911649
,-50.0,50,51.552085
,-50.0,50,53.149678
,-50.0,50,54.785486
,-50.0,50,56.435695
,-50.0,50,58.051148
,-50.0,50,59.643717
,-50.0,50,61.257011
,-50.0,50,62.851049
,-50.0,50,64.478227
,-50.0,50,66.07033
,-50.0,50,67.662559
,-50.0,50,69.29817
,-50.0,50,70.918175
,-50.0,50,72.504089
,-50.0,50,74.140806
,-50.0,50,75.709147
,-50.0,50,77.362583
,-50.0,50,78.941276
,-50.0,50,80.583539
,-50.0,50,82.185758
,-50.0,50,83.802692
,-50.0,50,85.448023
,0.0,50,85.760675
,-50.0,50,86.009351
,-50.0,50,86.277665
,-50.0,50,86.588803
,-50.0,50,86.850697
,-50.0,50,87.122461
,-50.0,50,87.433826
,0.0,50,87.706791
,-50.0,50,87.94853
,-50.0,50,88.406213
,-50.0,50,90.011321
,-50.0,50,91.653314
,-50.0,50,93.280817
,-50.0,50,94.874571
,-50.0,50,96.48
,-50.0,50,98.10699
,-50.0,50,99.759323
,-50.0,50,101.358215
,-50.0,50,102.991873
,-50.0,50,104.615253
,-50.0,50,106.22745
,-50.0,50,107.859253
,-50.0,50,109.476787
,-50.0,50,111.101191
,-50.0,50,112.715678
,-50.0,50,114.334462
,-50.0,50,115.949602
,-50.0,50,117.603917
,-50.0,50,119.208291
,-50.0,50,120.786345
,-50.0,50,122.421872
,-50.0,50,124.034086
,-50.0,50,125.64189
,-50.0,50,127.238821
,-50.0,50,128.869522
,-50.0,50,130.478273
,-50.0,50,132.097234
,0.0,50,133.712097
,-50.0,50,135.326708
,-50.0,50,136.92851
,-50.0,50,138.546966
,-50.0,50,140.188163
,-50.0,50,141.771274
,-50.0,50,143.431413
,-50.0,50,145.033489
,-50.0,50,146.674361
,-50.0,50,148.261517
,-50.0,50,149.917559
,-50.0,50,151.500464
,-50.0,50,153.112689
,-50.0,50,154.782758
,-50.0,50,156.401427
,-50.0,50,157.989836
,0.0,50,159.630332
,-50.0,50,161.240052
,-50.0,50,162.850144
,-50.0,50,164.471923
,-50.0,50,166.067004
,-50.0,50,167.696412
,0.0,50,169.376438
,-50.0,50,169.648787
,-50.0,50,169.958122
,-50.0,50,170.220974
,-50.0,50,170.478794
,-50.0,50,170.734274
,-50.0,50,171.043146
,-50.0,50,171.346402
,-50.0,50,171.637433
,-50.0,50,171.90971
,-50.0,50,172.228034
,-50.0,50,173.854096
,-50.0,50,175.457158
,-50.0,50,177.096597
,-50.0,50,178.747528
,-50.0,50,180.306492
