#{"t_start": 1583328627.6202593, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.612757
,-50.0,50,7.511272
,-50.0,50,9.163435
,-50.0,50,10.738939
,-50.0,50,12.40732
,-50.0,50,14.006018
,-50.0,50,15.627139
,-50.0,50,17.254055
,0.0,50,18.858881
,-50.0,50,20.437744
,-50.0,50,22.0625
,-50.0,50,23.670118
,-50.0,50,25.260731
,-50.0,50,26.853019
,-50.0,50,28.469317
,-50.0,50,30.101426
,-50.0,50,31.7072
,-50.0,50,33.337929
,-50.0,50,34.988075
,-50.0,50,36.54577
,-50.0,50,38.160131
,-50.0,50,39.813006
,-50.0,50,41.429793
,-50.0,50,43.026713
,-50.0,50,44.637711
,-50.0,50,46.182766
,-50.0,50,47.842529
,-50.0,50,49.450982
,-50.0,50,51.057853
,-50.0,50,52.659509
,-50.0,50,54.258804
,-50.0,50,55.930294
,-50.0,50,57.509568
,-50.0,50,59.161778
,-50.0,50,60.759594
,-50.0,50,62.393335
,-50.0,50,63.945743
,-50.0,50,65.592623
,-50.0,50,67.213881
,-50.0,50,68.846107
,-50.0,50,70.419666
,-50.0,50,72.045624
,-50.0,50,73.709797
,0.0,50,75.314082
,-50.0,50,76.933296
,-50.0,50,78.565815
,-50.0,50,80.181128
,-50.0,50,81.788959
,0.0,50,83.402948
,-50.0,50,85.024424
,0.0,50,86.654147
,-50.0,50,86.913485
,-50.0,50,87.194586
,-50.0,50,87.444497
,-50.0,50,87.686723
,-50.0,50,87.981506
,-50.0,50,88.237757
,-50.0,50,88.504558
,-50.0,50,88.768314
,-50.0,50,89.044147
,-50.0,50,89.546548
,-50.0,50,91.177802
,-50.0,50,92.792916
,-50.0,50,94.365827
,-50.0,50,96.042042
,-50.0,50,97.640604
,-50.0,50,99.26013
,-50.0,50,100.872966
,-50.0,50,102.449123
,-50.0,50,104.083596
,0.0,50,105.697999
,-50.0,50,107.324405
,-50.0,50,108.956945
,-50.0,50,110.563083
,-50.0,50,112.17644
,-50.0,50,113.795992
,-50.0,50,115.415506
,-50.0,50,117.04824
,-30.0,50,118.673168
,-50.0,50,120.279892
,-50.0,50,121.879665
,0.0,50,123.492977
,-50.0,50,125.101869
,-50.0,50,126.707885
,-50.0,50,128.326103
,-50.0,50,129.966931
,-50.0,50,131.57302
,-50.0,50,133.209372
,-50.0,50,134.787532
,-50.0,50,136.403827
,-50.0,50,138.045209
,-50.0,50,139.632025
,-50.0,50,141.250561
,0.0,50,142.921732
,-50.0,50,144.480714
,-50.0,50,146.122151
,-50.0,50,147.756037
,-50.0,50,149.422633
,-50.0,50,151.005396
,-50.0,50,152.649996
,-50.0,50,154.275645
,-50.0,50,155.897472
,-50.0,50,157.488376
,-50.0,50,159.128247
,-50.0,50,160.741709
,-50.0,50,162.350024
,-50.0,50,163.964843
,-50.0,50,165.563887
,-50.0,50,167.202509
,-50.0,50,168.78842
,-50.0,50,170.448904
,-50.0,50,170.70986
,-50.0,50,170.999939
,-50.0,50,171.252866
,-50.0,50,171.507724
,-50.0,50,171.794507
,-50.0,50,172.063377
,-50.0,50,172.368716
,-50.0,50,172.661992
,-4.0,50,172.962437
,-50.0,50,173.269378
,-50.0,50,174.896908
,-50.0,50,176.5357
,0.0,50,178.141306
,-50.0,50,179.724117
,-50.0,50,181.383778
,-50.0,50,182.964592
,-50.0,50,184.623815
,-50.0,50,186.212709
,-50.0,50,187.857721
,-50.0,50,189.463138
,-50.0,50,191.120591
,-50.0,50,192.705554
,-50.0,50,194.344147
,-50.0,50,195.941614
,-50.0,50,197.604924
,-50.0,50,199.225901
,-50.0,50,200.823641
,-50.0,50,202.438463
,-50.0,50,204.06685
,-50.0,50,205.702549
,-50.0,50,207.329915
,-50.0,50,209.002675
,-50.0,50,210.613861
,-50.0,50,212.260844
,-50.0,50,213.843718
,0.0,50,215.509946
,-50.0,50,217.110457
,-50.0,50,218.738987
,-50.0,50,220.34607
,-50.0,50,221.992878
,0.0,50,223.619918
,-50.0,50,225.244252
,-50.0,50,226.852156
,-50.0,50,228.520162
,-50.0,50,230.128688
,-50.0,50,231.738503
,-50.0,50,233.353514
,-50.0,50,234.966322
,-50.0,50,236.591457
,-50.0,50,238.229405
,-50.0,50,239.852297
,-50.0,50,241.463247
,-50.0,50,243.107407
,-50.0,50,244.702126
,-50.0,50,246.324382
,-50.0,50,247.960692
,-50.0,50,249.568252
,-50.0,50,251.212869
,-50.0,50,252.80305
,-50.0,50,254.47002
,-50.0,50,254.745257
,-50.0,50,255.008374
,-50.0,50,255.297184
,-50.0,50,255.578666
,-50.0,50,255.852479
,-50.0,50,256.120991
,-50.0,50,256.407402
,-3.0,50,256.670282
,-50.0,50,256.913817
,-50.0,50,257.314503
,-50.0,50,258.959385
,-50.0,50,260.583125
,0.0,50,262.232771
,-50.0,50,263.866378
,-50.0,50,265.525543
,-50.0,50,267.102824
,-50.0,50,268.749492
,-50.0,50,270.394766
,-50.0,50,272.017335
,-50.0,50,273.613833
,-50.0,50,275.237139
,-50.0,50,276.882684
,-50.0,50,278.494734
,-50.0,50,280.107694
,-50.0,50,281.758054
,-50.0,50,283.390357
,-50.0,50,285.005605
,-50.0,50,286.646863
,-50.0,50,288.266986
,-50.0,50,289.906872
,-50.0,50,291.504196
,-50.0,50,293.156629
,0.0,50,294.796602
,0.0,50,296.403475
,-50.0,50,298.023174
,-50.0,50,299.633544
,0.0,50,301.266494
,-50.0,50,302.912133
,-50.0,50,304.563398
,-50.0,50,306.176158
,-50.0,50,307.804985
,-50.0,50,309.415283
,-50.0,50,311.068069
,-50.0,50,312.687377
,-50.0,50,314.305778
,-50.0,50,315.93445
,-50.0,50,317.606064
,-50.0,50,319.251988
,-50.0,50,320.848881
,-50.0,50,322.478674
,-50.0,50,324.122917
,0.0,50,325.742486
,-50.0,50,327.380401
,-50.0,50,329.037805
,-50.0,50,330.651943
,0.0,50,332.271595
,0.0,50,333.91713
,-50.0,50,335.555728
,-50.0,50,337.168628
,-50.0,50,338.826614
,-35.0,50,339.103629
,-50.0,50,339.350923
,-50.0,50,339.599433
,-50.0,50,339.906399
,-50.0,50,340.194776
,-50.0,50,340.467513
,-50.0,50,340.764474
,-50.0,50,341.041017
,-50.0,50,341.317984
,0.0,50,341.68553
,-50.0,50,343.289219
,-50.0,50,344.958863
,-50.0,50,346.576058
,-50.0,50,348.159431
,-50.0,50,349.813028
,-50.0,50,351.438884
,-50.0,50,353.090737
,-50.0,50,354.709005
,-50.0,50,356.338291
,-50.0,50,357.95486
,-50.0,50,359.606055
,-50.0,50,361.188658
,-50.0,50,362.838794
,-50.0,50,364.47556
,-50.0,50,366.117404
,-50.0,50,367.713272
,-50.0,50,369.378811
,-50.0,50,371.005543
,-50.0,50,372.649266
,-21.0,50,374.273024
,-50.0,50,375.88994
,-50.0,50,377.507452
,-50.0,50,379.156565
,-20.0,50,380.796697
,-50.0,50,382.432575
,-10.0,50,384.059467
,-50.0,50,385.706935
,-50.0,50,387.314328
,-50.0,50,388.989793
,-50.0,50,390.620872
,-50.0,50,392.27504
,0.0,50,393.917839
,-50.0,50,395.560142
,-50.0,50,397.173283
,-50.0,50,398.813187
,-50.0,50,400.467638
,-50.0,50,402.057287
,-50.0,50,403.676098
,-50.0,50,405.328109
,-50.0,50,407.00519
,-50.0,50,408.645881
,-50.0,50,410.264607
,-50.0,50,411.894902
,-50.0,50,413.512728
,-50.0,50,415.162584
,-50.0,50,416.809764
,-50.0,50,418.459931
,-50.0,50,420.079716
,-50.0,50,421.699621
,-50.0,50,423.399878
,-50.0,50,423.675674
,-50.0,50,423.969855
,-50.0,50,424.268516
,-50.0,50,424.58863
,-50.0,50,424.852601
,-50.0,50,425.098224
,-50.0,50,425.396207
,-50.0,50,425.671136
,-50.0,50,425.923685
,-50.0,50,426.178909
,-50.0,50,427.816489
,-50.0,50,429.464483
,-50.0,50,431.117543
,-50.0,50,432.791535
,-50.0,50,434.416216
,-50.0,50,436.018691
,-50.0,50,437.691872
,-50.0,50,439.355824
,-50.0,50,440.956908
,-50.0,50,442.621669
,-50.0,50,444.257323
,-50.0,50,445.89897
