actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.6029719,0.008453904,0.8389748,0.07287134,0.20147437,0.048858978,-45.79375,10.0,-2.7486825,0.08125000260770321,-46.8625,50.0,0.06125
1.7923013,0.005815643,0.83965963,0.071916945,0.20151821,0.04863473,-48.775,20.0,-4.9786005,0.02500000037252903,-46.4925,100.0,0.0674999977927655
1.9746788,0.0054013045,0.8401266,0.07201113,0.2016441,0.0491123,-45.0125,30.0,-6.194402,0.1000000024214387,-46.75375,150.0,0.060000002
2.1578903,0.005823521,0.8406599,0.07220086,0.20179053,0.05021446,-48.64375,40.0,-8.388495,0.03125000046566129,-45.79875,200.0,0.08499999
2.330462,0.0069156913,0.8399496,0.07280644,0.2015857,0.05385658,-47.13125,50.0,-9.469957,0.056250001303851604,-45.831253,250.0,0.08874999
2.4962275,0.008975621,0.8397865,0.073270015,0.20166616,0.056899354,-43.56875,60.0,-9.529018,0.15000000223517418,-45.13875,300.0,0.1075
2.651569,0.013728712,0.8395386,0.07495869,0.20160729,0.06279513,-39.243748,70.0,-9.734192,0.2625000053085387,-43.504997,350.0,0.16125
2.786405,0.022565402,0.83894914,0.07616686,0.20161633,0.06961415,-34.925003,80.0,-8.061333,0.40000004,-39.771248,400.0,0.28375
2.8969476,0.0358765,0.83868414,0.07663985,0.201731,0.07556547,-22.29375,90.0,-4.5702357,0.71875,-33.47625,450.0,0.49375
2.972304,0.050521996,0.8389376,0.07660815,0.20136255,0.081631154,-19.06875,100.0,-2.6697493,0.8125,-28.686249,500.0,0.63625
3.0148287,0.063343294,0.8390674,0.07686649,0.20121922,0.086409576,-16.349998,110.0,-2.2299232,0.87499994,-25.696249,550.0,0.72875
3.0392542,0.073801234,0.83933717,0.07650467,0.20108362,0.08958142,-14.3375,120.0,-2.1738575,0.90625,-23.84375,600.0,0.77625
3.0551329,0.08278066,0.83955497,0.076824404,0.2011877,0.09252807,-13.206249,130.0,-1.8543303,0.9125,-22.96125,650.0,0.82250005
3.064218,0.08988649,0.83952856,0.07717096,0.20146263,0.09542592,-11.85,140.0,-1.551898,0.9625,-21.94375,700.0,0.84375
3.069642,0.09518254,0.83965725,0.07683452,0.2014752,0.097441636,-10.8125,150.0,-1.3156781,0.9875,-20.0925,750.0,0.89125
3.0713143,0.09909479,0.839714,0.0764248,0.20151009,0.09954915,-11.09375,160.0,-1.6377378,0.96875,-19.645,800.0,0.9025
3.0710154,0.10197324,0.83983594,0.076008834,0.20169395,0.10084807,-10.075001,170.0,-1.3389382,0.98125,-19.61375,850.0,0.905
3.069338,0.10391823,0.8398506,0.07587852,0.20186552,0.10246488,-10.90625,180.0,-1.2675241,0.975,-18.94125,900.0,0.91374993
3.0661335,0.1052981,0.83989924,0.07550761,0.2019713,0.10336457,-9.85,190.0,-1.227082,0.99375,-18.0925,950.0,0.93249995
3.062436,0.106243424,0.8398685,0.07520541,0.20212938,0.10432275,-9.275001,200.0,-1.1653919,1.0,-17.23875,1000.0,0.9425
3.0574222,0.106840245,0.8398664,0.074921735,0.2021743,0.105150744,-9.85,210.0,-1.0861487,0.9875,-18.10875,1050.0,0.93375
3.0519695,0.10713962,0.839855,0.07470985,0.20225225,0.1057838,-10.2375,220.0,-1.2932386,0.9875,-18.369999,1100.0,0.93125
3.0457091,0.107269056,0.8399089,0.074645214,0.20227441,0.10651231,-9.45,230.0,-1.1164579,0.99375,-17.845001,1150.0,0.9375
3.03895,0.10741429,0.839916,0.07472191,0.20234524,0.107184544,-9.55625,240.0,-1.0629404,0.99375,-18.085001,1200.0,0.92249995
3.032522,0.10760732,0.8400359,0.074832335,0.20242262,0.10790843,-8.75,250.0,-0.9938804,1.0,-17.873749,1250.0,0.92125
3.025711,0.10768483,0.8400624,0.07457378,0.20243908,0.108240426,-9.85,260.0,-1.140748,0.99375,-17.37125,1300.0,0.95125
3.0185943,0.107731804,0.84007907,0.074509725,0.2025953,0.10900302,-9.8625,270.0,-1.1754245,0.99375,-17.91,1350.0,0.92999995
3.0115566,0.10765679,0.8400545,0.07462286,0.20272066,0.10969274,-8.987499,280.0,-1.0175297,0.99375,-17.76625,1400.0,0.9375
