#{"t_start": 1583492676.7688837, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.651834
,-50.0,50,6.466097
,-50.0,50,8.129267
,-50.0,50,9.733467
,-50.0,50,11.352306
,-50.0,50,12.94399
,-50.0,50,14.596601
,-50.0,50,16.209338
,-50.0,50,17.80298
,-50.0,50,19.417198
,-50.0,50,21.028883
,-50.0,50,22.645719
,-50.0,50,24.228947
,-50.0,50,25.85136
,-50.0,50,27.466356
,-50.0,50,29.099123
,-50.0,50,30.714953
,-50.0,50,32.280787
,-50.0,50,33.894186
,-50.0,50,35.489224
,-50.0,50,37.116687
,-50.0,50,38.732085
,-50.0,50,40.321937
,-50.0,50,41.962778
,-50.0,50,43.527197
,-50.0,50,45.139815
,-50.0,50,46.727292
,-50.0,50,48.357774
,-50.0,50,49.926167
,-50.0,50,51.568125
,-50.0,50,53.164201
,-50.0,50,54.799745
,-50.0,50,56.368857
,-50.0,50,57.958297
,-50.0,50,59.580569
,-50.0,50,61.179943
,-50.0,50,62.768178
,-50.0,50,64.416768
,-50.0,50,65.993313
,-50.0,50,67.589681
,-50.0,50,69.180038
,-50.0,50,70.813154
,-50.0,50,72.430581
,-50.0,50,74.040068
,-50.0,50,75.646784
,-50.0,50,77.285046
,-50.0,50,78.876642
,-50.0,50,80.457348
,-50.0,50,82.059247
,-50.0,50,83.670442
,-50.0,50,85.33699
,-50.0,50,85.593687
,-50.0,50,85.835224
,-50.0,50,86.092527
,-50.0,50,86.349128
,-50.0,50,86.625527
,-50.0,50,86.888785
,-50.0,50,87.17189
,-50.0,50,87.441459
,-50.0,50,87.727541
,-50.0,50,88.177919
,-50.0,50,89.804372
,-50.0,50,91.411045
,-50.0,50,93.017659
,-50.0,50,94.63276
,-50.0,50,96.240536
,0.0,50,97.843269
,-50.0,50,99.451237
,-50.0,50,101.073384
,-50.0,50,102.677171
,-50.0,50,104.278472
,-50.0,50,105.906364
,-50.0,50,107.522113
,-50.0,50,109.104534
,-50.0,50,110.748724
,-50.0,50,112.357389
,-50.0,50,113.959949
,-50.0,50,115.548157
,-50.0,50,117.185007
,-50.0,50,118.76914
,-50.0,50,120.382267
,-50.0,50,122.001422
,0.0,50,123.583189
,-50.0,50,125.221853
,-50.0,50,126.82181
,-50.0,50,128.412779
,-50.0,50,130.028796
,-50.0,50,131.680285
,-50.0,50,133.280068
,-50.0,50,134.855738
,-50.0,50,136.500954
,-50.0,50,138.08306
,-50.0,50,139.712704
,-50.0,50,141.301561
,-50.0,50,142.931028
,-50.0,50,144.534065
,-50.0,50,146.167741
,-50.0,50,147.786511
,-50.0,50,149.389215
,-50.0,50,151.023169
,-50.0,50,152.628299
,-50.0,50,154.227888
,-50.0,50,155.811767
,-50.0,50,157.43177
,-50.0,50,159.035354
,-50.0,50,160.665031
,-50.0,50,162.236839
,-50.0,50,163.881171
,-50.0,50,165.484542
,-50.0,50,167.053166
,-50.0,50,168.707868
,-50.0,50,168.960351
,-50.0,50,169.224455
,-50.0,50,169.47445
,-50.0,50,169.736621
,-50.0,50,170.011328
,-50.0,50,170.286688
,-50.0,50,170.538367
,-50.0,50,170.843831
,-50.0,50,171.105112
,-50.0,50,171.462729
,-50.0,50,173.05534
,-50.0,50,174.688956
,-50.0,50,176.272319
,-50.0,50,177.905195
,-50.0,50,179.499436
,-50.0,50,181.114988
,-50.0,50,182.707051
,-50.0,50,184.362776
,-50.0,50,185.979627
,-50.0,50,187.562635
,-50.0,50,189.206493
,-50.0,50,190.788954
,-50.0,50,192.405009
,-50.0,50,194.035321
,-50.0,50,195.648417
,-50.0,50,197.241896
