#{"t_start": 1583499760.9979076, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.741719
,-50.0,50,7.567758
,-50.0,50,9.168201
,-50.0,50,10.783007
,-50.0,50,12.36257
,-50.0,50,13.990211
,0.0,50,15.583963
,-50.0,50,17.168967
,-50.0,50,18.7821
,-50.0,50,20.352895
,-50.0,50,21.978596
,-50.0,50,23.577561
,-50.0,50,25.164695
,-50.0,50,26.776882
,-50.0,50,28.357373
,-50.0,50,29.971196
,-50.0,50,31.55355
,-50.0,50,33.172763
,-50.0,50,34.74775
,-50.0,50,36.344707
,-50.0,50,37.940608
,-50.0,50,39.53772
,-50.0,50,41.158193
,-50.0,50,42.759844
,-50.0,50,44.368428
,-50.0,50,45.976766
,-50.0,50,47.531438
,-50.0,50,49.149618
,-50.0,50,50.756162
,-50.0,50,52.332997
,-50.0,50,53.920928
,-50.0,50,55.519898
,-50.0,50,57.125091
,-50.0,50,58.744636
,-50.0,50,60.335536
,-50.0,50,61.931507
,-50.0,50,63.511251
,-50.0,50,65.161351
,-50.0,50,66.740944
,-50.0,50,68.335448
,-50.0,50,69.906495
,-50.0,50,71.545549
,-50.0,50,73.121794
,-50.0,50,74.757319
,-50.0,50,76.368016
,-50.0,50,77.962827
,-50.0,50,79.583403
,-50.0,50,81.179849
,-50.0,50,82.788824
,-50.0,50,84.37009
,-50.0,50,86.013389
,-50.0,50,86.275903
,-50.0,50,86.533382
,-50.0,50,86.789222
,-50.0,50,87.053566
,-50.0,50,87.308697
,-50.0,50,87.57058
,-50.0,50,87.8277
,0.0,50,88.077345
,-50.0,50,88.323562
,-50.0,50,88.756061
,-50.0,50,90.353438
,-50.0,50,91.965327
,-50.0,50,93.575895
,-50.0,50,95.175194
,-50.0,50,96.752727
,-50.0,50,98.372992
,-50.0,50,99.967469
,-50.0,50,101.564437
,-50.0,50,103.169592
,-50.0,50,104.790695
,-50.0,50,106.373444
,-50.0,50,108.013746
,-50.0,50,109.633625
,0.0,50,111.229759
,-50.0,50,112.836102
,-50.0,50,114.419099
,-50.0,50,116.035513
,-50.0,50,117.638122
,-50.0,50,119.237694
,-50.0,50,120.832465
,-50.0,50,122.458199
,-50.0,50,124.057008
,-50.0,50,125.673257
,-50.0,50,127.236391
,-50.0,50,128.862245
,-50.0,50,130.464547
,-50.0,50,132.076271
,-50.0,50,133.714842
,-50.0,50,135.30915
,-50.0,50,136.947419
,-50.0,50,138.525444
,-50.0,50,140.157081
,-50.0,50,141.767878
,-50.0,50,143.367416
,-50.0,50,144.983478
,-50.0,50,146.621733
,-50.0,50,148.217163
,-50.0,50,149.835568
,-50.0,50,151.454351
,-50.0,50,153.064879
,-50.0,50,154.696103
,-50.0,50,156.304691
,-50.0,50,157.928169
,-50.0,50,159.541157
,-50.0,50,161.146512
,-50.0,50,162.776863
,-50.0,50,164.363244
,-50.0,50,165.974792
,-50.0,50,167.554958
