actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5651362,0.0080896765,0.8445018,0.09501567,0.20416282,0.055826973,-47.8125,10.0,-2.986914,0.0437500006519258,-48.29,50.0,0.034999999683350325
1.8112872,0.005637479,0.8435998,0.09454382,0.20375285,0.053199135,-49.0625,20.0,-4.7454576,0.018750000279396772,-47.684998,100.0,0.04499999899417162
2.0364351,0.005268223,0.8440091,0.09425642,0.20374602,0.053449746,-49.0375,30.0,-6.4464254,0.018750000279396772,-47.872498,150.0,0.03999999864026904
2.2458053,0.0054967552,0.8446536,0.09491092,0.20371777,0.056190655,-48.125,40.0,-7.957552,0.03750000102445483,-48.285,200.0,0.033749999245628715
2.4393916,0.0061004637,0.8447476,0.095590286,0.20360073,0.05962941,-47.11875,50.0,-9.228277,0.05625000083819032,-48.2425,250.0,0.03374999901279807
2.6293454,0.007243702,0.8448811,0.096678875,0.20369764,0.063019164,-47.33125,60.0,-10.177761,0.05625000083819032,-48.265,300.0,0.036250000121071935
2.8158956,0.009712459,0.84493,0.09833153,0.20371677,0.06864307,-48.356247,70.0,-11.438652,0.04375000111758709,-47.24875,350.0,0.05999999912455678
2.989808,0.013806993,0.84513444,0.099855684,0.2038472,0.074304655,-44.725,80.0,-12.107185,0.12500000232830644,-46.405,400.0,0.082499996
3.1470642,0.021293242,0.8452115,0.10171989,0.20373346,0.08130645,-43.612503,90.0,-11.798139,0.1687500039115548,-45.987503,450.0,0.09375
3.2905326,0.03401348,0.8450567,0.10319891,0.203712,0.08698827,-41.0375,100.0,-11.623127,0.25000000838190317,-44.30125,500.0,0.14875
3.4164312,0.05100313,0.8451557,0.104658246,0.20370966,0.09198274,-36.893753,110.0,-10.979441,0.31875002197921276,-43.145,550.0,0.18125
3.523934,0.06899543,0.8451312,0.10568427,0.20364654,0.09552898,-34.125,120.0,-10.791999,0.4125,-41.708748,600.0,0.23875
3.6156163,0.086875,0.84533423,0.10641986,0.20368159,0.09841237,-31.981249,130.0,-10.690023,0.475,-40.81875,650.0,0.265
3.695438,0.10400145,0.845202,0.107143305,0.2034652,0.1008285,-27.912498,140.0,-9.564959,0.5375,-39.33625,700.0,0.3075
3.7637353,0.11959562,0.8450473,0.107953034,0.20331492,0.10325814,-28.1625,150.0,-9.957863,0.5375,-38.0125,750.0,0.35250002
3.8228714,0.13411257,0.84496665,0.10867352,0.20343469,0.10520113,-28.65,160.0,-9.700605,0.54375,-37.0775,800.0,0.36375
3.873337,0.14746061,0.84503156,0.10881227,0.20350772,0.106312744,-24.8,170.0,-8.79753,0.6125,-35.58,850.0,0.39624998
3.915571,0.1592697,0.8451421,0.10896178,0.20366432,0.107302435,-25.0875,180.0,-9.498481,0.61875,-33.93125,900.0,0.45
3.9499886,0.1691894,0.8456366,0.10962201,0.20376498,0.10799289,-21.89375,190.0,-8.225025,0.68125004,-34.614998,950.0,0.415
3.9780977,0.17731406,0.84568024,0.11003498,0.20375161,0.10844516,-18.6375,200.0,-7.821455,0.76875,-31.88,1000.0,0.49875
4.0024557,0.18429057,0.8459122,0.110028856,0.20376119,0.10877059,-18.36875,210.0,-7.8478613,0.79375005,-31.68375,1050.0,0.485
