#{"t_start": 1583492676.503089, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.867099
,-50.0,50,6.738761
,-50.0,50,8.403445
,-50.0,50,10.015599
,-50.0,50,11.595704
,-50.0,50,13.237871
,-50.0,50,14.833251
,-50.0,50,16.471107
,-50.0,50,18.066128
,-50.0,50,19.681449
,0.0,50,21.269766
,-50.0,50,22.92447
,-50.0,50,24.522138
,-50.0,50,26.153772
,-50.0,50,27.7221
,-50.0,50,29.357812
,-50.0,50,30.935256
,-50.0,50,32.556343
,-50.0,50,34.132
,-50.0,50,35.762445
,-50.0,50,37.387155
,-50.0,50,38.96992
,-50.0,50,40.576549
,-50.0,50,42.207261
,-50.0,50,43.814295
,-50.0,50,45.417126
,-50.0,50,47.010313
,-50.0,50,48.626419
,-50.0,50,50.193692
,-50.0,50,51.829007
,-50.0,50,53.408241
,-50.0,50,55.028103
,-50.0,50,56.647136
,-50.0,50,58.240283
,-50.0,50,59.823316
,-50.0,50,61.43646
,-50.0,50,63.064112
,-50.0,50,64.628976
,-50.0,50,66.286872
,-50.0,50,67.862916
,-50.0,50,69.467353
,-50.0,50,71.086611
,-50.0,50,72.714822
,-50.0,50,74.322682
,-50.0,50,75.944144
,-50.0,50,77.536986
,-50.0,50,79.141527
,-50.0,50,80.755535
,-50.0,50,82.35512
,-50.0,50,83.926397
,-50.0,50,85.622375
,-50.0,50,85.866972
,-50.0,50,86.11378
,-50.0,50,86.377582
,-50.0,50,86.645778
,-50.0,50,86.921545
,-50.0,50,87.190899
,-50.0,50,87.437919
,-50.0,50,87.719769
,-50.0,50,87.979765
,-50.0,50,88.430847
,-50.0,50,90.057433
,0.0,50,91.667497
,-50.0,50,93.302305
,0.0,50,94.893422
,-50.0,50,96.509892
,-50.0,50,98.11145
,-50.0,50,99.702998
,-50.0,50,101.348954
,-50.0,50,102.951108
,-50.0,50,104.55547
,-50.0,50,106.183792
,-50.0,50,107.75644
,-50.0,50,109.392294
,-50.0,50,110.983458
,-50.0,50,112.625094
,-50.0,50,114.235891
,-50.0,50,115.811754
,-50.0,50,117.447686
,0.0,50,119.023602
