#{"t_start": 1583436504.9665883, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,0.0,50,4.757204
,-50.0,50,6.626213
,-50.0,50,8.230166
,-50.0,50,9.840317
,-50.0,50,11.455019
,-50.0,50,13.053855
,-50.0,50,14.675243
,-50.0,50,16.278947
,0.0,50,17.884201
,-50.0,50,19.493495
,-50.0,50,21.084789
,-50.0,50,22.690011
,-50.0,50,24.289224
,-50.0,50,25.874569
,-50.0,50,27.51372
,-50.0,50,29.110301
,-50.0,50,30.701113
,-50.0,50,32.306237
,0.0,50,33.940253
,-50.0,50,35.539951
,-50.0,50,37.180385
,-50.0,50,38.779103
,-50.0,50,40.408045
,-50.0,50,41.994481
,-50.0,50,43.573936
,-50.0,50,45.200288
,-50.0,50,46.828664
,0.0,50,48.393727
,-50.0,50,50.017341
,-50.0,50,51.638256
,-50.0,50,53.25425
,-50.0,50,54.864964
,-50.0,50,56.472424
,-50.0,50,58.099103
,-50.0,50,59.702864
,-50.0,50,61.275042
,-50.0,50,62.883119
,-50.0,50,64.493104
,-50.0,50,66.131388
,-50.0,50,67.71483
,-50.0,50,69.328599
,-50.0,50,70.914011
,-50.0,50,72.531711
,-50.0,50,74.150605
,-50.0,50,75.760501
,-50.0,50,77.370638
,-50.0,50,78.986305
,-50.0,50,80.620438
,-50.0,50,82.211507
,-50.0,50,83.820227
,-50.0,50,85.493892
,-50.0,50,85.78527
,-50.0,50,86.036604
,-50.0,50,86.328046
,-50.0,50,86.606185
,-50.0,50,86.871299
,-50.0,50,87.151838
,-50.0,50,87.409495
,0.0,50,87.674184
,-50.0,50,87.927081
,-50.0,50,88.265142
,-50.0,50,89.857378
,-50.0,50,91.470776
,-50.0,50,93.085631
,-50.0,50,94.729258
,-50.0,50,96.306721
,0.0,50,97.957217
,-50.0,50,99.560301
,-50.0,50,101.210186
,-50.0,50,102.834162
,-50.0,50,104.462852
,-50.0,50,106.070622
,-50.0,50,107.703387
,-50.0,50,109.302924
,-50.0,50,110.940429
,0.0,50,112.565336
,-50.0,50,114.136056
,-50.0,50,115.766838
,-50.0,50,117.379281
,-50.0,50,118.999416
,-50.0,50,120.62332
,-50.0,50,122.264562
,-50.0,50,123.861764
,-50.0,50,125.49667
,-50.0,50,127.086922
,-50.0,50,128.686646
,-50.0,50,130.34602
,-50.0,50,131.921675
,-50.0,50,133.545107
,-50.0,50,135.16178
,-50.0,50,136.76643
,-50.0,50,138.376959
,-50.0,50,140.02325
,-50.0,50,141.626459
,-50.0,50,143.253226
,-50.0,50,144.855665
,-50.0,50,146.514774
,-50.0,50,148.113244
,-50.0,50,149.75449
,-50.0,50,151.39025
,-50.0,50,153.032819
,0.0,50,154.635302
,-50.0,50,156.249419
,-50.0,50,157.887844
,-50.0,50,159.46575
,-50.0,50,161.083543
,-50.0,50,162.73322
,-50.0,50,164.365346
,0.0,50,166.002117
,-50.0,50,167.60357
,-50.0,50,169.262066
,-50.0,50,169.534573
,-50.0,50,169.793659
,-50.0,50,170.063758
,-50.0,50,170.335212
,-50.0,50,170.615685
,-50.0,50,170.87566
,-50.0,50,171.14246
,-50.0,50,171.402179
,-50.0,50,171.677277
,-50.0,50,171.978497
,-50.0,50,173.598798
,0.0,50,175.221744
,-50.0,50,176.883501
,-50.0,50,178.464765
,0.0,50,180.069637
,-50.0,50,181.690378
,-50.0,50,183.330632
,-50.0,50,185.009469
,-50.0,50,186.60337
,-50.0,50,188.199466
,-50.0,50,189.828286
,-50.0,50,191.476774
,-50.0,50,193.086338
,-50.0,50,194.660034
,-50.0,50,196.310911
,-50.0,50,197.910218
,-50.0,50,199.539674
,-50.0,50,201.174345
,-50.0,50,202.782267
,-50.0,50,204.420463
,-50.0,50,205.995545
,-50.0,50,207.611718
,-50.0,50,209.253797
,-50.0,50,210.873203
,-50.0,50,212.487308
,-50.0,50,214.124756
,-50.0,50,215.737026
,-50.0,50,217.339195
,-50.0,50,218.994077
,-50.0,50,220.610376
,-50.0,50,222.226467
,-50.0,50,223.841103
,-50.0,50,225.449176
,-50.0,50,227.093062
,-50.0,50,228.684087
,-50.0,50,230.324038
,0.0,50,231.937229
,-50.0,50,233.56289
,-50.0,50,235.164959
,-50.0,50,236.785598
,-50.0,50,238.407004
,-50.0,50,240.011985
,-50.0,50,241.634692
,-50.0,50,243.267678
,-50.0,50,244.874282
,-50.0,50,246.517826
,-50.0,50,248.117229
,-50.0,50,249.752759
,-50.0,50,251.375766
,-50.0,50,253.027833
,-50.0,50,253.325983
,-50.0,50,253.600895
,-50.0,50,253.862915
,-50.0,50,254.137588
,-50.0,50,254.403118
,-50.0,50,254.673452
,-50.0,50,254.932947
,-50.0,50,255.201495
,-50.0,50,255.468035
,-50.0,50,255.773716
,-50.0,50,257.422006
,-50.0,50,258.999516
,0.0,50,260.635374
,-50.0,50,262.289652
,-50.0,50,263.896914
,-50.0,50,265.564736
,-50.0,50,267.152821
,-50.0,50,268.776033
,-50.0,50,270.423808
,-50.0,50,272.005748
,-50.0,50,273.639032
,-50.0,50,275.263828
,-50.0,50,276.901324
,-50.0,50,278.503716
,-50.0,50,280.118981
,-50.0,50,281.761835
,-50.0,50,283.377711
,-50.0,50,285.022894
,-50.0,50,286.637107
,-50.0,50,288.256102
,-50.0,50,289.876165
,-50.0,50,291.504686
