#{"t_start": 1583436503.9600492, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.784215
,-50.0,50,7.622871
,-50.0,50,9.219872
,-50.0,50,10.830536
,-50.0,50,12.42308
,-50.0,50,14.057116
,-50.0,50,15.652543
,-50.0,50,17.263281
,-50.0,50,18.894319
,-50.0,50,20.485293
,-50.0,50,22.101293
,-50.0,50,23.69388
,-50.0,50,25.301355
,-50.0,50,26.899869
,-50.0,50,28.524879
,-50.0,50,30.107051
,-50.0,50,31.697891
,-50.0,50,33.322041
,-50.0,50,34.910068
,-50.0,50,36.537196
,-50.0,50,38.187681
,-50.0,50,39.787473
,-50.0,50,41.385494
,-50.0,50,42.999763
,0.0,50,44.602605
,-50.0,50,46.228966
,-50.0,50,47.808726
,-50.0,50,49.425542
,-50.0,50,51.013574
,0.0,50,52.649968
,-50.0,50,54.252819
,-50.0,50,55.850938
,-50.0,50,57.482259
,-50.0,50,59.090415
,-50.0,50,60.708407
,-50.0,50,62.276453
,-50.0,50,63.895765
,-50.0,50,65.505674
,-50.0,50,67.098543
,-50.0,50,68.740899
,-50.0,50,70.344895
,-50.0,50,71.919671
,-50.0,50,73.533858
,-50.0,50,75.167694
,-50.0,50,76.766322
,-50.0,50,78.360796
,-50.0,50,80.003972
,-50.0,50,81.625488
,-50.0,50,83.193963
,-50.0,50,84.817964
,-50.0,50,86.463589
,-50.0,50,86.731157
,-50.0,50,86.981689
,-50.0,50,87.271719
,-50.0,50,87.527404
,-50.0,50,87.798645
,-50.0,50,88.064808
,-50.0,50,88.313763
,0.0,50,88.569639
,-50.0,50,88.824914
,-50.0,50,89.277549
,-50.0,50,90.852818
,-50.0,50,92.491537
,-50.0,50,94.116385
,-50.0,50,95.712682
,-50.0,50,97.331407
,-50.0,50,98.98847
,0.0,50,100.558451
,-50.0,50,102.224749
,-50.0,50,103.840134
,-50.0,50,105.438831
,-50.0,50,107.066714
,-50.0,50,108.696673
,-50.0,50,110.346442
,-50.0,50,111.961904
,-50.0,50,113.534388
,-50.0,50,115.156012
,-50.0,50,116.79845
,-50.0,50,118.403256
,-50.0,50,120.01565
,-50.0,50,121.636419
,-50.0,50,123.21773
,-50.0,50,124.867999
,-50.0,50,126.487097
,-50.0,50,128.073309
,-50.0,50,129.703756
,0.0,50,131.356491
,-50.0,50,132.941284
,-50.0,50,134.547776
,0.0,50,136.162295
,-50.0,50,137.737621
,-50.0,50,139.394935
,-50.0,50,141.0252
,-50.0,50,142.618533
,-50.0,50,144.256803
,-50.0,50,145.865813
,-50.0,50,147.520627
,-50.0,50,149.100779
,-50.0,50,150.749782
,-50.0,50,152.380486
,-50.0,50,154.025021
,-50.0,50,155.635913
,-50.0,50,157.259472
,-50.0,50,158.908128
,-50.0,50,160.477895
,-50.0,50,162.114566
,-50.0,50,163.749719
,-50.0,50,165.403323
,-50.0,50,166.982264
,-50.0,50,168.649059
,-50.0,50,170.234207
,-50.0,50,170.499133
,-50.0,50,170.761893
,-50.0,50,171.028664
,-50.0,50,171.286771
,-50.0,50,171.560669
,-50.0,50,171.825195
,-50.0,50,172.089218
,-50.0,50,172.371095
,-50.0,50,172.669804
,-50.0,50,172.986489
,-50.0,50,174.623772
,-50.0,50,176.199438
,-50.0,50,177.864423
,-50.0,50,179.498878
,-50.0,50,181.121329
,-50.0,50,182.728577
,-50.0,50,184.342076
,-50.0,50,186.0132
,-50.0,50,187.605251
,-50.0,50,189.249376
,-50.0,50,190.841157
,0.0,50,192.447651
,-50.0,50,194.084347
,-50.0,50,195.686794
,-50.0,50,197.317414
,-50.0,50,198.914758
,-50.0,50,200.539191
,-50.0,50,202.180137
,-50.0,50,203.783665
,-50.0,50,205.40144
,-50.0,50,207.014462
,-50.0,50,208.659569
,-50.0,50,210.273314
,-50.0,50,211.894875
,-50.0,50,213.50586
,-50.0,50,215.121686
,-50.0,50,216.701428
,-50.0,50,218.346716
,-50.0,50,219.99798
,-50.0,50,221.643226
,-50.0,50,223.220321
,-50.0,50,224.854666
,-50.0,50,226.46033
,-50.0,50,228.077911
,-50.0,50,229.69355
,-50.0,50,231.332771
,-50.0,50,232.941355
,-50.0,50,234.57543
,-50.0,50,236.19649
,-50.0,50,237.798446
,-50.0,50,239.390782
,-50.0,50,241.028167
,-50.0,50,242.629307
,-50.0,50,244.266653
,-50.0,50,245.893526
,-50.0,50,247.53577
,-50.0,50,249.137503
,-50.0,50,250.748816
,-50.0,50,252.369652
,-50.0,50,254.013178
,-50.0,50,254.255749
,-50.0,50,254.51739
,-50.0,50,254.795695
,-50.0,50,255.099781
,-50.0,50,255.42796
,-50.0,50,255.684657
,-50.0,50,255.94439
,-50.0,50,256.220637
,-50.0,50,256.46896
,-50.0,50,256.813389
,-50.0,50,258.406452
,-50.0,50,260.049247
,-50.0,50,261.689018
,-50.0,50,263.267849
,-50.0,50,264.882807
,-50.0,50,266.520929
,-50.0,50,268.17026
,-50.0,50,269.776108
,-50.0,50,271.390461
,-50.0,50,273.024477
,-50.0,50,274.631723
,-50.0,50,276.265305
,-50.0,50,277.890012
,-50.0,50,279.53483
,-50.0,50,281.183683
,-50.0,50,282.766994
,-50.0,50,284.411252
,-50.0,50,286.04938
,-50.0,50,287.659823
,-50.0,50,289.264232
,-50.0,50,290.891138
,-50.0,50,292.506051
,-50.0,50,294.145752
,-50.0,50,295.773067
,-50.0,50,297.374839
,-50.0,50,299.004897
,-50.0,50,300.605711
,-50.0,50,302.241071
,-50.0,50,303.86685
,-50.0,50,305.45264
,-50.0,50,307.098711
,0.0,50,308.718167
,-50.0,50,310.334002
,-50.0,50,311.965993
,-50.0,50,313.572365
,-50.0,50,315.16808
,-50.0,50,316.799064
,-50.0,50,318.452075
,-50.0,50,320.055017
,-50.0,50,321.700301
,-50.0,50,323.322215
,-50.0,50,324.943799
,-50.0,50,326.583394
,-50.0,50,328.172991
,-50.0,50,329.806417
,-50.0,50,331.450827
,-50.0,50,333.050894
,-50.0,50,334.704493
,-50.0,50,336.317833
,-50.0,50,337.959564
,-50.0,50,338.241292
,-50.0,50,338.49368
,-50.0,50,338.748262
,-50.0,50,339.01836
,-50.0,50,339.290342
,-50.0,50,339.600828
,-50.0,50,339.855972
,-50.0,50,340.114773
,-50.0,50,340.383864
,-50.0,50,340.755825
,-50.0,50,342.380013
,-50.0,50,344.015415
,-50.0,50,345.664276
,-50.0,50,347.288602
,-50.0,50,348.907582
,-50.0,50,350.536411
,-50.0,50,352.145227
,-50.0,50,353.799739
,-50.0,50,355.45348
,-50.0,50,357.03849
,-50.0,50,358.712294
,-50.0,50,360.340235
,-50.0,50,361.965728
,-50.0,50,363.652188
,-50.0,50,365.275049
,-50.0,50,366.933539
,-50.0,50,368.516617
,-50.0,50,370.143223
,-50.0,50,371.794504
,0.0,50,373.393551
,-50.0,50,375.054934
,-50.0,50,376.648781
,-50.0,50,378.302792
,-50.0,50,379.904441
,-50.0,50,381.523696
,-50.0,50,383.128879
,-50.0,50,384.816525
,-50.0,50,386.442873
,-50.0,50,388.054615
,-50.0,50,389.672609
,-50.0,50,391.341304
,-50.0,50,392.951496
,-50.0,50,394.551686
,-50.0,50,396.23842
,-50.0,50,397.887736
,-50.0,50,399.5229
,-50.0,50,401.170337
,-50.0,50,402.754048
,-50.0,50,404.37954
,-48.0,50,406.031837
,-50.0,50,407.656177
,-50.0,50,409.291498
,-50.0,50,410.879144
,-50.0,50,412.521023
,-50.0,50,414.137681
,-50.0,50,415.793138
,-50.0,50,417.405902
,-50.0,50,419.068413
,-50.0,50,420.722135
,-50.0,50,422.383699
,-50.0,50,422.673609
,-50.0,50,422.927137
,-50.0,50,423.187566
,-50.0,50,423.468394
,-50.0,50,423.730495
,-50.0,50,423.985837
,-50.0,50,424.260304
,-50.0,50,424.531254
,-50.0,50,424.834146
,-50.0,50,425.180798
,-50.0,50,426.788439
,-50.0,50,428.39755
,-50.0,50,430.051879
,-50.0,50,431.688263
,-50.0,50,433.310392
,-50.0,50,434.960677
,-50.0,50,436.613292
,-50.0,50,438.228019
,-50.0,50,439.835356
,-50.0,50,441.475611
,-50.0,50,443.11127
,-50.0,50,444.729277
,-50.0,50,446.369797
,-50.0,50,447.98017
,-50.0,50,449.663889
,-50.0,50,451.280601
,-50.0,50,452.897513
,-50.0,50,454.552202
,-50.0,50,456.160187
,-50.0,50,457.807028
,-50.0,50,459.446893
,-50.0,50,461.057119
,-50.0,50,462.701402
,-50.0,50,464.336878
,-50.0,50,465.987245
,-50.0,50,467.61863
,-50.0,50,469.23275
,-50.0,50,470.873176
,-50.0,50,472.480688
,-50.0,50,474.097219
,-50.0,50,475.71253
,-50.0,50,477.401824
,-40.0,50,479.009993
,-50.0,50,480.634497
,-18.0,50,482.248391
,-50.0,50,483.905559
,-50.0,50,485.528809
,-50.0,50,487.186365
,-50.0,50,488.819732
,-50.0,50,490.438356
,-50.0,50,492.076371
,-50.0,50,493.670448
,-50.0,50,495.343189
,-50.0,50,496.975632
,-50.0,50,498.635474
,-50.0,50,500.255455
,-50.0,50,501.914444
,-50.0,50,503.553292
,-50.0,50,505.206889
,-50.0,50,506.870507
,-50.0,50,507.119328
,-50.0,50,507.420302
,-50.0,50,507.688274
,-50.0,50,507.956179
,-50.0,50,508.191219
,0.0,50,508.457398
,-50.0,50,508.708133
,-50.0,50,508.986206
,-50.0,50,509.242534
,-50.0,50,509.649032
,-50.0,50,511.273095
,-50.0,50,512.918456
,-50.0,50,514.547051
,-50.0,50,516.194335
,-50.0,50,517.846248
,-50.0,50,519.489949
,-50.0,50,521.098589
,-50.0,50,522.746763
,-50.0,50,524.353673
,-50.0,50,526.026006
,-50.0,50,527.654064
,-50.0,50,529.321641
,-50.0,50,530.934017
,-50.0,50,532.568738
,-50.0,50,534.241506
,0.0,50,535.85149
,-50.0,50,537.531114
,-50.0,50,539.106039
,-50.0,50,540.777346
,-50.0,50,542.433528
,-50.0,50,544.075122
,-50.0,50,545.724104
,-50.0,50,547.345615
,-50.0,50,548.966803
,-50.0,50,550.602964
,-50.0,50,552.261559
,-50.0,50,553.866095
,-50.0,50,555.527986
,-50.0,50,557.175744
,-50.0,50,558.827606
,-14.0,50,560.471054
,-50.0,50,562.096529
,-50.0,50,563.745746
,-50.0,50,565.398361
,-50.0,50,567.01581
,-50.0,50,568.69588
