,mean,amin,amax,median,std,var
1,10.0,10.0,10.0,10.0,0.0,0.0
2,20.0,20.0,20.0,20.0,0.0,0.0
3,30.0,30.0,30.0,30.0,0.0,0.0
4,40.0,40.0,40.0,40.0,0.0,0.0
5,50.0,50.0,50.0,50.0,0.0,0.0
6,60.0,60.0,60.0,60.0,0.0,0.0
7,70.0,70.0,70.0,70.0,0.0,0.0
8,80.0,80.0,80.0,80.0,0.0,0.0
9,90.0,90.0,90.0,90.0,0.0,0.0
10,100.0,100.0,100.0,100.0,0.0,0.0
11,110.0,110.0,110.0,110.0,0.0,0.0
12,120.0,120.0,120.0,120.0,0.0,0.0
13,130.0,130.0,130.0,130.0,0.0,0.0
14,140.0,140.0,140.0,140.0,0.0,0.0
15,150.0,150.0,150.0,150.0,0.0,0.0
16,160.0,160.0,160.0,160.0,0.0,0.0
17,170.0,170.0,170.0,170.0,0.0,0.0
18,180.0,180.0,180.0,180.0,0.0,0.0
19,190.0,190.0,190.0,190.0,0.0,0.0
20,200.0,200.0,200.0,200.0,0.0,0.0
