#{"t_start": 1583417859.5022814, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.631186
,-50.0,50,8.445604
,-50.0,50,10.09795
,-50.0,50,11.703049
,-50.0,50,13.322433
,-50.0,50,14.96761
,-50.0,50,16.568007
,-50.0,50,18.156929
,-50.0,50,19.799175
,-50.0,50,21.399125
,-50.0,50,22.992308
,-50.0,50,24.620922
,-50.0,50,26.227433
,-50.0,50,27.860762
,-50.0,50,29.451918
,-50.0,50,31.08212
,-50.0,50,32.674276
,-50.0,50,34.300186
,-50.0,50,35.912585
,-50.0,50,37.499429
,-50.0,50,39.118366
,-50.0,50,40.710269
,-50.0,50,42.339542
,-50.0,50,43.938442
,-50.0,50,45.576286
,-50.0,50,47.19026
,-50.0,50,48.791593
,-50.0,50,50.393814
,-50.0,50,52.028378
,-50.0,50,53.657557
,0.0,50,55.256195
,-50.0,50,56.837369
,-50.0,50,58.451433
,-50.0,50,60.077071
,-50.0,50,61.707575
,-50.0,50,63.295171
,-50.0,50,64.92195
,-50.0,50,66.565136
,-50.0,50,68.137715
,-50.0,50,69.747949
,-50.0,50,71.378471
,-50.0,50,73.004633
,-50.0,50,74.661028
,-50.0,50,76.278115
,-50.0,50,77.88535
,-50.0,50,79.46676
,-50.0,50,81.091976
,-50.0,50,82.717777
,-50.0,50,84.314445
,-50.0,50,85.920401
,-50.0,50,87.594213
,-50.0,50,87.859772
,-50.0,50,88.130135
,-50.0,50,88.400418
,-50.0,50,88.684153
,-50.0,50,88.948737
,-50.0,50,89.252297
,-50.0,50,89.523608
,0.0,50,89.797915
,-50.0,50,90.080061
,-50.0,50,90.488226
,-50.0,50,92.134908
,-27.0,50,93.709001
,-50.0,50,95.376681
,-50.0,50,96.965411
,-50.0,50,98.553363
,-50.0,50,100.215825
,-50.0,50,101.870795
,-50.0,50,103.469182
,-50.0,50,105.100047
,-50.0,50,106.714075
,-50.0,50,108.345091
,-50.0,50,109.950046
,-50.0,50,111.589593
,-50.0,50,113.15468
,-50.0,50,114.82154
,-50.0,50,116.477307
,-50.0,50,118.098416
,-50.0,50,119.675884
,-50.0,50,121.323789
,-50.0,50,122.949504
,-50.0,50,124.588438
,-50.0,50,126.228707
,-50.0,50,127.829351
,0.0,50,129.436839
,-50.0,50,131.095425
,-50.0,50,132.6771
,-50.0,50,134.326021
,-50.0,50,135.94144
,-50.0,50,137.548707
,-50.0,50,139.17987
,-50.0,50,140.805517
,-50.0,50,142.392017
,-50.0,50,144.021713
,-50.0,50,145.632781
,-50.0,50,147.277214
,-50.0,50,148.889603
,-50.0,50,150.528696
,-50.0,50,152.168839
,-50.0,50,153.763031
,-50.0,50,155.396732
,-50.0,50,157.06434
,-50.0,50,158.653964
,-50.0,50,160.283684
,-50.0,50,161.945208
,-50.0,50,163.550508
,-50.0,50,165.179679
,-50.0,50,166.776392
,-50.0,50,168.44118
,-50.0,50,170.082022
,-50.0,50,171.691803
,-50.0,50,171.950297
,-50.0,50,172.220351
,-50.0,50,172.507278
,-50.0,50,172.780271
,-50.0,50,173.078007
,-50.0,50,173.331157
,-50.0,50,173.596128
,-50.0,50,173.863378
,-50.0,50,174.153193
,-50.0,50,174.59291
,-50.0,50,176.239488
,-50.0,50,177.85655
,-50.0,50,179.438699
,-50.0,50,181.113237
,-50.0,50,182.719918
,-50.0,50,184.372343
,-50.0,50,186.006058
,-50.0,50,187.610157
,-50.0,50,189.251471
,-50.0,50,190.84405
,-50.0,50,192.525487
,-50.0,50,194.139293
,-50.0,50,195.784509
,-50.0,50,197.408153
,-50.0,50,199.0347
,-50.0,50,200.649613
,-50.0,50,202.274568
,-50.0,50,203.89133
,-50.0,50,205.592243
,-50.0,50,207.220825
,-50.0,50,208.807721
,-50.0,50,210.440675
,-50.0,50,212.096514
,-50.0,50,213.716795
,-50.0,50,215.335869
,-50.0,50,216.970414
,-50.0,50,218.613838
,0.0,50,220.242649
,-50.0,50,221.887219
,-50.0,50,223.492904
,-50.0,50,225.123029
,-50.0,50,226.757554
,-50.0,50,228.385025
,-50.0,50,230.01009
,-50.0,50,231.633659
,-50.0,50,233.265092
,-50.0,50,234.9231
,-50.0,50,236.557887
,-50.0,50,238.183454
,-50.0,50,239.803718
,-50.0,50,241.439657
,-50.0,50,243.033542
,-50.0,50,244.707235
,-50.0,50,246.333323
,-50.0,50,247.98912
,-50.0,50,249.641425
,-50.0,50,251.261672
,-50.0,50,252.934466
,-50.0,50,254.547231
,-50.0,50,256.228413
,-50.0,50,256.504359
,-50.0,50,256.796451
,-50.0,50,257.05968
,-50.0,50,257.338258
,-50.0,50,257.612201
,-50.0,50,257.880778
,-50.0,50,258.16463
,-50.0,50,258.441863
,-50.0,50,258.765454
,-50.0,50,259.148715
,-50.0,50,260.783902
,-50.0,50,262.408624
,-50.0,50,264.074032
,-50.0,50,265.689315
,-50.0,50,267.324163
,-50.0,50,268.968368
,-50.0,50,270.61217
,-50.0,50,272.251352
,-50.0,50,273.871336
,0.0,50,275.492184
,-8.0,50,277.132581
,0.0,50,278.761553
,-50.0,50,280.387913
,-50.0,50,282.040661
,-50.0,50,283.668808
,-50.0,50,285.289171
,-50.0,50,286.93277
,-50.0,50,288.578143
,-50.0,50,290.176695
,-50.0,50,291.869152
,-50.0,50,293.511709
,-50.0,50,295.12585
,-50.0,50,296.778108
,-50.0,50,298.386415
,-50.0,50,300.019246
,-50.0,50,301.670305
,-50.0,50,303.321502
,-50.0,50,304.949714
,-50.0,50,306.577579
,-50.0,50,308.196643
,-50.0,50,309.883486
,-50.0,50,311.492868
,-50.0,50,313.130955
,-50.0,50,314.766623
,-50.0,50,316.403156
,-50.0,50,318.064221
,-50.0,50,319.674364
,-50.0,50,321.2905
,-50.0,50,322.956719
,-50.0,50,324.591636
,-50.0,50,326.199564
,-50.0,50,327.862782
,-50.0,50,329.520209
,-50.0,50,331.172563
,-34.0,50,332.782038
,-50.0,50,334.409278
,-50.0,50,336.065959
,-50.0,50,337.684643
,-50.0,50,339.313877
,-50.0,50,341.003411
,-50.0,50,341.270609
,-50.0,50,341.570619
,-50.0,50,341.890631
,-50.0,50,342.169255
,-50.0,50,342.449817
,-50.0,50,342.755217
,0.0,50,343.04278
,-50.0,50,343.32894
,-50.0,50,343.600512
,-50.0,50,343.875413
,-50.0,50,345.50435
,-50.0,50,347.171306
,0.0,50,348.778208
,0.0,50,350.459813
,-50.0,50,352.055878
,-50.0,50,353.722302
,-50.0,50,355.380298
,-50.0,50,357.026086
,-50.0,50,358.66276
,-50.0,50,360.292008
,-50.0,50,361.950782
,-50.0,50,363.606965
,-50.0,50,365.228939
,-50.0,50,366.860096
,0.0,50,368.492464
,-50.0,50,370.142517
,-50.0,50,371.792101
,-50.0,50,373.454616
,-50.0,50,375.067311
,-50.0,50,376.719402
,-50.0,50,378.358609
,-50.0,50,380.015867
,-50.0,50,381.61156
,-50.0,50,383.280692
,-50.0,50,384.898599
,-50.0,50,386.552653
,-50.0,50,388.18907
,-50.0,50,389.860293
,0.0,50,391.469528
,-50.0,50,393.130067
,-50.0,50,394.817759
,-50.0,50,396.414828
,-50.0,50,398.137861
,-50.0,50,399.731931
,-50.0,50,401.416341
,-50.0,50,403.070457
,-50.0,50,404.711343
,-50.0,50,406.341292
,-50.0,50,407.979804
,-50.0,50,409.594824
,-50.0,50,411.248023
,-50.0,50,412.898146
,-50.0,50,414.527338
,-50.0,50,416.192216
,-50.0,50,417.862537
,-50.0,50,419.469855
,-50.0,50,421.116923
,-50.0,50,422.771748
,-50.0,50,424.438542
,-50.0,50,426.095023
,-50.0,50,426.381252
,-33.0,50,426.667561
,-50.0,50,426.953801
,-50.0,50,427.273476
,0.0,50,427.56398
,-50.0,50,427.852891
,-50.0,50,428.124099
,-12.0,50,428.39956
,0.0,50,428.673037
,-50.0,50,429.039644
,-50.0,50,430.66257
,-43.0,50,432.319697
,-50.0,50,433.963526
,-50.0,50,435.613947
,-50.0,50,437.241979
,-50.0,50,438.872132
,-50.0,50,440.527324
,-50.0,50,442.151427
,-50.0,50,443.820616
,-50.0,50,445.481496
,-50.0,50,447.078067
,-50.0,50,448.717322
,-50.0,50,450.377375
,-50.0,50,452.00124
,-50.0,50,453.607899
,-50.0,50,455.294037
,-50.0,50,456.974177
,-50.0,50,458.602582
,-50.0,50,460.265549
,0.0,50,461.907324
,-50.0,50,463.594564
,-50.0,50,465.198802
,-50.0,50,466.879224
,-50.0,50,468.544903
,-50.0,50,470.160884
,-50.0,50,471.825958
,-14.0,50,473.465384
,-50.0,50,475.126083
,-50.0,50,476.757173
,0.0,50,478.400824
,-50.0,50,480.053993
,-50.0,50,481.736852
,-50.0,50,483.379384
,0.0,50,485.005131
,-50.0,50,486.654826
,-47.0,50,488.298509
,-50.0,50,489.988981
,-50.0,50,491.644699
,-50.0,50,493.26022
,-50.0,50,494.927107
,-50.0,50,496.601941
,0.0,50,498.24416
,-50.0,50,499.914335
,-50.0,50,501.546144
,-50.0,50,503.208953
,-50.0,50,504.860311
,-50.0,50,506.473706
,-50.0,50,508.133233
,-48.0,50,509.787856
,-50.0,50,511.496536
,-50.0,50,511.76655
,-50.0,50,512.052434
,-50.0,50,512.315902
,-32.0,50,512.605032
,-50.0,50,512.926113
,-50.0,50,513.222701
,0.0,50,513.515031
,-50.0,50,513.794412
,-50.0,50,514.07162
,-44.0,50,514.410237
,-50.0,50,516.075371
,-50.0,50,517.676281
,-48.0,50,519.366532
,-23.0,50,520.977339
,-50.0,50,522.668425
,-50.0,50,524.305002
