actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4733392,0.0062753335,0.8387154,0.07687478,0.20165409,0.05706043,-47.15,10.0,-2.7362533,0.056250001303851604,-46.595,50.0,0.065
1.6888177,0.004581037,0.83999294,0.07436335,0.20195173,0.0527466,-47.675,20.0,-4.6286383,0.0437500006519258,-45.9825,100.0,0.08
1.8808569,0.004244763,0.83998513,0.07395478,0.20196678,0.05255358,-45.64375,30.0,-5.8223248,0.09375000093132257,-46.739998,150.0,0.065
2.0728698,0.0046985573,0.8399071,0.073790975,0.2017098,0.0538821,-45.20625,40.0,-7.6871533,0.09375000139698386,-46.45625,200.0,0.07125
2.256354,0.0062410966,0.839982,0.07654058,0.2018277,0.058208853,-44.7875,50.0,-9.297835,0.10625000251457095,-45.4275,250.0,0.09625
2.4291656,0.008973403,0.8395882,0.07680258,0.20179762,0.060306314,-42.70625,60.0,-9.893888,0.16250000381842256,-45.57625,300.0,0.099999994
2.594925,0.016142158,0.8401983,0.07709212,0.20195514,0.06546576,-36.775,70.0,-8.941463,0.31875002,-43.092503,350.0,0.17750001
2.740469,0.029516835,0.8408876,0.077593625,0.20214361,0.07241679,-25.324999,80.0,-4.9461536,0.65000004,-37.508747,400.0,0.3475
2.8482318,0.04835409,0.84152937,0.077657476,0.20254749,0.07875384,-20.525,90.0,-3.5907872,0.7625,-31.48375,450.0,0.5425
2.921465,0.065128505,0.8417916,0.07761173,0.20263106,0.08382216,-19.2125,100.0,-3.070036,0.79375005,-27.84375,500.0,0.65875
2.9651766,0.078242816,0.8415854,0.07747737,0.20273747,0.088082455,-16.2875,110.0,-2.1515093,0.85,-25.552502,550.0,0.7325
2.9953537,0.08944374,0.84148246,0.077979214,0.20282196,0.09172856,-13.900001,120.0,-1.8669746,0.91875,-24.35,600.0,0.77250004
3.0172153,0.09796105,0.8413407,0.07838807,0.20287055,0.09488354,-11.9875,130.0,-1.653743,0.95624995,-23.072498,650.0,0.81
3.0318987,0.104559846,0.8413129,0.07846644,0.20291825,0.097511694,-11.9375,140.0,-1.4795201,0.9375,-21.735,700.0,0.8325
3.0405517,0.10898203,0.8414094,0.077894874,0.20296717,0.09897252,-10.99375,150.0,-1.2859998,0.975,-19.34375,750.0,0.90625
3.0449183,0.11222321,0.8414066,0.07738466,0.20298795,0.10032432,-10.424999,160.0,-1.2009422,0.98125,-19.724998,800.0,0.9025
3.0464597,0.114482,0.84134126,0.07698425,0.2029555,0.10118325,-10.875,170.0,-1.2561897,0.99375,-18.463749,850.0,0.93
3.0462928,0.11593603,0.8412585,0.076738,0.20289563,0.102186024,-9.71875,180.0,-1.235945,1.0,-18.693748,900.0,0.91625
3.044936,0.11691477,0.84128267,0.07622672,0.20291714,0.10306371,-10.762501,190.0,-1.2318707,0.9875,-18.14625,950.0,0.92625
3.0424752,0.117449,0.8413908,0.0758004,0.2028775,0.10333127,-9.474999,200.0,-1.0400436,1.0,-18.1625,1000.0,0.92625
3.0393038,0.11762251,0.8413541,0.07543094,0.20282711,0.103649,-10.349999,210.0,-1.4770603,0.975,-18.10125,1050.0,0.92625
3.0357208,0.117614016,0.8412888,0.0751773,0.20289999,0.104146786,-9.225,220.0,-1.0353872,0.9875,-17.831251,1100.0,0.9375
3.0315945,0.11739038,0.8411429,0.07478781,0.20281778,0.104537174,-10.362499,230.0,-1.1602197,0.9875,-17.4375,1150.0,0.94375
3.0267754,0.117066965,0.84119916,0.07467971,0.20283945,0.105102025,-8.80625,240.0,-0.96145546,1.0,-17.86875,1200.0,0.93375003
3.0212612,0.116620794,0.84111047,0.07451191,0.20288877,0.10538663,-9.450001,250.0,-1.082177,1.0,-16.795,1250.0,0.95375
3.015584,0.11610649,0.84102416,0.07436487,0.2028324,0.10565366,-9.48125,260.0,-1.014523,0.99375,-16.967499,1300.0,0.94624996
