#{"t_start": 1583410792.0868454, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.39155
,-50.0,50,8.266925
,-50.0,50,9.88791
,-50.0,50,11.495332
,0.0,50,13.116735
,-50.0,50,14.692543
,-50.0,50,16.303216
,-50.0,50,17.952757
,-50.0,50,19.548864
,-50.0,50,21.138816
,-50.0,50,22.776443
,-50.0,50,24.379564
,-50.0,50,25.995436
,-50.0,50,27.59972
,-50.0,50,29.227947
,-50.0,50,30.807843
,-50.0,50,32.434994
,-50.0,50,34.062067
,-50.0,50,35.634765
,-50.0,50,37.261196
,-50.0,50,38.911853
,-50.0,50,40.509248
,-50.0,50,42.146663
,-50.0,50,43.755142
,-50.0,50,45.405871
,-50.0,50,47.005073
,-50.0,50,48.644461
,-50.0,50,50.253153
,-50.0,50,51.864572
,-50.0,50,53.46999
,-50.0,50,55.103249
,-50.0,50,56.715389
,-50.0,50,58.325096
,-50.0,50,59.950104
,-50.0,50,61.562617
,-50.0,50,63.187022
,-50.0,50,64.800481
,-50.0,50,66.415053
,-50.0,50,68.02852
,-50.0,50,69.660553
,-50.0,50,71.264969
,-50.0,50,72.860979
,-50.0,50,74.515131
,-50.0,50,76.138254
,-50.0,50,77.768662
,-50.0,50,79.413147
,-50.0,50,80.999674
,0.0,50,82.637624
,-50.0,50,84.242102
,-50.0,50,85.871323
,-50.0,50,87.503583
,-50.0,50,87.759889
,-50.0,50,88.014867
,-50.0,50,88.30937
,-50.0,50,88.596958
,-50.0,50,88.851778
,-50.0,50,89.133381
,-50.0,50,89.435091
,-50.0,50,89.698178
,-50.0,50,89.966077
,-50.0,50,90.431928
,-50.0,50,92.073634
,-50.0,50,93.687847
,-50.0,50,95.27649
,-50.0,50,96.96404
,-50.0,50,98.58873
,-50.0,50,100.179208
,-50.0,50,101.804439
,-50.0,50,103.437069
,-50.0,50,105.032261
,-50.0,50,106.65511
,-50.0,50,108.283739
,-50.0,50,109.939035
,-50.0,50,111.557194
,0.0,50,113.169246
,-50.0,50,114.8009
,-50.0,50,116.394713
,-50.0,50,118.045278
,-50.0,50,119.643087
,-50.0,50,121.242924
,-50.0,50,122.891344
,-50.0,50,124.529569
,-50.0,50,126.176473
,-50.0,50,127.816803
,-50.0,50,129.421323
,-50.0,50,131.056176
,-50.0,50,132.692095
,-50.0,50,134.315196
,-50.0,50,135.95266
,0.0,50,137.562718
,-50.0,50,139.200486
,-50.0,50,140.843017
,-50.0,50,142.44135
,-50.0,50,144.104221
,-50.0,50,145.719258
,-50.0,50,147.324137
,-50.0,50,148.995688
,-50.0,50,150.588982
,-50.0,50,152.24212
,-50.0,50,153.875811
,-50.0,50,155.491709
,-50.0,50,157.12635
,-50.0,50,158.738485
,-50.0,50,160.343814
,-50.0,50,161.998379
,-50.0,50,163.619631
,-50.0,50,165.23702
,-50.0,50,166.867677
,-50.0,50,168.468683
,-50.0,50,170.115241
,-50.0,50,171.746562
,-50.0,50,172.04276
,-50.0,50,172.326378
,-50.0,50,172.633951
,-50.0,50,172.914154
,-50.0,50,173.183667
,-50.0,50,173.449529
,-50.0,50,173.713536
,-50.0,50,173.975296
,-50.0,50,174.222414
,-50.0,50,174.663598
,-50.0,50,176.298477
,-50.0,50,177.883409
,-50.0,50,179.53142
,-50.0,50,181.158859
,-50.0,50,182.792159
,-50.0,50,184.418157
,-50.0,50,186.045521
,-50.0,50,187.677042
,-50.0,50,189.292883
,-50.0,50,190.921029
,-50.0,50,192.569848
,-50.0,50,194.212789
,0.0,50,195.808416
,-50.0,50,197.461115
,-7.0,50,199.058785
,-50.0,50,200.727049
,-50.0,50,202.319985
,-50.0,50,203.950768
,-50.0,50,205.573504
,-50.0,50,207.216902
,-50.0,50,208.848191
,-50.0,50,210.467027
,-50.0,50,212.105587
,-50.0,50,213.744446
,-50.0,50,215.380754
,-50.0,50,216.968616
,-50.0,50,218.650357
,-50.0,50,220.249775
,-50.0,50,221.906995
,-50.0,50,223.569741
,-50.0,50,225.170061
,-50.0,50,226.801836
,-50.0,50,228.406964
,-50.0,50,230.047969
,-50.0,50,231.71573
,-50.0,50,233.312418
,-50.0,50,234.951213
,-50.0,50,236.603151
,-50.0,50,238.203906
,-50.0,50,239.821896
,-36.0,50,241.484781
,-50.0,50,243.106902
,-50.0,50,244.722295
,-50.0,50,246.348573
,-30.0,50,247.982224
,-50.0,50,249.620721
,0.0,50,251.25441
,-50.0,50,252.878084
,-50.0,50,254.510577
,-50.0,50,256.155767
,-50.0,50,256.47749
,-50.0,50,256.740558
,-50.0,50,257.031097
,-50.0,50,257.336887
,-50.0,50,257.591102
,-50.0,50,257.853339
,-50.0,50,258.15946
,-50.0,50,258.459533
,-50.0,50,258.722078
,-50.0,50,259.064851
,-50.0,50,260.724633
,-50.0,50,262.364301
,-50.0,50,263.981326
,-50.0,50,265.628298
,0.0,50,267.255306
,-50.0,50,268.883546
,-50.0,50,270.484055
,-50.0,50,272.140502
,-1.0,50,273.746347
,-50.0,50,275.390943
,0.0,50,277.052535
,-50.0,50,278.70568
,-50.0,50,280.318215
,-50.0,50,281.962204
,-50.0,50,283.561531
,-50.0,50,285.214072
,-50.0,50,286.864806
,-50.0,50,288.473027
,-50.0,50,290.157316
,-50.0,50,291.757359
,-50.0,50,293.434444
,0.0,50,295.076318
,-50.0,50,296.687649
,-50.0,50,298.319124
,-50.0,50,299.954492
,-50.0,50,301.604701
,-50.0,50,303.212453
,-50.0,50,304.874799
,-50.0,50,306.490479
,-50.0,50,308.095272
,-50.0,50,309.749455
