#{"t_start": 1583480187.1725533, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.518841
,-50.0,50,8.407463
,-50.0,50,10.008404
,-50.0,50,11.622076
,-50.0,50,13.269755
,-50.0,50,14.904509
,-50.0,50,16.526266
,-50.0,50,18.160102
,-50.0,50,19.785035
,-50.0,50,21.421858
,-50.0,50,23.008922
,-50.0,50,24.658793
,-50.0,50,26.232553
,-50.0,50,27.89649
,-50.0,50,29.51816
,-50.0,50,31.097402
,-50.0,50,32.714571
,-50.0,50,34.358714
,-50.0,50,35.977623
,-50.0,50,37.585694
,-50.0,50,39.181509
,-50.0,50,40.794396
,-50.0,50,42.386499
,-50.0,50,44.011648
,-50.0,50,45.619109
,-50.0,50,47.29789
,-50.0,50,48.898055
,-50.0,50,50.481301
,-50.0,50,52.148859
,-50.0,50,53.75579
,-50.0,50,55.36895
,-50.0,50,56.966694
,-50.0,50,58.591008
,-50.0,50,60.225692
,-50.0,50,61.831672
,-50.0,50,63.39647
,0.0,50,65.028471
,-50.0,50,66.674434
,-50.0,50,68.253134
,-50.0,50,69.864676
,-50.0,50,71.511792
,-50.0,50,73.15046
,-50.0,50,74.774197
,-50.0,50,76.370871
,-50.0,50,77.953352
,-50.0,50,79.599168
,-50.0,50,81.252421
,-50.0,50,82.878993
,-50.0,50,84.481994
,-50.0,50,86.097425
,-50.0,50,87.766471
,0.0,50,88.069163
,-50.0,50,88.343352
,0.0,50,88.646094
,-50.0,50,88.907506
,-50.0,50,89.174068
,-50.0,50,89.434185
,-50.0,50,89.707952
,-50.0,50,89.998512
,-50.0,50,90.283562
,-50.0,50,90.726466
,-50.0,50,92.337175
,-50.0,50,93.98104
,-50.0,50,95.568884
,-50.0,50,97.242373
,-50.0,50,98.846923
,-50.0,50,100.497403
,-50.0,50,102.076395
,-50.0,50,103.697677
,-50.0,50,105.368175
,-50.0,50,106.963943
,-50.0,50,108.615096
,-50.0,50,110.196363
,-50.0,50,111.832951
,-50.0,50,113.438149
,-50.0,50,115.048081
,-50.0,50,116.647033
,-50.0,50,118.268733
,-50.0,50,119.874489
,-50.0,50,121.513335
,-50.0,50,123.104547
,-50.0,50,124.76813
,-50.0,50,126.392258
,-50.0,50,127.993021
,-50.0,50,129.574419
,-50.0,50,131.210631
,-50.0,50,132.827163
,0.0,50,134.447647
,-50.0,50,136.078114
,-50.0,50,137.733842
,0.0,50,139.348621
,-50.0,50,140.994048
,-50.0,50,142.606578
,-50.0,50,144.245732
,-50.0,50,145.864527
,0.0,50,147.46563
,-50.0,50,149.069818
,-50.0,50,150.747513
,-50.0,50,152.374056
,-50.0,50,153.999079
,-50.0,50,155.621879
,-50.0,50,157.250907
,-50.0,50,158.890798
,-50.0,50,160.507136
,-50.0,50,162.123349
,-50.0,50,163.746829
,-50.0,50,165.367737
,0.0,50,167.01933
,0.0,50,168.609865
,-50.0,50,170.262556
,-50.0,50,171.910359
,-50.0,50,172.236378
,-50.0,50,172.516963
,-50.0,50,172.801841
,-50.0,50,173.10116
,-50.0,50,173.391459
,-50.0,50,173.671753
,-50.0,50,173.953357
,-50.0,50,174.244795
,-50.0,50,174.521183
,0.0,50,174.787652
,-50.0,50,176.388999
,-50.0,50,178.026952
,-50.0,50,179.656538
,-50.0,50,181.295126
,-50.0,50,182.911269
,-50.0,50,184.553027
,-50.0,50,186.124342
,-50.0,50,187.782053
,-50.0,50,189.380966
,-50.0,50,191.056552
,-50.0,50,192.686957
,-50.0,50,194.27979
,-50.0,50,195.913128
,-50.0,50,197.527575
,-50.0,50,199.154952
,-50.0,50,200.768485
,0.0,50,202.423995
,-50.0,50,204.051068
,-50.0,50,205.662093
,-50.0,50,207.277501
,-50.0,50,208.908831
,-50.0,50,210.560337
,-50.0,50,212.155907
,-50.0,50,213.813348
,-50.0,50,215.427194
,-50.0,50,217.039842
,-50.0,50,218.647753
,-50.0,50,220.2491
,-50.0,50,221.909924
,-50.0,50,223.50032
,-50.0,50,225.125985
,-50.0,50,226.721186
,-50.0,50,228.341636
,-50.0,50,229.990937
,-50.0,50,231.596066
,-50.0,50,233.218922
,-50.0,50,234.895779
,-50.0,50,236.494338
,-50.0,50,238.131262
,-50.0,50,239.752548
,-50.0,50,241.380897
,-50.0,50,243.017588
,-50.0,50,244.656378
,-50.0,50,246.294515
,-50.0,50,247.9286
,-50.0,50,249.556067
,-50.0,50,251.138689
,-50.0,50,252.79248
,-50.0,50,254.385571
,0.0,50,256.054592
,0.0,50,256.362913
,-50.0,50,256.648256
,-50.0,50,256.921541
,-50.0,50,257.195951
,-2.0,50,257.458509
,0.0,50,257.741005
,-50.0,50,258.053643
,-50.0,50,258.3216
,-50.0,50,258.616812
,-50.0,50,258.986518
,-50.0,50,260.607079
,-50.0,50,262.259573
,-50.0,50,263.869103
,-50.0,50,265.526509
,-50.0,50,267.149012
,-50.0,50,268.739444
,-50.0,50,270.420576
,0.0,50,272.033886
,-47.0,50,273.620488
,-50.0,50,275.279757
,-50.0,50,276.886539
,-50.0,50,278.549428
,-50.0,50,280.193033
,-50.0,50,281.819758
,-50.0,50,283.474073
,-50.0,50,285.092487
,-50.0,50,286.671524
,-50.0,50,288.343659
,-50.0,50,289.937631
,-50.0,50,291.59691
,-50.0,50,293.1937
,-50.0,50,294.821695
,-50.0,50,296.481394
,-50.0,50,298.113113
,-50.0,50,299.722977
,-50.0,50,301.373546
,-50.0,50,302.979158
,-50.0,50,304.63628
,-50.0,50,306.269489
,-50.0,50,307.889532
,-50.0,50,309.510663
,-50.0,50,311.135586
,-50.0,50,312.759566
,-50.0,50,314.391706
,-50.0,50,315.99794
,-50.0,50,317.655465
,-50.0,50,319.312519
,-50.0,50,320.916819
,0.0,50,322.57976
,-50.0,50,324.222941
,-50.0,50,325.843164
,-50.0,50,327.437675
,0.0,50,329.101566
,-50.0,50,330.738833
,-50.0,50,332.358288
,-50.0,50,334.026109
,-50.0,50,335.661857
,-50.0,50,337.283902
,0.0,50,338.91635
,-50.0,50,340.564743
,-50.0,50,340.847637
,-50.0,50,341.139924
,-50.0,50,341.423281
,-50.0,50,341.682784
,-50.0,50,341.974234
,-50.0,50,342.229666
,-50.0,50,342.501538
,-50.0,50,342.783528
,-50.0,50,343.078166
,-50.0,50,343.492705
,-50.0,50,345.13985
,-50.0,50,346.800795
,-50.0,50,348.422862
,-50.0,50,350.090206
,-50.0,50,351.694645
,0.0,50,353.284841
,-50.0,50,354.964566
,-50.0,50,356.608738
,-50.0,50,358.237065
,-50.0,50,359.835784
,-50.0,50,361.484189
,-50.0,50,363.087377
,0.0,50,364.734769
,-50.0,50,366.39098
,0.0,50,368.02818
,-50.0,50,369.700451
,-50.0,50,371.325795
,-50.0,50,372.958708
,-50.0,50,374.592401
,-50.0,50,376.197935
,-50.0,50,377.862002
,-50.0,50,379.457288
,-50.0,50,381.098645
,-50.0,50,382.750274
,-50.0,50,384.403421
,-50.0,50,386.018621
,-50.0,50,387.68937
,-50.0,50,389.31173
,-50.0,50,390.92963
,-50.0,50,392.585492
,-50.0,50,394.254951
,-50.0,50,395.869972
,-50.0,50,397.522892
,-50.0,50,399.182639
,-50.0,50,400.784937
,-50.0,50,402.42979
,-50.0,50,404.05406
,-50.0,50,405.710349
,-50.0,50,407.373809
,-50.0,50,408.993921
,-50.0,50,410.692287
,-50.0,50,412.340319
,-50.0,50,414.008816
,-50.0,50,415.594604
,-50.0,50,417.27192
,-50.0,50,418.892847
,-50.0,50,420.537199
,-50.0,50,422.170078
,-50.0,50,423.850924
