,mean,amin,amax,median,std,var
1,50.0,50.0,50.0,50.0,0.0,0.0
2,100.0,100.0,100.0,100.0,0.0,0.0
3,150.0,150.0,150.0,150.0,0.0,0.0
4,200.0,200.0,200.0,200.0,0.0,0.0
5,250.0,250.0,250.0,250.0,0.0,0.0
6,300.0,300.0,300.0,300.0,0.0,0.0
7,350.0,350.0,350.0,350.0,0.0,0.0
8,400.0,400.0,400.0,400.0,0.0,0.0
9,450.0,450.0,450.0,450.0,0.0,0.0
10,500.0,500.0,500.0,500.0,0.0,0.0
11,550.0,550.0,550.0,550.0,0.0,0.0
12,600.0,600.0,600.0,600.0,0.0,0.0
13,650.0,650.0,650.0,650.0,0.0,0.0
14,700.0,700.0,700.0,700.0,0.0,0.0
15,750.0,750.0,750.0,750.0,0.0,0.0
16,800.0,800.0,800.0,800.0,0.0,0.0
17,850.0,850.0,850.0,850.0,0.0,0.0
18,900.0,900.0,900.0,900.0,0.0,0.0
19,950.0,950.0,950.0,950.0,0.0,0.0
20,1000.0,1000.0,1000.0,1000.0,0.0,0.0
