actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5086064,0.006119126,0.8385965,0.072055854,0.20148402,0.04493414,-47.2,10.0,-2.6316648,0.05625000176951289,-46.9425,50.0,0.061249997
1.7289312,0.004557357,0.83919317,0.07075958,0.20168634,0.04446392,-46.28125,20.0,-4.412712,0.07500000204890966,-46.82,100.0,0.0625
1.9412274,0.0048907767,0.8398753,0.07082151,0.20191947,0.048444215,-45.325,30.0,-6.0614552,0.09375000186264515,-46.96875,150.0,0.058749996
2.13464,0.0068104425,0.8398363,0.07350919,0.20193598,0.052907772,-45.449997,40.0,-7.6211405,0.09375000186264515,-46.057503,200.0,0.07875
2.3187428,0.009831784,0.8402562,0.07692332,0.20211002,0.05826247,-45.8375,50.0,-8.713921,0.08750000363215804,-45.90625,250.0,0.082499996
2.478941,0.015687972,0.8402527,0.078075655,0.20208809,0.063249305,-40.0,60.0,-8.110815,0.23750001,-43.4225,300.0,0.16375
2.6219535,0.026104286,0.8401079,0.07880786,0.20220341,0.0693439,-34.59375,70.0,-7.5533285,0.40625,-40.42375,350.0,0.265
2.7435627,0.041773453,0.8399601,0.078421324,0.20231375,0.0753602,-24.84375,80.0,-4.97094,0.65625,-34.83125,400.0,0.475
2.823281,0.05796863,0.8401368,0.0783966,0.20207721,0.08021769,-16.974998,90.0,-2.6132946,0.85625,-28.966251,450.0,0.63625
2.8699045,0.071506426,0.84064895,0.07829843,0.20188366,0.08470151,-14.7125,100.0,-1.857162,0.90625,-27.03125,500.0,0.67625004
2.9022808,0.08237149,0.8408517,0.07769317,0.20166136,0.088209026,-12.16875,110.0,-1.4646504,0.95,-24.6525,550.0,0.7425
2.9245508,0.09141134,0.8407362,0.07722195,0.20144348,0.091062546,-12.93125,120.0,-1.7145761,0.9375,-22.57,600.0,0.80625
2.9387507,0.09828732,0.8406399,0.07685044,0.2013938,0.092955254,-11.575,130.0,-1.5688865,0.96875,-20.37125,650.0,0.86875
2.947738,0.10326759,0.8405749,0.076179266,0.2015115,0.09478961,-10.412499,140.0,-1.2218165,0.98125005,-19.59625,700.0,0.8975
2.9515347,0.10624181,0.8405338,0.07612667,0.20153746,0.0961481,-11.6,150.0,-1.4021403,0.9625,-19.400002,750.0,0.91125
2.9521875,0.10829728,0.8404527,0.075734906,0.20161706,0.09784522,-11.06875,160.0,-1.5003836,0.975,-19.3975,800.0,0.90250003
2.9511287,0.10960979,0.8405358,0.07536078,0.20161535,0.0985776,-9.59375,170.0,-1.0489672,0.99375,-18.55625,850.0,0.925
2.9485235,0.11036989,0.84057236,0.07508942,0.20155185,0.09965593,-9.98125,180.0,-1.0821202,0.9875,-18.45,900.0,0.9375
2.9448748,0.11091389,0.84061885,0.07497569,0.20155855,0.10091138,-10.475,190.0,-1.1616864,0.98125005,-18.869999,950.0,0.91749996
2.9409814,0.11111103,0.8404892,0.07455664,0.20162798,0.1014326,-10.106249,200.0,-1.1376541,0.9875,-17.888752,1000.0,0.93375003
