#{"t_start": 1583352321.1363, "env_id": "FetchReach-v1"}
s,r,l,t
,-50.0,50,1.0047
,-50.0,50,1.740606
,-50.0,50,2.356749
,-45.0,50,2.946132
,-50.0,50,3.471359
,-47.0,50,4.039967
,-37.0,50,4.621675
,-36.0,50,5.164445
,-11.0,50,5.773965
,-27.0,50,6.386901
,-3.0,50,6.960316
,-3.0,50,7.045933
,-4.0,50,7.124785
,-38.0,50,7.223129
,-13.0,50,7.311837
,-4.0,50,7.395521
,-1.0,50,7.479454
,-8.0,50,7.56524
,-1.0,50,7.642859
,-14.0,50,7.72558
,-16.0,50,7.850276
,-9.0,50,8.457211
,-17.0,50,9.038076
,-3.0,50,9.605856
,-13.0,50,10.143634
,-50.0,50,10.707897
,-28.0,50,11.319655
,-15.0,50,11.915326
,-25.0,50,12.475178
,-9.0,50,13.079094
,0.0,50,13.682125
,-3.0,50,13.771073
,-50.0,50,13.869002
,-16.0,50,13.957468
,0.0,50,14.044455
,-25.0,50,14.132006
,-50.0,50,14.216304
,-17.0,50,14.313046
,-10.0,50,14.406093
,-3.0,50,14.489753
,-4.0,50,14.579861
,-17.0,50,15.192419
,-4.0,50,15.760875
,-9.0,50,16.363205
,-4.0,50,16.984637
,-14.0,50,17.58789
,-19.0,50,18.169879
,-13.0,50,18.750465
,-20.0,50,19.367142
,-19.0,50,20.006069
,-36.0,50,20.624092
,-50.0,50,20.70939
,-7.0,50,20.795651
,-1.0,50,20.879875
,-5.0,50,20.967825
,-4.0,50,21.046429
,-7.0,50,21.132499
,-2.0,50,21.212458
,-1.0,50,21.296887
,-2.0,50,21.390025
,-50.0,50,21.485857
,-8.0,50,22.148842
,-17.0,50,22.762724
,-5.0,50,23.361616
,-8.0,50,24.005292
,-21.0,50,24.644887
,-1.0,50,25.228119
,-10.0,50,25.825886
,-7.0,50,26.43721
,-3.0,50,27.092377
,-3.0,50,27.706816
,-1.0,50,27.794163
,-7.0,50,27.894166
,-1.0,50,27.978336
,-1.0,50,28.056246
,-1.0,50,28.146977
,-6.0,50,28.248975
,-9.0,50,28.330629
,-2.0,50,28.420214
,-2.0,50,28.50008
,-10.0,50,28.589931
,-5.0,50,29.252246
,-50.0,50,29.908289
,-20.0,50,30.541212
,-10.0,50,31.211245
,-8.0,50,31.823986
,-6.0,50,32.487943
,-4.0,50,33.161044
,-21.0,50,33.791632
,-31.0,50,34.425366
,-2.0,50,35.10198
,-2.0,50,35.184366
,-4.0,50,35.28517
,-2.0,50,35.370328
,-2.0,50,35.458025
,0.0,50,35.54634
,-4.0,50,35.631421
,-1.0,50,35.709006
,-2.0,50,35.795166
,-1.0,50,35.8752
,-10.0,50,35.967998
,-9.0,50,36.596503
,-10.0,50,37.248611
,-16.0,50,37.88399
,-10.0,50,38.481339
,-10.0,50,39.1179
,-10.0,50,39.788971
,-4.0,50,40.467266
,-11.0,50,41.130946
,-10.0,50,41.737839
,-2.0,50,42.373134
,-2.0,50,42.456719
,-2.0,50,42.548335
,0.0,50,42.630652
,-3.0,50,42.726668
,-2.0,50,42.817758
,0.0,50,42.905848
,-2.0,50,42.988816
,-1.0,50,43.071285
,-3.0,50,43.159323
,-16.0,50,43.255641
,-6.0,50,43.906009
,-8.0,50,44.559988
,-7.0,50,45.220396
,-3.0,50,45.844755
,-16.0,50,46.472086
,-8.0,50,47.106145
,-4.0,50,47.728866
,-20.0,50,48.386683
,-4.0,50,49.044807
,-3.0,50,49.746898
,-2.0,50,49.839126
,-2.0,50,49.932569
,0.0,50,50.016347
,-2.0,50,50.104094
,-1.0,50,50.185039
,-1.0,50,50.268122
,-2.0,50,50.349967
,-2.0,50,50.436229
,-2.0,50,50.521266
,-11.0,50,50.616406
,-21.0,50,51.254891
,-2.0,50,51.918567
,-12.0,50,52.560548
,-14.0,50,53.244216
,-7.0,50,53.919675
,-15.0,50,54.582661
,-10.0,50,55.228902
,-13.0,50,55.92361
,-9.0,50,56.631117
,-1.0,50,57.277403
,-2.0,50,57.364559
,-2.0,50,57.459858
,-1.0,50,57.549025
,-2.0,50,57.63689
,-2.0,50,57.724473
,-2.0,50,57.811732
,-3.0,50,57.915658
,-1.0,50,57.998135
,0.0,50,58.081409
,-8.0,50,58.165236
,-10.0,50,58.840777
,-9.0,50,59.459084
,-17.0,50,60.09705
,-7.0,50,60.72407
,-16.0,50,61.351133
,-6.0,50,62.06296
,-13.0,50,62.82192
,-12.0,50,63.601589
,-13.0,50,64.348639
,-2.0,50,65.062011
,-2.0,50,65.151193
,-2.0,50,65.24652
,-1.0,50,65.339092
,-3.0,50,65.431287
,-2.0,50,65.522631
,-3.0,50,65.620791
,-1.0,50,65.703991
,-2.0,50,65.795699
,-2.0,50,65.877477
,-14.0,50,65.966613
,-9.0,50,66.626557
,-8.0,50,67.339245
,-15.0,50,68.05989
,-7.0,50,68.847145
,-6.0,50,69.61405
,-10.0,50,70.392588
,-10.0,50,71.179729
,-13.0,50,71.888495
,-13.0,50,72.576865
,-1.0,50,73.221069
,-3.0,50,73.311692
,0.0,50,73.397464
,-1.0,50,73.480295
,-1.0,50,73.565157
,-3.0,50,73.650283
,-1.0,50,73.73526
,-1.0,50,73.825529
,-2.0,50,73.912176
,-1.0,50,74.005159
