actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.656953,0.07719009,0.85446423,0.11707885,0.25477475,0.037235763,-44.6,10.0,-0.39521018,0.0,-49.0,10.0,0.0
1.7119831,0.05397802,0.8495767,0.10283057,0.25442427,0.033852078,-26.1,20.0,-1.0383335,0.6,-24.9,20.0,0.7
1.7195435,0.04341292,0.85885006,0.098674305,0.25767136,0.032842666,-6.8,30.0,-0.37296847,1.0,-17.4,30.0,0.8
1.7103626,0.037698913,0.86595553,0.09634021,0.25973243,0.03248191,-7.3,40.0,-0.45454043,1.0,-10.0,40.0,0.8
1.6918476,0.033857618,0.86853844,0.09525057,0.26063505,0.032337185,-2.8,50.0,-0.15773189,1.0,-12.7,50.0,0.8
1.6652521,0.03133298,0.8682208,0.095656246,0.2605147,0.03271833,-2.3,60.0,-0.14677264,1.0,-10.1,60.0,0.9
1.6351417,0.029446868,0.87067634,0.094114125,0.26117808,0.03252591,-1.7,70.0,-0.05440293,1.0,-10.8,70.0,1.0
1.6066738,0.028121123,0.8690433,0.0930315,0.2607788,0.03227232,-1.5,80.0,-0.10997528,1.0,-12.0,80.0,0.8
1.5796703,0.026937133,0.8670967,0.09280175,0.26029655,0.032326616,-1.8,90.0,-0.11294935,1.0,-9.8,90.0,0.8
1.5550497,0.025945542,0.8712465,0.09395356,0.26142555,0.032649938,-2.0,100.0,-0.09851437,1.0,-10.7,100.0,1.0
