#{"t_start": 1583354122.5357802, "env_id": "FetchReach-v1"}
s,r,l,t
,-50.0,50,0.978568
,-44.0,50,1.674049
,-50.0,50,2.210832
,-50.0,50,2.767824
,-36.0,50,3.31699
,-50.0,50,3.859692
,-46.0,50,4.397184
,-36.0,50,4.932487
,-9.0,50,5.450591
,-36.0,50,5.982166
,-12.0,50,6.540185
,-45.0,50,6.647166
,-44.0,50,6.73481
,-28.0,50,6.819077
,0.0,50,6.900109
,-2.0,50,6.988263
,-42.0,50,7.077896
,-47.0,50,7.178765
,-50.0,50,7.260197
,-4.0,50,7.335618
,-2.0,50,7.457654
,-50.0,50,7.986953
,-12.0,50,8.523535
,-50.0,50,9.073804
,-19.0,50,9.625062
,-34.0,50,10.227113
,-8.0,50,10.852655
,-21.0,50,11.552653
,-37.0,50,12.093948
,-45.0,50,12.652867
,-3.0,50,13.208713
,-6.0,50,13.287851
,-3.0,50,13.362677
,-22.0,50,13.455393
,-8.0,50,13.53503
,-4.0,50,13.616007
,-5.0,50,13.698361
,-21.0,50,13.786051
,-9.0,50,13.87243
,-11.0,50,13.95007
,-7.0,50,14.03237
,-11.0,50,14.582051
,-50.0,50,15.153036
,-7.0,50,15.707174
,-15.0,50,16.268176
,-50.0,50,16.828698
,-23.0,50,17.381262
,-11.0,50,17.936538
,-7.0,50,18.488395
,-12.0,50,19.070426
,-3.0,50,19.643516
,-8.0,50,19.726384
,-1.0,50,19.808308
,-5.0,50,19.899458
,-8.0,50,19.981461
,-2.0,50,20.056152
,-10.0,50,20.133975
,-1.0,50,20.213913
,0.0,50,20.288508
,-4.0,50,20.362037
,-15.0,50,20.446044
,-50.0,50,21.046513
,-8.0,50,21.602686
,-14.0,50,22.193607
,-50.0,50,22.787343
,-28.0,50,23.348542
,-50.0,50,23.927859
,-11.0,50,24.501806
,-19.0,50,25.067155
,-10.0,50,25.659002
,-3.0,50,26.234023
,-3.0,50,26.314202
,-1.0,50,26.398561
,-3.0,50,26.47651
,-4.0,50,26.562787
,-3.0,50,26.644221
,-6.0,50,26.726532
,-9.0,50,26.820957
,-2.0,50,26.909016
,-3.0,50,26.99167
,-1.0,50,27.076369
,-10.0,50,27.711241
,-50.0,50,28.311144
,-10.0,50,28.907758
,-9.0,50,29.493749
,-7.0,50,30.065393
,-2.0,50,30.67315
,-6.0,50,31.256264
,-6.0,50,31.829526
,-8.0,50,32.407316
,-14.0,50,33.009905
,-7.0,50,33.087624
,-3.0,50,33.169253
,-1.0,50,33.24932
,-3.0,50,33.328347
,-2.0,50,33.420658
,-2.0,50,33.504303
,-1.0,50,33.580452
,-6.0,50,33.665852
,-3.0,50,33.74582
,-7.0,50,33.829875
,0.0,50,34.392078
,-7.0,50,34.982986
,-10.0,50,35.570097
,-9.0,50,36.141444
,-8.0,50,36.715305
,-6.0,50,37.289246
,-4.0,50,37.875369
,-9.0,50,38.46725
,-8.0,50,39.045506
,-2.0,50,39.642945
,0.0,50,39.723563
,-2.0,50,39.802494
,-4.0,50,39.880042
,-3.0,50,39.966104
,-2.0,50,40.047269
,-1.0,50,40.129472
,-2.0,50,40.213358
,-1.0,50,40.290157
,-2.0,50,40.369379
,-15.0,50,40.450552
,-16.0,50,41.038371
,-10.0,50,41.624412
,-8.0,50,42.203971
,-6.0,50,42.803154
,-19.0,50,43.402741
,-9.0,50,43.987648
,-14.0,50,44.581467
,-10.0,50,45.188061
,-4.0,50,45.77761
,-2.0,50,46.364049
,-3.0,50,46.456004
,-1.0,50,46.535835
,-1.0,50,46.616454
,-1.0,50,46.695124
,-3.0,50,46.775027
,-2.0,50,46.864171
,-1.0,50,46.943788
,-2.0,50,47.02464
,-3.0,50,47.114428
,-16.0,50,47.195662
,-12.0,50,47.795046
,-7.0,50,48.393292
,-8.0,50,48.996342
,-11.0,50,49.58095
,-1.0,50,50.175507
,-9.0,50,50.770513
,-17.0,50,51.401052
,-16.0,50,52.020805
,-11.0,50,52.662361
,-3.0,50,53.27552
,-3.0,50,53.357524
,-1.0,50,53.448245
,-2.0,50,53.533156
,-3.0,50,53.611872
,-2.0,50,53.692053
,-1.0,50,53.774886
,-1.0,50,53.861312
,-3.0,50,53.945457
,-2.0,50,54.027363
,-7.0,50,54.105331
,-12.0,50,54.741693
,-9.0,50,55.356614
,-9.0,50,55.965358
,-13.0,50,56.571299
,-10.0,50,57.167838
,-16.0,50,57.804269
,-17.0,50,58.423898
,-15.0,50,59.017158
,-7.0,50,59.627168
,-3.0,50,60.22483
,-3.0,50,60.298557
,-1.0,50,60.37426
,-1.0,50,60.45584
,-3.0,50,60.535981
,-1.0,50,60.622083
,-1.0,50,60.697656
,-1.0,50,60.775191
,-3.0,50,60.854765
,-2.0,50,60.934577
,-1.0,50,61.011713
,-13.0,50,61.616403
,-11.0,50,62.223965
,-11.0,50,62.846368
,-22.0,50,63.443241
,-9.0,50,64.050779
,-12.0,50,64.651133
,-14.0,50,65.251054
,-8.0,50,65.854587
,-11.0,50,66.44842
,-3.0,50,67.056112
,-2.0,50,67.140717
,-3.0,50,67.221654
,-1.0,50,67.295735
,-2.0,50,67.375351
,-3.0,50,67.45967
,-1.0,50,67.538603
,-3.0,50,67.61781
,0.0,50,67.693394
,-3.0,50,67.768182
