actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.7094276,0.06876914,0.8504305,0.10361878,0.25853235,0.03394193,-39.5,10.0,-0.7228849,0.2,-46.8,10.0,0.1
1.7263707,0.048963603,0.85465527,0.096735984,0.25801665,0.03175191,-33.4,20.0,-1.612071,0.4,-23.5,20.0,0.5
1.7094439,0.04026535,0.8607001,0.09326259,0.25904927,0.030884141,-7.6,30.0,-0.4509841,1.0,-22.1,30.0,0.5
1.6922629,0.035514735,0.8627015,0.090470105,0.25979313,0.030499091,-7.7,40.0,-0.41380042,0.9,-18.2,40.0,0.9
1.6741226,0.032075014,0.86741287,0.08856762,0.2609885,0.030249828,-3.0,50.0,-0.28456944,1.0,-14.9,50.0,0.7
1.6497539,0.030000038,0.8706139,0.09045482,0.26167232,0.031078968,-1.6,60.0,-0.20065644,1.0,-12.9,60.0,1.0
1.625264,0.028371783,0.8756607,0.08805806,0.26298338,0.030530518,-1.9,70.0,-0.117697656,1.0,-10.6,70.0,0.9
1.5994111,0.027099194,0.8770674,0.087191254,0.2633379,0.030443888,-2.4,80.0,-0.14578989,1.0,-11.0,80.0,0.9
1.5755424,0.026071671,0.87805575,0.08598865,0.26362768,0.030195678,-1.5,90.0,-0.07673885,1.0,-12.0,90.0,0.9
1.553475,0.025173336,0.8773349,0.08670387,0.26337925,0.030608144,-1.8,100.0,-0.1572603,1.0,-12.5,100.0,0.8
