,mean,amin,amax,median,std,var
1,-49.76874923706055,-50.0,-49.537498474121094,-49.76874923706055,0.23125076293945312,0.05347691536007915
2,-49.803123474121094,-49.974998474121094,-49.631248474121094,-49.803123474121094,0.171875,0.029541015625
3,-49.92500114440918,-49.962501525878906,-49.88750076293945,-49.92500114440918,0.03750038146972656,0.0014062786103750113
4,-49.83749961853027,-49.849998474121094,-49.82500076293945,-49.83749961853027,0.012498855590820312,0.00015622139108018018
5,-49.387502670288086,-49.56875228881836,-49.20625305175781,-49.387502670288086,0.18124961853027344,0.03285142421736964
6,-49.078125,-49.306251525878906,-48.849998474121094,-49.078125,0.22812652587890625,0.05204171180957928
7,-48.72812271118164,-48.94999694824219,-48.506248474121094,-48.72812271118164,0.22187423706054688,0.04922817707119975
8,-48.599998474121094,-48.71875,-48.48124694824219,-48.599998474121094,0.11875152587890625,0.01410192489856854
9,-47.80937576293945,-47.931251525878906,-47.6875,-47.80937576293945,0.12187576293945312,0.014853701592073776
10,-47.25312423706055,-47.8125,-46.693748474121094,-47.25312423706055,0.5593757629394531,0.31290124416409526
11,-46.36874771118164,-46.82499694824219,-45.912498474121094,-46.36874771118164,0.4562492370605469,0.2081633663183311
12,-45.337501525878906,-45.618751525878906,-45.056251525878906,-45.337501525878906,0.28125,0.0791015625
13,-43.44687461853027,-43.51874923706055,-43.375,-43.44687461853027,0.07187461853027344,0.005165960788872326
14,-42.771873474121094,-43.381248474121094,-42.162498474121094,-42.771873474121094,0.609375,0.371337890625
15,-42.21562576293945,-43.368751525878906,-41.0625,-42.21562576293945,1.1531257629394531,1.3296990251546958
16,-41.02187538146973,-41.212501525878906,-40.83124923706055,-41.02187538146973,0.1906261444091797,0.03633832693230943
17,-38.39374923706055,-38.4375,-38.349998474121094,-38.39374923706055,0.043750762939453125,0.001914129257784225
18,-40.943748474121094,-41.59375,-40.29374694824219,-40.943748474121094,0.6500015258789062,0.42250198364490643
19,-37.98125076293945,-38.462501525878906,-37.5,-37.98125076293945,0.4812507629394531,0.2316022968298057
20,-38.22500038146973,-38.587501525878906,-37.86249923706055,-38.22500038146973,0.3625011444091797,0.13140707969796495
21,-37.11562538146973,-37.16875076293945,-37.0625,-37.11562538146973,0.05312538146972656,0.0028223061563039664
22,-35.39374923706055,-36.54374694824219,-34.243751525878906,-35.39374923706055,1.1499977111816406,1.3224947357230121
23,-36.421875,-36.80000305175781,-36.04374694824219,-36.421875,0.3781280517578125,0.14298082352615893
24,-37.64999961853027,-37.78125,-37.51874923706055,-37.64999961853027,0.13125038146972656,0.017226662635948742
25,-35.51874923706055,-36.006248474121094,-35.03125,-35.51874923706055,0.4874992370605469,0.23765550613461528
26,-34.15312385559082,-35.64374923706055,-32.662498474121094,-34.15312385559082,1.4906253814697266,2.221964027881768
27,-35.103126525878906,-35.58125305175781,-34.625,-35.103126525878906,0.47812652587890625,0.2286049747490324
28,-34.89374923706055,-35.94999694824219,-33.837501525878906,-34.89374923706055,1.0562477111816406,1.1156592273764545
29,-34.99374961853027,-36.01249694824219,-33.97500228881836,-34.99374961853027,1.018747329711914,1.0378461217951553
30,-34.412498474121094,-36.506248474121094,-32.318748474121094,-34.412498474121094,2.09375,4.3837890625
31,-34.665626525878906,-35.837501525878906,-33.493751525878906,-34.665626525878906,1.171875,1.373291015625
32,-35.849998474121094,-37.53125,-34.16874694824219,-35.849998474121094,1.6812515258789062,2.8266066932701506
33,-34.868751525878906,-36.39375305175781,-33.34375,-34.868751525878906,1.5250015258789062,2.3256296539329924
34,-36.265625,-37.337501525878906,-35.193748474121094,-36.265625,1.0718765258789062,1.1489192867302336
35,-33.24062442779541,-34.51874923706055,-31.962499618530273,-33.24062442779541,1.2781248092651367,1.6336030280590421
36,-33.50312328338623,-35.04374694824219,-31.962499618530273,-33.50312328338623,1.540623664855957,2.3735212767142
37,-35.321876525878906,-35.40625,-35.23750305175781,-35.321876525878906,0.08437347412109375,0.007118883135262877
38,-32.749999046325684,-33.568748474121094,-31.931249618530273,-32.749999046325684,0.8187494277954102,0.6703506255153115
39,-34.83749961853027,-37.03125,-32.64374923706055,-34.83749961853027,2.1937503814697266,4.812540736198571
40,-32.98749923706055,-33.29374694824219,-32.681251525878906,-32.98749923706055,0.3062477111816406,0.09378766060399357
41,-33.31562614440918,-33.92500305175781,-32.70624923706055,-33.31562614440918,0.6093769073486328,0.3713402152097842
42,-33.36562538146973,-34.431251525878906,-32.29999923706055,-33.36562538146973,1.0656261444091797,1.1355590796483739
43,-34.12812805175781,-35.39375305175781,-32.86250305175781,-34.12812805175781,1.265625,1.601806640625
44,-33.45312309265137,-34.61249923706055,-32.29374694824219,-33.45312309265137,1.1593761444091797,1.344153044225095
45,-34.41875076293945,-35.181251525878906,-33.65625,-34.41875076293945,0.7625007629394531,0.5814074134832481
46,-34.915626525878906,-36.493751525878906,-33.337501525878906,-34.915626525878906,1.578125,2.490478515625
47,-36.15312576293945,-37.212501525878906,-35.09375,-36.15312576293945,1.0593757629394531,1.1222770071035484
48,-36.40312576293945,-37.587501525878906,-35.21875,-36.40312576293945,1.1843757629394531,1.4027459478384117
49,-35.453125,-36.150001525878906,-34.756248474121094,-35.453125,0.6968765258789062,0.4856368923210539
50,-36.728126525878906,-36.75,-36.70625305175781,-36.728126525878906,0.02187347412109375,0.000478448870126158
51,-35.71875,-36.681251525878906,-34.756248474121094,-35.71875,0.9625015258789062,0.9264091873192228
52,-36.09375,-37.28125,-34.90625,-36.09375,1.1875,1.41015625
53,-37.01875114440918,-39.900001525878906,-34.13750076293945,-37.01875114440918,2.8812503814697266,8.301603760719445
54,-34.64375114440918,-34.91875076293945,-34.368751525878906,-34.64375114440918,0.27499961853027344,0.07562479019179591
55,-35.39687538146973,-36.26250076293945,-34.53125,-35.39687538146973,0.8656253814697266,0.7493073010446096
56,-35.671875,-35.693748474121094,-35.650001525878906,-35.671875,0.02187347412109375,0.000478448870126158
57,-34.32812690734863,-35.212501525878906,-33.44375228881836,-34.32812690734863,0.8843746185302734,0.7821184659005667
58,-35.01250076293945,-36.76250076293945,-33.26250076293945,-35.01250076293945,1.75,3.0625
59,-34.390625,-35.818748474121094,-32.962501525878906,-34.390625,1.4281234741210938,2.0395366573357023
60,-34.21562385559082,-34.38749694824219,-34.04375076293945,-34.21562385559082,0.1718730926513672,0.02954035997754545
61,-33.65312576293945,-34.40625,-32.900001525878906,-33.65312576293945,0.7531242370605469,0.5671961164480308
62,-34.74374961853027,-35.20624923706055,-34.28125,-34.74374961853027,0.46249961853027344,0.21390589714064845
63,-33.87187385559082,-34.349998474121094,-33.39374923706055,-33.87187385559082,0.47812461853027344,0.2286031508447195
64,-34.30000114440918,-34.587501525878906,-34.01250076293945,-34.30000114440918,0.28750038146972656,0.08265646934523829
65,-33.74999809265137,-33.94999694824219,-33.54999923706055,-33.74999809265137,0.1999988555908203,0.0399995422376378
66,-35.05624961853027,-37.20624923706055,-32.90625,-35.05624961853027,2.1499996185302734,4.622498359680321
67,-32.11875057220459,-33.431251525878906,-30.806249618530273,-32.11875057220459,1.3125009536743164,1.72265875339599
68,-32.556251525878906,-32.875,-32.23750305175781,-32.556251525878906,0.31874847412109375,0.10160058975452557
69,-33.93437576293945,-35.38125228881836,-32.48749923706055,-33.93437576293945,1.4468765258789062,2.0934516811394133
70,-31.306249618530273,-31.53125,-31.081249237060547,-31.306249618530273,0.22500038146972656,0.05062517166152247
71,-33.82812309265137,-34.568748474121094,-33.08749771118164,-33.82812309265137,0.7406253814697266,0.548525955677178
72,-33.67500114440918,-34.556251525878906,-32.79375076293945,-33.67500114440918,0.8812503814697266,0.7766022348405386
73,-34.109375,-35.07500076293945,-33.14374923706055,-34.109375,0.9656257629394531,0.9324331140524009
74,-32.63124942779541,-33.29375076293945,-31.968748092651367,-32.63124942779541,0.662501335144043,0.43890801906763954
