actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.8529004,0.011590339,0.745786,0.11842653,0.16507593,0.058521014,-49.5375,10.0,-3.1063175,0.012500000186264515,-49.82375,50.0,0.0037499999161809683
2.3330357,0.009579705,0.7456414,0.12089294,0.16542841,0.05889656,-49.975,20.0,-5.191169,0.0,-49.89125,100.0,0.0012499999720603228
2.7187994,0.009749774,0.7457037,0.12233844,0.1653666,0.060762595,-49.9625,30.0,-7.1364307,0.0,-49.925,150.0,0.0012499999720603228
3.0910263,0.012106681,0.7462387,0.13064215,0.16603588,0.06639635,-49.825,40.0,-8.9055,0.0,-49.87375,200.0,0.0024999999441206455
3.4565578,0.016595645,0.7475567,0.13687363,0.1668487,0.071980506,-49.206253,50.0,-10.151707,0.012500000186264515,-49.4875,250.0,0.007499999832361937
3.8078551,0.022584323,0.7503114,0.14680283,0.16773878,0.077785514,-48.85,60.0,-11.0999365,0.03125000046566129,-49.13375,300.0,0.014999999664723873
4.168103,0.029608851,0.75258225,0.15745674,0.1686514,0.08412024,-48.50625,70.0,-12.196224,0.02500000037252903,-49.14,350.0,0.021249999525025487
4.5156374,0.037178867,0.75383806,0.1645758,0.1693408,0.08985662,-48.481247,80.0,-13.163302,0.02500000037252903,-49.16,400.0,0.00874999980442226
4.828413,0.045169286,0.7558336,0.16906942,0.17005238,0.09310618,-47.93125,90.0,-13.680089,0.02500000037252903,-48.78,450.0,0.01749999960884452
5.1091537,0.053947758,0.7579091,0.17386328,0.17063883,0.096609995,-47.8125,100.0,-14.023419,0.03125000046566129,-48.697502,500.0,0.018749999348074198
5.364669,0.0631036,0.76038504,0.17848898,0.17138419,0.100029096,-46.824997,110.0,-13.730991,0.03125000046566129,-47.905,550.0,0.041249998
5.598192,0.07217607,0.76378614,0.1824339,0.17197534,0.10264987,-45.61875,120.0,-14.533615,0.08125000121071935,-47.99125,600.0,0.029999999096617103
5.8153954,0.08071914,0.76754373,0.18406029,0.17270832,0.1035328,-43.51875,130.0,-12.923365,0.11875000363215804,-46.775,650.0,0.06875
6.01313,0.088280134,0.7694092,0.18651111,0.17314786,0.104621075,-42.1625,140.0,-12.628263,0.15000000642612576,-47.08,700.0,0.053749997
6.196155,0.09556979,0.7721269,0.18796241,0.1736136,0.10540967,-41.0625,150.0,-13.257535,0.1687500043772161,-46.41625,750.0,0.085
6.3696265,0.10290827,0.774679,0.18900073,0.17416899,0.10576005,-40.83125,160.0,-13.905749,0.15000000316649675,-46.20375,800.0,0.08624999
6.5338917,0.110136814,0.77663803,0.19045068,0.17459574,0.10631347,-38.4375,170.0,-12.676615,0.28125,-45.915,850.0,0.0925
6.692034,0.117584124,0.7786519,0.19192332,0.17500865,0.107142374,-40.293747,180.0,-14.81686,0.2249999986961484,-45.88875,900.0,0.1
6.844239,0.12505117,0.7806945,0.19289094,0.17545842,0.107812665,-38.4625,190.0,-12.962959,0.275,-44.932503,950.0,0.12375
6.990467,0.13264348,0.7829881,0.19356252,0.1759095,0.10806773,-37.8625,200.0,-12.4627695,0.30625,-44.909996,1000.0,0.145
7.1316977,0.1404111,0.785471,0.19344307,0.17647484,0.10803908,-37.16875,210.0,-13.011521,0.2750000199303031,-45.197502,1050.0,0.12125
7.2665687,0.14820647,0.78731257,0.19341765,0.17696734,0.10823094,-34.24375,220.0,-10.887096,0.45000002,-44.963753,1100.0,0.11499999789521098
7.394897,0.15615365,0.78928286,0.19331539,0.17735915,0.10849949,-36.043747,230.0,-11.429024,0.4375,-45.364998,1150.0,0.1225
7.5177965,0.16420272,0.7910672,0.19320251,0.17780374,0.10857111,-37.51875,240.0,-11.942816,0.4125,-45.0,1200.0,0.145
7.636319,0.17250308,0.7926914,0.19289602,0.17817947,0.10872573,-36.00625,250.0,-13.117087,0.375,-44.87,1250.0,0.13374999
7.750837,0.18098179,0.79429847,0.19254266,0.1785649,0.10874881,-32.6625,260.0,-11.238832,0.48749998,-45.1575,1300.0,0.12499999
7.8625755,0.18960813,0.79588324,0.19209403,0.17888494,0.10859224,-35.581253,270.0,-13.269481,0.3625,-44.3975,1350.0,0.15
7.9699287,0.1984802,0.79701257,0.19217248,0.17914432,0.10871659,-33.8375,280.0,-11.263595,0.4375000074505806,-44.81,1400.0,0.1325
8.074012,0.20760052,0.798214,0.19196801,0.17942676,0.108782284,-33.975002,290.0,-12.816311,0.40625003,-44.872498,1450.0,0.14625001
8.174734,0.21699324,0.7991414,0.19190025,0.17962095,0.1089013,-32.31875,300.0,-10.501632,0.47500002,-44.95375,1500.0,0.13499999
8.272867,0.22673485,0.8001992,0.19157459,0.17990376,0.10899042,-33.49375,310.0,-12.160564,0.475,-44.6675,1550.0,0.14875
8.367558,0.23651215,0.8012807,0.19118148,0.18018857,0.109019145,-34.168747,320.0,-11.5678835,0.48125,-44.89125,1600.0,0.1575
8.457005,0.24625087,0.80238193,0.19111884,0.18039866,0.10919986,-33.34375,330.0,-11.582909,0.48125,-45.48,1650.0,0.11875
8.542689,0.25591227,0.8032988,0.19121923,0.18065444,0.10942388,-35.19375,340.0,-12.497978,0.45625,-45.188747,1700.0,0.13125
8.624502,0.26554483,0.8040349,0.19100666,0.18089586,0.10947608,-31.9625,350.0,-10.791793,0.54375005,-44.903748,1750.0,0.13749999
8.704037,0.27510965,0.8047743,0.1908951,0.18117449,0.1094682,-31.9625,360.0,-11.339835,0.5375,-45.457497,1800.0,0.105
