#{"t_start": 1583346927.7060268, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,5.398005
,-50.0,50,7.334347
,-50.0,50,8.923632
,-50.0,50,10.547417
,-50.0,50,12.19921
,-50.0,50,13.835142
,-50.0,50,15.44249
,-50.0,50,17.07689
,-50.0,50,18.706011
,-50.0,50,20.361516
,-50.0,50,22.01018
,-50.0,50,23.651196
,-50.0,50,25.272023
,-50.0,50,26.886381
,-50.0,50,28.503269
,-50.0,50,30.142996
,-50.0,50,31.760046
,-50.0,50,33.41337
,-50.0,50,35.030233
,-50.0,50,36.636579
,-50.0,50,38.246344
,-50.0,50,39.926898
,-50.0,50,41.537939
,-50.0,50,43.188601
,-50.0,50,44.766626
,-50.0,50,46.441153
,-50.0,50,48.053652
,-50.0,50,49.65339
,-50.0,50,51.303406
,-50.0,50,52.914586
,-50.0,50,54.569767
,-50.0,50,56.182089
,-50.0,50,57.807619
,-50.0,50,59.487048
,-50.0,50,61.128127
,-50.0,50,62.745153
,-50.0,50,64.369542
,-50.0,50,66.010258
,-50.0,50,67.626902
,-50.0,50,69.237893
,-50.0,50,70.895882
,-50.0,50,72.531288
,-50.0,50,74.188164
,-50.0,50,75.805326
,-50.0,50,77.401471
,-50.0,50,79.030908
,-50.0,50,80.650015
,-50.0,50,82.303152
,-50.0,50,83.951413
,-50.0,50,85.598411
,-50.0,50,87.253424
,-50.0,50,87.529108
,-50.0,50,87.813834
,-50.0,50,88.112178
,-50.0,50,88.397829
,-50.0,50,88.65586
,-50.0,50,88.92425
,-50.0,50,89.207507
,-50.0,50,89.482873
,-50.0,50,89.762402
,-50.0,50,90.156705
,-50.0,50,91.786249
,-50.0,50,93.439646
,-50.0,50,95.044787
,-50.0,50,96.680282
,-50.0,50,98.272075
,-50.0,50,99.92163
,-50.0,50,101.549523
,-50.0,50,103.200898
,-50.0,50,104.785391
,-50.0,50,106.442052
,-50.0,50,108.048925
,-50.0,50,109.689142
,-50.0,50,111.291155
,-50.0,50,112.89493
,-50.0,50,114.564845
,-50.0,50,116.168252
,-50.0,50,117.822531
,-50.0,50,119.473672
,-50.0,50,121.066981
,-50.0,50,122.693987
,-50.0,50,124.331163
,-50.0,50,125.913571
,-50.0,50,127.543386
,-50.0,50,129.178369
,-50.0,50,130.782883
,-50.0,50,132.426254
,-50.0,50,134.016282
,-50.0,50,135.645182
,-50.0,50,137.283125
,-50.0,50,138.903551
,-50.0,50,140.51434
,-50.0,50,142.140203
,-50.0,50,143.754423
,-50.0,50,145.350324
,-50.0,50,146.981452
,-50.0,50,148.63591
,-22.0,50,150.224341
,-50.0,50,151.859001
,-50.0,50,153.493733
,-50.0,50,155.109141
,-50.0,50,156.733978
,-50.0,50,158.376819
,-50.0,50,160.00768
,-50.0,50,161.666694
,-50.0,50,163.281741
,-50.0,50,164.919995
,-50.0,50,166.524719
,-50.0,50,168.177561
,-50.0,50,169.801539
,-50.0,50,171.426246
,-50.0,50,171.675611
,-50.0,50,171.937175
,-50.0,50,172.236939
,-50.0,50,172.508701
,-50.0,50,172.775739
,-50.0,50,173.057015
,-50.0,50,173.372508
,-50.0,50,173.657684
,-50.0,50,173.93154
,-50.0,50,174.337342
,-50.0,50,175.970554
,-50.0,50,177.563793
,-50.0,50,179.226339
,-50.0,50,180.839599
,-50.0,50,182.510739
,-50.0,50,184.096022
,-50.0,50,185.727204
,-50.0,50,187.395468
,-50.0,50,188.983265
,-50.0,50,190.62334
,-50.0,50,192.27559
,-50.0,50,193.90159
,-50.0,50,195.552013
,-50.0,50,197.162034
,-50.0,50,198.795617
,-50.0,50,200.440362
,-50.0,50,202.085261
,-50.0,50,203.686948
,-50.0,50,205.336695
,-50.0,50,206.946236
,-50.0,50,208.606129
,-50.0,50,210.207564
,-50.0,50,211.887866
,-50.0,50,213.514048
,-50.0,50,215.145716
,-50.0,50,216.831987
,-50.0,50,218.462379
,-50.0,50,220.086508
,-50.0,50,221.746418
,-50.0,50,223.37698
,-50.0,50,225.003226
,-50.0,50,226.601286
,-50.0,50,228.272769
,-50.0,50,229.909749
,-50.0,50,231.552089
,-50.0,50,233.16287
,-50.0,50,234.79057
,-50.0,50,236.407179
,-50.0,50,238.005482
,-50.0,50,239.640412
