#{"t_start": 1583513735.992094, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,5.963169
,-50.0,50,7.828917
,-50.0,50,9.476566
,-50.0,50,11.1385
,-50.0,50,12.748495
,-50.0,50,14.401342
,-50.0,50,15.995309
,-50.0,50,17.652722
,-50.0,50,19.283497
,-50.0,50,20.891359
,-50.0,50,22.504605
,-50.0,50,24.122559
,-50.0,50,25.785528
,-50.0,50,27.416789
,-50.0,50,29.037688
,-50.0,50,30.682296
,-50.0,50,32.326484
,-50.0,50,33.922735
,-50.0,50,35.566184
,-50.0,50,37.164769
,-50.0,50,38.809323
,-50.0,50,40.472306
,-50.0,50,42.045313
,-50.0,50,43.712003
,-50.0,50,45.360233
,-50.0,50,46.981234
,-50.0,50,48.623849
,-50.0,50,50.21541
,-50.0,50,51.854265
,-50.0,50,53.449385
,-50.0,50,55.078968
,-50.0,50,56.729798
,-50.0,50,58.358177
,0.0,50,59.963247
,-50.0,50,61.57465
,-50.0,50,63.199777
,-50.0,50,64.877452
,-50.0,50,66.493999
,-50.0,50,68.112538
,-50.0,50,69.713805
,-50.0,50,71.328774
,-50.0,50,72.974688
,-50.0,50,74.611652
,-50.0,50,76.221387
,-50.0,50,77.820519
,-50.0,50,79.45926
,-50.0,50,81.103605
,-50.0,50,82.703235
,-50.0,50,84.345333
,-50.0,50,85.953381
,-50.0,50,87.652013
,-50.0,50,87.965517
,-50.0,50,88.240921
,-50.0,50,88.534693
,-50.0,50,88.836899
,-50.0,50,89.104719
,-50.0,50,89.386513
,-50.0,50,89.687476
,-50.0,50,89.975181
,-50.0,50,90.250243
,-50.0,50,90.761128
,-50.0,50,92.340117
,-50.0,50,93.978197
,-50.0,50,95.598674
,-50.0,50,97.255227
,-50.0,50,98.867966
,-50.0,50,100.531376
,-50.0,50,102.127542
,-50.0,50,103.76348
,-50.0,50,105.367264
,-50.0,50,107.000738
,-50.0,50,108.702932
,-50.0,50,110.288726
,-50.0,50,111.90331
,-50.0,50,113.571796
,-50.0,50,115.155904
,-50.0,50,116.78013
,-50.0,50,118.40872
,-50.0,50,120.054027
,-50.0,50,121.651663
,-50.0,50,123.266355
,-50.0,50,124.921132
,-50.0,50,126.494946
,-50.0,50,128.159443
,-50.0,50,129.788355
,-50.0,50,131.41657
,-50.0,50,133.059792
,-50.0,50,134.63588
,-50.0,50,136.301339
,-50.0,50,137.895351
,-50.0,50,139.513625
,-50.0,50,141.151607
,-50.0,50,142.783493
,-50.0,50,144.405607
,-50.0,50,146.083716
,-50.0,50,147.689784
,-50.0,50,149.307773
,-42.0,50,150.945908
,-50.0,50,152.561676
,-50.0,50,154.201736
,-50.0,50,155.796117
,-50.0,50,157.486924
,-50.0,50,159.104094
,-50.0,50,160.717861
,-50.0,50,162.375182
,-50.0,50,164.013451
,-50.0,50,165.656276
,-50.0,50,167.242816
,-50.0,50,168.908587
,-50.0,50,170.52263
,-50.0,50,172.167949
,-50.0,50,172.462265
,-50.0,50,172.742593
,-50.0,50,173.026504
,-50.0,50,173.31457
,-50.0,50,173.63658
,-50.0,50,173.92024
,-50.0,50,174.19043
,-50.0,50,174.464997
,-50.0,50,174.717553
,-50.0,50,175.053342
,-50.0,50,176.694556
,-50.0,50,178.321943
,-50.0,50,179.991901
,-50.0,50,181.603663
,-50.0,50,183.258118
,-50.0,50,184.900294
,-50.0,50,186.498291
,-50.0,50,188.153189
,-50.0,50,189.787505
,-50.0,50,191.396907
,-50.0,50,193.029348
,-50.0,50,194.643097
,-50.0,50,196.260224
,-50.0,50,197.909325
,-50.0,50,199.5071
,-50.0,50,201.157015
,-50.0,50,202.790909
,-50.0,50,204.428431
,-50.0,50,206.083667
,-50.0,50,207.6912
,-50.0,50,209.331351
,-50.0,50,210.945947
,-50.0,50,212.607212
,-50.0,50,214.231486
,-50.0,50,215.831184
,-50.0,50,217.484748
,-50.0,50,219.087732
,-50.0,50,220.732628
,-50.0,50,222.353552
,-50.0,50,224.036491
,-50.0,50,225.638845
,-50.0,50,227.29955
,-50.0,50,228.966667
,-50.0,50,230.563945
,-50.0,50,232.208908
,-50.0,50,233.829415
,-50.0,50,235.469558
,-50.0,50,237.054686
,-50.0,50,238.686793
,-50.0,50,240.339457
,-50.0,50,241.946249
,-50.0,50,243.567395
,-50.0,50,245.240291
,-50.0,50,246.824791
,-50.0,50,248.50106
,-50.0,50,250.145754
,-50.0,50,251.775612
,-50.0,50,253.437682
,-50.0,50,255.020947
,-50.0,50,256.705351
,-50.0,50,257.017044
,-50.0,50,257.302168
,-50.0,50,257.654038
,-50.0,50,257.955327
,-50.0,50,258.224489
,-50.0,50,258.511281
,-50.0,50,258.812275
,-50.0,50,259.097868
,-50.0,50,259.398853
,-50.0,50,259.772725
,-50.0,50,261.390132
,-50.0,50,263.039876
,-50.0,50,264.647068
,-50.0,50,266.277515
,-50.0,50,267.909886
,-50.0,50,269.580619
,-50.0,50,271.210886
,-50.0,50,272.830314
,-47.0,50,274.461042
,-50.0,50,276.114739
,-50.0,50,277.698897
,-50.0,50,279.339221
,-50.0,50,280.983027
,-50.0,50,282.595616
,-50.0,50,284.257225
,-50.0,50,285.86422
,-50.0,50,287.52832
,-50.0,50,289.137446
,-50.0,50,290.771435
,-50.0,50,292.422638
,-50.0,50,294.05207
,-50.0,50,295.709883
,-50.0,50,297.319577
,-50.0,50,298.976562
,-50.0,50,300.560636
,-50.0,50,302.240245
,-50.0,50,303.861396
,-50.0,50,305.470678
,-50.0,50,307.114568
,-50.0,50,308.759067
,-50.0,50,310.384928
,-50.0,50,312.057053
,-50.0,50,313.702614
,-50.0,50,315.325298
,-50.0,50,316.944879
,-50.0,50,318.585019
,-50.0,50,320.191022
,-50.0,50,321.907312
,-50.0,50,323.495606
,-50.0,50,325.151735
,-50.0,50,326.792312
,-50.0,50,328.428319
,-50.0,50,330.052565
,-50.0,50,331.719249
,-50.0,50,333.362722
,-50.0,50,334.999784
,-50.0,50,336.675616
,-50.0,50,338.294877
,-50.0,50,339.915327
,-50.0,50,341.590563
,-50.0,50,341.890244
,-50.0,50,342.167105
,-50.0,50,342.465375
,-50.0,50,342.736516
,-50.0,50,343.078764
,-50.0,50,343.373342
,-50.0,50,343.645761
,-50.0,50,343.944832
,-50.0,50,344.251161
,-50.0,50,344.679523
