actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.9356782,0.011679897,0.739078,0.12566482,0.16496474,0.06408015,-50.0,10.0,-3.163681,0.0,-49.895,50.0,0.0024999999441206455
2.414166,0.010334463,0.7384007,0.13016261,0.16499647,0.06500682,-49.6875,20.0,-5.1586185,0.0062500000931322575,-49.78875,100.0,0.0037499999161809683
2.8070583,0.011475197,0.73902255,0.13451311,0.16535178,0.06740148,-49.63125,30.0,-7.1494036,0.0062500000931322575,-49.845,150.0,0.0024999999441206455
3.1549187,0.014194387,0.73932725,0.13875467,0.1653514,0.06856189,-49.8625,40.0,-8.903524,0.0,-49.752502,200.0,0.0037499999161809683
3.4902134,0.019207992,0.7417178,0.14498335,0.16604048,0.073057845,-49.65,50.0,-10.193525,0.0,-49.4625,250.0,0.00874999980442226
3.8216214,0.025523242,0.7436695,0.14840892,0.16629969,0.07691785,-48.5,60.0,-11.525739,0.037500000558793545,-49.184998,300.0,0.012499999720603228
4.1466823,0.03377058,0.7461126,0.15389645,0.16689537,0.08146188,-47.56875,70.0,-12.091825,0.0437500006519258,-48.86875,350.0,0.02249999949708581
4.4641104,0.043609288,0.7489725,0.16274635,0.16775103,0.08817539,-47.362503,80.0,-12.726735,0.04375000111758709,-48.67125,400.0,0.024999999441206455
4.7706156,0.054298982,0.7517698,0.17084503,0.16846243,0.09462478,-46.918747,90.0,-13.2633915,0.06250000046566129,-48.136253,450.0,0.03874999959953129
5.0598593,0.06494869,0.75528336,0.1759445,0.16945356,0.098732844,-47.03125,100.0,-13.299381,0.06875000102445483,-47.753746,500.0,0.04375000135041773
5.332309,0.07487334,0.7593755,0.17785944,0.17068326,0.09994795,-45.29375,110.0,-13.027181,0.08125000214204192,-47.793747,550.0,0.05249999859370291
5.5776844,0.08380017,0.76241916,0.1787852,0.1715947,0.10013527,-44.449997,120.0,-12.613398,0.11250000260770321,-46.895004,600.0,0.053749999264255166
5.7971587,0.0921094,0.76503706,0.17950404,0.17229442,0.10048539,-42.74375,130.0,-12.440044,0.15624999906867743,-46.7975,650.0,0.07125
5.996297,0.099602975,0.7690546,0.18025279,0.17324007,0.100913,-42.66875,140.0,-12.893503,0.11875000223517418,-46.55875,700.0,0.067499995
6.181614,0.10676865,0.7729277,0.18196547,0.17413561,0.101815194,-40.63125,150.0,-12.016331,0.19375000149011612,-46.7425,750.0,0.07749999850057065
6.358863,0.11385022,0.77709466,0.18329239,0.17520109,0.10300983,-39.38125,160.0,-11.786806,0.23125002,-45.754997,800.0,0.10125001
6.5288744,0.120974615,0.780344,0.1843782,0.17609377,0.10366725,-37.74375,170.0,-10.972546,0.325,-45.5,850.0,0.113749996
6.693871,0.1282102,0.7834394,0.18482177,0.17679244,0.1040455,-38.331253,180.0,-12.009153,0.28125,-45.302498,900.0,0.125
6.8526444,0.13559619,0.78632945,0.18520026,0.1774835,0.10434228,-35.325,190.0,-11.3817215,0.29375001695007086,-45.0475,950.0,0.12625
7.0076857,0.14340368,0.7884362,0.185807,0.17797704,0.1046292,-36.74375,200.0,-12.06319,0.3125,-45.32625,1000.0,0.1275
7.1571074,0.15151468,0.7906659,0.18610078,0.17850313,0.10486789,-39.2125,210.0,-14.179489,0.23125000251457095,-44.93,1050.0,0.13250001
7.3015156,0.1600222,0.792425,0.18623061,0.17893484,0.10486085,-35.4,220.0,-12.652134,0.40000004,-44.585,1100.0,0.13374999
7.440441,0.16869473,0.79419106,0.18633987,0.17934738,0.104888566,-36.706253,230.0,-12.52479,0.39374998,-45.247498,1150.0,0.12125
7.573483,0.17742117,0.7958991,0.18647683,0.17972189,0.104952,-35.800003,240.0,-12.334436,0.36875,-44.82625,1200.0,0.14875
7.7006755,0.18630034,0.79771924,0.18626247,0.18010835,0.10493567,-35.025,250.0,-12.1761265,0.4375,-44.04,1250.0,0.16125
7.822059,0.19517706,0.7991064,0.18606688,0.18046741,0.10496453,-35.59375,260.0,-13.8428135,0.38125002,-44.265,1300.0,0.155
7.9381795,0.20389381,0.8004593,0.18591958,0.1807622,0.10487887,-33.48125,270.0,-11.407881,0.3625,-44.1325,1350.0,0.1725
8.048905,0.21235761,0.80164295,0.18568952,0.18099211,0.10487723,-34.26875,280.0,-12.315325,0.4,-44.51625,1400.0,0.145
8.154776,0.22097707,0.8027184,0.18539192,0.18127204,0.104971506,-36.0625,290.0,-12.036472,0.37500003,-44.0775,1450.0,0.15875
8.255031,0.2293205,0.80396026,0.18519025,0.18151481,0.10519355,-31.35,300.0,-9.470608,0.5875,-44.20625,1500.0,0.16874999
8.350268,0.23746443,0.8050173,0.184934,0.18177241,0.105229914,-33.7875,310.0,-11.04716,0.50625,-44.2875,1550.0,0.13624999
8.44017,0.24571256,0.8059438,0.1847899,0.18201275,0.10525479,-33.137497,320.0,-10.469784,0.525,-44.46,1600.0,0.14874999
8.526339,0.25371286,0.8069164,0.18456437,0.1822407,0.10516763,-33.64375,330.0,-11.5324955,0.49374998,-43.941246,1650.0,0.17500001
8.608885,0.26164165,0.80782086,0.18430991,0.18240377,0.10514268,-30.787498,340.0,-9.160354,0.67499995,-44.42875,1700.0,0.14875
8.687021,0.26965985,0.80870074,0.18422021,0.182578,0.10529631,-30.006248,350.0,-9.799649,0.56874996,-44.455,1750.0,0.155
8.760035,0.27745768,0.8094439,0.18396707,0.18273985,0.10540566,-29.9125,360.0,-8.647774,0.70000005,-44.221252,1800.0,0.155
8.828192,0.28506756,0.8101794,0.18361066,0.1829144,0.10544936,-33.18125,370.0,-9.070261,0.63750005,-44.332497,1850.0,0.14750001
8.891936,0.2919504,0.81082803,0.18324816,0.18305458,0.105439335,-33.25625,380.0,-10.751678,0.46875,-43.768753,1900.0,0.17999999
8.952993,0.2985863,0.8114917,0.18330748,0.18317276,0.10559388,-31.681248,390.0,-8.918184,0.61875004,-44.00625,1950.0,0.16625
9.0113535,0.30492663,0.8122471,0.18293218,0.18328303,0.10559248,-32.23125,400.0,-9.836576,0.5,-43.9075,2000.0,0.1775
9.06786,0.31102073,0.8127864,0.18277769,0.18344417,0.105689704,-29.08125,410.0,-8.177883,0.63750005,-43.95,2050.0,0.1825
9.122795,0.31691873,0.8133328,0.18260795,0.18353263,0.10569969,-29.21875,420.0,-7.826255,0.54375005,-44.26625,2100.0,0.1575
9.17603,0.322801,0.8138426,0.18263328,0.18365149,0.10589784,-31.55,430.0,-9.17684,0.49375004,-44.831253,2150.0,0.13624999
9.227598,0.32860833,0.81434757,0.18256502,0.18374902,0.10602481,-31.6625,440.0,-9.781007,0.44375002,-44.62625,2200.0,0.155
9.276972,0.33432674,0.8148648,0.18239391,0.18386139,0.10611055,-30.1375,450.0,-8.427912,0.64375,-44.34125,2250.0,0.16375
9.324297,0.3396454,0.8153362,0.18219751,0.18397595,0.10617545,-33.05625,460.0,-11.117107,0.48125,-44.12125,2300.0,0.16499999
9.370372,0.34497678,0.8157703,0.18207175,0.18409014,0.10632795,-31.9875,470.0,-10.870348,0.5,-45.204998,2350.0,0.12375
9.414183,0.35025078,0.8162527,0.18204351,0.18422993,0.10640777,-31.4125,480.0,-9.704975,0.53125,-44.52125,2400.0,0.1675
9.455589,0.3557579,0.81654793,0.18203239,0.1843469,0.106576875,-33.2625,490.0,-11.240983,0.3875,-45.08125,2450.0,0.12625
9.495611,0.36129972,0.81706,0.18184762,0.18449178,0.10660922,-31.275,500.0,-9.643968,0.54999995,-44.82125,2500.0,0.14500001
9.534121,0.36671257,0.8174458,0.18169923,0.18462823,0.10656722,-29.84375,510.0,-8.527981,0.6,-44.52375,2550.0,0.1525
9.572151,0.37225887,0.8178944,0.18160297,0.18473755,0.10653397,-29.850002,520.0,-10.022074,0.46249998,-45.19125,2600.0,0.125
9.610191,0.37806746,0.81825894,0.18146904,0.18483944,0.10655156,-29.4,530.0,-8.63698,0.6875,-44.6225,2650.0,0.15125
9.64794,0.38377073,0.81856173,0.18145846,0.18494083,0.106537715,-30.181252,540.0,-8.753966,0.5125,-45.06375,2700.0,0.14750001
