#{"t_start": 1582809725.4923248, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,6.274527
,-50.0,50,8.114003
,-50.0,50,9.776871
,-50.0,50,11.41109
,-50.0,50,13.01172
,-50.0,50,14.671897
,-50.0,50,16.280071
,-50.0,50,17.883787
,-50.0,50,19.546769
,-50.0,50,21.182211
,-50.0,50,22.765753
,-50.0,50,24.389721
,-50.0,50,26.027364
,-50.0,50,27.677796
,-50.0,50,29.302149
,-50.0,50,30.968203
,-50.0,50,32.59478
,-50.0,50,34.202675
,-50.0,50,35.896232
,-50.0,50,37.528628
,-50.0,50,39.16289
,-50.0,50,40.791501
,-50.0,50,42.417449
,-50.0,50,44.063202
,-50.0,50,45.695595
,-50.0,50,47.36506
,-50.0,50,49.027153
,-50.0,50,50.629635
,-50.0,50,52.26537
,-50.0,50,53.865997
,-50.0,50,55.540547
,-50.0,50,57.16031
,-50.0,50,58.787523
,-50.0,50,60.435515
,-50.0,50,62.099575
,-50.0,50,63.683791
,-50.0,50,65.382185
,-50.0,50,66.997471
,-50.0,50,68.594976
,-50.0,50,70.26048
,-50.0,50,71.920682
,-50.0,50,73.53735
,-50.0,50,75.176793
,-50.0,50,76.78797
,-50.0,50,78.437856
,-50.0,50,80.066406
,-50.0,50,81.664807
,-50.0,50,83.29641
,-50.0,50,84.943291
,-50.0,50,86.588391
,-50.0,50,88.267859
,-50.0,50,88.583512
,-50.0,50,88.885475
,-50.0,50,89.164577
,-50.0,50,89.461673
,-50.0,50,89.751935
,-50.0,50,90.019063
,-50.0,50,90.292775
,-50.0,50,90.597098
,-50.0,50,90.849972
,-50.0,50,91.237385
,-50.0,50,92.874349
,-50.0,50,94.520453
,-50.0,50,96.142187
,-50.0,50,97.767833
,-50.0,50,99.407223
,-50.0,50,101.049711
,-50.0,50,102.689744
,-50.0,50,104.327443
,-50.0,50,105.936743
,-50.0,50,107.563881
,-50.0,50,109.207775
,-50.0,50,110.853262
,-50.0,50,112.512855
,-50.0,50,114.153835
,-50.0,50,115.780433
,-50.0,50,117.378258
,-50.0,50,119.010396
,-50.0,50,120.67525
,-50.0,50,122.280064
,-50.0,50,123.904965
,-50.0,50,125.582595
,-50.0,50,127.177421
,-50.0,50,128.860362
,-50.0,50,130.466386
,-50.0,50,132.087001
,-50.0,50,133.716744
,-50.0,50,135.363537
,-50.0,50,136.987107
,-50.0,50,138.586094
,-50.0,50,140.25788
,-50.0,50,141.899828
,-50.0,50,143.519707
,-50.0,50,145.164967
,-50.0,50,146.792636
,-50.0,50,148.391706
,-50.0,50,150.017514
,-50.0,50,151.658244
,-50.0,50,153.313035
,-50.0,50,154.981334
,-50.0,50,156.592962
,-50.0,50,158.2404
,-50.0,50,159.858192
,-50.0,50,161.487537
,-50.0,50,163.123742
,-50.0,50,164.790043
,-50.0,50,166.417095
,-50.0,50,168.081084
,-50.0,50,169.719398
,-50.0,50,171.327215
,-50.0,50,172.952877
,-50.0,50,173.273544
,-50.0,50,173.572475
,-50.0,50,173.887841
,-50.0,50,174.176962
,-50.0,50,174.422657
,-50.0,50,174.698843
,-50.0,50,174.970994
,-50.0,50,175.253722
,-50.0,50,175.52845
,-50.0,50,176.015026
,-50.0,50,177.689435
,-50.0,50,179.311822
,-27.0,50,180.983837
,-50.0,50,182.613684
,-50.0,50,184.262959
,-50.0,50,185.898377
,-50.0,50,187.525034
,-50.0,50,189.136502
,-50.0,50,190.779232
,-50.0,50,192.412672
,-50.0,50,194.019632
,-50.0,50,195.728078
,-50.0,50,197.32628
,-50.0,50,198.982307
,-50.0,50,200.619033
,-50.0,50,202.241821
,-50.0,50,203.882437
,-50.0,50,205.567149
,-50.0,50,207.19993
,-50.0,50,208.814206
,-50.0,50,210.496711
,-50.0,50,212.122235
,-50.0,50,213.758242
,-50.0,50,215.404711
,-50.0,50,217.018226
,-50.0,50,218.688608
,-50.0,50,220.33415
,-50.0,50,221.974563
,-50.0,50,223.62074
,-50.0,50,225.209648
,-50.0,50,226.851828
,-50.0,50,228.540545
,-50.0,50,230.209565
,-50.0,50,231.815617
,-50.0,50,233.438402
,-50.0,50,235.091455
,-50.0,50,236.739836
,-50.0,50,238.386315
,-50.0,50,240.020948
,-50.0,50,241.641929
,-50.0,50,243.313583
,-50.0,50,244.915594
,-50.0,50,246.578553
,-50.0,50,248.213256
,-50.0,50,249.843353
,-50.0,50,251.496485
,-50.0,50,253.156313
,-50.0,50,254.746942
,-50.0,50,256.427891
,-50.0,50,258.09775
,-50.0,50,258.377776
,-50.0,50,258.652949
,-50.0,50,258.970546
,-50.0,50,259.244568
,-50.0,50,259.536821
,-50.0,50,259.800936
,-50.0,50,260.076819
,-50.0,50,260.407034
,-50.0,50,260.642875
,-50.0,50,261.055632
