#{"t_start": 1582633583.077214, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.801004
,-50.0,50,7.666041
,-50.0,50,9.283958
,-50.0,50,10.874354
,-50.0,50,12.50149
,-50.0,50,14.068201
,-50.0,50,15.690068
,-50.0,50,17.290699
,-50.0,50,18.892865
,-50.0,50,20.491248
,-50.0,50,22.094784
,-50.0,50,23.69002
,-50.0,50,25.28195
,-50.0,50,26.862359
,-50.0,50,28.478343
,-50.0,50,30.040981
,-50.0,50,31.674014
,-50.0,50,33.271775
,-50.0,50,34.889287
,-50.0,50,36.494744
,-50.0,50,38.109008
,-50.0,50,39.700688
,-50.0,50,41.293287
,-50.0,50,42.916037
,-50.0,50,44.533098
,-50.0,50,46.101405
,-50.0,50,47.738901
,-50.0,50,49.317645
,-50.0,50,50.93877
,-50.0,50,52.59437
,-50.0,50,54.199479
,-50.0,50,55.778491
,-50.0,50,57.39501
,-50.0,50,59.003918
,-50.0,50,60.609865
,-50.0,50,62.200965
,-50.0,50,63.82703
,-50.0,50,65.409246
,-50.0,50,67.015707
,-50.0,50,68.620835
,-50.0,50,70.218821
,-50.0,50,71.804958
,-50.0,50,73.398443
,0.0,50,75.022016
,-50.0,50,76.607504
,-50.0,50,78.235077
,-50.0,50,79.811136
,-50.0,50,81.455404
,-50.0,50,83.057812
,-50.0,50,84.660697
,-50.0,50,86.297569
,-50.0,50,86.571845
,-50.0,50,86.843204
,-50.0,50,87.103629
,-50.0,50,87.387497
,-50.0,50,87.668756
,-50.0,50,87.929088
,-50.0,50,88.181485
,-50.0,50,88.443568
,-50.0,50,88.679836
,-50.0,50,89.103113
,-50.0,50,90.674352
,-50.0,50,92.306769
,-50.0,50,93.940012
,-50.0,50,95.540277
,-50.0,50,97.175273
,0.0,50,98.787902
,-50.0,50,100.381121
,-50.0,50,102.010925
,-50.0,50,103.657022
,-50.0,50,105.274824
,-50.0,50,106.879516
,-8.0,50,108.48218
,-50.0,50,110.106916
,-50.0,50,111.702296
,-50.0,50,113.325177
,0.0,50,114.930979
,-50.0,50,116.558422
,-50.0,50,118.130548
,-50.0,50,119.765159
,-50.0,50,121.402686
,0.0,50,123.017623
,-50.0,50,124.638588
,-50.0,50,126.268449
,-50.0,50,127.857224
,-50.0,50,129.471226
,-50.0,50,131.12176
,-50.0,50,132.722135
,-50.0,50,134.376663
,-50.0,50,135.989367
,-50.0,50,137.563151
,-50.0,50,139.218127
,-50.0,50,140.803644
,-50.0,50,142.445279
,-50.0,50,144.053365
,-50.0,50,145.691499
,-50.0,50,147.282051
,-50.0,50,148.903656
,-50.0,50,150.545263
,-50.0,50,152.167137
,-50.0,50,153.746448
,-50.0,50,155.386163
,-50.0,50,157.016859
,-50.0,50,158.666951
,-50.0,50,160.266985
,-50.0,50,161.885501
,-50.0,50,163.506097
,-50.0,50,165.133496
,-50.0,50,166.738725
,-50.0,50,168.33594
,-50.0,50,170.016998
,-50.0,50,170.293411
,-50.0,50,170.552676
,-50.0,50,170.800301
,-50.0,50,171.047191
,-50.0,50,171.313041
,-50.0,50,171.593628
,-50.0,50,171.881472
,-50.0,50,172.148275
,-50.0,50,172.39896
,-50.0,50,172.713686
,-50.0,50,174.352089
,-50.0,50,175.962489
,-50.0,50,177.586386
,-50.0,50,179.183963
,-50.0,50,180.813853
,-50.0,50,182.4489
,-50.0,50,184.048977
,-50.0,50,185.696356
,-50.0,50,187.336845
,-50.0,50,188.945651
,-50.0,50,190.568213
,-50.0,50,192.21219
,-50.0,50,193.815138
,-50.0,50,195.445229
,-50.0,50,197.04507
,-50.0,50,198.685205
,-50.0,50,200.287332
,-50.0,50,201.924207
,-50.0,50,203.561371
,0.0,50,205.157191
