#{"t_start": 1582633583.1797476, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.67467
,-50.0,50,7.545614
,-50.0,50,9.138505
,0.0,50,10.751017
,-50.0,50,12.352482
,-50.0,50,13.969399
,-50.0,50,15.593278
,-50.0,50,17.184315
,-50.0,50,18.768088
,-50.0,50,20.391963
,-50.0,50,21.957282
,-50.0,50,23.583343
,-50.0,50,25.165487
,0.0,50,26.747833
,-50.0,50,28.365153
,-50.0,50,29.960845
,-50.0,50,31.573145
,-50.0,50,33.149754
,-50.0,50,34.798956
,-50.0,50,36.379297
,-50.0,50,38.011544
,-50.0,50,39.590564
,-50.0,50,41.213537
,-50.0,50,42.804642
,-50.0,50,44.416331
,-50.0,50,46.046337
,-50.0,50,47.628584
,-50.0,50,49.220297
,-50.0,50,50.848487
,-50.0,50,52.458046
,-50.0,50,54.07279
,-50.0,50,55.697566
,-50.0,50,57.29592
,-50.0,50,58.901322
,-50.0,50,60.522179
,-50.0,50,62.101111
,-50.0,50,63.722802
,-50.0,50,65.311242
,-50.0,50,66.905946
,-50.0,50,68.518236
,-50.0,50,70.113353
,-50.0,50,71.728437
,-50.0,50,73.307385
,-50.0,50,74.916617
,-50.0,50,76.514195
,-50.0,50,78.094912
,-50.0,50,79.71404
,-50.0,50,81.301228
,-50.0,50,82.951944
,-50.0,50,84.531105
,-50.0,50,86.20624
,-50.0,50,86.46888
,-50.0,50,86.716321
,-50.0,50,86.981937
,-50.0,50,87.258056
,-50.0,50,87.530502
,-50.0,50,87.807757
,-50.0,50,88.058388
,-50.0,50,88.313451
,-50.0,50,88.593346
,0.0,50,88.981377
,-50.0,50,90.597215
,-50.0,50,92.168294
,-50.0,50,93.839123
,-50.0,50,95.428701
,-50.0,50,97.04731
,-50.0,50,98.683859
,-50.0,50,100.304428
,0.0,50,101.926084
,-50.0,50,103.5638
,-50.0,50,105.151338
,-50.0,50,106.762622
,-50.0,50,108.384459
,-50.0,50,109.970005
,-50.0,50,111.610711
,-50.0,50,113.202312
,-50.0,50,114.83494
,-50.0,50,116.455888
,-50.0,50,118.031097
,-50.0,50,119.66817
,-50.0,50,121.308236
,-50.0,50,122.934541
,-50.0,50,124.531351
,-50.0,50,126.142909
,-50.0,50,127.742085
,-50.0,50,129.394639
,-50.0,50,130.985283
,-50.0,50,132.631032
,-50.0,50,134.260027
,-50.0,50,135.865766
,-50.0,50,137.474181
,-50.0,50,139.096675
,-50.0,50,140.712776
,-50.0,50,142.339523
,-50.0,50,143.938046
,-50.0,50,145.565498
,0.0,50,147.221042
,-50.0,50,148.80368
,-50.0,50,150.431301
,-50.0,50,152.041487
,-50.0,50,153.661904
,-50.0,50,155.269917
,-50.0,50,156.898551
,-50.0,50,158.548368
,-50.0,50,160.172176
,-50.0,50,161.781551
,0.0,50,163.380306
,-50.0,50,165.043268
,-50.0,50,166.667625
,-50.0,50,168.273159
,-50.0,50,169.918678
,-50.0,50,170.20119
,-50.0,50,170.476084
,-50.0,50,170.742694
,0.0,50,171.008321
,-50.0,50,171.276575
,-50.0,50,171.536215
,-50.0,50,171.785481
,-50.0,50,172.038537
,-50.0,50,172.302062
,0.0,50,172.649225
,-50.0,50,174.262846
,-50.0,50,175.865854
,-50.0,50,177.466855
,-50.0,50,179.106405
,-50.0,50,180.715386
,-50.0,50,182.302117
,-50.0,50,183.947952
,-50.0,50,185.598377
,-50.0,50,187.229728
,-50.0,50,188.834065
,-50.0,50,190.505829
,-50.0,50,192.086019
,-50.0,50,193.721386
,-50.0,50,195.335277
,-50.0,50,196.933664
,-50.0,50,198.589047
,-50.0,50,200.195658
,-50.0,50,201.80686
,-15.0,50,203.441471
,-50.0,50,205.063456
,-50.0,50,206.684193
,-50.0,50,208.278289
,-50.0,50,209.916284
,-50.0,50,211.499706
,-50.0,50,213.143411
,-50.0,50,214.791695
,-50.0,50,216.398346
,-50.0,50,218.039062
,0.0,50,219.642847
,-50.0,50,221.250589
,-50.0,50,222.89257
,-50.0,50,224.526868
,-50.0,50,226.14889
,-50.0,50,227.736228
,-50.0,50,229.350135
,-50.0,50,230.984321
,-50.0,50,232.592453
,-50.0,50,234.226263
,-50.0,50,235.865781
,-50.0,50,237.483588
,-50.0,50,239.089686
,-50.0,50,240.734533
,-50.0,50,242.38674
,-50.0,50,243.956443
,-50.0,50,245.619931
,-50.0,50,247.231469
,-50.0,50,248.864826
,-50.0,50,250.509184
,-50.0,50,252.116204
,-50.0,50,253.743671
,-50.0,50,253.996856
,-50.0,50,254.278794
,-50.0,50,254.581182
,0.0,50,254.85523
,-50.0,50,255.125946
,-50.0,50,255.413697
,-50.0,50,255.690491
,-50.0,50,255.984815
,-50.0,50,256.245979
,-50.0,50,256.520893
,-50.0,50,258.186702
,-50.0,50,259.794184
,-50.0,50,261.42502
,-50.0,50,263.045832
,-50.0,50,264.675587
,-50.0,50,266.294531
,-50.0,50,267.890837
,-50.0,50,269.516206
,-50.0,50,271.142767
,-50.0,50,272.780807
,-50.0,50,274.403327
,-50.0,50,276.007411
,-50.0,50,277.674936
,-50.0,50,279.298495
,-50.0,50,280.901248
,-50.0,50,282.562173
,-50.0,50,284.202492
,-50.0,50,285.804231
,-50.0,50,287.417053
,-50.0,50,289.058923
,0.0,50,290.693666
,-50.0,50,292.315455
,-50.0,50,293.934175
,-50.0,50,295.51547
,-50.0,50,297.177095
,-50.0,50,298.840985
,-50.0,50,300.428984
,-50.0,50,302.086406
,-50.0,50,303.714147
,-50.0,50,305.347605
,-50.0,50,306.983267
,-50.0,50,308.60197
,-50.0,50,310.254482
,0.0,50,311.843992
,-50.0,50,313.504804
,-50.0,50,315.142802
,-50.0,50,316.743295
,-50.0,50,318.360066
,-50.0,50,320.031623
,-50.0,50,321.647336
,-50.0,50,323.311692
,-50.0,50,324.890403
,-50.0,50,326.536479
,-50.0,50,328.183428
,-50.0,50,329.798567
,-50.0,50,331.460091
,-50.0,50,333.082381
,0.0,50,334.689806
,-50.0,50,336.320555
,-50.0,50,337.9728
,-50.0,50,338.240661
,-50.0,50,338.517537
,-50.0,50,338.810155
,-50.0,50,339.071523
,-50.0,50,339.338219
,-50.0,50,339.631954
,-50.0,50,339.896217
,-50.0,50,340.163156
,-50.0,50,340.421655
,-50.0,50,340.771358
,-50.0,50,342.408872
,-13.0,50,344.049296
,-50.0,50,345.68573
,-50.0,50,347.272251
,-50.0,50,348.920684
,-50.0,50,350.548898
,-50.0,50,352.223315
,-50.0,50,353.829269
,-50.0,50,355.457182
,-50.0,50,357.118627
,-50.0,50,358.713443
,-50.0,50,360.345566
,-50.0,50,362.016713
,-50.0,50,363.633754
,-50.0,50,365.236299
,-50.0,50,366.884352
,-50.0,50,368.491668
,-50.0,50,370.126945
,-50.0,50,371.777173
,-50.0,50,373.383027
,-50.0,50,375.033466
,-50.0,50,376.666508
,-50.0,50,378.292701
,-50.0,50,379.920903
,-50.0,50,381.553088
,-50.0,50,383.189456
,-50.0,50,384.836569
,0.0,50,386.457186
,-50.0,50,388.090958
,-50.0,50,389.739584
,-50.0,50,391.349581
,-50.0,50,392.987028
,-50.0,50,394.640674
,-50.0,50,396.269769
,-50.0,50,397.934092
,-50.0,50,399.573791
,-50.0,50,401.182142
,-50.0,50,402.868748
,-50.0,50,404.476303
,-50.0,50,406.126476
,-50.0,50,407.767749
,-50.0,50,409.386707
,-50.0,50,411.032146
,-50.0,50,412.69834
,-50.0,50,414.289232
,-50.0,50,415.908806
,-50.0,50,417.558464
,-50.0,50,419.173718
,-50.0,50,420.818603
,0.0,50,422.485181
,-50.0,50,422.736792
,-50.0,50,423.005336
,-50.0,50,423.278877
,-50.0,50,423.561382
,-50.0,50,423.848179
,-50.0,50,424.110215
,-50.0,50,424.372119
,-50.0,50,424.647983
,0.0,50,424.899361
,-50.0,50,425.245207
,-50.0,50,426.885414
,-50.0,50,428.529406
,-50.0,50,430.18339
,-50.0,50,431.814724
,-50.0,50,433.454118
,-50.0,50,435.073189
,-50.0,50,436.729938
,-50.0,50,438.393465
,-50.0,50,439.993699
,-50.0,50,441.669205
,-50.0,50,443.275538
,-50.0,50,444.897824
,-50.0,50,446.590033
,-50.0,50,448.168726
,-50.0,50,449.8595
,-50.0,50,451.466889
,-50.0,50,453.097238
,-19.0,50,454.778175
,-50.0,50,456.422134
,-50.0,50,458.033941
,-50.0,50,459.682529
,-50.0,50,461.354944
,-50.0,50,462.995317
,-50.0,50,464.605536
,-50.0,50,466.25961
,-50.0,50,467.895195
,-50.0,50,469.524245
,-50.0,50,471.158204
,-50.0,50,472.832884
,-50.0,50,474.442578
,-50.0,50,476.055737
,-50.0,50,477.734407
,-50.0,50,479.37479
,-50.0,50,480.955456
,-50.0,50,482.605466
,-50.0,50,484.263588
,-50.0,50,485.905431
,-50.0,50,487.537905
,-50.0,50,489.196894
,-50.0,50,490.787375
,-50.0,50,492.482361
,-50.0,50,494.113653
,-50.0,50,495.783882
,-50.0,50,497.390697
,-50.0,50,499.022437
,-50.0,50,500.697861
,-50.0,50,502.308589
,-50.0,50,504.000756
,-50.0,50,505.619256
,-50.0,50,507.323805
,-50.0,50,507.573373
,-50.0,50,507.843234
,-50.0,50,508.152996
,-50.0,50,508.452508
,0.0,50,508.710945
,-50.0,50,508.965675
,-50.0,50,509.261268
,-50.0,50,509.524206
,-50.0,50,509.782316
,-50.0,50,510.186065
,-15.0,50,511.789994
,-25.0,50,513.440727
,-50.0,50,515.058357
,-50.0,50,516.731724
,-50.0,50,518.364045
,-50.0,50,520.005477
,-50.0,50,521.673723
,-50.0,50,523.28901
,-50.0,50,524.931149
,-50.0,50,526.574692
,-50.0,50,528.221591
,-50.0,50,529.917454
,-50.0,50,531.573149
,-50.0,50,533.213624
,-50.0,50,534.841
,-50.0,50,536.53157
,-50.0,50,538.177923
,-50.0,50,539.838281
,0.0,50,541.469407
,-50.0,50,543.114871
,-50.0,50,544.793749
,-50.0,50,546.452979
,-50.0,50,548.111377
,-12.0,50,549.742352
,-50.0,50,551.369277
,-50.0,50,553.04425
,-50.0,50,554.696887
,-50.0,50,556.341457
,-50.0,50,557.949595
,-50.0,50,559.596466
,-50.0,50,561.300672
,-50.0,50,562.910723
,-50.0,50,564.581711
,-50.0,50,566.227706
,-50.0,50,567.820993
,-50.0,50,569.466853
,-50.0,50,571.100257
,-50.0,50,572.787322
,-50.0,50,574.416826
,-50.0,50,576.093768
,-50.0,50,577.729824
,-50.0,50,579.37995
,-50.0,50,581.048235
,-50.0,50,582.697634
,-50.0,50,584.340836
,-50.0,50,586.018452
,-50.0,50,587.667341
,-50.0,50,589.30475
,-50.0,50,590.937458
,-50.0,50,592.63538
,-50.0,50,592.942595
,-50.0,50,593.198158
,-7.0,50,593.450874
,-50.0,50,593.745147
,-50.0,50,594.024424
,-50.0,50,594.309544
,-50.0,50,594.580634
,-50.0,50,594.872505
,-50.0,50,595.154748
,-50.0,50,595.533268
,-50.0,50,597.206707
,-50.0,50,598.830408
,-50.0,50,600.491557
,-50.0,50,602.151618
,-50.0,50,603.80628
,-50.0,50,605.446327
,-50.0,50,607.078874
,-50.0,50,608.755097
,-50.0,50,610.371523
,-48.0,50,611.98767
,-50.0,50,613.636444
,-50.0,50,615.298352
,-24.0,50,616.934097
,-50.0,50,618.606004
,-50.0,50,620.252525
,-50.0,50,621.921481
,-50.0,50,623.581766
,-50.0,50,625.217582
,-50.0,50,626.856926
,0.0,50,628.515544
,-50.0,50,630.187342
,-50.0,50,631.822652
,-50.0,50,633.483688
,-50.0,50,635.084654
,-50.0,50,636.739743
,-50.0,50,638.455337
,-50.0,50,640.078277
,-48.0,50,641.723708
,0.0,50,643.386234
,-49.0,50,644.987752
,-50.0,50,646.668405
,-50.0,50,648.299157
,-50.0,50,649.964958
,-50.0,50,651.609435
,-50.0,50,653.251116
,-50.0,50,654.94724
,-50.0,50,656.556556
,-50.0,50,658.233067
,-50.0,50,659.862808
,-50.0,50,661.527856
,-36.0,50,663.158504
,-50.0,50,664.809865
,-41.0,50,666.450202
,-48.0,50,668.118201
,-50.0,50,669.742398
,-50.0,50,671.405003
,-50.0,50,673.023489
,-50.0,50,674.688995
,-50.0,50,676.334962
,-50.0,50,678.016585
,-50.0,50,678.317059
,-50.0,50,678.611136
,-10.0,50,678.880643
,-50.0,50,679.129857
,-50.0,50,679.42852
,-50.0,50,679.706557
,-50.0,50,680.002024
,-50.0,50,680.274836
,-50.0,50,680.532367
,-19.0,50,680.801503
,-50.0,50,682.407516
,-50.0,50,684.0728
,-50.0,50,685.739171
,-48.0,50,687.381733
,-50.0,50,689.044518
,-11.0,50,690.679994
,-15.0,50,692.33181
,-50.0,50,694.023852
,-50.0,50,695.651284
,-17.0,50,697.298258
,-50.0,50,698.968534
,-50.0,50,700.593887
,-7.0,50,702.252733
,-50.0,50,703.911767
,-50.0,50,705.564766
,-50.0,50,707.217382
,-50.0,50,708.862545
,-20.0,50,710.528611
,-50.0,50,712.180282
,-50.0,50,713.802249
,-50.0,50,715.49867
,-50.0,50,717.164006
,-50.0,50,718.78761
,-50.0,50,720.467954
,-50.0,50,722.145465
,-50.0,50,723.794156
,-50.0,50,725.446226
,-50.0,50,727.099103
,-50.0,50,728.79783
,-50.0,50,730.443532
,-50.0,50,732.078555
,-43.0,50,733.743999
,-50.0,50,735.383532
,-50.0,50,737.035073
,-50.0,50,738.678165
,-50.0,50,740.291754
,-50.0,50,741.951612
,-50.0,50,743.602509
,-50.0,50,745.265491
,-50.0,50,746.905712
,-14.0,50,748.562689
,-50.0,50,750.195541
,-50.0,50,751.819757
,-50.0,50,753.503892
,-50.0,50,755.130368
,-50.0,50,756.836116
,-50.0,50,758.46856
,-50.0,50,760.105059
,-40.0,50,761.758959
,-50.0,50,763.417564
,-50.0,50,763.668546
,-50.0,50,763.953393
,0.0,50,764.20461
,-50.0,50,764.457291
,0.0,50,764.707716
,-50.0,50,764.986867
,-50.0,50,765.26634
,-50.0,50,765.530128
,-50.0,50,765.79578
,-50.0,50,766.21984
,-38.0,50,767.885979
,-50.0,50,769.537246
,-50.0,50,771.173425
,-50.0,50,772.831863
,-35.0,50,774.461467
,-50.0,50,776.146427
,-50.0,50,777.80666
,-49.0,50,779.432614
,-50.0,50,781.099392
,-50.0,50,782.742167
,-50.0,50,784.403189
,-50.0,50,786.036256
,-50.0,50,787.660556
,-4.0,50,789.348477
,-50.0,50,790.960852
,-50.0,50,792.61981
,-50.0,50,794.256549
,-50.0,50,795.931292
,-50.0,50,797.594743
,-50.0,50,799.192062
,-50.0,50,800.884964
,-50.0,50,802.525673
,-43.0,50,804.179167
,-50.0,50,805.831265
,-50.0,50,807.491738
,-50.0,50,809.114155
,-49.0,50,810.78737
,-49.0,50,812.458157
,-15.0,50,814.074963
,-50.0,50,815.747702
,-50.0,50,817.423116
,-50.0,50,819.086491
,-50.0,50,820.732482
,-50.0,50,822.388257
,-50.0,50,824.021016
,-50.0,50,825.673602
,-39.0,50,827.330679
,-50.0,50,829.008298
,-48.0,50,830.627809
,-23.0,50,832.299748
,-16.0,50,833.970844
,-50.0,50,835.582614
,-49.0,50,837.251744
,0.0,50,838.874254
,-50.0,50,840.511002
,-50.0,50,842.201263
,-50.0,50,843.829802
,-15.0,50,845.484441
,-50.0,50,847.122224
,-50.0,50,848.805207
,-50.0,50,849.088835
,-50.0,50,849.358875
,-50.0,50,849.617194
,-50.0,50,849.903333
,-50.0,50,850.158223
,-50.0,50,850.415298
,-50.0,50,850.660301
,-50.0,50,850.954299
,-50.0,50,851.210255
,-50.0,50,851.55168
,0.0,50,853.226822
,-14.0,50,854.88346
,-48.0,50,856.570614
,-50.0,50,858.224842
,-23.0,50,859.860967
,-50.0,50,861.550952
,-22.0,50,863.182726
,-50.0,50,864.854784
,-17.0,50,866.497913
,-50.0,50,868.134178
,-50.0,50,869.809168
,-50.0,50,871.498878
,-50.0,50,873.104223
,-18.0,50,874.843581
,-50.0,50,876.490574
,-50.0,50,878.14832
,-50.0,50,879.775764
,-50.0,50,881.474442
,-50.0,50,883.133372
,-46.0,50,884.797819
,-19.0,50,886.430041
,-49.0,50,888.085727
,-22.0,50,889.719491
,0.0,50,891.411487
,-48.0,50,893.084672
,-50.0,50,894.765683
,-50.0,50,896.401782
,-50.0,50,898.061085
,-50.0,50,899.696995
,-50.0,50,901.337826
,-50.0,50,903.021783
,-50.0,50,904.671219
,-50.0,50,906.336327
,-50.0,50,907.999139
,-50.0,50,909.690873
,-30.0,50,911.394732
,-50.0,50,913.016631
,-50.0,50,914.669149
,-50.0,50,916.375932
,-50.0,50,918.016566
,-50.0,50,919.725026
,-23.0,50,921.358388
,-49.0,50,923.00936
,-20.0,50,924.696518
,-50.0,50,926.333272
,-50.0,50,927.967393
,-18.0,50,929.632617
,-47.0,50,931.312469
,-26.0,50,932.964454
,-50.0,50,934.632316
,-50.0,50,934.898967
,-50.0,50,935.211265
