actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.9868053,0.009378041,0.8475,0.0950617,0.20430233,0.049481582,-48.75,10.0,-3.1130047,0.02500000037252903,-48.625,50.0,0.027499998919665813
2.4306016,0.0075425413,0.84626436,0.09452654,0.20373343,0.04785326,-49.6875,20.0,-5.0415654,0.0062500000931322575,-48.00125,100.0,0.0400000000372529
2.7246027,0.0075148405,0.8465621,0.093794145,0.2037218,0.050856125,-47.5,30.0,-6.648184,0.05000000121071935,-48.301247,150.0,0.03249999904073775
2.9665508,0.009211543,0.84636784,0.09529797,0.20372178,0.054509502,-48.5375,40.0,-8.574606,0.03125000046566129,-48.39375,200.0,0.03249999973922968
3.1428406,0.013710577,0.8464959,0.09649092,0.20389068,0.06000752,-47.96875,50.0,-9.806932,0.0437500006519258,-48.392498,250.0,0.02999999886378646
3.2935164,0.021521285,0.8457589,0.101099096,0.20363608,0.06870213,-46.800003,60.0,-10.538483,0.06250000139698386,-47.59125,300.0,0.05375
3.4442105,0.0336512,0.8455503,0.10339683,0.20335482,0.077748686,-44.8125,70.0,-10.493693,0.11250000353902578,-46.84125,350.0,0.07625000225380063
3.56655,0.053599846,0.84544426,0.10547016,0.20310883,0.0847853,-39.46875,80.0,-9.71778,0.2625000053085387,-45.90625,400.0,0.09625
3.6788912,0.08035395,0.84534574,0.1064701,0.2032434,0.09013811,-40.53125,90.0,-10.016369,0.25625002,-45.286247,450.0,0.14
3.7671704,0.10937159,0.8455263,0.106182754,0.20321235,0.093525715,-39.29375,100.0,-10.363186,0.30624998,-43.0475,500.0,0.18375
3.829547,0.13831356,0.8455057,0.106342286,0.20340428,0.09596187,-38.1375,110.0,-9.764412,0.31874999590218067,-42.872498,550.0,0.2075
3.8774633,0.16508618,0.845613,0.10626028,0.20340036,0.097345494,-33.88125,120.0,-9.393726,0.43125,-40.775,600.0,0.26
3.914701,0.18869281,0.8454933,0.10636446,0.20346878,0.099193886,-34.425,130.0,-10.696743,0.39375,-39.965,650.0,0.29500002
3.9460402,0.20927882,0.84542567,0.106743075,0.20357889,0.1003873,-35.35625,140.0,-11.619465,0.38125002,-39.28875,700.0,0.305
3.9740844,0.22820155,0.8454776,0.1067957,0.20365942,0.1017609,-26.33125,150.0,-9.124153,0.59375,-38.620003,750.0,0.32125002
3.9977446,0.24432632,0.8456866,0.10664779,0.20374466,0.102443114,-27.38125,160.0,-9.796435,0.5625,-37.00125,800.0,0.35875
4.0161347,0.25831705,0.84578776,0.10645029,0.2038227,0.10299288,-28.775002,170.0,-11.113177,0.525,-36.03125,850.0,0.38125
4.028277,0.27058703,0.845879,0.10633695,0.20383203,0.10355444,-23.6875,180.0,-8.893166,0.6375,-34.989998,900.0,0.39875
4.0372367,0.28146714,0.846091,0.10654855,0.20388655,0.10423715,-22.5625,190.0,-7.645647,0.68125,-33.46125,950.0,0.4625
4.0443406,0.29085523,0.84606856,0.10704726,0.20385365,0.104866505,-16.5,200.0,-5.8393626,0.80625,-32.56625,1000.0,0.47
4.0539355,0.29889604,0.8463966,0.107396126,0.20396437,0.10556644,-15.375,210.0,-5.7282333,0.83124995,-31.1525,1050.0,0.51374996
4.067231,0.30543125,0.84673953,0.107760005,0.20398264,0.10622017,-16.39375,220.0,-5.3639927,0.8,-31.188751,1100.0,0.505
4.083833,0.31061304,0.84712076,0.10786993,0.20414872,0.10648452,-14.44375,230.0,-4.739166,0.84375,-29.2625,1150.0,0.56375
4.1026525,0.31479692,0.84740835,0.10793779,0.20420147,0.10667052,-13.18125,240.0,-4.2732964,0.875,-28.50375,1200.0,0.58750004
4.120007,0.3178038,0.8476978,0.10796984,0.20425873,0.106706336,-12.825,250.0,-3.6858914,0.88125,-28.69375,1250.0,0.5625
4.1342783,0.3198276,0.84810305,0.10820041,0.20430368,0.10706053,-11.15625,260.0,-3.091308,0.91875005,-29.47625,1300.0,0.5475
4.1458244,0.32100713,0.84845424,0.108414434,0.20438214,0.10726225,-12.549999,270.0,-3.2683194,0.88125,-29.713749,1350.0,0.56125
4.154971,0.32169342,0.8486813,0.10823437,0.20448333,0.10714238,-12.20625,280.0,-3.3148754,0.9187499,-27.92875,1400.0,0.57875
4.1611547,0.32177007,0.8489353,0.10829767,0.20461868,0.107366055,-10.950001,290.0,-2.5798488,0.94375,-29.53375,1450.0,0.56500006
4.165242,0.32160246,0.8491843,0.10825831,0.20468193,0.1074815,-9.88125,300.0,-2.208889,0.98125005,-28.664999,1500.0,0.58500004
4.1666117,0.32124832,0.849422,0.10843605,0.20474082,0.107562155,-10.80625,310.0,-2.274005,0.95,-29.3925,1550.0,0.56
4.1661153,0.32080278,0.84962744,0.10822472,0.2047674,0.10756046,-11.98125,320.0,-2.4586437,0.91875,-29.38125,1600.0,0.56624997
4.1641774,0.32015243,0.849828,0.10822063,0.20478234,0.10750482,-9.7125,330.0,-1.7216767,0.96875,-28.81375,1650.0,0.57625
4.161167,0.31951094,0.8499706,0.10818996,0.20483331,0.10747134,-10.856251,340.0,-1.8825018,0.9375,-29.245,1700.0,0.58500004
4.1569166,0.31869197,0.8501381,0.10817232,0.20492342,0.10749579,-10.78125,350.0,-1.8117913,0.95625,-29.0275,1750.0,0.57500005
4.1518116,0.31790698,0.8502497,0.108137965,0.20498583,0.10740869,-10.23125,360.0,-1.415717,0.95624995,-29.5525,1800.0,0.57000005
4.1460156,0.31715482,0.85032827,0.108144455,0.20507771,0.10747007,-10.424999,370.0,-1.5577493,0.9625,-28.8925,1850.0,0.54999995
4.1397963,0.3164153,0.8504834,0.10817778,0.20512559,0.107615165,-10.01875,380.0,-1.2920806,0.975,-31.338749,1900.0,0.53375006
4.1328316,0.31565696,0.85066825,0.10820677,0.20517878,0.107666925,-10.775,390.0,-1.4599845,0.95,-30.425,1950.0,0.53249997
4.1255198,0.3148758,0.85077715,0.108184725,0.20522617,0.107639104,-11.4625,400.0,-1.4140708,0.90625,-30.5975,2000.0,0.55625
4.117749,0.31401303,0.8508489,0.10814365,0.2052498,0.10769841,-10.125,410.0,-1.1266601,0.96875,-29.90875,2050.0,0.57000005
4.109826,0.3132088,0.8509508,0.10812936,0.20526318,0.107737064,-10.856251,420.0,-1.3053467,0.95,-29.661251,2100.0,0.565
4.1019225,0.3124602,0.8509925,0.1080387,0.20527369,0.1077154,-9.9875,430.0,-1.0564408,0.95624995,-29.555,2150.0,0.57375
4.094185,0.3116536,0.8510442,0.10789392,0.20528893,0.10768022,-10.549999,440.0,-1.0913424,0.9375,-28.21125,2200.0,0.60125005
4.0865993,0.31092525,0.8510968,0.107836835,0.2053245,0.107694976,-11.425,450.0,-1.1778998,0.92499995,-30.2325,2250.0,0.52625
4.0790744,0.31025118,0.8511343,0.10774616,0.20536119,0.10771861,-11.63125,460.0,-1.1944759,0.91875,-29.778751,2300.0,0.54625
4.0714717,0.30954626,0.85117656,0.10771271,0.20537908,0.107788056,-11.29375,470.0,-1.0528446,0.91875,-31.693748,2350.0,0.49624997
4.0639167,0.30893618,0.851199,0.10767435,0.20542583,0.10779177,-11.46875,480.0,-1.1220092,0.90625,-30.63625,2400.0,0.53499997
4.056572,0.30828348,0.85120064,0.10768357,0.20547459,0.107801005,-9.974999,490.0,-0.9875927,0.95624995,-29.305,2450.0,0.5675
4.049166,0.30763483,0.8512394,0.10769403,0.20552295,0.10781008,-10.143749,500.0,-1.0144231,0.95624995,-29.87875,2500.0,0.55125
4.0419765,0.30694428,0.85121924,0.10771755,0.20551217,0.10783206,-10.51875,510.0,-1.0895321,0.95625,-29.93375,2550.0,0.54875
4.0350933,0.30618876,0.85122156,0.10767118,0.2055478,0.10778891,-10.55,520.0,-1.039773,0.94375,-30.6675,2600.0,0.52250004
4.0284224,0.3054318,0.85122585,0.10760107,0.20554613,0.10785077,-11.418751,530.0,-1.120575,0.91875005,-30.7575,2650.0,0.555
4.0221376,0.30475613,0.8512275,0.10760976,0.20555094,0.1078859,-11.36875,540.0,-1.1872085,0.9375,-30.25875,2700.0,0.54375
4.0160913,0.30402392,0.8512718,0.107644916,0.20556012,0.107958995,-9.299999,550.0,-0.928674,0.975,-30.9175,2750.0,0.5325
4.0102205,0.303403,0.8512571,0.10760661,0.20555231,0.10792967,-10.31875,560.0,-1.0322952,0.94375,-29.87625,2800.0,0.5725
4.0043936,0.30274534,0.8512802,0.10753829,0.20558785,0.10791621,-10.512501,570.0,-1.0807517,0.95624995,-30.04375,2850.0,0.5625
3.9985435,0.30208278,0.8512957,0.107530646,0.20563318,0.1079339,-10.10625,580.0,-1.060955,0.975,-30.439999,2900.0,0.53999996
3.9927816,0.30145055,0.85129213,0.10748436,0.20562655,0.10804848,-10.512501,590.0,-1.0261755,0.95624995,-30.98875,2950.0,0.52750003
3.98719,0.30071867,0.85125536,0.107468314,0.20562649,0.10812865,-10.8125,600.0,-1.0792956,0.9375,-30.592499,3000.0,0.5375
3.9818559,0.3000596,0.8511899,0.10741357,0.20562254,0.10812157,-10.200001,610.0,-0.93460524,0.95624995,-30.0,3050.0,0.54125
3.9766755,0.2993249,0.85123104,0.107370436,0.20564732,0.10817762,-10.45,620.0,-1.0020629,0.95000005,-30.887499,3100.0,0.52
3.9715712,0.29876745,0.8512661,0.10731121,0.20563509,0.10820109,-9.38125,630.0,-0.98964006,0.98125,-31.206251,3150.0,0.53
3.9665675,0.2979833,0.8512676,0.10730055,0.20563638,0.10822385,-9.81875,640.0,-1.0466628,0.95624995,-30.4925,3200.0,0.545
3.9617953,0.29730064,0.8512717,0.10729001,0.20563692,0.108256295,-9.8125,650.0,-0.9842501,0.9625,-30.37375,3250.0,0.53125
3.95711,0.29669634,0.85124534,0.10727936,0.20564044,0.10827253,-9.4,660.0,-0.9258671,0.96875,-30.075,3300.0,0.55625
3.9523964,0.29619825,0.85124224,0.1072549,0.20568123,0.10826483,-8.9625,670.0,-0.89548576,0.98125005,-30.9875,3350.0,0.51625
3.9477248,0.29560292,0.85126257,0.10726223,0.205684,0.10826839,-10.381249,680.0,-1.09321,0.95,-31.095001,3400.0,0.515
3.943131,0.29497722,0.8512616,0.10716843,0.20569733,0.108188495,-10.6875,690.0,-1.1526425,0.94375,-30.3125,3450.0,0.53625
3.9386325,0.29413468,0.851238,0.10715521,0.20569602,0.10817276,-11.356251,700.0,-1.191594,0.92499995,-30.58625,3500.0,0.52875
3.9340954,0.29306084,0.85126334,0.10712555,0.20570666,0.10821656,-9.30625,710.0,-0.9208648,0.96875,-30.7925,3550.0,0.53
3.9296513,0.29190773,0.8512895,0.107138015,0.20570591,0.108218364,-11.4,720.0,-1.1824749,0.92499995,-31.42375,3600.0,0.50124997
3.925302,0.29071775,0.851316,0.107153066,0.2057082,0.10819254,-9.549999,730.0,-0.9647492,0.98125005,-30.467499,3650.0,0.52125
3.9209616,0.28959912,0.8512997,0.10709935,0.205711,0.10820837,-10.43125,740.0,-1.0774671,0.94374996,-29.72625,3700.0,0.58125
3.9167538,0.28855652,0.85134536,0.10707265,0.20573337,0.10818772,-10.00625,750.0,-1.0634413,0.96875,-31.15,3750.0,0.52625
3.9126503,0.28752625,0.8513899,0.10706519,0.20574068,0.108184576,-10.5625,760.0,-1.1942403,0.95,-31.2,3800.0,0.515
3.9086716,0.28646624,0.85139704,0.107069336,0.20573911,0.10826755,-10.13125,770.0,-0.9825654,0.93125,-30.7175,3850.0,0.51875
3.9048502,0.28541368,0.85139847,0.10701689,0.20573588,0.10825361,-12.3875,780.0,-1.1955893,0.9,-30.6975,3900.0,0.51
3.901294,0.2844728,0.8514282,0.106985845,0.20573737,0.10822347,-9.025,790.0,-0.9246068,0.9625,-31.44375,3950.0,0.515
3.897784,0.2835346,0.8513879,0.10695421,0.20574245,0.10821962,-9.35,800.0,-1.0092471,0.98125,-29.4375,4000.0,0.5575
