#{"t_start": 1582890885.719651, "env_id": "FetchReach-v1"}
s,r,l,t
,-50.0,50,1.006936
,-50.0,50,1.669227
,-50.0,50,2.233645
,-50.0,50,2.77714
,-50.0,50,3.282003
,-50.0,50,3.802014
,-50.0,50,4.295374
,-50.0,50,4.81445
,-45.0,50,5.323357
,-46.0,50,5.850237
,-50.0,50,6.356971
,-50.0,50,6.442513
,-37.0,50,6.520996
,-50.0,50,6.607318
,-32.0,50,6.683391
,-7.0,50,6.763439
,-50.0,50,6.841775
,-35.0,50,6.922674
,-41.0,50,7.003457
,-17.0,50,7.090459
,-24.0,50,7.223171
,-42.0,50,7.744297
,-11.0,50,8.260752
,-13.0,50,8.798703
,-26.0,50,9.315961
,-10.0,50,9.821755
,-17.0,50,10.352658
,-20.0,50,10.873251
,-28.0,50,11.406291
,-27.0,50,11.940306
,-3.0,50,12.492384
,-15.0,50,12.578402
,-9.0,50,12.65764
,-50.0,50,12.737769
,-14.0,50,12.818624
,-1.0,50,12.895013
,-6.0,50,12.968008
,-13.0,50,13.046159
,-50.0,50,13.127439
,-12.0,50,13.204753
,-14.0,50,13.288698
,-5.0,50,13.832741
,-42.0,50,14.460757
