#{"t_start": 1582908190.5594566, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.998985
,-50.0,50,6.757936
,-50.0,50,8.4227
,0.0,50,10.052574
,-50.0,50,11.654604
,-50.0,50,13.257432
,-50.0,50,14.864048
,-50.0,50,16.471152
,-50.0,50,18.069224
,-50.0,50,19.68824
,-50.0,50,21.278116
,-50.0,50,22.864796
,-50.0,50,24.478739
,-50.0,50,26.078197
,0.0,50,27.706545
,-50.0,50,29.272967
,-50.0,50,30.897572
,-50.0,50,32.467463
,-50.0,50,34.080945
,-50.0,50,35.672238
,-50.0,50,37.317505
,-50.0,50,38.911715
,-50.0,50,40.518811
,-50.0,50,42.131437
,-50.0,50,43.697406
,-50.0,50,45.331918
,-50.0,50,46.938334
,-50.0,50,48.529553
,-50.0,50,50.138707
,0.0,50,51.74709
,-50.0,50,53.349911
,-50.0,50,54.949359
,-50.0,50,56.543842
,-50.0,50,58.181836
,-50.0,50,59.794725
,-50.0,50,61.391449
,-50.0,50,63.00878
,-50.0,50,64.615217
,-50.0,50,66.215755
,-50.0,50,67.831328
,-50.0,50,69.424045
,-50.0,50,71.00434
,-50.0,50,72.635624
,-50.0,50,74.236834
,-50.0,50,75.867862
,-50.0,50,77.485141
,-50.0,50,79.085572
,-50.0,50,80.708372
,-50.0,50,82.317911
,-50.0,50,83.943081
,-50.0,50,85.566891
,-50.0,50,85.832845
,-50.0,50,86.103628
,-50.0,50,86.365699
,-50.0,50,86.644587
,-50.0,50,86.915171
,-50.0,50,87.185123
,-50.0,50,87.478848
,-50.0,50,87.75755
,-10.0,50,88.00894
,-50.0,50,88.542057
,-50.0,50,90.132891
,-50.0,50,91.749633
,0.0,50,93.380663
,-50.0,50,94.998913
,-50.0,50,96.577476
,-50.0,50,98.214239
,0.0,50,99.797917
,-50.0,50,101.443931
,-50.0,50,103.059028
,-50.0,50,104.698734
,-50.0,50,106.314805
,-50.0,50,107.923013
,0.0,50,109.511886
,0.0,50,111.155761
,-50.0,50,112.738128
,-50.0,50,114.40032
,-50.0,50,115.983818
,-50.0,50,117.624964
,-50.0,50,119.22013
,-50.0,50,120.858123
,-50.0,50,122.422106
,-50.0,50,124.0922
,-50.0,50,125.669773
,-50.0,50,127.300585
,-50.0,50,128.889622
,-50.0,50,130.52331
,-50.0,50,132.118334
,-50.0,50,133.761026
,-50.0,50,135.383849
,-50.0,50,136.983331
,-50.0,50,138.586892
,-50.0,50,140.206392
,-50.0,50,141.818114
,0.0,50,143.455692
,-50.0,50,145.039044
,-50.0,50,146.648387
,-50.0,50,148.244539
,-50.0,50,149.863828
,-50.0,50,151.488143
,-50.0,50,153.12803
,-50.0,50,154.740172
,-50.0,50,156.33247
,-50.0,50,157.962658
,-50.0,50,159.585618
,-50.0,50,161.20595
,-50.0,50,162.779023
,-50.0,50,164.42188
,-50.0,50,166.052263
,-50.0,50,167.644783
,-50.0,50,169.318687
,-50.0,50,169.576542
,-50.0,50,169.852466
,-50.0,50,170.124026
,-50.0,50,170.40969
,-50.0,50,170.694086
,-50.0,50,170.96995
,-50.0,50,171.250444
,-50.0,50,171.539859
,-50.0,50,171.810721
,-50.0,50,172.156322
,-50.0,50,173.761184
,-50.0,50,175.377151
,-50.0,50,176.988769
,-50.0,50,178.610276
,-50.0,50,180.229087
,-50.0,50,181.842863
,-50.0,50,183.462398
,-50.0,50,185.084422
,-50.0,50,186.674572
,-50.0,50,188.271324
,-50.0,50,189.880287
,-50.0,50,191.496738
,-50.0,50,193.105525
,-50.0,50,194.718159
,0.0,50,196.332057
,-50.0,50,197.948959
,-50.0,50,199.574059
,-50.0,50,201.219728
,-50.0,50,202.819818
,-50.0,50,204.441939
,-50.0,50,206.072199
,-50.0,50,207.684959
,-50.0,50,209.280687
,-50.0,50,210.943212
,-50.0,50,212.553098
,-50.0,50,214.154201
,-50.0,50,215.76263
,-50.0,50,217.399906
,-50.0,50,219.014854
,-50.0,50,220.612808
,-50.0,50,222.228503
,-50.0,50,223.852726
,-50.0,50,225.488667
