#{"t_start": 1582908189.1326725, "env_id": "FetchPush-v1"}
s,r,l,t
,0.0,50,6.372559
,-50.0,50,8.21973
,-50.0,50,9.847214
,-50.0,50,11.466888
,-50.0,50,13.046533
,-50.0,50,14.677275
,-50.0,50,16.291045
,-50.0,50,17.905982
,-50.0,50,19.489619
,-50.0,50,21.104461
,-50.0,50,22.690116
,-50.0,50,24.317072
,-50.0,50,25.911363
,-50.0,50,27.520532
,-50.0,50,29.107408
,-50.0,50,30.727028
,-50.0,50,32.289331
,-50.0,50,33.902194
,-50.0,50,35.523472
,-50.0,50,37.098664
,-50.0,50,38.723452
,-50.0,50,40.349624
,-50.0,50,41.92217
,-50.0,50,43.55208
,-50.0,50,45.166637
,-50.0,50,46.730092
,-50.0,50,48.34576
,-50.0,50,49.949257
,0.0,50,51.585204
,-50.0,50,53.166548
,-50.0,50,54.783149
,-50.0,50,56.401684
,-50.0,50,57.998227
,-50.0,50,59.585693
,-50.0,50,61.243943
,-50.0,50,62.832637
,-50.0,50,64.450772
,-50.0,50,66.032695
,-50.0,50,67.626306
,-50.0,50,69.256982
,-50.0,50,70.86949
,-50.0,50,72.478343
,-50.0,50,74.087987
,-50.0,50,75.667428
,-50.0,50,77.315686
,-50.0,50,78.911691
,-50.0,50,80.508468
,-50.0,50,82.15344
,-50.0,50,83.746182
,-50.0,50,85.354558
,-50.0,50,87.047887
,-50.0,50,87.328522
,-50.0,50,87.594681
,-50.0,50,87.856295
,-50.0,50,88.191972
,-50.0,50,88.474562
,-50.0,50,88.764878
,-50.0,50,89.015626
,-50.0,50,89.282564
,-50.0,50,89.532349
,-50.0,50,89.95688
,-50.0,50,91.56231
,-50.0,50,93.148389
,-50.0,50,94.799546
,-50.0,50,96.427561
,-50.0,50,98.009047
,-50.0,50,99.660513
,-50.0,50,101.240675
,-50.0,50,102.876469
,-50.0,50,104.5222
,-50.0,50,106.10989
,-50.0,50,107.697608
,-50.0,50,109.337778
,-50.0,50,110.924945
,-50.0,50,112.601162
,-50.0,50,114.196008
,-50.0,50,115.805041
,-50.0,50,117.408456
,-50.0,50,119.06987
,0.0,50,120.651729
,-50.0,50,122.265225
,0.0,50,123.895659
,-50.0,50,125.481126
,-50.0,50,127.126202
,-50.0,50,128.702639
,-50.0,50,130.323959
,-50.0,50,131.958981
,-50.0,50,133.587928
,-50.0,50,135.198127
,-50.0,50,136.761554
,-50.0,50,138.384376
,-50.0,50,140.015282
,-50.0,50,141.634287
,-50.0,50,143.250748
,-50.0,50,144.891332
,-7.0,50,146.475535
,-50.0,50,148.099656
,-50.0,50,149.705766
,-50.0,50,151.3021
,-50.0,50,152.90576
,-50.0,50,154.5371
,-50.0,50,156.155612
,-50.0,50,157.743623
,-50.0,50,159.387727
,-50.0,50,161.00199
,-50.0,50,162.592781
,-50.0,50,164.220374
,-50.0,50,165.859291
,-50.0,50,167.471918
,-50.0,50,169.068269
,-50.0,50,170.726479
,-50.0,50,170.998682
,-50.0,50,171.2718
,-50.0,50,171.545389
,-50.0,50,171.844992
,-50.0,50,172.121664
,-50.0,50,172.431188
,-50.0,50,172.737589
,-50.0,50,173.005923
,-50.0,50,173.26069
,-50.0,50,173.561659
,-50.0,50,175.16686
,0.0,50,176.781669
,-50.0,50,178.417015
,-50.0,50,180.03851
,-50.0,50,181.635243
,-50.0,50,183.260709
,-50.0,50,184.881725
,-50.0,50,186.473819
,-50.0,50,188.074423
,-50.0,50,189.70427
,-50.0,50,191.33267
,-50.0,50,192.941332
,-50.0,50,194.513343
,-50.0,50,196.147717
,-50.0,50,197.749678
,-50.0,50,199.351946
,-50.0,50,201.002645
,-50.0,50,202.641554
,-50.0,50,204.220737
,-50.0,50,205.874479
,0.0,50,207.476593
,-50.0,50,209.118113
,-50.0,50,210.748027
,-50.0,50,212.315856
,-50.0,50,213.970188
,-50.0,50,215.564599
,-50.0,50,217.16785
,-50.0,50,218.816648
,-50.0,50,220.433798
,-50.0,50,222.041559
,-50.0,50,223.633302
,-50.0,50,225.281356
,-50.0,50,226.875655
,-50.0,50,228.520143
,-50.0,50,230.112722
,-50.0,50,231.753535
,-50.0,50,233.367049
,-50.0,50,234.953616
,-50.0,50,236.548085
,-50.0,50,238.175995
,-50.0,50,239.836365
,-50.0,50,241.430252
,-50.0,50,243.060379
,-50.0,50,244.646389
,-50.0,50,246.303463
,-50.0,50,247.926268
,-50.0,50,249.511521
,-50.0,50,251.130491
,-50.0,50,252.737437
,-50.0,50,254.40621
,-50.0,50,254.676178
,-50.0,50,254.945892
,-50.0,50,255.21508
,-50.0,50,255.505176
,-50.0,50,255.782021
,-50.0,50,256.045608
,-50.0,50,256.317632
,0.0,50,256.642734
,-50.0,50,256.912618
,-50.0,50,257.272757
,-50.0,50,258.890285
,-50.0,50,260.516134
,-50.0,50,262.102962
,-50.0,50,263.779937
,-50.0,50,265.377804
,-27.0,50,266.986152
,-50.0,50,268.633638
,-50.0,50,270.267585
,-50.0,50,271.893996
,-50.0,50,273.509197
,-50.0,50,275.174883
,-50.0,50,276.776735
,-50.0,50,278.376039
,-50.0,50,280.003089
,0.0,50,281.670384
,-50.0,50,283.305574
,-50.0,50,284.95327
,-50.0,50,286.559552
,-50.0,50,288.169633
,-50.0,50,289.771513
,-50.0,50,291.42229
,-50.0,50,293.036092
,-27.0,50,294.675005
,-50.0,50,296.300521
,-50.0,50,297.897462
,-50.0,50,299.535459
,0.0,50,301.17135
,-50.0,50,302.773686
,-50.0,50,304.430416
,-50.0,50,306.05266
,-50.0,50,307.703139
,-50.0,50,309.334896
,-50.0,50,310.930128
,-50.0,50,312.596383
,-50.0,50,314.182752
,-50.0,50,315.882041
,-50.0,50,317.490024
,0.0,50,319.111833
,-50.0,50,320.769061
,-50.0,50,322.363483
,-50.0,50,324.003843
,-50.0,50,325.638423
,-50.0,50,327.266928
,-50.0,50,328.848021
,-50.0,50,330.513699
,-13.0,50,332.179229
,-50.0,50,333.766503
,-50.0,50,335.443979
,-50.0,50,337.038485
,0.0,50,338.77093
,-50.0,50,339.011436
,-50.0,50,339.281997
,0.0,50,339.575213
,-50.0,50,339.857496
,-50.0,50,340.137952
,-50.0,50,340.419059
,-50.0,50,340.705949
,-50.0,50,341.007011
,0.0,50,341.279873
,-50.0,50,341.61077
,-11.0,50,343.268158
,0.0,50,344.928246
,0.0,50,346.543898
,-50.0,50,348.132129
,-50.0,50,349.773904
,-50.0,50,351.396038
,-50.0,50,353.030488
,-50.0,50,354.700578
,-50.0,50,356.290613
,-50.0,50,357.909111
,-50.0,50,359.557274
,-11.0,50,361.188834
,-50.0,50,362.845054
,-50.0,50,364.460678
,-50.0,50,366.075913
,-50.0,50,367.690421
,-50.0,50,369.301522
,-13.0,50,370.920333
,-50.0,50,372.558461
,-50.0,50,374.183536
,-31.0,50,375.802456
,-50.0,50,377.421897
,-50.0,50,379.073955
,-50.0,50,380.653577
,0.0,50,382.303109
,-50.0,50,383.922187
,-50.0,50,385.543067
,-50.0,50,387.198707
,-50.0,50,388.809067
