actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5431521,0.0062303906,0.8386145,0.07459724,0.2011268,0.05178009,-46.84375,10.0,-2.6084075,0.06250000093132257,-46.6475,50.0,0.065
1.8073368,0.005178214,0.8398948,0.07335504,0.20158114,0.05139022,-47.8125,20.0,-4.5895658,0.0437500006519258,-45.92,100.0,0.08125
2.042225,0.005864551,0.8398388,0.073898196,0.20167848,0.052698355,-45.7625,30.0,-5.966383,0.09375000232830644,-46.809998,150.0,0.0612499990966171
2.256928,0.007805258,0.839746,0.07554907,0.20193148,0.055637673,-44.30625,40.0,-7.602425,0.12500000139698386,-46.5275,200.0,0.07125
2.4587638,0.01152917,0.8398687,0.077404715,0.20202479,0.05965313,-44.175003,50.0,-8.892773,0.13750000344589353,-45.010002,250.0,0.115
2.6348796,0.018491592,0.8400708,0.07799712,0.20232324,0.06552021,-40.737503,60.0,-8.249552,0.22500000288709998,-44.2125,300.0,0.13749999
2.7784398,0.031660773,0.8410073,0.07855902,0.20270564,0.07147687,-31.6625,70.0,-6.843502,0.4875,-39.3525,350.0,0.31
2.8989947,0.05044953,0.8412876,0.078515254,0.20271848,0.07846746,-19.11875,80.0,-3.4354868,0.79375,-31.653751,400.0,0.5625
2.9761524,0.068231836,0.84153676,0.07774945,0.20284913,0.08287417,-13.737499,90.0,-1.8507917,0.92499995,-26.665,450.0,0.7062501
3.0247781,0.08222699,0.8418357,0.07728605,0.20291212,0.08697612,-16.76875,100.0,-2.350545,0.85,-24.92625,500.0,0.74125
3.0581126,0.09318138,0.841685,0.07654953,0.2029515,0.08992215,-12.575,110.0,-1.538755,0.94375,-23.7775,550.0,0.78625
3.0858746,0.10258995,0.84153485,0.07600902,0.20300874,0.092580415,-11.825001,120.0,-1.4330435,0.96875,-22.02875,600.0,0.845
3.1088462,0.11043541,0.8414597,0.075608484,0.20316201,0.09447969,-11.299999,130.0,-1.4791806,0.95624995,-21.901249,650.0,0.85625
3.127379,0.11606611,0.8415238,0.075206496,0.20322016,0.09591771,-10.418751,140.0,-1.2707629,0.98125005,-20.02375,700.0,0.9025
3.1419191,0.12045288,0.84161085,0.07476297,0.20321783,0.09740306,-10.275001,150.0,-1.2633169,0.9875,-19.588749,750.0,0.89625
3.1518626,0.12348275,0.8416342,0.07435946,0.20325202,0.09858932,-9.75,160.0,-1.163896,1.0,-19.19375,800.0,0.90125
3.1582112,0.12557179,0.8415678,0.07397108,0.20324878,0.099626,-10.6,170.0,-1.2646638,0.99375,-18.395,850.0,0.9375
3.1622505,0.12714167,0.84148026,0.07396981,0.20332487,0.10084553,-10.525,180.0,-1.2647767,0.975,-18.842499,900.0,0.91125
3.1646264,0.12818182,0.8415275,0.073635556,0.20341776,0.1019357,-10.19375,190.0,-1.2844833,0.99375,-18.66,950.0,0.91249996
3.16572,0.12888552,0.8416309,0.07328387,0.20346868,0.10228519,-9.1,200.0,-1.0370555,0.99375,-18.310001,1000.0,0.9275
3.1663537,0.12929305,0.8415708,0.073211886,0.20351745,0.10292673,-9.474999,210.0,-1.0979428,1.0,-18.088749,1050.0,0.94124997
3.1664073,0.12945123,0.8415156,0.07310819,0.20358033,0.103687,-8.94375,220.0,-1.0020834,0.99375,-18.4275,1100.0,0.9375
3.1654687,0.12946743,0.84137994,0.07280849,0.20356286,0.10423612,-10.43125,230.0,-1.2415564,0.99375,-17.09375,1150.0,0.9425
3.1641421,0.1294135,0.8414504,0.07277258,0.20357613,0.1050216,-9.3875,240.0,-1.0185347,0.99375,-18.18,1200.0,0.95
3.1622224,0.12926069,0.8413822,0.07256858,0.20367861,0.10535777,-9.8,250.0,-1.0827913,0.9875,-17.3325,1250.0,0.94750005
3.159854,0.12904164,0.8413145,0.07235112,0.2036853,0.10571046,-9.1625,260.0,-1.051411,1.0,-17.2025,1300.0,0.94624996
3.1572936,0.12878254,0.8412325,0.072295256,0.2037304,0.106233455,-9.18125,270.0,-1.0130041,0.99375,-17.5525,1350.0,0.93875
3.1548517,0.12852822,0.84114105,0.07213365,0.20370327,0.10665031,-8.668751,280.0,-0.9843315,1.0,-17.765,1400.0,0.92125
3.1525605,0.12819576,0.8411174,0.07208268,0.20366985,0.10699037,-10.04375,290.0,-1.1859145,1.0,-17.12375,1450.0,0.9575
3.1499298,0.12790838,0.84111524,0.07199166,0.20367064,0.10728029,-8.75625,300.0,-0.9582733,0.99375,-17.18,1500.0,0.96000004
3.1468494,0.12753925,0.8410643,0.07180401,0.20371729,0.107468694,-9.275,310.0,-1.1548688,0.9875,-16.67625,1550.0,0.95375
3.1437984,0.12718625,0.8410787,0.07178422,0.20377171,0.10774457,-9.4,320.0,-1.0367374,0.99375,-17.77125,1600.0,0.9425
3.1405697,0.12680821,0.8410594,0.07167919,0.20381722,0.108054206,-8.74375,330.0,-0.9267426,1.0,-17.84125,1650.0,0.95375
3.137125,0.1264541,0.8410439,0.07168788,0.20381221,0.108399935,-8.581249,340.0,-0.9621129,1.0,-17.07,1700.0,0.9525
3.1335318,0.12608023,0.84100217,0.07157766,0.20381309,0.10863242,-8.9,350.0,-1.0150062,1.0,-16.779999,1750.0,0.94875
3.1299326,0.12568317,0.8409798,0.07158551,0.2038541,0.10889388,-9.5875,360.0,-1.0869439,1.0,-17.46,1800.0,0.94375
3.126449,0.12525201,0.84090644,0.07152598,0.20389372,0.1091878,-9.4,370.0,-1.0443251,1.0,-17.498749,1850.0,0.94500005
3.1231804,0.124816656,0.84085983,0.07147781,0.20386936,0.10950076,-8.981251,380.0,-0.9232289,0.99375,-17.1025,1900.0,0.95125
3.1200128,0.12437678,0.8408441,0.07137093,0.20386559,0.10975167,-9.06875,390.0,-1.0086775,1.0,-16.8125,1950.0,0.96000004
3.1167994,0.12392531,0.8409147,0.07134397,0.20387651,0.10994044,-8.85625,400.0,-0.9896073,1.0,-17.00375,2000.0,0.94375
