#{"t_start": 1582826569.2339687, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.335601
,-50.0,50,8.196552
,-50.0,50,9.816177
,-50.0,50,11.433112
,-50.0,50,13.066109
,-50.0,50,14.684045
,-50.0,50,16.304859
,-50.0,50,17.953587
,-50.0,50,19.537447
,-50.0,50,21.1817
,-50.0,50,22.758843
,-50.0,50,24.374801
,-50.0,50,25.99782
,-50.0,50,27.611115
,-50.0,50,29.21969
,-50.0,50,30.865316
,0.0,50,32.464547
,-50.0,50,34.091116
,-50.0,50,35.723207
,-50.0,50,37.319284
,-50.0,50,38.943275
,-50.0,50,40.566284
,-50.0,50,42.194449
,-50.0,50,43.819869
,-50.0,50,45.427876
,-50.0,50,47.041372
,-50.0,50,48.661195
,-50.0,50,50.282745
,0.0,50,51.899465
,-50.0,50,53.50099
,-50.0,50,55.12695
,-50.0,50,56.749309
,-50.0,50,58.375722
,-50.0,50,59.986636
,-50.0,50,61.590828
,-50.0,50,63.188688
,-50.0,50,64.836014
,-50.0,50,66.446705
,0.0,50,68.098895
,-50.0,50,69.711445
,-50.0,50,71.349258
,-50.0,50,72.946443
,-50.0,50,74.561482
,-50.0,50,76.172655
,-50.0,50,77.838041
,-50.0,50,79.431269
,-50.0,50,81.066308
,0.0,50,82.639145
,-50.0,50,84.278432
,-50.0,50,85.8724
,-50.0,50,87.573543
,-50.0,50,87.892463
,-50.0,50,88.184328
,-50.0,50,88.430411
,-50.0,50,88.73722
,-50.0,50,89.030889
,-50.0,50,89.309828
,-50.0,50,89.582624
,-50.0,50,89.908069
,-50.0,50,90.160329
,-50.0,50,90.602976
,-50.0,50,92.197991
,-50.0,50,93.851012
,-50.0,50,95.464794
,-50.0,50,97.081079
,-50.0,50,98.712774
,-50.0,50,100.330675
,-50.0,50,101.933078
,-50.0,50,103.615108
,-50.0,50,105.216596
,-50.0,50,106.850655
,-50.0,50,108.497926
,-50.0,50,110.108797
,-50.0,50,111.742125
,-50.0,50,113.368713
,-50.0,50,114.959987
,-50.0,50,116.601466
,-50.0,50,118.274811
,-50.0,50,119.872818
,-50.0,50,121.529201
,-50.0,50,123.126194
,-50.0,50,124.779117
,-50.0,50,126.379697
,-50.0,50,127.985979
,-50.0,50,129.632895
,-50.0,50,131.225723
,-50.0,50,132.860537
,0.0,50,134.490896
,-50.0,50,136.114793
,-50.0,50,137.733948
,-50.0,50,139.328019
,-50.0,50,140.970676
,-50.0,50,142.604628
,-50.0,50,144.259413
,-50.0,50,145.89238
,-50.0,50,147.486866
,-50.0,50,149.129138
,-50.0,50,150.780436
,-50.0,50,152.422866
,-50.0,50,154.040874
,-50.0,50,155.656078
,-50.0,50,157.290205
,-50.0,50,158.895603
,0.0,50,160.555322
,-50.0,50,162.159045
,-50.0,50,163.787709
,-50.0,50,165.417454
,-50.0,50,167.059731
,-50.0,50,168.672578
,-50.0,50,170.318636
,-50.0,50,171.974334
,-50.0,50,172.259262
,-50.0,50,172.541428
,-50.0,50,172.859801
,-50.0,50,173.180949
,-50.0,50,173.473056
,-50.0,50,173.767539
,-50.0,50,174.044458
,-50.0,50,174.337984
,-50.0,50,174.614304
,-50.0,50,174.887352
,-50.0,50,176.509933
,-50.0,50,178.101085
,-50.0,50,179.743032
,-50.0,50,181.352602
,-50.0,50,183.0041
,-50.0,50,184.621782
,0.0,50,186.273174
,-50.0,50,187.897367
,-50.0,50,189.498242
,-50.0,50,191.121919
,-50.0,50,192.760374
,-50.0,50,194.408943
,-50.0,50,196.038527
,-50.0,50,197.653998
,-50.0,50,199.256002
,-50.0,50,200.947524
,-50.0,50,202.571515
,-50.0,50,204.214874
,-50.0,50,205.828886
,-50.0,50,207.477962
,-50.0,50,209.118591
,-50.0,50,210.772885
,-50.0,50,212.406132
,-50.0,50,214.011077
,-50.0,50,215.667365
,-50.0,50,217.305511
,-50.0,50,218.905428
,-50.0,50,220.562059
,-50.0,50,222.180172
,-50.0,50,223.807289
,-50.0,50,225.440848
