#{"t_start": 1582826570.271137, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.302399
,-50.0,50,7.126293
,-50.0,50,8.778124
,-50.0,50,10.416516
,-50.0,50,11.991284
,-50.0,50,13.622546
,-50.0,50,15.273965
,-50.0,50,16.869497
,-50.0,50,18.528828
,0.0,50,20.105013
,-50.0,50,21.733013
,-50.0,50,23.340097
,-50.0,50,24.956126
,-50.0,50,26.571765
,-50.0,50,28.209514
,-50.0,50,29.788106
,-50.0,50,31.438869
,-50.0,50,33.069033
,-50.0,50,34.665444
,-50.0,50,36.314004
,-50.0,50,37.89278
,-50.0,50,39.521415
,-50.0,50,41.143042
,-50.0,50,42.773387
,-50.0,50,44.38292
,-50.0,50,45.995514
,-50.0,50,47.635808
,-50.0,50,49.234588
,-50.0,50,50.855203
,-50.0,50,52.491508
,-50.0,50,54.063179
,-50.0,50,55.731688
,-50.0,50,57.325664
,-50.0,50,58.956804
,-50.0,50,60.544807
,-50.0,50,62.157254
,-50.0,50,63.816637
,-50.0,50,65.401441
,-50.0,50,67.054368
,0.0,50,68.668694
,-50.0,50,70.309634
,-50.0,50,71.917787
,-50.0,50,73.538468
,-50.0,50,75.151963
,-50.0,50,76.749585
,-50.0,50,78.402956
,-50.0,50,80.030634
,-50.0,50,81.617797
,-50.0,50,83.26461
,0.0,50,84.829393
,-50.0,50,86.535274
,-50.0,50,86.789092
,-50.0,50,87.066597
,-50.0,50,87.350076
,-50.0,50,87.619593
,-50.0,50,87.899304
,-50.0,50,88.170638
,-50.0,50,88.459239
,-50.0,50,88.722308
,-50.0,50,88.984276
,-50.0,50,89.579406
,-50.0,50,91.190048
,-50.0,50,92.770183
,-50.0,50,94.403833
,-50.0,50,96.002965
,-50.0,50,97.680626
,-50.0,50,99.302229
,-50.0,50,100.931369
,-50.0,50,102.545075
,-50.0,50,104.186509
,-50.0,50,105.807991
,-50.0,50,107.436854
,-50.0,50,109.086116
,-50.0,50,110.678896
,-50.0,50,112.327622
,-50.0,50,113.912997
,-50.0,50,115.59633
,-50.0,50,117.206253
,-50.0,50,118.846457
,-50.0,50,120.468258
,-50.0,50,122.114887
,0.0,50,123.727533
,-50.0,50,125.343602
,-50.0,50,126.955315
,-50.0,50,128.5642
,-50.0,50,130.189591
,-50.0,50,131.802557
,-50.0,50,133.419455
,-50.0,50,135.072129
,0.0,50,136.718182
,-50.0,50,138.339194
,-50.0,50,139.955065
,-50.0,50,141.588923
,-50.0,50,143.20944
,-50.0,50,144.856235
,-50.0,50,146.448218
,-50.0,50,148.133698
,-50.0,50,149.750751
,-50.0,50,151.378418
