#{"t_start": 1582737901.4354308, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.719926
,-50.0,50,6.588325
,-50.0,50,8.198505
,-50.0,50,9.82039
,-50.0,50,11.396082
,-50.0,50,13.031152
,-50.0,50,14.665082
,-50.0,50,16.23274
,-50.0,50,17.855451
,-50.0,50,19.464643
,-50.0,50,21.038937
,-50.0,50,22.647202
,-50.0,50,24.269666
,-50.0,50,25.85598
,-50.0,50,27.42815
,-50.0,50,29.03571
,0.0,50,30.649381
,-50.0,50,32.250019
,-50.0,50,33.876997
,-50.0,50,35.470872
,-50.0,50,37.073737
,-50.0,50,38.667703
,-50.0,50,40.328491
,-50.0,50,41.924304
,-50.0,50,43.509955
,-50.0,50,45.146987
,-50.0,50,46.743764
,-50.0,50,48.359094
,-50.0,50,50.002517
,-50.0,50,51.601592
,-50.0,50,53.194259
,-50.0,50,54.812481
,-50.0,50,56.409453
,-50.0,50,57.999686
,-50.0,50,59.642773
,-16.0,50,61.23333
,-50.0,50,62.858482
,-50.0,50,64.475233
,0.0,50,66.082414
,-50.0,50,67.668809
,-50.0,50,69.303577
,-50.0,50,70.905662
,-50.0,50,72.526533
,-50.0,50,74.136755
,-50.0,50,75.732977
,-50.0,50,77.306901
,-50.0,50,78.958328
,-50.0,50,80.564991
,-50.0,50,82.127515
,-50.0,50,83.742553
,-50.0,50,85.471673
,-50.0,50,85.753911
,-50.0,50,86.07341
,-50.0,50,86.3635
,-50.0,50,86.634916
,-50.0,50,86.946602
,-50.0,50,87.223601
,-50.0,50,87.501896
,-50.0,50,87.792331
,-50.0,50,88.07817
,-50.0,50,88.423581
,-50.0,50,90.057361
