actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.6675653,0.020082358,0.7520652,0.11568581,0.16539766,0.04910159,-50.0,10.0,-2.3474333,0.0,-50.0,50.0,0.0
2.3041823,0.017106446,0.75200194,0.1089588,0.16656509,0.048634805,-50.0,20.0,-4.88353,0.0,-50.0,100.0,0.0
2.8788912,0.018076554,0.7508088,0.12870102,0.16632456,0.05652322,-50.0,30.0,-4.8270617,0.0,-50.0,150.0,0.0
3.9365613,0.016947845,0.74770045,0.13427226,0.1655058,0.057859335,-50.0,40.0,-6.758063,0.0,-49.88,200.0,0.0
4.4833694,0.016856909,0.7450457,0.13581951,0.16540778,0.0588202,-49.9,50.0,-8.633233,0.0,-50.0,250.0,0.0
4.8609266,0.017570198,0.7450147,0.13520916,0.16484565,0.06174965,-50.0,60.0,-11.527091,0.0,-50.0,300.0,0.0
5.1239448,0.01875429,0.7447794,0.13565342,0.16470137,0.062772244,-50.0,70.0,-11.350427,0.0,-50.0,350.0,0.0
5.3251557,0.01982028,0.7443194,0.13613924,0.16505826,0.06527157,-50.0,80.0,-13.028478,0.0,-50.0,400.0,0.0
5.5000377,0.020860227,0.7426117,0.13745172,0.16516608,0.06594698,-50.0,90.0,-14.105614,0.0,-50.0,450.0,0.0
5.653349,0.022326432,0.74437004,0.1376569,0.16505262,0.06565902,-50.0,100.0,-14.46924,0.0,-49.72,500.0,0.02
5.781455,0.024286313,0.7457543,0.13728113,0.16538928,0.06539873,-50.0,110.0,-15.43823,0.0,-50.0,550.0,0.0
5.905443,0.026606921,0.7452819,0.14325565,0.1654885,0.067851275,-50.0,120.0,-14.925649,0.0,-49.38,600.0,0.02
6.01575,0.02910028,0.74593073,0.1430685,0.16533983,0.06835729,-50.0,130.0,-13.437421,0.0,-49.94,650.0,0.0
