,mean,amin,amax,median,std,var
1,50.0,50.0,50.0,50.0,0.0,0.0
2,100.0,100.0,100.0,100.0,0.0,0.0
3,150.0,150.0,150.0,150.0,0.0,0.0
4,200.0,200.0,200.0,200.0,0.0,0.0
5,250.0,250.0,250.0,250.0,0.0,0.0
6,300.0,300.0,300.0,300.0,0.0,0.0
7,350.0,350.0,350.0,350.0,0.0,0.0
8,400.0,400.0,400.0,400.0,0.0,0.0
9,450.0,450.0,450.0,450.0,0.0,0.0
10,500.0,500.0,500.0,500.0,0.0,0.0
11,550.0,550.0,550.0,550.0,0.0,0.0
12,600.0,600.0,600.0,600.0,0.0,0.0
13,650.0,650.0,650.0,650.0,0.0,0.0
14,700.0,700.0,700.0,700.0,0.0,0.0
15,750.0,750.0,750.0,750.0,0.0,0.0
16,800.0,800.0,800.0,800.0,0.0,0.0
17,850.0,850.0,850.0,850.0,0.0,0.0
18,900.0,900.0,900.0,900.0,0.0,0.0
19,950.0,950.0,950.0,950.0,0.0,0.0
20,1000.0,1000.0,1000.0,1000.0,0.0,0.0
21,1050.0,1050.0,1050.0,1050.0,0.0,0.0
22,1100.0,1100.0,1100.0,1100.0,0.0,0.0
23,1150.0,1150.0,1150.0,1150.0,0.0,0.0
24,1200.0,1200.0,1200.0,1200.0,0.0,0.0
25,1250.0,1250.0,1250.0,1250.0,0.0,0.0
26,1300.0,1300.0,1300.0,1300.0,0.0,0.0
27,1350.0,1350.0,1350.0,1350.0,0.0,0.0
28,1400.0,1400.0,1400.0,1400.0,0.0,0.0
29,1450.0,1450.0,1450.0,1450.0,0.0,0.0
30,1500.0,1500.0,1500.0,1500.0,0.0,0.0
31,1550.0,1550.0,1550.0,1550.0,0.0,0.0
32,1600.0,1600.0,1600.0,1600.0,0.0,0.0
33,1650.0,1650.0,1650.0,1650.0,0.0,0.0
34,1700.0,1700.0,1700.0,1700.0,0.0,0.0
35,1750.0,1750.0,1750.0,1750.0,0.0,0.0
36,1800.0,1800.0,1800.0,1800.0,0.0,0.0
37,1850.0,1850.0,1850.0,1850.0,0.0,0.0
38,1900.0,1900.0,1900.0,1900.0,0.0,0.0
39,1950.0,1950.0,1950.0,1950.0,0.0,0.0
40,2000.0,2000.0,2000.0,2000.0,0.0,0.0
41,2050.0,2050.0,2050.0,2050.0,0.0,0.0
42,2100.0,2100.0,2100.0,2100.0,0.0,0.0
43,2150.0,2150.0,2150.0,2150.0,0.0,0.0
44,2200.0,2200.0,2200.0,2200.0,0.0,0.0
45,2250.0,2250.0,2250.0,2250.0,0.0,0.0
46,2300.0,2300.0,2300.0,2300.0,0.0,0.0
47,2350.0,2350.0,2350.0,2350.0,0.0,0.0
48,2400.0,2400.0,2400.0,2400.0,0.0,0.0
49,2450.0,2450.0,2450.0,2450.0,0.0,0.0
50,2500.0,2500.0,2500.0,2500.0,0.0,0.0
51,2550.0,2550.0,2550.0,2550.0,0.0,0.0
52,2600.0,2600.0,2600.0,2600.0,0.0,0.0
53,2650.0,2650.0,2650.0,2650.0,0.0,0.0
54,2700.0,2700.0,2700.0,2700.0,0.0,0.0
55,2750.0,2750.0,2750.0,2750.0,0.0,0.0
56,2800.0,2800.0,2800.0,2800.0,0.0,0.0
57,2850.0,2850.0,2850.0,2850.0,0.0,0.0
58,2900.0,2900.0,2900.0,2900.0,0.0,0.0
59,2950.0,2950.0,2950.0,2950.0,0.0,0.0
60,3000.0,3000.0,3000.0,3000.0,0.0,0.0
61,3050.0,3050.0,3050.0,3050.0,0.0,0.0
62,3100.0,3100.0,3100.0,3100.0,0.0,0.0
63,3150.0,3150.0,3150.0,3150.0,0.0,0.0
64,3200.0,3200.0,3200.0,3200.0,0.0,0.0
65,3250.0,3250.0,3250.0,3250.0,0.0,0.0
66,3300.0,3300.0,3300.0,3300.0,0.0,0.0
67,3350.0,3350.0,3350.0,3350.0,0.0,0.0
68,3400.0,3400.0,3400.0,3400.0,0.0,0.0
69,3450.0,3450.0,3450.0,3450.0,0.0,0.0
70,3500.0,3500.0,3500.0,3500.0,0.0,0.0
71,3550.0,3550.0,3550.0,3550.0,0.0,0.0
72,3600.0,3600.0,3600.0,3600.0,0.0,0.0
73,3650.0,3650.0,3650.0,3650.0,0.0,0.0
74,3700.0,3700.0,3700.0,3700.0,0.0,0.0
75,3750.0,3750.0,3750.0,3750.0,0.0,0.0
76,3800.0,3800.0,3800.0,3800.0,0.0,0.0
77,3850.0,3850.0,3850.0,3850.0,0.0,0.0
78,3900.0,3900.0,3900.0,3900.0,0.0,0.0
79,3950.0,3950.0,3950.0,3950.0,0.0,0.0
80,4000.0,4000.0,4000.0,4000.0,0.0,0.0
