#{"t_start": 1582713659.810979, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,5.439785
,-50.0,50,7.253409
,-50.0,50,8.886904
,-50.0,50,10.483965
,-50.0,50,12.111661
,-50.0,50,13.817106
,-50.0,50,15.430086
,-50.0,50,17.050121
,-50.0,50,18.663274
,-50.0,50,20.346638
,-50.0,50,21.991262
,-50.0,50,23.645423
,-50.0,50,25.219018
,-50.0,50,26.897861
,-50.0,50,28.494685
,-50.0,50,30.150012
,-50.0,50,31.786417
,-50.0,50,33.402309
,-50.0,50,35.013119
,-50.0,50,36.649692
,-50.0,50,38.285887
,-50.0,50,39.923672
,-50.0,50,41.543136
,-50.0,50,43.18003
,-50.0,50,44.766966
,-50.0,50,46.449345
,-50.0,50,48.094491
,-50.0,50,49.723892
,-50.0,50,51.313657
,-50.0,50,52.986141
,-50.0,50,54.57448
,-50.0,50,56.237453
,-50.0,50,57.832885
,-50.0,50,59.453874
,-50.0,50,61.139885
,-50.0,50,62.762756
,-50.0,50,64.347243
,-50.0,50,66.013104
,-50.0,50,67.619751
,-50.0,50,69.240037
,-50.0,50,70.856494
,-50.0,50,72.488714
,-50.0,50,74.116524
,-50.0,50,75.744204
,-50.0,50,77.351358
,-50.0,50,78.981199
,-50.0,50,80.617772
,-50.0,50,82.265131
,-50.0,50,83.945652
,-50.0,50,85.529244
,-50.0,50,87.230108
,-50.0,50,87.513511
,-50.0,50,87.782313
,-50.0,50,88.065106
,-50.0,50,88.341187
,-50.0,50,88.617431
,-50.0,50,88.942111
,-50.0,50,89.242396
,-50.0,50,89.511485
,-50.0,50,89.811668
,-50.0,50,90.192913
,-50.0,50,91.849702
,-50.0,50,93.465546
,-50.0,50,95.104486
,-50.0,50,96.730213
,-50.0,50,98.387232
,-50.0,50,100.041767
,-50.0,50,101.637388
,-50.0,50,103.268272
,-50.0,50,104.877085
,-50.0,50,106.511343
,-50.0,50,108.165855
,-47.0,50,109.795628
,-50.0,50,111.416786
,-50.0,50,113.048714
,-50.0,50,114.68185
,-50.0,50,116.307151
,-50.0,50,117.913328
,-50.0,50,119.565004
,-50.0,50,121.209469
