#{"t_start": 1582656745.6983676, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,0.0,50,5.831435
,-50.0,50,7.680746
,-50.0,50,9.292573
,-50.0,50,10.888508
,-50.0,50,12.518093
,-50.0,50,14.11623
,-50.0,50,15.722968
,-50.0,50,17.329136
,-50.0,50,18.928655
,-50.0,50,20.52651
,-50.0,50,22.103835
,-50.0,50,23.756475
,-50.0,50,25.36446
,-50.0,50,26.967581
,-50.0,50,28.557912
,-50.0,50,30.166985
,-50.0,50,31.745276
,-50.0,50,33.386498
,-50.0,50,34.993858
,-50.0,50,36.564249
,-50.0,50,38.195545
,-50.0,50,39.763175
,-50.0,50,41.396498
,-50.0,50,43.008615
,-50.0,50,44.580577
,-50.0,50,46.18764
,-50.0,50,47.808728
,-50.0,50,49.404955
,-50.0,50,50.98751
,-50.0,50,52.584316
,-50.0,50,54.171883
,-50.0,50,55.824179
,-50.0,50,57.419332
,-50.0,50,59.040947
,-50.0,50,60.638906
,-50.0,50,62.228796
,-50.0,50,63.840031
,-50.0,50,65.450094
,-50.0,50,67.056324
,-50.0,50,68.63703
,-50.0,50,70.260614
,-50.0,50,71.841875
,-50.0,50,73.457147
,-50.0,50,75.062497
,-50.0,50,76.667667
,-50.0,50,78.274652
,-50.0,50,79.859058
,-50.0,50,81.484946
,-50.0,50,83.107182
,-50.0,50,84.682899
,-50.0,50,86.341114
,-50.0,50,86.578772
,-50.0,50,86.833662
,-50.0,50,87.106347
,-50.0,50,87.376768
,-50.0,50,87.665536
,-50.0,50,87.935813
,-50.0,50,88.188851
,-50.0,50,88.456145
,-50.0,50,88.705084
,-50.0,50,89.099085
,-50.0,50,90.701735
,-50.0,50,92.311642
,-50.0,50,93.926185
,-50.0,50,95.524138
,-50.0,50,97.125391
,-50.0,50,98.738768
,-50.0,50,100.36011
,-50.0,50,101.969031
,-50.0,50,103.578211
,-50.0,50,105.202308
,-50.0,50,106.811928
,-50.0,50,108.411635
,-50.0,50,110.026822
,-50.0,50,111.635862
,-50.0,50,113.193068
,-50.0,50,114.815151
,-50.0,50,116.467594
,-50.0,50,118.089883
,-50.0,50,119.69687
,-50.0,50,121.320947
,-50.0,50,122.896104
,-50.0,50,124.531554
,-50.0,50,126.146715
,0.0,50,127.757447
,-50.0,50,129.348854
,-50.0,50,130.950777
,-50.0,50,132.556783
,0.0,50,134.18272
,-50.0,50,135.792401
,-50.0,50,137.407514
,-50.0,50,138.99301
,-50.0,50,140.606513
,-50.0,50,142.249359
,-50.0,50,143.85743
,-50.0,50,145.450117
,-50.0,50,147.080096
,-50.0,50,148.672715
,-50.0,50,150.274841
,-50.0,50,151.875267
,-50.0,50,153.523862
,-50.0,50,155.119281
,-50.0,50,156.726867
,-50.0,50,158.394568
,-50.0,50,159.97483
,-50.0,50,161.590787
,-50.0,50,163.241044
,-50.0,50,164.837822
,-50.0,50,166.452121
,-50.0,50,168.058661
,-50.0,50,169.667426
,-50.0,50,169.940665
,-50.0,50,170.224072
,-50.0,50,170.479549
,-50.0,50,170.750019
,-50.0,50,171.033244
,-50.0,50,171.282684
,-50.0,50,171.541149
,-50.0,50,171.802669
,-50.0,50,172.047868
,-50.0,50,172.388027
,-50.0,50,174.025997
,-50.0,50,175.62453
,-50.0,50,177.246225
,-50.0,50,178.848889
,-50.0,50,180.485427
,-50.0,50,182.104748
,-50.0,50,183.704901
,-50.0,50,185.313028
,-50.0,50,186.940154
,-50.0,50,188.54659
,-50.0,50,190.153099
,-50.0,50,191.770138
,-50.0,50,193.38034
,-50.0,50,194.986351
,-50.0,50,196.596862
,-50.0,50,198.221179
,-50.0,50,199.810312
,-50.0,50,201.432927
,-50.0,50,203.049047
,-50.0,50,204.649113
,-50.0,50,206.312006
,-50.0,50,207.928451
,-50.0,50,209.560879
,-50.0,50,211.181904
,-50.0,50,212.771894
,-50.0,50,214.418668
,-50.0,50,216.038313
,-50.0,50,217.64082
,0.0,50,219.267983
,-50.0,50,220.865806
,-50.0,50,222.504172
,-50.0,50,224.156075
,-50.0,50,225.763309
,-50.0,50,227.384813
,-50.0,50,228.961598
,-50.0,50,230.601307
,-50.0,50,232.197812
,-50.0,50,233.854313
,-50.0,50,235.479478
,-50.0,50,237.069824
,-50.0,50,238.686413
,-50.0,50,240.332953
,-50.0,50,241.945523
,-50.0,50,243.577317
,-50.0,50,245.195399
,-50.0,50,246.831085
,-50.0,50,248.451447
,-50.0,50,250.064447
,-50.0,50,251.696265
,-50.0,50,253.308516
,-50.0,50,253.559188
,-50.0,50,253.833713
,-50.0,50,254.09983
,-50.0,50,254.364871
,-50.0,50,254.652889
,-50.0,50,254.942154
,-50.0,50,255.22326
,-50.0,50,255.48113
,-50.0,50,255.742296
,-50.0,50,256.136864
,-50.0,50,257.748452
,-50.0,50,259.348135
,-50.0,50,261.003271
,-50.0,50,262.632283
,-50.0,50,264.249715
,-50.0,50,265.85025
,-50.0,50,267.477617
,-50.0,50,269.0805
,0.0,50,270.737285
,-50.0,50,272.337164
,-50.0,50,273.96591
,-50.0,50,275.620736
,-50.0,50,277.254392
,-50.0,50,278.874819
,-50.0,50,280.489149
,-50.0,50,282.103167
,-50.0,50,283.742297
,-50.0,50,285.365559
,-50.0,50,286.9764
,-50.0,50,288.637965
,-50.0,50,290.270265
,-50.0,50,291.890213
,-50.0,50,293.510601
,-50.0,50,295.169951
,-50.0,50,296.778149
,-50.0,50,298.441762
,-50.0,50,300.045301
,-50.0,50,301.700574
,-50.0,50,303.322888
,0.0,50,304.953884
,-50.0,50,306.592705
,-50.0,50,308.198572
,-50.0,50,309.821991
,-50.0,50,311.443708
,-35.0,50,313.09742
