actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.6678778,0.0066981837,0.8465226,0.09433345,0.20430973,0.04988665,-48.4375,10.0,-2.7778978,0.03125000046566129,-48.1875,50.0,0.036249998258426785
2.0258174,0.0058026416,0.8464082,0.09520843,0.20407113,0.05124869,-48.75,20.0,-4.725203,0.02500000037252903,-47.945,100.0,0.039999998873099685
2.353683,0.007054061,0.84484833,0.095962875,0.2038901,0.05645312,-49.125,30.0,-6.682415,0.018750000279396772,-48.542503,150.0,0.028749999357387424
2.6429482,0.010812538,0.8449946,0.09833569,0.2040679,0.06108151,-45.225,40.0,-7.424694,0.1000000024214387,-47.63375,200.0,0.044999998
2.865778,0.016609974,0.8441475,0.09931358,0.20389134,0.06650108,-47.95625,50.0,-9.281504,0.037500000558793545,-47.29,250.0,0.056250000139698386
3.0528657,0.025834683,0.84335256,0.10169811,0.20393349,0.073598854,-47.225,60.0,-10.213562,0.06875000149011612,-46.805,300.0,0.073750004
3.2244558,0.04182315,0.8431907,0.10353595,0.204242,0.08138312,-43.4125,70.0,-9.916465,0.15625000232830644,-46.44375,350.0,0.088750005
3.375565,0.0629338,0.8430442,0.10570469,0.20445742,0.087667964,-42.237503,80.0,-10.41005,0.18749999580904841,-45.21625,400.0,0.1225
3.4951572,0.08823367,0.84343505,0.10677444,0.20455743,0.09202667,-40.6625,90.0,-10.146469,0.2312500039115548,-43.418747,450.0,0.185
3.58951,0.11606607,0.8435435,0.10732678,0.20448846,0.09574215,-36.99375,100.0,-9.879957,0.30625004,-44.027496,500.0,0.15875
3.6683989,0.14424665,0.84357643,0.10819254,0.2045145,0.09864235,-37.268753,110.0,-10.641079,0.35000002,-42.25625,550.0,0.20125
3.7334301,0.17213428,0.8436915,0.10800615,0.20462717,0.10066685,-35.9,120.0,-10.419835,0.3625,-40.77625,600.0,0.25625
3.7871394,0.19723745,0.8438323,0.1078838,0.20482622,0.10259445,-32.4125,130.0,-9.559213,0.4375,-39.92375,650.0,0.28
3.8316715,0.21952629,0.84401345,0.10808464,0.2049513,0.10454356,-30.425,140.0,-9.920748,0.5,-39.49125,700.0,0.29250002
3.8692353,0.24091643,0.8440893,0.10815913,0.2051297,0.10601411,-26.64375,150.0,-8.734858,0.6,-37.5225,750.0,0.3325
3.8993032,0.26021454,0.84425646,0.10811108,0.20507678,0.1069194,-26.76875,160.0,-8.188804,0.575,-36.48375,800.0,0.38
3.9238305,0.2781192,0.8441599,0.108365655,0.20504507,0.10781751,-22.343752,170.0,-6.9729843,0.68125,-35.31375,850.0,0.41250002
3.9458747,0.29476348,0.8442696,0.108736,0.20521942,0.10873552,-21.1125,180.0,-7.4389906,0.7125,-34.12375,900.0,0.45374998
3.966468,0.30943373,0.84432626,0.108844616,0.2052671,0.10938008,-17.25625,190.0,-6.0562305,0.81875,-32.8975,950.0,0.48125
3.9864764,0.3211911,0.8444124,0.10886872,0.20543766,0.10980405,-17.825,200.0,-6.2340407,0.8125,-31.267502,1000.0,0.52
4.00364,0.32973987,0.8445743,0.10888488,0.2055466,0.11003637,-17.5375,210.0,-6.2072477,0.80625,-30.717499,1050.0,0.515
4.01815,0.33575064,0.8449445,0.10904781,0.20569278,0.11035297,-15.231251,220.0,-4.79117,0.825,-30.83625,1100.0,0.52625
4.030947,0.34001526,0.8452495,0.109016776,0.205756,0.11037523,-13.35,230.0,-4.200379,0.88125,-29.088749,1150.0,0.54625
4.041408,0.3428417,0.84551543,0.10915551,0.20579004,0.11033805,-13.606251,240.0,-3.812515,0.86875,-29.29125,1200.0,0.56125
4.050378,0.34443846,0.84577566,0.1093426,0.20587473,0.1104017,-12.975,250.0,-3.9435124,0.88750005,-28.7075,1250.0,0.5725
4.0582848,0.3453465,0.8462186,0.109521806,0.20597948,0.11059927,-13.93125,260.0,-3.8468163,0.86875,-30.17625,1300.0,0.53875
4.0647798,0.3457682,0.8465424,0.10948715,0.20600389,0.11073084,-13.41875,270.0,-3.2759333,0.86875,-29.893751,1350.0,0.53499997
4.069495,0.34565288,0.8467653,0.109563984,0.20609549,0.11092046,-12.112499,280.0,-2.6387823,0.9125,-29.686249,1400.0,0.55875003
4.0725646,0.34548235,0.84707093,0.10938681,0.20613739,0.11077483,-12.30625,290.0,-2.73827,0.9,-28.737501,1450.0,0.59375
4.0745325,0.3452245,0.8472991,0.10918372,0.20617586,0.11077241,-10.862499,300.0,-1.8326725,0.93125,-29.05,1500.0,0.56125
4.0750647,0.34468955,0.8476078,0.10917399,0.20620875,0.11072636,-12.70625,310.0,-2.4121375,0.88125,-29.16,1550.0,0.5775
4.0741215,0.34389126,0.84774154,0.109170474,0.20624807,0.110698506,-11.5875,320.0,-1.8916936,0.93125,-28.83625,1600.0,0.58375
4.0723042,0.34300673,0.84792334,0.10905868,0.20629612,0.110641845,-10.75625,330.0,-1.8288717,0.93125,-29.363749,1650.0,0.57375
4.070093,0.3421858,0.84807676,0.109047286,0.20633473,0.11060528,-10.8875,340.0,-1.6588796,0.91249996,-30.033749,1700.0,0.5625
4.0669518,0.34137052,0.84828514,0.108990066,0.20638977,0.110686585,-10.85625,350.0,-1.4805915,0.95,-30.092499,1750.0,0.53625
4.063286,0.3405196,0.848404,0.1089305,0.20641026,0.110696554,-10.86875,360.0,-1.4266087,0.9375,-29.37125,1800.0,0.56625
4.0591564,0.33975458,0.8485294,0.10895314,0.20643297,0.11076596,-11.1875,370.0,-1.4237733,0.93125,-30.28875,1850.0,0.54249996
4.0541425,0.33897918,0.8486769,0.10893688,0.20644867,0.11076031,-10.606251,380.0,-1.2195747,0.94375,-29.7475,1900.0,0.55875
4.048696,0.33807856,0.84883523,0.10889244,0.20643201,0.11075879,-9.6875,390.0,-1.0509831,0.96875,-30.2125,1950.0,0.56
4.043285,0.3371814,0.84891945,0.10884127,0.2064094,0.11067359,-10.625,400.0,-1.2075982,0.94375,-30.391249,2000.0,0.53125
4.0377154,0.3364697,0.8490875,0.10880923,0.20642203,0.1107228,-11.99375,410.0,-1.3363411,0.90625,-31.716251,2050.0,0.50874996
4.0322304,0.33576274,0.8492637,0.10879526,0.20641524,0.11073962,-11.875,420.0,-1.3375593,0.91249996,-31.6025,2100.0,0.49625
4.026736,0.33508122,0.8493781,0.1086854,0.20642303,0.11066713,-11.543751,430.0,-1.274187,0.93125,-30.41875,2150.0,0.55375004
4.021241,0.33429855,0.84950066,0.10869192,0.20640351,0.11073382,-12.231249,440.0,-1.2847483,0.89374995,-31.2975,2200.0,0.5275
4.015829,0.3335804,0.8496222,0.10864023,0.20642704,0.11072151,-11.85,450.0,-1.212609,0.92499995,-30.80625,2250.0,0.545
4.0104036,0.332757,0.8496933,0.10849842,0.20638473,0.11060456,-10.74375,460.0,-1.0044518,0.95,-31.71875,2300.0,0.515
4.0049267,0.33184218,0.8497636,0.108373396,0.20636661,0.11058608,-11.7625,470.0,-1.1616455,0.91875,-30.23,2350.0,0.5725
3.9996815,0.33089536,0.8498675,0.108256735,0.20637603,0.11051136,-13.9,480.0,-1.4025865,0.85625,-29.9675,2400.0,0.56625
3.994474,0.32993782,0.8499208,0.108214684,0.20637245,0.11045597,-10.5,490.0,-0.976501,0.94375,-30.63125,2450.0,0.5375
3.9891992,0.3289113,0.8500028,0.108094096,0.20641315,0.110399395,-12.618751,500.0,-1.2185994,0.8875,-29.85,2500.0,0.55625
3.983939,0.32780698,0.85014063,0.10796401,0.2064406,0.11030193,-9.74375,510.0,-0.96668196,0.9625,-30.9225,2550.0,0.53125
3.9788551,0.32674587,0.85018724,0.107886724,0.206466,0.110271804,-10.675,520.0,-1.0877135,0.9375,-30.275,2600.0,0.5425
3.9740639,0.32582897,0.850271,0.1078817,0.20648505,0.11030081,-10.66875,530.0,-1.0033085,0.9375,-31.06625,2650.0,0.52750003
3.9692435,0.3249478,0.8502887,0.10782621,0.20648138,0.11023514,-10.6625,540.0,-1.1115729,0.95,-30.02625,2700.0,0.5525
3.9645705,0.32402772,0.85031724,0.10778385,0.2064482,0.11021825,-11.1625,550.0,-1.1722445,0.9375,-30.443748,2750.0,0.55375004
3.960126,0.32307217,0.8503913,0.10772971,0.20645618,0.11016163,-11.63125,560.0,-1.1703005,0.91249996,-31.607502,2800.0,0.53125
3.9556937,0.3220495,0.85042787,0.10767908,0.20646246,0.11015034,-11.74375,570.0,-1.0904588,0.90625,-30.84375,2850.0,0.53375
3.9512424,0.32082713,0.850473,0.10761335,0.20645416,0.11011756,-11.6875,580.0,-1.1326091,0.90625,-31.267498,2900.0,0.52375
3.9467015,0.3196057,0.85054463,0.10756153,0.20646447,0.11008038,-11.15625,590.0,-1.124516,0.92499995,-30.82,2950.0,0.54375
3.9422498,0.31837392,0.8506038,0.10753864,0.2064431,0.11004837,-11.03125,600.0,-1.269491,0.93125,-31.377502,3000.0,0.53499997
3.9379928,0.31709266,0.85066754,0.107570924,0.20646645,0.11005442,-13.450001,610.0,-1.2442684,0.8625,-30.91375,3050.0,0.5425
3.9337263,0.31590772,0.85070705,0.10763427,0.20645837,0.11010525,-11.8375,620.0,-1.1812837,0.90625,-31.45375,3100.0,0.53
3.9294431,0.31468928,0.85075355,0.107684314,0.20646359,0.11017433,-10.15625,630.0,-0.90931594,0.95,-31.755,3150.0,0.51125
3.9252229,0.3135708,0.85082525,0.10774199,0.2065064,0.11028664,-13.24375,640.0,-1.1981565,0.88125,-32.0325,3200.0,0.5175
