#{"t_start": 1582641192.8428087, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.910948
,-50.0,50,6.743237
,-50.0,50,8.332609
,-50.0,50,9.966213
,-50.0,50,11.548434
,-50.0,50,13.161662
,-50.0,50,14.762717
,-50.0,50,16.35328
,-50.0,50,17.989389
,-50.0,50,19.597611
,-50.0,50,21.162029
,0.0,50,22.772235
,-50.0,50,24.395778
,-50.0,50,26.00596
,-50.0,50,27.611159
,-50.0,50,29.187192
,-50.0,50,30.824489
,-50.0,50,32.446963
,-50.0,50,34.05386
,-50.0,50,35.673807
,-50.0,50,37.278162
,-50.0,50,38.889622
,-50.0,50,40.48951
,-50.0,50,42.100338
,-50.0,50,43.725186
,-50.0,50,45.340852
,-50.0,50,46.959964
,-50.0,50,48.562392
,-50.0,50,50.172912
,-50.0,50,51.778803
,-50.0,50,53.381914
,-50.0,50,54.996908
,-50.0,50,56.602987
,0.0,50,58.208856
,-50.0,50,59.822444
,-50.0,50,61.44361
,-50.0,50,63.045491
,-50.0,50,64.639505
,-50.0,50,66.297357
,-50.0,50,67.882412
,-50.0,50,69.521612
,-50.0,50,71.116125
,-50.0,50,72.709702
,-50.0,50,74.351725
,-50.0,50,75.938785
,-50.0,50,77.541415
,-50.0,50,79.178017
,-50.0,50,80.807809
,-50.0,50,82.402861
,-50.0,50,84.001727
,-50.0,50,85.672656
,0.0,50,85.937458
,-50.0,50,86.202331
,-50.0,50,86.479519
,-50.0,50,86.731112
,-50.0,50,87.02351
,-50.0,50,87.299682
,-50.0,50,87.559594
,-50.0,50,87.832591
,-50.0,50,88.092567
,-50.0,50,88.486812
,-50.0,50,90.089357
,-50.0,50,91.722684
,-50.0,50,93.384558
,-50.0,50,94.962949
,-50.0,50,96.576351
,-50.0,50,98.17636
,-50.0,50,99.805625
,-50.0,50,101.470692
,-50.0,50,103.092665
,-50.0,50,104.686159
,-50.0,50,106.289126
,0.0,50,107.901927
,0.0,50,109.557829
,-50.0,50,111.209463
,-50.0,50,112.830467
,-50.0,50,114.451408
,-50.0,50,116.044941
,-50.0,50,117.664421
,-50.0,50,119.300245
,-50.0,50,120.896703
,-50.0,50,122.536059
,-50.0,50,124.173477
,-50.0,50,125.81629
,-50.0,50,127.410719
,-50.0,50,129.033462
,-50.0,50,130.672023
,-50.0,50,132.264483
,-50.0,50,133.867043
,-50.0,50,135.474779
,-50.0,50,137.091025
,-50.0,50,138.713242
,-50.0,50,140.341902
,-50.0,50,141.962256
,-50.0,50,143.583044
,-50.0,50,145.172509
,-50.0,50,146.8194
,-50.0,50,148.415493
,-50.0,50,150.054121
,-50.0,50,151.648321
,-50.0,50,153.289644
,-50.0,50,154.926476
,-50.0,50,156.514344
,-50.0,50,158.189154
,0.0,50,159.804319
,-50.0,50,161.468313
,-50.0,50,163.07352
,-50.0,50,164.690232
,-50.0,50,166.306066
,-50.0,50,167.967347
,-50.0,50,169.574445
,-50.0,50,169.844971
,-50.0,50,170.137988
,-50.0,50,170.401827
,-50.0,50,170.673876
,-50.0,50,170.941749
,-50.0,50,171.199249
,-50.0,50,171.457386
,-50.0,50,171.727468
,-50.0,50,171.998577
,-50.0,50,172.373584
,-50.0,50,173.975738
,-50.0,50,175.6475
,-50.0,50,177.22787
,-50.0,50,178.896368
,-50.0,50,180.526482
,-50.0,50,182.140499
,-50.0,50,183.737144
,-50.0,50,185.399104
,-50.0,50,186.972981
,-50.0,50,188.637709
,-50.0,50,190.235899
,-50.0,50,191.887688
,-50.0,50,193.48736
,-50.0,50,195.079186
,-50.0,50,196.72419
,-50.0,50,198.349782
,-50.0,50,199.997391
,-50.0,50,201.63337
,-50.0,50,203.239896
,-50.0,50,204.882892
,-50.0,50,206.477614
,-50.0,50,208.142459
,-50.0,50,209.788224
,-50.0,50,211.383611
,-50.0,50,213.027555
,-50.0,50,214.649034
,-50.0,50,216.294839
,-50.0,50,217.920389
,-50.0,50,219.515152
,-50.0,50,221.197893
,-50.0,50,222.80803
,-50.0,50,224.455587
,-50.0,50,226.064234
,-50.0,50,227.688739
,-50.0,50,229.326177
,-50.0,50,230.963527
,-50.0,50,232.614605
,-50.0,50,234.252692
,-50.0,50,235.839575
,-50.0,50,237.459308
,-50.0,50,239.082265
,-50.0,50,240.738708
,-50.0,50,242.34518
,-50.0,50,243.950877
,-50.0,50,245.618258
,-50.0,50,247.233225
,-50.0,50,248.886383
,-50.0,50,250.518276
,-50.0,50,252.112635
,-50.0,50,253.82944
,-50.0,50,254.103573
,-50.0,50,254.373409
,-50.0,50,254.661914
,-50.0,50,254.970004
,-50.0,50,255.237184
,-50.0,50,255.504228
,-50.0,50,255.756181
,-50.0,50,256.013677
,-50.0,50,256.319828
,-50.0,50,256.66948
,-50.0,50,258.298922
,-50.0,50,259.913881
,-50.0,50,261.583402
,-50.0,50,263.196384
,-50.0,50,264.821033
,-50.0,50,266.457774
,-50.0,50,268.072398
,-50.0,50,269.717797
,-50.0,50,271.345631
,-50.0,50,272.947164
,-50.0,50,274.590671
,-50.0,50,276.228896
,-50.0,50,277.86065
,-50.0,50,279.453931
,-50.0,50,281.080678
,-50.0,50,282.718808
,-50.0,50,284.333946
,-30.0,50,285.956912
,-50.0,50,287.563425
,-50.0,50,289.206634
,-50.0,50,290.840074
,-50.0,50,292.445077
,-50.0,50,294.07872
,-50.0,50,295.710696
,-50.0,50,297.335654
,-50.0,50,298.97616
,-50.0,50,300.59774
,-50.0,50,302.199445
,-50.0,50,303.8183
,-50.0,50,305.467706
,-50.0,50,307.094085
,-50.0,50,308.724138
,-50.0,50,310.302855
,-50.0,50,311.980221
,-50.0,50,313.608225
,-50.0,50,315.199104
,-50.0,50,316.833564
,-50.0,50,318.48789
,-50.0,50,320.114637
,-50.0,50,321.763524
,-50.0,50,323.404229
,-50.0,50,324.993782
,-50.0,50,326.655005
,-50.0,50,328.306025
,-50.0,50,329.926624
,-50.0,50,331.585079
,-50.0,50,333.189663
,-50.0,50,334.827199
,-50.0,50,336.438412
,-50.0,50,338.109577
,-50.0,50,338.35427
,-50.0,50,338.613692
,-50.0,50,338.894528
,-50.0,50,339.151254
,0.0,50,339.442645
,-50.0,50,339.705661
,-50.0,50,339.989542
,-50.0,50,340.271652
,-50.0,50,340.521349
,-50.0,50,341.007385
,-50.0,50,342.641115
,-50.0,50,344.280539
,-50.0,50,345.883552
,-50.0,50,347.528456
,-50.0,50,349.122362
,-50.0,50,350.772791
,-50.0,50,352.403271
,-50.0,50,354.010649
,0.0,50,355.643158
,-50.0,50,357.297938
,-50.0,50,358.929369
,-50.0,50,360.524188
,-50.0,50,362.188595
,-50.0,50,363.826426
,-50.0,50,365.458001
,-50.0,50,367.098861
,-50.0,50,368.717065
,-50.0,50,370.37247
,-50.0,50,371.970847
,-50.0,50,373.599881
,-50.0,50,375.230654
,-50.0,50,376.824814
,-50.0,50,378.50174
,-50.0,50,380.134047
,-47.0,50,381.757818
,-50.0,50,383.389036
,-50.0,50,385.005296
,-50.0,50,386.667157
,-50.0,50,388.279569
,-50.0,50,389.91323
,-50.0,50,391.556812
,-50.0,50,393.184227
,-50.0,50,394.790062
,-50.0,50,396.415244
,-50.0,50,398.069554
,-50.0,50,399.685123
,-50.0,50,401.341276
,-50.0,50,402.986907
,-50.0,50,404.620263
,-50.0,50,406.238873
,-50.0,50,407.902597
,-50.0,50,409.55941
,-50.0,50,411.186887
,-50.0,50,412.770337
,-50.0,50,414.442416
,-50.0,50,416.052541
,-50.0,50,417.723863
,-50.0,50,419.342154
,-50.0,50,420.94938
,0.0,50,422.595334
,-50.0,50,422.87159
,-50.0,50,423.138332
,-50.0,50,423.408562
,-50.0,50,423.68885
,-50.0,50,423.974221
,-50.0,50,424.222557
,-50.0,50,424.512671
,-50.0,50,424.792585
,-50.0,50,425.095486
,-50.0,50,425.449679
,-50.0,50,427.093775
,-50.0,50,428.704942
,-50.0,50,430.347227
,-50.0,50,431.972138
,-50.0,50,433.648032
,-50.0,50,435.258789
,-50.0,50,436.902337
,-50.0,50,438.553169
,-50.0,50,440.196168
,-50.0,50,441.805756
,-50.0,50,443.472563
,0.0,50,445.074405
,-50.0,50,446.741536
,-50.0,50,448.351104
,-50.0,50,449.972037
,-50.0,50,451.597119
