#{"t_start": 1582810151.010825, "env_id": "FetchReach-v1"}
s,r,l,t
,-50.0,50,0.956135
,-50.0,50,1.601838
,-50.0,50,2.161258
,-50.0,50,2.697902
,-50.0,50,3.229883
,-50.0,50,3.743442
,-50.0,50,4.266422
,-35.0,50,4.849063
,-50.0,50,5.444594
,-41.0,50,5.989559
,-11.0,50,6.567464
,-10.0,50,6.654275
,-12.0,50,6.733185
,-5.0,50,6.811179
,-8.0,50,6.910101
,-20.0,50,6.993431
,-38.0,50,7.073492
,-3.0,50,7.163809
,-50.0,50,7.242997
,-33.0,50,7.319192
,-28.0,50,7.449939
,-28.0,50,7.968219
,-50.0,50,8.506335
,-32.0,50,9.031459
,-8.0,50,9.560793
,-31.0,50,10.088414
,-29.0,50,10.60586
,-50.0,50,11.146301
,-47.0,50,11.687567
,-11.0,50,12.241597
,0.0,50,12.788299
,-13.0,50,12.871556
,-7.0,50,12.950083
,-18.0,50,13.032527
,-19.0,50,13.122441
,-14.0,50,13.201122
,-50.0,50,13.281456
,0.0,50,13.359359
,-1.0,50,13.441437
,-1.0,50,13.52196
,-11.0,50,13.603798
,-3.0,50,14.153537
,-10.0,50,14.707005
,-50.0,50,15.266827
,-9.0,50,15.818138
,-21.0,50,16.360788
,-50.0,50,16.928882
,-50.0,50,17.544739
,-15.0,50,18.107987
,-7.0,50,18.686956
,-3.0,50,19.261659
,-5.0,50,19.353114
,-50.0,50,19.440827
,-7.0,50,19.520819
,-50.0,50,19.604274
,-6.0,50,19.705087
,-5.0,50,19.789321
,-4.0,50,19.868913
,-45.0,50,19.954723
,-9.0,50,20.03956
,-50.0,50,20.134387
,-11.0,50,20.698426
,-7.0,50,21.285736
,-11.0,50,21.85116
,-6.0,50,22.433537
,-17.0,50,23.025385
,-7.0,50,23.617959
,-9.0,50,24.225106
,-18.0,50,24.79774
,-13.0,50,25.353806
,-1.0,50,25.920182
,-15.0,50,26.01192
,-5.0,50,26.106209
,-8.0,50,26.187543
,0.0,50,26.264487
,-50.0,50,26.356818
,-1.0,50,26.442391
,-4.0,50,26.538724
,-1.0,50,26.617807
,-8.0,50,26.70645
,-10.0,50,26.789576
,-12.0,50,27.371128
,-15.0,50,27.952845
,-5.0,50,28.538506
,-4.0,50,29.138924
,-48.0,50,29.716873
,-12.0,50,30.305037
,-9.0,50,30.884825
,-50.0,50,31.480028
,-13.0,50,32.07135
,-1.0,50,32.650627
,-50.0,50,32.735242
,-1.0,50,32.815305
,-4.0,50,32.910411
,-1.0,50,32.999257
,-3.0,50,33.085697
,-9.0,50,33.169185
,0.0,50,33.249207
,-1.0,50,33.325006
,-3.0,50,33.407593
,-9.0,50,33.494347
,-6.0,50,34.092679
,-24.0,50,34.683571
,-14.0,50,35.289053
,-7.0,50,35.86564
,-10.0,50,36.482089
,-4.0,50,37.08191
,-6.0,50,37.677778
,-7.0,50,38.279163
,-5.0,50,38.870579
,-6.0,50,39.497356
,0.0,50,39.583475
,-8.0,50,39.689884
,-1.0,50,39.778238
,-4.0,50,39.864366
,-4.0,50,39.958681
,0.0,50,40.03971
,-1.0,50,40.12547
,-3.0,50,40.225026
,-2.0,50,40.316489
,-7.0,50,40.406118
,-11.0,50,41.049599
,-7.0,50,41.683523
,-9.0,50,42.300277
