actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5806519,0.07239559,0.8644869,0.11059479,0.25975558,0.035049245,-43.1,10.0,-0.66579354,0.0,-48.3,10.0,0.0
1.6485066,0.05192476,0.87921476,0.102511935,0.2637962,0.033047568,-27.4,20.0,-0.9542173,0.6,-27.5,20.0,0.4
1.6737363,0.04276684,0.8753125,0.099077575,0.2627912,0.032385968,-5.9,30.0,-0.3159217,1.0,-18.1,30.0,0.7
1.6831917,0.038094163,0.8780922,0.09969318,0.26384827,0.03281079,-8.3,40.0,-0.45919615,0.9,-18.5,40.0,0.7
1.6777382,0.034647103,0.88409203,0.09703954,0.26521525,0.03229124,-7.4,50.0,-0.44403306,0.9,-15.4,50.0,0.9
1.666142,0.03233669,0.8789672,0.09675885,0.26403528,0.032292403,-1.9,60.0,-0.09193688,1.0,-15.5,60.0,1.0
1.6524237,0.030430734,0.8792394,0.0957005,0.2641595,0.032199316,-1.3,70.0,-0.08144842,1.0,-11.2,70.0,0.9
1.6360523,0.02895375,0.8765181,0.09445679,0.26343596,0.032015212,-2.1,80.0,-0.15177032,1.0,-10.9,80.0,0.8
1.6183498,0.02793062,0.87661576,0.09253389,0.2634369,0.031587172,-1.8,90.0,-0.0547056,1.0,-10.7,90.0,0.8
1.6003828,0.027127218,0.87473583,0.092860065,0.2628846,0.031824682,-1.9,100.0,-0.0481625,1.0,-12.6,100.0,0.7
