#{"t_start": 1582564151.7982066, "env_id": "FetchReach-v1"}
s,r,l,t
,-50.0,50,6.197882
,-50.0,50,7.979989
,-32.0,50,9.571515
,-50.0,50,11.168709
,-19.0,50,12.713183
,-10.0,50,14.288031
,-15.0,50,15.851554
,-22.0,50,17.445105
,-8.0,50,19.030782
,-18.0,50,20.611022
,-50.0,50,22.204811
,-50.0,50,22.456228
,-50.0,50,22.715963
,-50.0,50,22.964505
,-13.0,50,23.220032
,-50.0,50,23.467566
,-43.0,50,23.716505
,-32.0,50,23.968961
,-4.0,50,24.200603
,-10.0,50,24.461906
,-43.0,50,24.800035
,-50.0,50,26.369626
,-11.0,50,27.950966
,-50.0,50,29.546508
,-50.0,50,31.112881
,-25.0,50,32.68102
,-16.0,50,34.260383
,-28.0,50,35.846534
,-12.0,50,37.433454
,-50.0,50,39.000743
,-12.0,50,40.62509
,-26.0,50,40.891144
,-16.0,50,41.161817
,-9.0,50,41.426884
,-22.0,50,41.677077
,-50.0,50,41.925808
,-2.0,50,42.164339
,-8.0,50,42.44642
,0.0,50,42.695409
,-4.0,50,42.95547
,-50.0,50,43.212014
,-50.0,50,44.812214
,-32.0,50,46.41702
,-50.0,50,47.987602
,-10.0,50,49.601038
,-10.0,50,51.20013
,-50.0,50,52.81462
,-17.0,50,54.38896
,-38.0,50,55.983191
,-17.0,50,57.568664
,-5.0,50,59.196704
,0.0,50,59.441163
,-40.0,50,59.684339
,-12.0,50,59.939511
,0.0,50,60.195924
,-11.0,50,60.441232
,-13.0,50,60.696141
,-4.0,50,60.944928
,-13.0,50,61.208544
,-6.0,50,61.462483
,-11.0,50,61.781513
,-6.0,50,63.400398
,-23.0,50,64.97005
,-11.0,50,66.622833
,-16.0,50,68.193121
,-21.0,50,69.810313
,-50.0,50,71.385814
,-3.0,50,73.011343
,-11.0,50,74.589871
,-25.0,50,76.212204
,-1.0,50,77.836775
,0.0,50,78.081502
,-4.0,50,78.347512
,-1.0,50,78.591881
,-12.0,50,78.858664
,0.0,50,79.095269
,0.0,50,79.33683
,0.0,50,79.602733
,-1.0,50,79.854417
,-6.0,50,80.096491
,-15.0,50,80.414717
,-6.0,50,82.010333
,-18.0,50,83.598161
,-22.0,50,85.213168
,-8.0,50,86.817352
,-2.0,50,88.407942
,-21.0,50,90.006412
,-5.0,50,91.621933
,-10.0,50,93.205835
,-50.0,50,94.861079
,-6.0,50,96.466167
,-2.0,50,96.726709
,-2.0,50,96.979959
,-2.0,50,97.245413
,-1.0,50,97.497101
,-7.0,50,97.750398
,-4.0,50,98.00572
,-9.0,50,98.275036
,-5.0,50,98.519869
,0.0,50,98.754418
,-13.0,50,99.005208
,-11.0,50,100.622239
,-18.0,50,102.251447
,-11.0,50,103.82556
,-12.0,50,105.431945
,-15.0,50,107.049522
,-22.0,50,108.655341
,-9.0,50,110.25056
,-11.0,50,111.88928
,-7.0,50,113.467713
,0.0,50,115.139483
,-3.0,50,115.39642
,-4.0,50,115.649366
,-2.0,50,115.897245
,-1.0,50,116.130486
,-2.0,50,116.404226
,-2.0,50,116.671013
,-1.0,50,116.917621
,-27.0,50,117.162085
,-3.0,50,117.409834
,-14.0,50,117.673928
,-7.0,50,119.267694
,-10.0,50,120.896389
,-18.0,50,122.511027
,-17.0,50,124.131614
,-9.0,50,125.759921
,-13.0,50,127.346093
,-17.0,50,128.951156
,-12.0,50,130.590788
,-6.0,50,132.176954
,-2.0,50,133.833426
,0.0,50,134.097108
,0.0,50,134.3416
,-2.0,50,134.603083
,-2.0,50,134.855381
,-1.0,50,135.115004
,-2.0,50,135.363697
,-2.0,50,135.616805
,-6.0,50,135.882752
,-1.0,50,136.126582
,-10.0,50,136.426911
,-16.0,50,138.072664
,-9.0,50,139.640981
,-8.0,50,141.298863
,-8.0,50,142.920174
,-15.0,50,144.524597
,-18.0,50,146.147558
,-12.0,50,147.751611
,-10.0,50,149.366461
,-16.0,50,150.968883
,0.0,50,152.585098
,-1.0,50,152.839838
,-2.0,50,153.079789
,-3.0,50,153.33949
