#{"t_start": 1582908190.6871169, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.840065
,-50.0,50,6.680184
,-50.0,50,8.271363
,-50.0,50,9.924438
,-50.0,50,11.520375
,-50.0,50,13.117883
,-50.0,50,14.726291
,-50.0,50,16.356223
,-50.0,50,17.946016
,-50.0,50,19.569623
,-50.0,50,21.169349
,-50.0,50,22.794288
,-50.0,50,24.367417
,-50.0,50,25.978423
,-50.0,50,27.569435
,-50.0,50,29.166689
,0.0,50,30.759275
,-50.0,50,32.372198
,-50.0,50,33.980751
,-50.0,50,35.569044
,-50.0,50,37.1948
,-50.0,50,38.768306
,-50.0,50,40.374168
,-50.0,50,42.009524
,-50.0,50,43.585986
,-50.0,50,45.182454
,-50.0,50,46.808545
,-50.0,50,48.376947
,-50.0,50,50.045
,-50.0,50,51.636004
,-50.0,50,53.215832
,-50.0,50,54.830964
,-50.0,50,56.433958
,-50.0,50,58.073589
,-50.0,50,59.651546
,0.0,50,61.262676
,-50.0,50,62.864266
,-50.0,50,64.47208
,0.0,50,66.092773
,-50.0,50,67.717538
,-50.0,50,69.308472
,-50.0,50,70.924583
,-50.0,50,72.543097
,-50.0,50,74.095605
,-50.0,50,75.743074
,-50.0,50,77.346272
,-50.0,50,78.970504
,-50.0,50,80.57404
,-50.0,50,82.214179
,-50.0,50,83.796559
,-50.0,50,85.47442
,-50.0,50,85.730195
,-50.0,50,86.005261
,-50.0,50,86.282636
,-50.0,50,86.57229
,-50.0,50,86.847016
,-50.0,50,87.116198
,-50.0,50,87.37969
,-50.0,50,87.635655
,-50.0,50,87.918887
,-50.0,50,88.409527
,-50.0,50,90.017591
,-50.0,50,91.620581
,-50.0,50,93.253323
,-50.0,50,94.860485
,-50.0,50,96.46791
,-50.0,50,98.099715
,-50.0,50,99.69605
,-50.0,50,101.333007
,-50.0,50,102.95414
,-50.0,50,104.542389
,0.0,50,106.168989
,-50.0,50,107.783417
,-50.0,50,109.39509
,-50.0,50,111.023911
,-50.0,50,112.647726
,-50.0,50,114.266749
,-50.0,50,115.876469
,0.0,50,117.512225
,-50.0,50,119.131169
,-50.0,50,120.710984
,-50.0,50,122.307248
,-50.0,50,123.916689
,-50.0,50,125.539281
,-50.0,50,127.199669
,-50.0,50,128.762603
,-50.0,50,130.410891
,-50.0,50,131.998438
,0.0,50,133.64482
,-50.0,50,135.264734
,-50.0,50,136.862218
,-50.0,50,138.439298
,-50.0,50,140.056228
,-50.0,50,141.654891
,-50.0,50,143.301425
,-50.0,50,144.929027
,-50.0,50,146.519075
,-50.0,50,148.116447
,0.0,50,149.728051
,-50.0,50,151.357682
,-50.0,50,152.968704
,-50.0,50,154.57365
,0.0,50,156.197748
,-50.0,50,157.853226
,-50.0,50,159.471569
,-50.0,50,161.067343
,0.0,50,162.676202
,-50.0,50,164.299715
,0.0,50,165.892526
,-50.0,50,167.527282
,-50.0,50,169.157763
,-50.0,50,169.460541
,-50.0,50,169.740703
,-50.0,50,170.028789
,-50.0,50,170.315635
,-50.0,50,170.577868
,-50.0,50,170.831895
,-50.0,50,171.088602
,-50.0,50,171.372079
,-50.0,50,171.637629
,-50.0,50,171.995173
,-50.0,50,173.622982
,-50.0,50,175.236823
,-50.0,50,176.853702
,-50.0,50,178.436639
,-50.0,50,180.085824
,-50.0,50,181.689545
,-50.0,50,183.321659
,-50.0,50,184.921918
,-50.0,50,186.520509
,-50.0,50,188.151692
,-50.0,50,189.743984
,-50.0,50,191.382759
,-50.0,50,192.973101
,-50.0,50,194.593892
,-50.0,50,196.203552
,-50.0,50,197.848944
,-50.0,50,199.458812
,-50.0,50,201.077196
,-50.0,50,202.685281
,-50.0,50,204.335786
,-50.0,50,205.925008
,-50.0,50,207.568889
,-50.0,50,209.197836
,-50.0,50,210.793546
,-50.0,50,212.426567
,-50.0,50,214.039997
,-50.0,50,215.629858
,-50.0,50,217.263112
,-50.0,50,218.884681
,-50.0,50,220.476131
,-50.0,50,222.116188
,-50.0,50,223.741672
,-50.0,50,225.321481
,-50.0,50,226.968847
,-50.0,50,228.551165
,-50.0,50,230.144174
,-50.0,50,231.797514
,-50.0,50,233.415856
,-50.0,50,235.036662
,-50.0,50,236.676055
,-50.0,50,238.260818
,-50.0,50,239.88371
,-50.0,50,241.49814
,-50.0,50,243.105221
,-50.0,50,244.740604
,-50.0,50,246.3417
,-50.0,50,247.960535
,-50.0,50,249.603346
,-50.0,50,251.224885
,-50.0,50,252.873486
,-50.0,50,253.157873
,-50.0,50,253.424417
,0.0,50,253.724048
,-50.0,50,254.019653
,-50.0,50,254.280391
,-50.0,50,254.561039
,-50.0,50,254.846208
,0.0,50,255.151838
,-50.0,50,255.427225
,-50.0,50,255.692853
,-50.0,50,257.334824
,-50.0,50,258.96595
,-50.0,50,260.580298
,-50.0,50,262.203274
,-50.0,50,263.826297
,0.0,50,265.457685
,-50.0,50,267.109888
,-50.0,50,268.719816
,-50.0,50,270.372688
,-50.0,50,271.971801
,-50.0,50,273.60553
,-50.0,50,275.219063
,0.0,50,276.854675
,-50.0,50,278.49179
,-50.0,50,280.093986
,-50.0,50,281.732518
,-50.0,50,283.403722
,-50.0,50,284.990673
,-50.0,50,286.611479
,-50.0,50,288.261723
,-50.0,50,289.861188
,0.0,50,291.481449
,-50.0,50,293.150758
,-50.0,50,294.733358
,0.0,50,296.38091
,-50.0,50,297.98809
,-50.0,50,299.627416
,-50.0,50,301.238581
,-50.0,50,302.890451
,-50.0,50,304.51782
