#{"t_start": 1582826569.0997236, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.464222
,0.0,50,8.31122
,-50.0,50,9.950552
,-50.0,50,11.560814
,-50.0,50,13.195182
,-50.0,50,14.827909
,-50.0,50,16.447523
,-50.0,50,18.063783
,-50.0,50,19.662339
,0.0,50,21.28224
,-50.0,50,22.907024
,-50.0,50,24.508514
,-50.0,50,26.124133
,-50.0,50,27.774133
,-50.0,50,29.369279
,-50.0,50,30.979577
,-50.0,50,32.621074
,-50.0,50,34.193535
,-50.0,50,35.843715
,-50.0,50,37.46957
,-50.0,50,39.103484
,-50.0,50,40.735446
,-50.0,50,42.327951
,-50.0,50,43.928892
,-50.0,50,45.570659
,-50.0,50,47.185558
,0.0,50,48.767941
,0.0,50,50.417557
,-50.0,50,52.000215
,-50.0,50,53.674097
,-50.0,50,55.250658
,0.0,50,56.880284
,-50.0,50,58.482779
,-50.0,50,60.132087
,-50.0,50,61.719956
,-50.0,50,63.342846
,-50.0,50,64.964002
,-50.0,50,66.609074
,-50.0,50,68.189935
,-50.0,50,69.842958
,-50.0,50,71.43255
,-50.0,50,73.124304
,-50.0,50,74.706001
,-50.0,50,76.345321
,-50.0,50,77.939666
,-50.0,50,79.578576
,-50.0,50,81.196904
,-50.0,50,82.795214
,-50.0,50,84.403345
,-50.0,50,86.033658
,-50.0,50,87.728149
,-50.0,50,88.036836
,-50.0,50,88.341586
,-50.0,50,88.638572
,-50.0,50,88.912748
,-50.0,50,89.212055
,-50.0,50,89.503083
,-50.0,50,89.804885
,0.0,50,90.073046
,-50.0,50,90.345791
,-50.0,50,90.737593
,-50.0,50,92.344519
,-50.0,50,93.968981
,-50.0,50,95.585312
,-50.0,50,97.214073
,-50.0,50,98.852257
,-50.0,50,100.442624
,-50.0,50,102.131533
,-50.0,50,103.740541
,-50.0,50,105.348972
,-50.0,50,107.018932
,-50.0,50,108.620727
,-50.0,50,110.22002
,-50.0,50,111.878253
,-50.0,50,113.504959
,-50.0,50,115.138216
,-50.0,50,116.736259
,0.0,50,118.375199
,0.0,50,120.019834
,-50.0,50,121.62268
,-50.0,50,123.267655
,-50.0,50,124.908849
,-50.0,50,126.524318
,-50.0,50,128.126696
,-50.0,50,129.746037
,-50.0,50,131.377638
,-50.0,50,133.00309
,-50.0,50,134.622763
,-50.0,50,136.225958
,-50.0,50,137.882564
,-50.0,50,139.479912
,-50.0,50,141.118307
,-50.0,50,142.748263
,-50.0,50,144.390903
,-50.0,50,146.054197
,-50.0,50,147.639906
,-50.0,50,149.280245
,-50.0,50,150.933954
,0.0,50,152.531089
,-50.0,50,154.146935
,0.0,50,155.816504
,-50.0,50,157.403415
,-50.0,50,159.045691
,-50.0,50,160.66223
,-50.0,50,162.273563
,-50.0,50,163.935771
,-50.0,50,165.557716
,-50.0,50,167.159003
,0.0,50,168.850134
,-50.0,50,170.456316
,-50.0,50,172.108078
,-50.0,50,172.400158
,-50.0,50,172.680987
,-50.0,50,172.935561
,-50.0,50,173.203686
,-50.0,50,173.492092
,-50.0,50,173.777193
,-50.0,50,174.054529
,-50.0,50,174.36236
,-50.0,50,174.632635
,0.0,50,175.020009
,0.0,50,176.647947
,-50.0,50,178.2607
,-50.0,50,179.874335
,-50.0,50,181.479661
,-50.0,50,183.097201
,-50.0,50,184.740598
,0.0,50,186.395093
,-50.0,50,188.04068
,-50.0,50,189.626506
,-50.0,50,191.274005
,-50.0,50,192.906031
,-50.0,50,194.527339
,-50.0,50,196.182442
,-50.0,50,197.786349
,-50.0,50,199.42953
,-50.0,50,201.071182
,-50.0,50,202.720212
,-50.0,50,204.314457
,-50.0,50,205.970333
,-50.0,50,207.620461
,-50.0,50,209.215318
,-50.0,50,210.884252
,0.0,50,212.513693
,-50.0,50,214.182103
,-50.0,50,215.798132
,0.0,50,217.447994
,-50.0,50,219.028338
,-50.0,50,220.686498
,-50.0,50,222.291572
,-50.0,50,223.91613
,-50.0,50,225.552162
,-50.0,50,227.211121
,-50.0,50,228.855416
,-50.0,50,230.479206
,-50.0,50,232.164609
,-50.0,50,233.78602
,-50.0,50,235.361708
