actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5807616,0.0068113226,0.83875364,0.07628585,0.20143682,0.05390463,-46.925,10.0,-2.559472,0.06250000139698386,-46.45875,50.0,0.07
1.8838615,0.005533887,0.8402357,0.07294592,0.20175809,0.050947465,-47.8125,20.0,-4.5055842,0.0437500006519258,-46.065,100.0,0.07875
2.0940387,0.0060099666,0.8401211,0.07344452,0.20173918,0.053655084,-46.2,30.0,-5.736599,0.08125000167638063,-46.807503,150.0,0.062499999068677425
2.2912803,0.007469232,0.84005,0.07522065,0.20176603,0.05579221,-45.28125,40.0,-7.657631,0.09375000232830644,-46.521248,200.0,0.0687499986961484
2.493844,0.010901169,0.83978295,0.078410536,0.20188075,0.05976709,-44.981247,50.0,-9.174262,0.10625000158324838,-45.94625,250.0,0.0925
2.6839778,0.017214678,0.8392465,0.079986654,0.20191307,0.06488218,-39.6125,60.0,-8.862684,0.2500000009313226,-44.07375,300.0,0.14750001
2.8599715,0.029592942,0.83958036,0.080318995,0.20211267,0.07331326,-33.2625,70.0,-7.4892945,0.425,-40.416252,350.0,0.26375002
3.005755,0.04918428,0.83972746,0.08039079,0.20243241,0.081608556,-23.643751,80.0,-4.65602,0.675,-34.32,400.0,0.47125
3.0969653,0.068904094,0.8401168,0.08027986,0.20280857,0.0885868,-18.650002,90.0,-2.5333943,0.80625,-29.75625,450.0,0.59749997
3.1524925,0.08575478,0.8404975,0.0797524,0.20327704,0.09311997,-16.19375,100.0,-2.361281,0.86875,-26.29625,500.0,0.69375
3.1876304,0.09931606,0.840419,0.07925963,0.20347218,0.09629791,-12.88125,110.0,-1.7364101,0.94375,-24.7425,550.0,0.7675
3.2125897,0.10962592,0.8404953,0.078439996,0.20363575,0.09822337,-11.95,120.0,-1.4940051,0.975,-22.099998,600.0,0.83875
3.229921,0.117258936,0.8404772,0.07816235,0.20367807,0.10045977,-11.3625,130.0,-1.4654213,0.975,-21.9225,650.0,0.86
3.2420793,0.122798726,0.8406546,0.07760716,0.20374198,0.10200636,-10.5,140.0,-1.1730561,0.975,-20.44375,700.0,0.8925
