actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5148627,0.006698779,0.8388427,0.07360426,0.20150661,0.04408451,-47.475,10,-2.6241808,0.050000001,-46.95375,50,0.059999997
1.7827703,0.005446616,0.8392203,0.07093352,0.20170544,0.04353266,-46.40625,20,-4.3966827,0.068750002,-46.665,100,0.068749994
2.0009863,0.006277621,0.83994716,0.071799256,0.20184933,0.047790546,-45.8375,30,-6.0460224,0.081250001,-47,150,0.057499998
2.216155,0.008649886,0.8397656,0.07522285,0.20180483,0.05359381,-44.90625,40,-7.4209204,0.106250003,-46.02375,200,0.07875
2.416881,0.012770941,0.84014875,0.07817761,0.20216715,0.060137924,-44.05625,50,-8.613113,0.150000001,-45.2025,250,0.1075
2.607913,0.02030889,0.8397327,0.07934111,0.20187543,0.065734416,-34.825,60,-7.0488863,0.36875,-42.2325,300,0.19125
2.784733,0.03580779,0.83970404,0.07944139,0.20209958,0.07339961,-27.89375,70,-5.550658,0.6125,-37.661247,350,0.3425
2.9214444,0.05690632,0.83926445,0.07901526,0.20207882,0.08000943,-24.318748,80,-4.209134,0.68125004,-32.725,400,0.53375006
3.0126987,0.075914316,0.8394968,0.078982286,0.2021109,0.0852777,-15.725,90,-2.078681,0.88125,-27.69125,450,0.66375
3.071075,0.09134307,0.8397735,0.07854396,0.20227545,0.08939422,-14.56875,100,-1.7752798,0.90625,-25.32625,500,0.73375
3.1110268,0.10285142,0.8400114,0.07794008,0.20266397,0.0922713,-13.06875,110,-1.6640575,0.92499995,-22.845001,550,0.81
3.137973,0.111145735,0.8399388,0.07732192,0.20255417,0.09428256,-13.231251,120,-1.6597092,0.9625,-21.657501,600,0.84749997
3.1569338,0.117602125,0.8398602,0.07709912,0.20263022,0.095988825,-12.075,130,-1.4725708,0.9625,-20.963749,650,0.865
3.1705213,0.12213069,0.83989555,0.07665782,0.20270489,0.09824992,-10.743751,140,-1.1964066,0.96875,-20.65,700,0.8825
3.180439,0.12532073,0.8399194,0.07614525,0.20281409,0.09994578,-11.7625,150,-1.3808825,0.98125005,-19.79625,750,0.89374995
3.1892543,0.12780415,0.8399041,0.07580641,0.20279706,0.101745844,-10.625,160,-1.215596,0.98125005,-19.8525,800,0.89625
3.196135,0.12953943,0.83998394,0.07546108,0.20282789,0.10290817,-9.85,170,-1.2021012,0.98125005,-18.771252,850,0.9187499
3.2017183,0.13061902,0.8400689,0.07528213,0.20280124,0.10353999,-10.38125,180,-1.327172,0.9875,-18.989998,900,0.91125
3.2058768,0.13133252,0.84012073,0.07501826,0.20288432,0.10438575,-10.73125,190,-1.2631547,0.9875,-18.275,950,0.93375
3.2084434,0.1316527,0.83999133,0.074630395,0.20277774,0.105097294,-9.693749,200,-1.1596922,1,-18.385,1000,0.92999995
3.209396,0.13172773,0.84016365,0.074512325,0.20281233,0.105870895,-9.900001,210,-1.1645024,1,-18.18375,1050,0.9275
3.2100477,0.13183841,0.840225,0.07423893,0.20277758,0.10632607,-10.025,220,-1.1970856,0.99375,-18.220001,1100,0.9425
3.2106051,0.13187139,0.8402681,0.07406567,0.20280842,0.106900625,-9.71875,230,-1.1657878,1,-18.44375,1150,0.94500005
3.2104769,0.13181381,0.8402317,0.07387706,0.20274825,0.107366666,-10.15,240,-1.2217714,0.9875,-17.63625,1200,0.94
3.2090368,0.1316979,0.8403172,0.07361954,0.20275146,0.10767889,-9.58125,250,-1.0782442,1,-17.18625,1250,0.95500004
3.2067943,0.13149472,0.84027714,0.07338528,0.20270061,0.10815284,-9.3125,260,-1.0449739,0.99375,-17.7,1300,0.95000005
3.2045033,0.13137126,0.84032583,0.07323744,0.2027006,0.10849775,-9.375,270,-1.0679572,0.99375,-17.4375,1350,0.94875
3.2020807,0.13125809,0.8403663,0.07303993,0.20268582,0.10885052,-9.799999,280,-1.1899139,0.99375,-18.025,1400,0.9425
3.1998734,0.1311534,0.84041697,0.07287575,0.20265934,0.109232895,-9.65625,290,-1.0830741,1,-17.35875,1450,0.94124997
3.1977868,0.13102496,0.84040666,0.07278006,0.20258097,0.10968013,-9.8125,300,-1.1096132,0.9875,-17.224998,1500,0.95875
3.1952696,0.13087738,0.8404699,0.07258452,0.20259273,0.11002554,-10.2375,310,-1.098051,0.99375,-16.92625,1550,0.96250004
3.1922598,0.13070932,0.840436,0.07243442,0.20251752,0.11020667,-9.856251,320,-1.0869335,0.99375,-16.470001,1600,0.95750004
3.189251,0.13055055,0.8404558,0.07239351,0.2025463,0.11048442,-9.556251,330,-1.069422,0.99375,-17.357498,1650,0.9525
3.1861908,0.13040763,0.8404519,0.07223186,0.2025641,0.11075278,-9.081249,340,-1.0049818,1,-17.526249,1700,0.9375
3.183074,0.13034105,0.8404922,0.07210811,0.20256214,0.11108169,-9.075,350,-0.956221,1,-17.037498,1750,0.94625
3.1799412,0.13027124,0.8405332,0.07199641,0.2025748,0.11141252,-8.70625,360,-0.90463895,1,-17.07375,1800,0.95375
3.1768432,0.1302427,0.8405504,0.07187787,0.20257369,0.11169264,-9.0625,370,-0.953215,1,-17.09125,1850,0.95625
3.1736865,0.13016188,0.84052616,0.07182536,0.20261471,0.112007454,-8.9375,380,-0.9460589,1,-17.57125,1900,0.94875
3.1706169,0.13011666,0.8404793,0.071761735,0.20255026,0.11236075,-8.88125,390,-0.9073596,1,-17.4925,1950,0.9475
3.1676455,0.13006438,0.84048074,0.07170429,0.20249134,0.11264168,-9.237499,400,-1.0285358,0.99375,-17.205002,2000,0.9425
