#{"t_start": 1582794139.061832, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.837063
,-50.0,50,7.69398
,-50.0,50,9.283378
,-50.0,50,10.893565
,-50.0,50,12.47513
,-50.0,50,14.090539
,-50.0,50,15.727524
,-50.0,50,17.357047
,0.0,50,18.975061
,-50.0,50,20.569853
,-50.0,50,22.183452
,-50.0,50,23.809597
,0.0,50,25.413951
,-50.0,50,27.009673
,-50.0,50,28.641095
,-50.0,50,30.238155
,-50.0,50,31.859688
,-50.0,50,33.453389
,-50.0,50,35.091534
,-50.0,50,36.715578
,-50.0,50,38.320068
,-50.0,50,39.991603
,-50.0,50,41.599676
,-50.0,50,43.237416
,-50.0,50,44.857147
,-50.0,50,46.464167
,-50.0,50,48.039323
,-50.0,50,49.69941
,-50.0,50,51.295552
,-50.0,50,52.910589
,-50.0,50,54.505849
,-50.0,50,56.131677
,-50.0,50,57.75658
,-50.0,50,59.324591
,-50.0,50,60.946793
,-50.0,50,62.571376
,-50.0,50,64.194403
,-50.0,50,65.816076
,-50.0,50,67.414144
,-50.0,50,69.034146
,-50.0,50,70.639861
,-50.0,50,72.270856
,-50.0,50,73.887201
,-50.0,50,75.478914
,-50.0,50,77.135114
,-50.0,50,78.737711
,-50.0,50,80.446329
,-50.0,50,82.05762
,-50.0,50,83.634915
,-50.0,50,85.253896
,-50.0,50,86.968917
,-50.0,50,87.23607
,-50.0,50,87.504537
,-50.0,50,87.774776
,-50.0,50,88.039673
,-50.0,50,88.315653
,-50.0,50,88.60248
,-50.0,50,88.889213
,-50.0,50,89.170842
,-50.0,50,89.452798
,-50.0,50,89.907748
,-50.0,50,91.493801
,-50.0,50,93.112435
,-50.0,50,94.738385
,-50.0,50,96.322733
,-50.0,50,97.926396
,0.0,50,99.561702
,-50.0,50,101.15254
,-50.0,50,102.776477
,-50.0,50,104.40537
,-50.0,50,106.060108
,-50.0,50,107.664763
,-50.0,50,109.295173
,-50.0,50,110.915587
,-50.0,50,112.529174
,-50.0,50,114.150649
,-50.0,50,115.771347
,-50.0,50,117.411087
,-50.0,50,119.026915
,-50.0,50,120.634358
,-50.0,50,122.276062
,-50.0,50,123.911243
,-50.0,50,125.523775
,-50.0,50,127.164851
,-50.0,50,128.811023
,-50.0,50,130.404052
,0.0,50,132.034056
,0.0,50,133.646209
,-50.0,50,135.298172
,-50.0,50,136.912667
,-50.0,50,138.508202
,-50.0,50,140.198854
,-50.0,50,141.774917
,-50.0,50,143.419518
,0.0,50,145.027549
,-50.0,50,146.672525
,-50.0,50,148.288599
,-50.0,50,149.901787
,-50.0,50,151.593616
,-50.0,50,153.237508
,-50.0,50,154.872243
,-50.0,50,156.485986
,-50.0,50,158.117278
,-50.0,50,159.721631
,-50.0,50,161.396847
,-50.0,50,163.005507
,-50.0,50,164.716882
,-50.0,50,166.316784
,-50.0,50,167.972723
,-50.0,50,169.595879
,-50.0,50,171.299512
,-50.0,50,171.596567
,-50.0,50,171.853022
,0.0,50,172.124831
,-50.0,50,172.384884
,-50.0,50,172.675168
,-50.0,50,172.971721
,-50.0,50,173.270416
,-50.0,50,173.571695
,0.0,50,173.848597
,-50.0,50,174.220544
,0.0,50,175.827012
,-50.0,50,177.466732
,-50.0,50,179.102232
,-50.0,50,180.699102
,0.0,50,182.346925
,-50.0,50,183.932177
,-50.0,50,185.58395
,-50.0,50,187.194773
,-3.0,50,188.807921
,-50.0,50,190.440459
,-50.0,50,192.048948
,-50.0,50,193.633577
,-50.0,50,195.279027
,-50.0,50,196.9228
,-50.0,50,198.531497
,-50.0,50,200.107553
,-50.0,50,201.777231
,-50.0,50,203.394843
,-50.0,50,205.027905
,-50.0,50,206.649854
,-50.0,50,208.262821
,-50.0,50,209.930516
,-50.0,50,211.559452
,-50.0,50,213.157081
,-50.0,50,214.791776
,-50.0,50,216.456504
,-50.0,50,218.08634
,-50.0,50,219.712059
,-50.0,50,221.341007
,-50.0,50,222.969222
,-50.0,50,224.624454
,-50.0,50,226.235454
,-50.0,50,227.875727
,0.0,50,229.484417
,-50.0,50,231.115013
,-50.0,50,232.795023
,-50.0,50,234.377025
,0.0,50,236.036809
,-50.0,50,237.61927
,-50.0,50,239.27907
,-50.0,50,240.888267
,-50.0,50,242.510756
,-50.0,50,244.163598
,-50.0,50,245.783763
,-50.0,50,247.455498
,-50.0,50,249.087293
,-50.0,50,250.694391
,-50.0,50,252.319605
,-50.0,50,253.947432
,-50.0,50,255.598655
,-50.0,50,255.918117
,-50.0,50,256.176232
,0.0,50,256.463805
,-50.0,50,256.739432
,-50.0,50,257.017363
,-50.0,50,257.274005
,-50.0,50,257.534286
,-50.0,50,257.796701
,-50.0,50,258.061187
,-50.0,50,258.541509
,-50.0,50,260.182415
,-50.0,50,261.815877
,-50.0,50,263.424188
,-50.0,50,265.072678
,-50.0,50,266.699711
,-50.0,50,268.338832
,-50.0,50,269.981228
,-50.0,50,271.60885
,0.0,50,273.28671
,-50.0,50,274.881901
,-50.0,50,276.528754
,-50.0,50,278.158958
,-50.0,50,279.852399
,-50.0,50,281.445776
,-50.0,50,283.117379
,-50.0,50,284.73756
,-50.0,50,286.369132
,-50.0,50,287.979975
,0.0,50,289.603173
,-50.0,50,291.246393
,-50.0,50,292.887396
,-50.0,50,294.528648
,-50.0,50,296.165135
,-50.0,50,297.771737
,-50.0,50,299.381934
,-50.0,50,301.002202
,-50.0,50,302.669612
,-50.0,50,304.286268
,-50.0,50,305.930018
,-50.0,50,307.531068
,-50.0,50,309.21755
,-50.0,50,310.843009
,-50.0,50,312.460213
,-50.0,50,314.131856
,-50.0,50,315.761055
,-50.0,50,317.417788
,-50.0,50,319.02379
,-50.0,50,320.68775
,-50.0,50,322.344116
,-50.0,50,323.925077
,-50.0,50,325.607473
,-50.0,50,327.240129
,-50.0,50,328.853163
