actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5466752,0.006091427,0.8382673,0.07372115,0.20081495,0.05003978,-46.925,10,-2.5449195,0.062500001,-46.49375,50,0.06875
1.7838298,0.004824635,0.8397954,0.07242202,0.20138161,0.04976331,-47.94375,20,-4.5006256,0.037500001,-46.091248,100,0.0775
2.009841,0.005424799,0.8397247,0.072844766,0.20144613,0.05081111,-46.0375,30,-5.791173,0.081250001,-46.9275,150,0.058749998
2.224546,0.006982545,0.8396301,0.07304072,0.20150024,0.05358384,-44.79375,40,-7.456796,0.100000001,-46.542503,200,0.068749997
2.4229436,0.009441857,0.83963794,0.07529642,0.2014955,0.057216965,-44.7375,50,-9.348743,0.100000002,-46.11,250,0.07875
2.6179352,0.013907237,0.83940166,0.07629373,0.20135221,0.062409963,-42.59375,60,-9.288968,0.168750009,-45.40875,300,0.10875
2.7961545,0.02394797,0.83991987,0.07886536,0.20147131,0.070738845,-33.76875,70,-7.8067484,0.41250002,-42.1175,350,0.19624999
2.9410927,0.04127981,0.8398311,0.08053419,0.20166391,0.07973855,-24.556252,80,-4.4012775,0.70625,-36.24875,400,0.3925
3.0377696,0.061686162,0.84006244,0.080807604,0.20209229,0.086315945,-17.40625,90,-2.4631236,0.85625005,-29.59,450,0.62375
3.1039844,0.07900012,0.8404229,0.08031624,0.20219706,0.09058589,-15.3125,100,-1.9794575,0.9125,-26.3475,500,0.70750004
3.1500335,0.092665985,0.8403602,0.08015973,0.2021677,0.09375907,-14.13125,110,-1.9016186,0.95,-24.34125,550,0.79625
3.1841333,0.102950625,0.8404165,0.07937192,0.20202036,0.096114896,-13.66875,120,-1.6912872,0.94375,-21.95,600,0.85375
3.2080963,0.11063023,0.8404128,0.07881182,0.20206821,0.09830102,-11.1625,130,-1.5783356,0.96875,-21.631248,650,0.8725
3.2266502,0.116176926,0.84055305,0.078477465,0.20210809,0.10043705,-10.10625,140,-1.3611408,0.98125005,-20.44,700,0.88625
3.2394006,0.12004055,0.84070545,0.07796916,0.20227389,0.10155314,-10.90625,150,-1.2672572,0.98125005,-18.945,750,0.92499995
3.2476702,0.1228694,0.8407367,0.077401035,0.20244555,0.10271274,-10.625,160,-1.3396087,0.9875,-18.76125,800,0.91374993
3.2529047,0.12503111,0.8407604,0.07698723,0.20254785,0.10363558,-10.45625,170,-1.2130458,0.9875,-18.758749,850,0.93375
3.2558675,0.12678687,0.84071493,0.07663561,0.20265628,0.10461244,-9.974999,180,-1.2186302,1,-19.02,900,0.9125
3.2573628,0.12812096,0.8407554,0.076320566,0.20272897,0.105337344,-10.44375,190,-1.2882532,0.9875,-18.220001,950,0.91999996
3.257277,0.12916648,0.8408912,0.07622324,0.20272689,0.10607112,-9.25,200,-1.0135396,0.99375,-18.408749,1000,0.9275
3.2559297,0.13007286,0.8408703,0.07580159,0.20281342,0.106640995,-9.837501,210,-1.201921,0.9875,-17.95125,1050,0.95125
3.2532873,0.1307044,0.8408211,0.075551204,0.20284994,0.10734082,-9.049999,220,-1.1176578,0.9875,-17.8525,1100,0.93625003
3.2498388,0.13124073,0.84069747,0.07533687,0.20282032,0.107821286,-9.41875,230,-1.0565796,1,-16.97625,1150,0.94875
3.2461512,0.13154522,0.84079653,0.07498367,0.20288545,0.10824993,-9.512501,240,-1.1222178,1,-17.8275,1200,0.95375
3.2426057,0.13181357,0.84075284,0.07467996,0.20297028,0.10864734,-9.55,250,-1.1189934,1,-17.31,1250,0.95750004
3.2391481,0.131944,0.840686,0.074389674,0.20297614,0.10918782,-9.74375,260,-1.0339074,0.9875,-17.87,1300,0.9375
3.2355905,0.13196781,0.84059685,0.07425935,0.20297214,0.10952729,-9.2875,270,-1.0903966,0.99375,-17.74125,1350,0.93875
3.2325816,0.1320189,0.8404925,0.07420688,0.20296812,0.11020704,-9.28125,280,-1.0760708,0.9875,-17.625,1400,0.93125
3.2294266,0.13206527,0.84049463,0.07404212,0.2029758,0.11039924,-9.68125,290,-1.1318026,0.99375,-17.1225,1450,0.9475
3.2260306,0.13199154,0.84051305,0.07387013,0.20305988,0.110639066,-9.175,300,-1.1084963,0.9875,-17.04125,1500,0.96000004
3.2221642,0.13184926,0.84047484,0.07374936,0.2031253,0.11083755,-9.75625,310,-1.3207397,0.98125005,-16.9225,1550,0.95875
3.2181354,0.13178454,0.84051186,0.07358421,0.2032158,0.111291975,-9.44375,320,-1.0955193,0.99375,-17.8525,1600,0.93749994
3.2141075,0.1316934,0.8404849,0.07354122,0.20329225,0.11170077,-9.237499,330,-1.2000054,0.9875,-17.69125,1650,0.9562501
3.2101398,0.13161397,0.84048337,0.07340822,0.20330675,0.11212575,-9.2875,340,-1.0000906,0.9875,-17.1675,1700,0.95500004
3.2061334,0.1315501,0.840456,0.0734266,0.20335363,0.112593755,-9.5625,350,-1.2341872,0.975,-17.30875,1750,0.9425
3.2022917,0.13146126,0.8404436,0.07339339,0.20336193,0.11305939,-9.95625,360,-1.1714671,0.99375,-17.26625,1800,0.9575
3.198597,0.13130563,0.84038335,0.0732607,0.20341054,0.11329627,-9.493751,370,-1.1303543,0.9875,-17.62125,1850,0.95125
3.1950817,0.13118145,0.8403597,0.07317601,0.203476,0.113659255,-9.34375,380,-1.217581,0.9875,-17.416252,1900,0.94500005
3.191771,0.1310599,0.8403466,0.073154114,0.20350707,0.11407041,-9.30625,390,-1.0234747,1,-17.54375,1950,0.96624996
3.1886554,0.130911,0.8404169,0.07320075,0.20353773,0.114398524,-9.275,400,-1.4064808,0.98125005,-17.278751,2000,0.962000006
